essay_id,prompt_id,organization_score,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14
26,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium
27,1,1.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
28,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
29,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
30,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
31,1,3.0,low,low,low,medium,medium,low,medium,medium,low,medium,low,medium,medium,medium
32,1,4.0,medium,low,medium,medium,medium,low,medium,low,low,medium,low,medium,medium,medium
33,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
34,1,3.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
35,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,medium
36,1,5.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
37,1,5.0,medium,low,medium,medium,medium,low,medium,medium,low,medium,low,low,medium,medium
38,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
39,1,4.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
40,1,2.0,medium,low,low,medium,low,low,medium,low,low,medium,low,low,low,low
41,1,1.0,low,low,low,medium,low,low,medium,low,low,medium,low,low,medium,low
42,1,4.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
43,1,2.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
44,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
45,1,3.0,low,low,low,medium,low,low,medium,medium,low,medium,low,low,low,medium
46,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
47,1,3.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
48,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
49,1,4.0,medium,low,low,medium,medium,low,medium,low,low,medium,medium,medium,medium,medium
50,1,2.0,low,low,low,medium,low,low,low,low,low,medium,low,low,low,low
51,1,4.0,medium,low,low,medium,medium,medium,medium,low,low,medium,low,low,medium,medium
52,1,4.0,low,low,low,low,low,low,medium,low,low,medium,low,low,low,low
53,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
54,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
55,1,4.0,medium,low,low,medium,medium,medium,medium,low,low,medium,medium,medium,low,low
56,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium
57,1,4.0,medium,low,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,low
58,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
59,1,3.0,low,low,low,medium,medium,low,medium,low,low,medium,low,low,medium,medium
60,1,2.0,low,low,low,low,low,low,low,low,low,medium,low,low,low,low
61,1,3.0,medium,medium,low,medium,medium,medium,medium,medium,low,medium,medium,low,medium,medium
62,1,3.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
63,1,4.0,medium,low,low,medium,medium,low,medium,low,low,medium,medium,medium,medium,low
64,1,2.0,low,low,low,medium,low,low,medium,low,low,low,low,low,low,low
65,1,4.0,low,low,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
66,1,4.0,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
67,1,5.0,low,low,low,low,medium,low,medium,low,low,medium,low,low,medium,medium
68,1,5.0,low,low,medium,medium,medium,medium,medium,medium,low,medium,medium,low,medium,medium
69,1,3.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
70,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
71,1,4.0,medium,medium,low,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,low
72,1,6.0,low,low,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
73,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
74,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
75,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
76,1,3.0,low,medium,low,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
77,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
78,1,4.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
79,1,4.0,medium,low,medium,medium,medium,medium,low,medium,low,medium,medium,medium,medium,medium
80,1,4.0,medium,low,low,medium,medium,medium,medium,low,low,medium,medium,low,medium,medium
81,1,4.0,medium,low,low,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
82,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
83,1,3.0,medium,low,medium,medium,medium,low,medium,low,low,medium,medium,medium,medium,medium
84,1,2.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
85,1,5.0,low,low,low,medium,low,low,medium,low,low,medium,medium,low,medium,medium
86,1,4.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,low,low,medium,medium
87,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
88,1,4.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,low,medium,medium
89,1,2.0,medium,low,low,medium,medium,low,medium,medium,low,medium,low,low,medium,medium
90,1,3.0,medium,low,low,medium,low,low,medium,low,low,medium,low,low,medium,low
91,1,3.0,medium,low,medium,medium,medium,low,medium,medium,low,medium,medium,medium,medium,medium
92,1,4.0,low,low,low,medium,low,low,medium,low,low,medium,low,low,medium,medium
93,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
94,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
95,1,5.0,medium,low,low,medium,medium,medium,medium,low,low,medium,medium,low,medium,medium
96,1,4.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
97,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
98,1,4.0,low,low,low,medium,medium,low,low,low,low,medium,low,low,medium,low
99,1,3.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,low
100,1,2.0,medium,low,low,medium,low,low,medium,low,low,medium,low,low,low,low
101,1,4.0,low,low,medium,medium,medium,medium,medium,medium,low,medium,low,low,medium,medium
102,1,4.0,medium,low,medium,medium,medium,low,medium,medium,low,medium,medium,medium,medium,medium
103,1,4.0,medium,low,low,medium,medium,low,medium,medium,low,medium,low,medium,low,medium
104,1,6.0,low,low,low,medium,medium,low,medium,low,low,medium,medium,low,medium,medium
105,1,4.0,low,low,low,medium,medium,low,medium,low,low,medium,low,low,medium,medium
106,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
107,1,5.0,medium,low,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
108,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
109,1,4.0,low,medium,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,medium
110,1,3.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
111,1,4.0,low,low,low,medium,medium,low,medium,low,low,medium,low,medium,medium,low
112,1,3.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,low
113,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,low
114,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
115,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
116,1,1.0,low,low,low,low,low,low,medium,low,low,medium,low,low,medium,medium
117,1,4.0,medium,low,low,medium,medium,low,medium,medium,low,medium,low,medium,medium,medium
118,1,5.0,low,low,medium,medium,medium,medium,medium,medium,low,medium,low,low,medium,medium
119,1,4.0,low,low,low,medium,low,low,medium,low,low,medium,low,low,low,low
120,1,3.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,low,medium,medium
121,1,4.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,low
122,1,5.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
123,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
124,1,3.0,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
125,1,2.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
126,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
127,1,3.0,medium,low,low,medium,medium,low,medium,low,low,medium,medium,medium,medium,medium
128,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
129,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,low,medium,medium
130,1,6.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
131,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
132,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
133,1,4.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
134,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
135,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
136,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
137,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
138,1,3.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,low,medium,medium,medium
139,1,3.0,low,low,low,low,low,low,medium,low,low,medium,low,low,medium,medium
140,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
141,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,low,medium,medium,medium
142,1,4.0,medium,low,low,medium,low,low,low,low,low,medium,medium,low,medium,low
143,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
144,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
145,1,4.0,low,low,low,medium,medium,low,low,low,low,medium,low,low,medium,medium
146,1,2.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
147,1,5.0,medium,low,medium,medium,medium,low,medium,low,medium,medium,medium,medium,medium,medium
148,1,3.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,low,medium,medium
149,1,3.0,low,low,low,low,low,low,medium,low,low,low,low,low,low,low
150,1,3.0,low,low,low,medium,medium,low,medium,medium,low,medium,low,low,medium,medium
151,1,3.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
152,1,3.0,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,medium
153,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
154,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
155,1,4.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,low
156,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
157,1,3.0,medium,low,low,medium,medium,low,medium,low,low,medium,medium,low,medium,low
158,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium
159,1,6.0,medium,low,low,medium,medium,low,medium,low,low,medium,medium,low,medium,medium
160,1,4.0,medium,low,medium,medium,medium,low,medium,medium,low,medium,medium,medium,medium,medium
161,1,5.0,low,medium,medium,medium,medium,medium,medium,medium,low,medium,low,medium,medium,medium
162,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
163,1,3.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,low
164,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,low,medium,medium
165,1,3.0,low,low,low,medium,low,low,low,low,low,medium,low,low,low,low
166,1,3.0,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
167,1,3.0,medium,medium,medium,medium,medium,low,medium,low,low,medium,medium,medium,low,low
168,1,4.0,medium,low,low,medium,medium,low,medium,medium,low,medium,medium,low,low,medium
169,1,3.0,medium,low,low,medium,medium,low,medium,low,low,medium,low,low,medium,low
170,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
171,1,3.0,medium,low,low,medium,low,low,medium,low,low,medium,medium,medium,low,low
172,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
173,1,3.0,low,low,low,medium,low,low,medium,low,low,medium,low,medium,medium,low
174,1,3.0,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
175,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
176,1,4.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,low
177,1,3.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,low,medium
178,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
179,1,3.0,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,low,medium,medium
180,1,4.0,low,low,medium,medium,medium,low,medium,low,low,medium,medium,medium,medium,medium
181,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium
182,1,3.0,medium,low,low,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
183,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
184,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
185,1,3.0,medium,low,low,medium,medium,low,medium,medium,low,medium,medium,low,medium,medium
186,1,4.0,medium,low,low,medium,medium,low,medium,medium,low,medium,medium,medium,medium,medium
187,1,1.0,low,low,low,medium,medium,low,medium,low,low,medium,low,low,medium,medium
188,1,4.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
189,1,2.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
190,1,5.0,medium,low,low,medium,medium,low,medium,medium,low,medium,low,medium,medium,medium
191,1,3.0,medium,low,medium,medium,medium,low,medium,medium,low,medium,low,medium,medium,medium
192,1,4.0,medium,low,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
193,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
194,1,4.0,medium,low,low,medium,low,low,low,low,low,medium,medium,low,medium,low
195,1,2.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
196,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
197,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,low,medium
198,1,5.0,medium,low,low,medium,medium,medium,medium,low,low,medium,medium,low,medium,medium
199,1,4.0,medium,low,low,medium,low,low,low,low,low,low,low,low,low,low
200,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
201,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
202,1,3.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
203,1,4.0,medium,low,low,medium,medium,low,low,low,low,medium,low,low,medium,medium
204,1,4.0,low,low,low,medium,low,low,low,low,low,medium,low,medium,medium,low
205,1,5.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
206,1,5.0,low,low,low,medium,medium,low,medium,low,low,medium,low,medium,medium,medium
207,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
208,1,3.0,low,low,low,medium,low,low,medium,low,low,medium,low,low,low,low
209,1,2.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
210,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
211,1,3.0,medium,low,low,medium,medium,low,medium,low,low,medium,low,medium,medium,medium
212,1,2.0,medium,low,low,medium,medium,low,medium,low,low,medium,low,low,medium,medium
213,1,3.0,low,low,low,medium,medium,low,medium,low,low,medium,low,medium,medium,medium
214,1,3.0,medium,low,low,medium,medium,low,medium,low,low,medium,medium,medium,low,medium
215,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,low,medium,medium,medium
216,1,4.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
217,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
218,1,3.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
219,1,4.0,low,low,low,medium,medium,low,low,low,low,medium,low,low,low,medium
220,1,4.0,low,low,medium,medium,medium,low,medium,medium,low,medium,low,medium,medium,medium
221,1,3.0,medium,low,medium,medium,medium,low,medium,low,low,medium,medium,medium,medium,medium
222,1,5.0,low,low,low,medium,medium,medium,medium,medium,low,medium,low,low,medium,medium
223,1,3.0,low,low,low,low,low,low,low,low,low,medium,low,low,low,low
224,1,3.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
225,1,5.0,medium,low,medium,medium,medium,low,medium,low,low,medium,medium,medium,medium,medium
226,1,3.0,low,low,low,medium,medium,low,medium,low,low,medium,low,low,medium,medium
227,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
228,1,4.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
229,1,3.0,medium,low,low,medium,low,low,medium,low,low,low,low,low,low,low
230,1,5.0,low,low,low,medium,medium,low,medium,medium,low,medium,low,medium,medium,medium
231,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
232,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
233,1,2.0,medium,low,low,medium,medium,low,medium,low,low,medium,medium,medium,medium,low
234,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
235,1,3.0,medium,low,low,medium,low,low,medium,low,low,medium,medium,low,low,low
236,1,2.0,medium,low,low,medium,low,low,medium,low,low,medium,medium,low,medium,medium
237,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
238,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
239,1,3.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
240,1,3.0,medium,low,medium,medium,medium,low,medium,medium,low,medium,medium,low,medium,low
241,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
242,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
243,1,4.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
244,1,3.0,low,low,low,medium,low,low,medium,low,low,low,low,low,low,low
245,1,3.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
246,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
247,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
248,1,4.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,low,medium
249,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
250,1,4.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
251,1,6.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
252,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
253,1,2.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
254,1,4.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,low
255,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
256,1,3.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,low
257,1,3.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,low
258,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
259,1,4.0,low,low,low,medium,medium,low,medium,medium,low,medium,low,low,medium,medium
260,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
261,1,4.0,low,low,low,medium,medium,low,medium,low,low,medium,low,low,medium,medium
262,1,3.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
263,1,4.0,medium,low,medium,medium,medium,low,medium,medium,low,medium,medium,medium,medium,medium
264,1,5.0,low,low,low,medium,medium,low,medium,low,low,medium,low,medium,medium,medium
265,1,4.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
266,1,5.0,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
267,1,4.0,low,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
268,1,3.0,medium,low,low,medium,low,low,medium,medium,low,medium,low,low,low,medium
269,1,3.0,medium,low,medium,medium,low,low,medium,medium,low,low,medium,medium,medium,medium
270,1,5.0,low,low,low,medium,medium,low,medium,low,low,medium,low,medium,medium,medium
271,1,4.0,medium,medium,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
272,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
273,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
274,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
275,1,4.0,medium,low,low,medium,low,low,low,low,low,medium,low,low,medium,low
276,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
277,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
278,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
279,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
280,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,high,medium
281,1,3.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
282,1,5.0,low,low,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
283,1,3.0,medium,low,medium,medium,medium,low,medium,low,low,medium,medium,medium,medium,medium
284,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
285,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
286,1,1.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
287,1,5.0,medium,low,medium,medium,low,medium,medium,low,low,medium,medium,medium,low,medium
288,1,3.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium
289,1,4.0,low,low,low,medium,low,low,low,low,low,low,low,low,low,low
290,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
291,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
292,1,5.0,medium,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
293,1,3.0,medium,low,low,medium,medium,low,medium,low,low,medium,low,medium,medium,low
294,1,4.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
295,1,4.0,medium,low,medium,medium,low,low,medium,low,low,medium,medium,low,medium,low
296,1,4.0,low,low,low,medium,medium,low,medium,low,low,medium,low,medium,medium,medium
297,1,3.0,medium,low,low,medium,medium,low,medium,medium,low,medium,low,low,medium,medium
298,1,4.0,medium,low,low,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
299,1,5.0,medium,low,low,medium,medium,low,medium,low,low,medium,medium,low,medium,medium
300,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
301,1,3.0,medium,low,low,medium,medium,low,medium,medium,low,medium,low,low,medium,medium
302,1,6.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium
303,1,4.0,low,low,low,medium,low,low,medium,low,low,medium,low,low,medium,low
304,1,5.0,low,low,low,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
305,1,5.0,medium,low,medium,medium,medium,low,low,low,medium,medium,low,low,medium,medium
306,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
307,1,4.0,low,low,low,medium,medium,low,low,low,low,medium,low,low,low,medium
308,1,2.0,medium,low,low,medium,medium,low,medium,low,low,medium,medium,low,low,low
309,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
310,1,4.0,low,low,medium,medium,medium,low,medium,low,low,medium,medium,low,medium,medium
311,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
312,1,3.0,medium,low,medium,medium,medium,low,medium,low,low,medium,medium,medium,low,medium
