essay_id,prompt_id,organization_score,question1,question2,question3
85,1,5.0,medium,medium,medium
86,1,4.0,low,low,medium
87,1,4.0,low,low,low
88,1,4.0,low,low,low
89,1,2.0,low,low,low
90,1,3.0,low,low,low
91,1,3.0,low,low,low
92,1,4.0,low,low,low
93,1,4.0,medium,medium,medium
94,1,3.0,low,low,low
95,1,5.0,low,low,low
96,1,4.0,low,low,low
97,1,4.0,medium,medium,medium
98,1,4.0,low,low,low
99,1,3.0,low,low,low
100,1,2.0,low,low,low
101,1,4.0,low,low,low
102,1,4.0,low,low,low
103,1,4.0,low,low,low
104,1,6.0,low,low,low
105,1,4.0,low,low,low
106,1,5.0,medium,medium,medium
107,1,5.0,medium,medium,medium
108,1,3.0,low,low,low
109,1,4.0,low,medium,medium
110,1,3.0,low,low,low
111,1,4.0,low,low,low
112,1,3.0,low,low,low
113,1,4.0,low,low,low
114,1,5.0,medium,medium,medium
115,1,3.0,low,low,low
116,1,1.0,low,low,low
117,1,4.0,low,low,low
118,1,5.0,low,low,low
119,1,4.0,low,low,low
120,1,3.0,low,low,low
121,1,4.0,low,low,low
122,1,5.0,low,low,low
123,1,4.0,medium,medium,medium
124,1,3.0,low,low,low
125,1,2.0,low,low,low
126,1,3.0,low,low,low
127,1,3.0,low,low,low
128,1,5.0,low,low,low
129,1,4.0,low,low,low
130,1,6.0,medium,medium,medium
131,1,5.0,low,low,medium
132,1,5.0,low,low,low
133,1,4.0,low,low,low
134,1,4.0,low,low,medium
135,1,3.0,low,low,low
136,1,3.0,low,low,low
137,1,3.0,low,low,low
138,1,3.0,low,low,low
139,1,3.0,low,low,low
140,1,4.0,medium,medium,medium
141,1,4.0,low,low,medium
142,1,4.0,low,low,low
143,1,3.0,low,low,low
144,1,3.0,low,medium,medium
145,1,4.0,low,low,low
146,1,2.0,low,low,low
147,1,5.0,low,low,low
148,1,3.0,low,low,low
149,1,3.0,low,low,low
150,1,3.0,low,low,low
151,1,3.0,low,low,low
152,1,3.0,low,low,medium
153,1,5.0,low,low,low
154,1,5.0,low,medium,medium
155,1,4.0,low,low,low
156,1,4.0,low,low,low
157,1,3.0,low,low,low
158,1,4.0,medium,medium,medium
159,1,6.0,low,low,low
160,1,4.0,medium,medium,medium
161,1,5.0,low,low,low
162,1,5.0,low,low,low
163,1,3.0,low,low,low
164,1,3.0,low,low,low
165,1,3.0,low,low,low
166,1,3.0,low,low,low
167,1,3.0,low,low,low
168,1,4.0,low,medium,medium
169,1,3.0,low,low,low
170,1,3.0,low,low,low
171,1,3.0,low,low,low
172,1,3.0,low,low,low
173,1,3.0,low,low,low
174,1,3.0,low,low,low
175,1,3.0,low,low,low
176,1,4.0,low,low,low
177,1,3.0,low,low,low
178,1,3.0,low,low,low
179,1,3.0,medium,medium,medium
180,1,4.0,low,low,low
181,1,4.0,low,low,low
182,1,3.0,low,low,low
183,1,5.0,medium,medium,low
184,1,3.0,low,low,low
185,1,3.0,low,low,low
186,1,4.0,low,low,low
187,1,1.0,low,low,low
188,1,4.0,low,low,low
189,1,2.0,low,low,low
190,1,5.0,medium,medium,medium
191,1,3.0,medium,medium,medium
192,1,4.0,low,low,low
193,1,4.0,low,medium,medium
194,1,4.0,low,low,low
195,1,2.0,low,low,low
196,1,4.0,low,low,low
197,1,5.0,low,low,low
198,1,5.0,low,low,low
199,1,4.0,low,low,low
200,1,4.0,low,low,low
201,1,4.0,medium,medium,medium
202,1,3.0,low,low,low
203,1,4.0,low,low,low
204,1,4.0,low,low,low
205,1,5.0,low,low,low
206,1,5.0,low,low,low
207,1,4.0,low,low,low
208,1,3.0,low,low,low
209,1,2.0,low,low,low
210,1,3.0,low,low,low
211,1,3.0,low,low,low
212,1,2.0,low,low,low
213,1,3.0,low,low,low
214,1,3.0,low,low,low
215,1,4.0,low,low,low
216,1,4.0,low,low,low
217,1,4.0,low,low,low
218,1,3.0,low,low,low
219,1,4.0,low,low,low
220,1,4.0,low,low,low
221,1,3.0,low,low,low
222,1,5.0,low,low,low
223,1,3.0,low,low,low
224,1,3.0,low,low,low
225,1,5.0,low,low,low
226,1,3.0,low,low,low
227,1,4.0,low,low,low
228,1,4.0,low,low,low
229,1,3.0,low,low,low
230,1,5.0,low,low,low
231,1,4.0,low,medium,medium
232,1,5.0,low,low,low
233,1,2.0,low,low,low
234,1,4.0,medium,medium,medium
235,1,3.0,low,low,low
236,1,2.0,low,low,low
237,1,3.0,low,low,low
238,1,4.0,medium,medium,medium
239,1,3.0,low,low,medium
240,1,3.0,low,low,low
241,1,3.0,low,low,low
242,1,3.0,low,low,low
243,1,4.0,low,low,low
244,1,3.0,low,low,low
245,1,3.0,medium,medium,medium
246,1,5.0,low,low,low
247,1,4.0,low,low,low
248,1,4.0,low,low,low
249,1,4.0,low,low,low
250,1,4.0,low,low,low
251,1,6.0,medium,medium,medium
252,1,3.0,low,low,low
253,1,2.0,low,low,low
254,1,4.0,low,low,low
255,1,4.0,medium,medium,medium
256,1,3.0,low,low,low
257,1,3.0,low,low,low
258,1,5.0,medium,medium,medium
259,1,4.0,low,low,low
260,1,3.0,low,low,low
261,1,4.0,low,low,medium
262,1,3.0,low,low,low
263,1,4.0,low,low,low
264,1,5.0,low,low,low
265,1,4.0,low,low,low
266,1,5.0,low,low,medium
267,1,4.0,low,low,medium
268,1,3.0,low,low,low
269,1,3.0,low,low,low
270,1,5.0,low,medium,medium
271,1,4.0,low,low,low
272,1,5.0,low,low,low
273,1,3.0,low,low,low
274,1,3.0,low,low,low
275,1,4.0,medium,medium,medium
276,1,3.0,low,low,low
277,1,3.0,low,low,low
278,1,4.0,medium,medium,medium
279,1,5.0,low,medium,medium
280,1,4.0,low,low,medium
281,1,3.0,low,low,low
282,1,5.0,low,medium,medium
283,1,3.0,low,low,low
284,1,4.0,low,medium,medium
285,1,4.0,low,low,low
286,1,1.0,low,low,low
287,1,5.0,low,low,medium
288,1,3.0,low,low,low
289,1,4.0,medium,low,low
290,1,5.0,medium,medium,medium
291,1,4.0,low,medium,medium
292,1,5.0,low,medium,medium
293,1,3.0,low,low,low
294,1,4.0,low,low,low
295,1,4.0,low,low,low
296,1,4.0,low,low,low
297,1,3.0,low,low,low
298,1,4.0,low,low,low
299,1,5.0,low,low,medium
300,1,3.0,low,low,low
301,1,3.0,low,low,low
302,1,6.0,low,medium,medium
303,1,4.0,low,low,low
304,1,5.0,low,low,low
305,1,5.0,low,low,low
306,1,5.0,low,medium,medium
307,1,4.0,low,low,low
308,1,2.0,low,low,low
309,1,3.0,low,low,low
310,1,4.0,low,low,low
311,1,3.0,low,low,low
312,1,3.0,low,low,low
314,1,3.0,low,low,low
315,1,4.0,medium,medium,medium
316,1,5.0,low,medium,medium
317,1,5.0,medium,medium,medium
318,1,3.0,low,low,low
319,1,3.0,low,low,low
320,1,3.0,low,low,low
321,1,5.0,low,low,medium
322,1,5.0,low,low,low
323,1,4.0,low,low,low
324,1,5.0,low,medium,medium
325,1,5.0,low,low,low
326,1,4.0,low,low,low
327,1,4.0,low,low,low
328,1,3.0,low,low,low
329,1,4.0,low,low,low
330,1,4.0,low,low,low
331,1,4.0,low,low,low
332,1,3.0,low,low,low
333,1,3.0,low,low,low
334,1,4.0,low,low,low
335,1,3.0,low,low,low
336,1,4.0,medium,medium,medium
337,1,4.0,low,low,medium
338,1,3.0,low,low,low
339,1,4.0,low,low,low
340,1,5.0,low,medium,medium
341,1,3.0,low,low,low
342,1,4.0,low,medium,medium
343,1,4.0,low,low,low
345,1,5.0,low,low,low
346,1,5.0,low,low,low
347,1,4.0,low,low,low
348,1,4.0,low,low,low
349,1,3.0,low,low,low
350,1,4.0,low,low,low
351,1,3.0,medium,medium,medium
352,1,2.0,low,low,low
353,1,2.0,low,low,low
354,1,3.0,low,low,low
355,1,4.0,low,low,low
356,1,5.0,medium,low,low
357,1,3.0,low,low,low
358,1,4.0,low,medium,medium
359,1,1.0,low,low,low
360,1,4.0,low,low,low
361,1,4.0,low,low,low
362,1,4.0,low,low,low
363,1,3.0,low,low,low
364,1,4.0,low,low,low
365,1,4.0,low,low,low
366,1,3.0,low,low,low
367,1,3.0,low,low,low
368,1,4.0,low,low,medium
369,1,3.0,low,low,low
370,1,6.0,low,medium,medium
371,1,3.0,low,low,low
372,1,5.0,low,low,low
373,1,4.0,low,low,low
374,1,4.0,low,low,low
375,1,1.0,low,low,low
376,1,3.0,low,low,low
377,1,4.0,low,low,low
378,1,4.0,medium,medium,medium
379,1,4.0,low,low,low
380,1,4.0,low,low,low
381,1,4.0,low,low,medium
382,1,3.0,low,low,low
383,1,4.0,low,low,low
384,1,4.0,low,low,low
385,1,6.0,medium,medium,medium
386,1,4.0,low,low,medium
387,1,4.0,low,low,low
388,1,4.0,medium,medium,medium
389,1,4.0,low,medium,medium
390,1,4.0,low,medium,medium
391,1,5.0,low,low,low
392,1,3.0,low,low,low
393,1,3.0,low,low,low
394,1,2.0,low,low,low
395,1,2.0,low,low,low
396,1,2.0,low,low,low
397,1,4.0,low,low,low
398,1,5.0,low,low,low
399,1,4.0,medium,medium,medium
400,1,4.0,low,low,low
401,1,2.0,low,low,low
402,1,4.0,low,low,low
403,1,4.0,low,low,medium
404,1,3.0,low,low,low
405,1,3.0,low,low,low
406,1,3.0,low,low,low
407,1,3.0,low,low,low
408,1,3.0,low,medium,medium
409,1,4.0,low,low,low
410,1,3.0,low,low,low
411,1,6.0,low,low,medium
412,1,5.0,low,low,low
413,1,4.0,low,low,low
414,1,3.0,low,low,low
415,1,3.0,low,low,low
416,1,3.0,low,low,low
417,1,3.0,low,low,low
418,1,5.0,low,medium,medium
419,1,3.0,low,low,low
420,1,4.0,low,low,low
421,1,3.0,medium,low,low
422,1,3.0,low,low,low
423,1,4.0,low,medium,medium
424,1,4.0,low,low,low
425,1,4.0,low,low,low
426,1,5.0,medium,medium,medium
427,1,4.0,low,low,low
428,1,4.0,low,low,low
429,1,4.0,low,medium,medium
430,1,5.0,low,low,low
431,1,4.0,low,medium,medium
432,1,4.0,low,low,low
433,1,5.0,low,low,low
434,1,3.0,low,low,low
435,1,4.0,low,low,low
436,1,3.0,low,low,medium
437,1,4.0,low,low,low
438,1,4.0,low,low,low
439,1,4.0,low,low,low
440,1,3.0,low,low,low
441,1,4.0,low,low,low
442,1,5.0,low,low,low
443,1,3.0,low,low,low
444,1,5.0,low,low,low
445,1,3.0,low,low,low
446,1,6.0,low,low,low
447,1,5.0,low,low,low
448,1,3.0,low,low,low
449,1,1.0,low,low,medium
450,1,4.0,low,medium,medium
451,1,4.0,low,low,low
452,1,3.0,low,low,low
453,1,5.0,low,low,low
454,1,4.0,low,low,low
455,1,1.0,low,low,low
456,1,3.0,low,low,low
457,1,5.0,low,low,low
458,1,3.0,low,low,low
459,1,3.0,low,low,low
460,1,4.0,low,low,low
461,1,4.0,low,low,low
462,1,3.0,low,low,medium
463,1,4.0,low,low,low
464,1,3.0,low,low,low
465,1,3.0,low,low,low
466,1,3.0,low,low,low
467,1,4.0,low,medium,medium
468,1,3.0,low,low,low
469,1,3.0,low,low,low
470,1,4.0,low,low,low
471,1,4.0,low,low,low
472,1,5.0,low,low,low
473,1,2.0,low,low,low
474,1,2.0,low,low,low
475,1,4.0,low,low,low
476,1,4.0,low,low,low
477,1,3.0,low,low,low
478,1,5.0,medium,medium,medium
479,1,5.0,low,low,low
480,1,4.0,low,low,low
481,1,4.0,low,low,low
482,1,4.0,low,medium,low
483,1,4.0,low,low,low
484,1,3.0,low,low,low
485,1,4.0,low,low,low
486,1,4.0,low,low,low
487,1,3.0,low,low,low
488,1,3.0,low,low,low
489,1,4.0,low,low,low
490,1,3.0,low,low,low
491,1,3.0,low,low,low
492,1,4.0,low,low,low
493,1,4.0,low,low,low
494,1,4.0,low,low,low
495,1,4.0,low,low,low
496,1,4.0,low,low,low
497,1,5.0,low,low,low
498,1,5.0,low,medium,medium
499,1,5.0,low,low,low
500,1,5.0,low,low,low
501,1,3.0,low,low,low
502,1,2.0,low,low,low
503,1,3.0,low,low,low
504,1,5.0,low,low,low
505,1,4.0,low,low,low
506,1,3.0,low,low,low
507,1,4.0,low,low,low
508,1,4.0,low,low,low
509,1,4.0,low,low,low
510,1,4.0,low,low,low
511,1,3.0,low,low,low
512,1,3.0,low,low,low
513,1,4.0,low,medium,low
514,1,3.0,low,low,low
515,1,3.0,low,low,low
516,1,5.0,medium,medium,medium
517,1,4.0,medium,medium,medium
518,1,4.0,low,low,low
519,1,5.0,low,medium,medium
520,1,3.0,low,low,low
521,1,2.0,low,low,low
522,1,4.0,low,low,low
523,1,5.0,medium,medium,medium
524,1,4.0,low,low,low
525,1,5.0,medium,medium,medium
526,1,4.0,low,low,low
527,1,3.0,low,low,low
528,1,3.0,low,low,low
529,1,2.0,low,low,low
530,1,4.0,low,low,low
531,1,4.0,low,low,low
532,1,3.0,low,low,low
533,1,4.0,low,low,low
534,1,4.0,low,low,low
535,1,3.0,low,low,low
536,1,4.0,low,low,low
537,1,3.0,low,low,low
538,1,3.0,low,low,low
539,1,4.0,low,low,low
540,1,5.0,low,low,low
541,1,4.0,low,low,low
542,1,5.0,medium,medium,medium
543,1,3.0,low,low,low
544,1,3.0,low,low,low
545,1,1.0,low,low,low
546,1,2.0,low,low,low
547,1,5.0,low,low,low
548,1,4.0,low,medium,low
549,1,4.0,low,low,low
550,1,5.0,low,low,low
551,1,3.0,low,low,low
552,1,3.0,low,low,low
553,1,3.0,low,low,low
554,1,4.0,low,low,low
555,1,4.0,low,low,low
556,1,4.0,low,low,low
557,1,5.0,low,low,low
558,1,4.0,medium,medium,medium
559,1,5.0,medium,medium,medium
560,1,4.0,low,low,low
561,1,3.0,low,low,low
562,1,4.0,low,low,low
563,1,3.0,low,low,low
564,1,5.0,low,low,low
565,1,4.0,medium,medium,medium
566,1,4.0,low,low,low
567,1,3.0,low,low,low
568,1,4.0,low,low,low
569,1,4.0,low,low,low
570,1,3.0,low,low,low
571,1,4.0,medium,medium,medium
572,1,5.0,medium,medium,medium
573,1,4.0,medium,medium,medium
574,1,3.0,low,low,low
575,1,4.0,low,low,low
576,1,4.0,low,low,low
577,1,2.0,low,low,low
578,1,3.0,low,low,low
579,1,4.0,low,low,low
580,1,3.0,low,low,low
581,1,4.0,low,low,medium
582,1,5.0,medium,medium,medium
583,1,3.0,low,low,low
584,1,4.0,low,low,low
585,1,5.0,low,low,low
586,1,4.0,low,low,low
587,1,3.0,low,low,low
588,1,4.0,low,low,low
589,1,2.0,low,low,low
590,1,2.0,low,low,low
591,1,3.0,low,low,low
592,1,3.0,low,low,low
593,1,4.0,low,low,low
594,1,3.0,low,low,low
595,1,4.0,low,low,low
596,1,2.0,low,low,low
597,1,4.0,low,low,low
598,1,3.0,low,low,low
599,1,5.0,medium,medium,medium
600,1,2.0,low,low,low
601,1,3.0,medium,medium,medium
602,1,3.0,low,low,low
603,1,4.0,low,low,low
604,1,4.0,low,low,low
605,1,3.0,low,low,low
606,1,4.0,low,low,low
607,1,4.0,low,low,low
608,1,2.0,low,low,low
609,1,3.0,low,low,low
610,1,2.0,low,low,low
611,1,4.0,low,low,low
612,1,4.0,low,low,low
613,1,4.0,low,low,low
614,1,3.0,low,low,low
615,1,5.0,low,low,low
616,1,4.0,low,low,low
617,1,4.0,low,low,low
618,1,4.0,low,low,low
619,1,6.0,low,low,medium
620,1,4.0,low,low,low
621,1,3.0,low,low,low
622,1,4.0,low,low,low
623,1,2.0,low,low,low
624,1,3.0,low,low,low
625,1,4.0,low,low,low
626,1,3.0,low,low,low
627,1,3.0,low,low,low
628,1,5.0,low,low,low
629,1,5.0,low,low,low
630,1,5.0,low,low,low
631,1,3.0,low,medium,low
632,1,4.0,low,low,low
633,1,3.0,low,medium,medium
634,1,2.0,low,low,low
635,1,4.0,low,low,low
636,1,4.0,low,low,low
637,1,4.0,low,low,low
638,1,4.0,low,medium,medium
639,1,3.0,low,low,low
640,1,4.0,medium,medium,medium
641,1,3.0,low,low,low
642,1,3.0,low,low,low
643,1,4.0,medium,medium,medium
644,1,4.0,medium,medium,medium
645,1,3.0,low,low,low
646,1,3.0,low,low,low
647,1,4.0,low,low,low
648,1,3.0,low,low,low
649,1,4.0,medium,medium,medium
650,1,5.0,low,low,low
651,1,3.0,low,low,low
652,1,3.0,low,low,low
653,1,4.0,low,low,low
654,1,4.0,low,low,low
655,1,3.0,low,low,low
656,1,3.0,low,low,low
657,1,4.0,low,low,low
658,1,4.0,low,low,low
659,1,4.0,low,low,low
660,1,5.0,low,low,low
661,1,3.0,low,low,low
662,1,3.0,low,low,low
663,1,4.0,low,low,low
664,1,3.0,low,low,low
665,1,2.0,low,low,low
666,1,4.0,low,low,low
667,1,3.0,low,low,low
668,1,4.0,low,low,low
669,1,3.0,low,low,low
670,1,3.0,low,low,low
671,1,3.0,low,low,low
672,1,4.0,medium,medium,medium
673,1,2.0,low,low,low
674,1,3.0,low,low,low
675,1,3.0,low,low,low
676,1,3.0,low,low,low
677,1,3.0,low,low,low
678,1,4.0,low,medium,medium
679,1,3.0,medium,medium,medium
680,1,3.0,low,low,low
681,1,4.0,low,low,low
682,1,4.0,low,low,low
683,1,4.0,low,low,low
684,1,5.0,low,low,low
685,1,5.0,medium,medium,medium
686,1,4.0,low,low,low
687,1,3.0,low,low,low
688,1,3.0,low,low,low
689,1,3.0,low,low,low
690,1,5.0,medium,medium,medium
691,1,3.0,low,low,low
692,1,2.0,low,low,low
693,1,3.0,low,low,low
694,1,4.0,low,low,medium
695,1,5.0,medium,medium,medium
696,1,4.0,low,low,low
697,1,4.0,low,low,low
698,1,3.0,low,low,low
699,1,5.0,low,low,low
700,1,3.0,low,low,low
701,1,3.0,low,low,low
702,1,2.0,low,low,low
703,1,4.0,low,low,low
704,1,3.0,low,low,low
705,1,3.0,low,low,low
706,1,4.0,low,medium,medium
707,1,3.0,low,low,low
708,1,4.0,low,low,low
709,1,4.0,low,low,low
710,1,4.0,low,low,low
711,1,4.0,medium,medium,medium
712,1,4.0,low,low,low
713,1,4.0,low,low,low
714,1,5.0,low,low,low
715,1,3.0,low,low,low
716,1,4.0,low,low,low
717,1,4.0,low,low,low
718,1,4.0,low,low,low
719,1,4.0,low,low,low
720,1,4.0,medium,medium,medium
721,1,4.0,low,low,low
722,1,5.0,low,low,low
723,1,5.0,medium,medium,medium
724,1,4.0,low,low,low
725,1,3.0,low,low,low
726,1,4.0,low,low,low
727,1,3.0,low,low,low
728,1,3.0,low,low,low
729,1,3.0,low,low,medium
730,1,5.0,medium,medium,medium
731,1,4.0,low,low,low
732,1,4.0,low,low,low
733,1,3.0,low,low,low
734,1,4.0,low,low,low
735,1,4.0,low,medium,medium
736,1,4.0,low,low,low
737,1,4.0,low,low,low
738,1,4.0,low,low,low
739,1,4.0,low,low,low
740,1,4.0,low,low,low
741,1,4.0,medium,medium,medium
742,1,4.0,low,low,low
743,1,5.0,medium,medium,medium
744,1,3.0,low,low,low
745,1,4.0,medium,medium,medium
746,1,4.0,low,low,low
747,1,3.0,low,low,low
748,1,4.0,low,low,low
749,1,4.0,medium,medium,medium
750,1,3.0,low,low,medium
751,1,3.0,low,low,low
752,1,3.0,low,low,low
753,1,3.0,low,low,low
754,1,4.0,low,low,low
755,1,5.0,low,low,medium
756,1,4.0,low,low,low
757,1,3.0,low,low,low
758,1,3.0,low,low,low
759,1,5.0,low,low,low
760,1,4.0,low,low,low
761,1,3.0,low,low,low
762,1,5.0,medium,medium,medium
763,1,3.0,medium,medium,medium
764,1,4.0,low,low,low
765,1,4.0,low,low,low
766,1,3.0,low,low,low
767,1,4.0,low,low,low
768,1,5.0,low,low,low
769,1,6.0,medium,medium,medium
770,1,4.0,low,low,medium
771,1,4.0,low,low,low
772,1,4.0,low,low,low
773,1,3.0,low,low,low
774,1,4.0,medium,medium,medium
775,1,3.0,low,low,low
776,1,2.0,medium,medium,medium
777,1,4.0,low,low,low
778,1,4.0,low,low,low
779,1,4.0,medium,medium,medium
780,1,4.0,low,low,low
781,1,4.0,low,low,low
782,1,5.0,low,low,low
783,1,4.0,low,low,low
784,1,4.0,medium,medium,medium
785,1,5.0,low,medium,medium
786,1,3.0,low,low,low
787,1,4.0,medium,medium,medium
788,1,3.0,low,low,low
789,1,2.0,low,low,low
790,1,3.0,low,low,low
791,1,3.0,low,low,low
792,1,3.0,low,low,low
793,1,5.0,medium,medium,medium
794,1,4.0,low,low,low
795,1,4.0,medium,medium,medium
796,1,3.0,low,low,low
797,1,4.0,medium,medium,medium
798,1,3.0,low,low,low
799,1,3.0,low,low,low
800,1,5.0,medium,medium,medium
801,1,3.0,low,low,low
802,1,4.0,low,low,low
803,1,3.0,low,low,low
804,1,3.0,low,low,low
805,1,5.0,low,low,low
806,1,2.0,low,low,low
807,1,4.0,low,low,low
808,1,2.0,low,low,low
809,1,3.0,low,low,low
810,1,3.0,low,medium,medium
811,1,3.0,low,low,low
812,1,3.0,low,low,low
813,1,3.0,low,low,low
814,1,4.0,low,low,low
815,1,4.0,low,low,low
816,1,4.0,low,low,low
817,1,5.0,low,medium,medium
818,1,3.0,low,low,low
819,1,3.0,low,low,low
820,1,3.0,low,low,low
821,1,4.0,low,low,low
822,1,3.0,low,low,medium
823,1,4.0,low,low,low
824,1,3.0,low,low,low
825,1,4.0,low,low,low
826,1,4.0,low,low,low
827,1,2.0,low,low,low
828,1,5.0,medium,medium,medium
829,1,3.0,low,low,low
830,1,4.0,low,low,low
831,1,4.0,low,low,low
832,1,1.0,low,low,low
833,1,4.0,medium,medium,medium
834,1,5.0,low,low,low
835,1,4.0,low,low,low
836,1,3.0,low,low,low
837,1,3.0,low,low,low
838,1,1.0,low,low,low
839,1,4.0,low,medium,medium
840,1,4.0,low,medium,medium
841,1,2.0,low,low,low
842,1,3.0,low,low,low
843,1,3.0,low,low,low
844,1,4.0,low,low,low
845,1,4.0,low,low,low
846,1,4.0,low,low,low
847,1,5.0,low,low,low
848,1,2.0,low,low,low
849,1,3.0,low,low,low
850,1,4.0,low,low,medium
851,1,4.0,low,low,low
852,1,4.0,low,low,low
853,1,3.0,low,low,low
854,1,4.0,low,low,low
855,1,3.0,medium,low,low
856,1,4.0,low,low,low
857,1,3.0,low,low,low
858,1,3.0,low,low,low
859,1,6.0,medium,medium,medium
860,1,4.0,low,medium,medium
861,1,3.0,low,medium,low
862,1,4.0,medium,low,medium
863,1,3.0,low,low,low
864,1,4.0,low,low,low
865,1,3.0,low,low,medium
866,1,4.0,low,low,low
867,1,3.0,low,low,low
868,1,5.0,low,medium,low
869,1,2.0,low,low,low
870,1,3.0,low,low,low
871,1,4.0,low,low,low
872,1,4.0,medium,medium,medium
873,1,3.0,low,low,low
874,1,5.0,low,low,low
875,1,4.0,low,low,low
876,1,3.0,low,low,low
877,1,4.0,low,low,low
878,1,3.0,low,medium,medium
879,1,4.0,low,low,low
880,1,4.0,low,low,low
881,1,4.0,low,low,low
882,1,5.0,low,low,low
883,1,3.0,low,low,low
884,1,3.0,low,low,low
885,1,4.0,low,low,low
886,1,4.0,low,low,low
887,1,4.0,medium,medium,medium
888,1,4.0,low,low,low
889,1,3.0,low,low,low
890,1,4.0,medium,medium,medium
891,1,4.0,low,low,low
892,1,4.0,medium,medium,medium
893,1,2.0,low,low,low
894,1,4.0,low,low,low
895,1,4.0,low,low,low
896,1,3.0,low,medium,medium
897,1,5.0,low,low,low
898,1,4.0,low,low,low
899,1,4.0,low,low,low
900,1,4.0,medium,medium,medium
901,1,3.0,low,low,low
902,1,4.0,low,low,low
903,1,3.0,low,low,low
904,1,3.0,low,low,low
905,1,3.0,low,low,low
906,1,5.0,low,low,low
907,1,4.0,medium,medium,medium
908,1,4.0,low,low,low
909,1,4.0,low,low,low
910,1,3.0,low,low,low
911,1,3.0,low,low,low
912,1,4.0,low,low,low
913,1,4.0,low,low,low
914,1,3.0,low,low,low
915,1,4.0,low,low,low
916,1,4.0,low,low,low
917,1,4.0,low,low,low
918,1,4.0,medium,medium,medium
919,1,4.0,low,low,low
920,1,4.0,low,low,low
921,1,4.0,medium,medium,medium
922,1,3.0,low,low,low
923,1,3.0,low,low,low
924,1,3.0,low,low,low
925,1,2.0,low,low,low
926,1,2.0,low,low,low
927,1,2.0,low,low,low
928,1,4.0,low,low,low
929,1,4.0,low,medium,medium
930,1,3.0,medium,low,medium
931,1,3.0,medium,medium,medium
932,1,5.0,low,low,low
933,1,4.0,low,low,low
934,1,4.0,medium,medium,medium
935,1,3.0,low,low,low
936,1,3.0,low,low,low
937,1,4.0,low,low,low
938,1,4.0,low,low,low
939,1,3.0,low,low,low
940,1,3.0,low,low,low
941,1,6.0,low,low,low
942,1,4.0,low,low,low
943,1,4.0,low,low,low
944,1,3.0,low,low,low
945,1,5.0,low,low,low
946,1,3.0,low,low,low
947,1,4.0,low,low,low
948,1,5.0,low,low,low
949,1,3.0,low,low,low
950,1,4.0,medium,medium,medium
951,1,5.0,low,low,low
952,1,4.0,medium,medium,medium
953,1,6.0,low,low,low
954,1,4.0,low,low,low
955,1,3.0,low,low,low
956,1,3.0,low,low,low
957,1,5.0,low,low,low
958,1,3.0,low,low,low
959,1,5.0,low,low,medium
960,1,2.0,low,low,low
961,1,3.0,low,low,low
962,1,5.0,medium,medium,medium
963,1,3.0,low,low,low
964,1,6.0,low,low,low
965,1,3.0,low,low,low
