essay_id,prompt_id,content_score,question1,question2,question3
418,1,6.0,medium,medium,medium
419,1,3.0,medium,low,medium
420,1,5.0,medium,low,medium
421,1,3.0,medium,medium,medium
422,1,3.0,medium,low,low
423,1,4.0,medium,medium,medium
424,1,5.0,medium,medium,medium
425,1,5.0,medium,medium,medium
426,1,5.0,medium,medium,medium
427,1,5.0,medium,medium,medium
428,1,3.0,medium,medium,medium
429,1,4.0,medium,medium,medium
430,1,5.0,medium,low,medium
431,1,4.0,medium,medium,medium
432,1,4.0,medium,low,medium
433,1,5.0,medium,medium,medium
434,1,3.0,medium,medium,medium
435,1,4.0,medium,medium,medium
436,1,3.0,medium,medium,medium
437,1,4.0,medium,medium,medium
438,1,4.0,medium,low,medium
439,1,4.0,medium,medium,medium
440,1,3.0,medium,low,medium
441,1,4.0,medium,medium,medium
442,1,5.0,medium,medium,medium
443,1,3.0,medium,low,medium
444,1,5.0,medium,medium,medium
445,1,3.0,low,low,low
446,1,6.0,medium,medium,medium
447,1,5.0,medium,medium,medium
448,1,4.0,medium,low,medium
449,1,1.0,low,low,low
450,1,4.0,medium,medium,medium
451,1,4.0,medium,low,medium
452,1,3.0,low,low,low
453,1,5.0,medium,low,medium
454,1,4.0,medium,medium,medium
455,1,2.0,low,low,low
456,1,3.0,medium,low,medium
457,1,5.0,medium,medium,medium
458,1,3.0,medium,medium,medium
459,1,3.0,medium,medium,medium
460,1,4.0,medium,medium,medium
461,1,4.0,medium,medium,medium
462,1,3.0,medium,medium,medium
463,1,4.0,medium,medium,medium
464,1,2.0,low,low,low
465,1,4.0,medium,low,medium
466,1,4.0,medium,medium,medium
467,1,4.0,medium,medium,medium
468,1,3.0,medium,low,medium
469,1,4.0,medium,medium,medium
470,1,5.0,medium,medium,medium
471,1,4.0,medium,low,medium
472,1,5.0,medium,medium,medium
473,1,3.0,medium,low,medium
474,1,2.0,low,low,low
475,1,5.0,medium,medium,medium
476,1,4.0,medium,medium,medium
477,1,2.0,low,low,medium
478,1,5.0,medium,medium,medium
479,1,6.0,medium,medium,medium
480,1,4.0,medium,low,medium
481,1,4.0,medium,medium,medium
482,1,4.0,medium,medium,medium
483,1,4.0,medium,medium,medium
484,1,3.0,medium,low,medium
485,1,4.0,medium,medium,medium
486,1,4.0,medium,medium,medium
487,1,3.0,low,low,low
488,1,3.0,medium,low,medium
489,1,5.0,medium,medium,medium
490,1,4.0,medium,medium,medium
491,1,3.0,medium,medium,medium
492,1,3.0,medium,low,low
493,1,4.0,medium,medium,medium
494,1,4.0,medium,medium,medium
495,1,5.0,medium,medium,medium
496,1,5.0,medium,medium,medium
497,1,5.0,medium,medium,medium
498,1,6.0,medium,medium,medium
499,1,5.0,medium,medium,medium
500,1,5.0,medium,medium,medium
501,1,3.0,medium,low,medium
502,1,2.0,low,low,low
503,1,4.0,medium,low,medium
504,1,6.0,medium,medium,medium
505,1,4.0,medium,medium,medium
506,1,3.0,medium,medium,medium
507,1,4.0,medium,medium,medium
508,1,5.0,medium,medium,medium
509,1,4.0,medium,medium,medium
510,1,3.0,medium,low,medium
511,1,3.0,medium,low,medium
512,1,3.0,medium,low,medium
513,1,4.0,medium,medium,medium
514,1,3.0,medium,low,medium
515,1,3.0,medium,low,medium
516,1,4.0,medium,medium,medium
517,1,4.0,medium,medium,medium
518,1,4.0,medium,low,medium
519,1,5.0,medium,medium,medium
520,1,3.0,medium,low,medium
521,1,2.0,medium,low,medium
522,1,4.0,medium,medium,medium
523,1,5.0,medium,medium,medium
524,1,5.0,medium,medium,medium
525,1,5.0,medium,medium,medium
526,1,4.0,low,low,low
527,1,3.0,medium,medium,medium
528,1,4.0,medium,medium,medium
529,1,2.0,medium,low,medium
530,1,5.0,medium,medium,medium
531,1,4.0,medium,medium,medium
532,1,3.0,medium,medium,medium
533,1,4.0,medium,medium,medium
534,1,5.0,medium,medium,medium
535,1,3.0,medium,low,medium
536,1,3.0,medium,low,medium
537,1,4.0,medium,medium,medium
538,1,3.0,medium,medium,medium
539,1,3.0,medium,medium,medium
540,1,5.0,medium,medium,medium
541,1,5.0,medium,medium,medium
542,1,6.0,medium,medium,medium
543,1,3.0,medium,medium,medium
544,1,3.0,medium,low,medium
545,1,1.0,low,low,low
546,1,2.0,medium,low,medium
547,1,5.0,medium,low,medium
548,1,4.0,medium,medium,medium
549,1,5.0,medium,low,medium
550,1,4.0,medium,medium,medium
551,1,4.0,medium,low,medium
552,1,3.0,medium,low,medium
553,1,3.0,medium,low,medium
554,1,4.0,medium,medium,medium
555,1,4.0,medium,medium,medium
556,1,5.0,medium,medium,medium
557,1,5.0,medium,medium,medium
558,1,5.0,high,medium,medium
559,1,6.0,high,medium,high
560,1,3.0,medium,medium,medium
561,1,3.0,medium,low,medium
562,1,4.0,medium,medium,medium
563,1,3.0,medium,medium,medium
564,1,5.0,medium,medium,medium
565,1,4.0,medium,medium,medium
566,1,4.0,medium,low,medium
567,1,3.0,medium,low,medium
568,1,4.0,medium,medium,medium
569,1,4.0,medium,medium,medium
570,1,3.0,low,low,low
571,1,4.0,medium,medium,medium
572,1,5.0,medium,medium,medium
573,1,4.0,medium,medium,medium
574,1,3.0,medium,low,low
575,1,4.0,medium,medium,medium
576,1,4.0,medium,medium,medium
577,1,3.0,medium,low,medium
578,1,3.0,medium,low,medium
579,1,4.0,medium,medium,medium
580,1,3.0,low,low,medium
581,1,4.0,medium,medium,medium
582,1,5.0,medium,medium,medium
583,1,4.0,medium,medium,medium
584,1,4.0,low,low,low
585,1,5.0,medium,medium,medium
586,1,4.0,medium,medium,medium
587,1,3.0,medium,low,medium
588,1,4.0,medium,medium,medium
589,1,2.0,medium,low,low
590,1,3.0,medium,low,medium
591,1,3.0,medium,medium,medium
592,1,4.0,medium,low,medium
593,1,4.0,medium,medium,medium
594,1,3.0,medium,low,medium
595,1,4.0,medium,medium,medium
596,1,2.0,medium,low,medium
597,1,5.0,medium,medium,medium
598,1,3.0,medium,medium,medium
599,1,5.0,medium,medium,medium
600,1,3.0,medium,low,low
601,1,3.0,medium,medium,medium
602,1,3.0,low,low,medium
603,1,4.0,medium,low,medium
604,1,5.0,medium,medium,medium
605,1,3.0,medium,low,medium
606,1,4.0,medium,medium,medium
607,1,4.0,medium,medium,medium
608,1,2.0,low,low,medium
609,1,3.0,medium,medium,medium
610,1,3.0,medium,medium,medium
611,1,4.0,low,low,low
612,1,4.0,medium,medium,medium
613,1,4.0,medium,medium,medium
614,1,4.0,low,low,low
615,1,5.0,medium,medium,medium
616,1,4.0,medium,low,medium
617,1,5.0,medium,medium,medium
618,1,5.0,medium,medium,medium
619,1,6.0,medium,medium,medium
620,1,4.0,medium,low,medium
621,1,3.0,low,low,low
622,1,5.0,medium,medium,medium
623,1,3.0,medium,low,medium
624,1,3.0,medium,low,medium
625,1,4.0,medium,medium,medium
626,1,3.0,medium,low,medium
627,1,3.0,low,low,low
628,1,5.0,medium,low,medium
629,1,5.0,medium,low,medium
630,1,4.0,medium,medium,medium
631,1,4.0,medium,low,medium
632,1,4.0,medium,medium,medium
633,1,4.0,medium,medium,medium
634,1,2.0,low,low,low
635,1,4.0,medium,medium,medium
636,1,4.0,medium,medium,medium
637,1,4.0,low,low,low
638,1,4.0,medium,medium,medium
639,1,3.0,medium,low,medium
640,1,4.0,medium,medium,medium
641,1,4.0,medium,low,medium
642,1,4.0,medium,medium,medium
643,1,5.0,medium,medium,high
644,1,4.0,medium,medium,medium
645,1,3.0,low,low,low
646,1,3.0,medium,low,medium
647,1,4.0,medium,medium,medium
648,1,3.0,low,low,low
649,1,4.0,medium,medium,medium
650,1,6.0,medium,medium,medium
651,1,4.0,medium,medium,medium
652,1,3.0,medium,low,medium
653,1,4.0,medium,medium,medium
654,1,4.0,medium,medium,medium
655,1,3.0,medium,low,medium
656,1,4.0,medium,medium,medium
657,1,4.0,medium,medium,medium
658,1,4.0,medium,medium,medium
659,1,4.0,medium,medium,medium
660,1,6.0,medium,medium,medium
661,1,4.0,medium,medium,medium
662,1,3.0,medium,medium,medium
663,1,4.0,medium,medium,medium
664,1,3.0,medium,medium,medium
665,1,2.0,low,low,low
666,1,4.0,medium,medium,medium
667,1,3.0,medium,medium,medium
668,1,4.0,medium,medium,medium
669,1,4.0,medium,low,low
670,1,3.0,medium,medium,medium
671,1,3.0,medium,low,medium
672,1,4.0,medium,medium,medium
673,1,2.0,medium,low,low
674,1,3.0,medium,low,medium
675,1,3.0,medium,low,medium
676,1,3.0,medium,low,low
677,1,3.0,medium,low,low
678,1,4.0,medium,medium,medium
679,1,3.0,medium,medium,medium
680,1,4.0,medium,medium,medium
681,1,4.0,medium,low,medium
682,1,4.0,medium,medium,medium
683,1,4.0,medium,medium,medium
684,1,4.0,medium,low,medium
685,1,5.0,medium,medium,medium
686,1,4.0,medium,medium,medium
687,1,3.0,medium,medium,medium
688,1,4.0,medium,medium,medium
689,1,4.0,medium,medium,medium
690,1,4.0,medium,medium,medium
691,1,3.0,medium,low,medium
692,1,3.0,low,low,low
693,1,4.0,low,low,low
694,1,4.0,medium,medium,medium
695,1,5.0,medium,medium,medium
696,1,3.0,medium,medium,medium
697,1,4.0,medium,medium,medium
698,1,3.0,low,low,low
699,1,5.0,medium,medium,medium
700,1,3.0,medium,low,medium
701,1,4.0,medium,medium,medium
702,1,2.0,medium,low,medium
703,1,4.0,medium,medium,medium
704,1,3.0,medium,low,low
705,1,4.0,medium,low,medium
706,1,5.0,medium,medium,medium
707,1,3.0,medium,low,low
708,1,4.0,medium,medium,medium
709,1,5.0,medium,low,medium
710,1,4.0,medium,medium,medium
711,1,5.0,medium,medium,medium
712,1,3.0,medium,medium,medium
713,1,4.0,medium,medium,medium
714,1,5.0,medium,medium,medium
715,1,3.0,medium,low,medium
716,1,4.0,medium,medium,medium
717,1,4.0,medium,low,medium
718,1,5.0,medium,medium,medium
719,1,4.0,medium,low,medium
720,1,4.0,medium,medium,medium
721,1,4.0,medium,medium,medium
722,1,6.0,medium,medium,medium
723,1,5.0,medium,medium,medium
724,1,5.0,medium,medium,medium
725,1,3.0,medium,low,medium
726,1,4.0,medium,medium,medium
727,1,3.0,medium,medium,medium
728,1,4.0,medium,low,medium
729,1,3.0,medium,medium,medium
730,1,5.0,medium,medium,medium
731,1,4.0,medium,medium,medium
732,1,4.0,medium,medium,medium
733,1,3.0,low,low,low
734,1,4.0,medium,medium,medium
735,1,4.0,medium,medium,medium
736,1,4.0,medium,medium,medium
737,1,4.0,medium,medium,medium
738,1,3.0,medium,medium,medium
739,1,4.0,medium,low,medium
740,1,4.0,medium,low,medium
741,1,3.0,medium,medium,medium
742,1,4.0,medium,medium,medium
743,1,5.0,high,medium,medium
744,1,4.0,medium,medium,medium
745,1,3.0,medium,medium,medium
746,1,3.0,medium,low,low
747,1,3.0,medium,low,medium
748,1,4.0,medium,medium,medium
749,1,5.0,medium,medium,medium
750,1,3.0,medium,medium,medium
751,1,3.0,medium,low,low
752,1,3.0,medium,low,medium
753,1,3.0,medium,low,medium
754,1,5.0,medium,medium,medium
755,1,5.0,medium,medium,medium
756,1,4.0,low,low,low
757,1,4.0,medium,medium,medium
758,1,3.0,medium,low,low
759,1,5.0,medium,medium,medium
760,1,4.0,medium,medium,medium
761,1,3.0,low,low,low
762,1,5.0,medium,medium,medium
763,1,3.0,medium,medium,medium
764,1,4.0,medium,medium,medium
765,1,4.0,medium,low,medium
766,1,3.0,medium,low,low
767,1,4.0,low,low,low
768,1,5.0,medium,medium,medium
769,1,6.0,medium,medium,medium
770,1,5.0,medium,medium,medium
771,1,4.0,medium,medium,medium
772,1,4.0,medium,medium,medium
773,1,4.0,low,low,low
774,1,5.0,medium,medium,medium
775,1,3.0,medium,low,medium
776,1,3.0,medium,medium,medium
777,1,4.0,medium,medium,medium
778,1,5.0,medium,medium,medium
779,1,4.0,medium,medium,medium
780,1,5.0,medium,medium,medium
781,1,4.0,medium,medium,medium
782,1,5.0,medium,medium,medium
783,1,3.0,medium,medium,medium
784,1,4.0,medium,medium,medium
785,1,5.0,medium,medium,medium
786,1,3.0,medium,medium,medium
787,1,4.0,medium,medium,medium
788,1,3.0,medium,low,medium
789,1,2.0,low,low,low
790,1,3.0,medium,medium,medium
791,1,3.0,low,low,low
792,1,3.0,medium,low,medium
793,1,5.0,medium,medium,medium
794,1,4.0,medium,medium,medium
795,1,4.0,medium,medium,medium
796,1,4.0,medium,medium,medium
797,1,4.0,medium,medium,medium
798,1,4.0,medium,medium,medium
799,1,3.0,medium,low,medium
800,1,5.0,medium,medium,medium
801,1,3.0,medium,medium,medium
802,1,4.0,medium,medium,medium
803,1,3.0,medium,low,medium
804,1,3.0,medium,medium,medium
805,1,5.0,medium,medium,medium
806,1,2.0,medium,low,low
807,1,4.0,medium,medium,medium
808,1,2.0,medium,low,medium
809,1,3.0,medium,high,medium
810,1,3.0,medium,medium,medium
811,1,4.0,medium,medium,medium
812,1,3.0,medium,medium,medium
813,1,3.0,medium,low,medium
814,1,4.0,medium,medium,medium
815,1,4.0,medium,medium,medium
816,1,4.0,medium,low,medium
817,1,5.0,medium,medium,medium
818,1,3.0,medium,low,medium
819,1,3.0,medium,low,low
820,1,3.0,low,low,low
821,1,4.0,medium,low,medium
822,1,4.0,medium,medium,medium
823,1,3.0,medium,low,medium
824,1,3.0,medium,low,medium
825,1,3.0,low,low,low
826,1,5.0,medium,medium,medium
827,1,2.0,medium,low,low
828,1,5.0,medium,medium,medium
829,1,3.0,medium,low,low
830,1,4.0,medium,medium,medium
831,1,3.0,medium,medium,medium
832,1,1.0,low,low,low
833,1,4.0,medium,medium,medium
834,1,5.0,medium,medium,medium
835,1,4.0,medium,medium,medium
836,1,3.0,medium,medium,medium
837,1,3.0,medium,low,medium
838,1,2.0,medium,low,low
839,1,4.0,medium,medium,medium
840,1,4.0,medium,medium,medium
841,1,2.0,medium,low,medium
842,1,3.0,medium,medium,medium
843,1,3.0,medium,medium,medium
844,1,4.0,low,low,low
845,1,4.0,medium,medium,medium
846,1,3.0,medium,medium,medium
847,1,5.0,medium,medium,medium
848,1,2.0,low,low,low
849,1,3.0,low,low,low
850,1,6.0,medium,medium,medium
