essay_id,prompt_id,conventions_score,question1,question2,question3,question4,question5
74,1,4,medium,medium,medium,medium,medium
75,1,4,medium,medium,medium,medium,medium
76,1,3,medium,low,medium,medium,low
77,1,4,medium,medium,medium,medium,medium
78,1,4,medium,low,low,medium,low
79,1,4,low,low,low,low,low
80,1,3,medium,low,medium,medium,low
81,1,3,medium,medium,medium,medium,medium
82,1,4,medium,medium,medium,medium,medium
83,1,2,medium,medium,medium,medium,medium
84,1,2,low,low,low,low,low
85,1,4,medium,medium,medium,medium,medium
86,1,4,medium,medium,medium,medium,medium
87,1,4,medium,low,medium,medium,low
88,1,5,medium,low,medium,medium,medium
89,1,3,low,low,low,medium,low
90,1,3,medium,low,low,medium,low
91,1,3,medium,low,medium,medium,medium
92,1,4,medium,low,medium,medium,medium
93,1,4,medium,medium,medium,medium,medium
94,1,3,medium,low,medium,medium,low
95,1,4,medium,low,medium,medium,medium
96,1,3,medium,medium,medium,medium,medium
97,1,3,medium,medium,medium,medium,medium
98,1,4,medium,medium,medium,medium,medium
99,1,3,low,low,low,low,low
100,1,2,low,low,low,low,low
101,1,4,medium,medium,medium,medium,medium
102,1,5,medium,medium,medium,medium,medium
103,1,5,medium,medium,medium,medium,medium
104,1,5,medium,medium,medium,medium,medium
105,1,4,medium,low,low,low,low
106,1,5,medium,medium,medium,medium,medium
107,1,4,medium,medium,medium,medium,medium
108,1,3,medium,low,medium,medium,low
109,1,4,medium,medium,medium,medium,medium
110,1,4,medium,medium,medium,medium,medium
111,1,5,medium,low,medium,medium,medium
112,1,4,medium,low,low,medium,low
113,1,3,medium,medium,medium,medium,medium
114,1,5,medium,medium,medium,medium,medium
115,1,3,medium,low,low,low,low
116,1,2,medium,medium,medium,medium,low
117,1,4,medium,medium,medium,medium,medium
118,1,5,medium,low,low,medium,medium
119,1,4,medium,low,medium,medium,medium
120,1,3,medium,low,medium,medium,low
121,1,4,low,low,low,low,low
122,1,4,medium,low,medium,medium,low
123,1,4,medium,medium,medium,medium,medium
124,1,3,medium,medium,medium,medium,medium
125,1,1,low,low,low,low,low
126,1,3,medium,low,low,medium,low
127,1,4,medium,medium,medium,medium,medium
128,1,4,medium,medium,medium,medium,medium
129,1,4,medium,low,medium,medium,low
130,1,6,medium,medium,medium,medium,medium
131,1,5,medium,medium,medium,medium,medium
132,1,5,medium,low,medium,medium,low
133,1,4,low,low,low,low,low
134,1,4,medium,medium,medium,medium,medium
135,1,3,medium,medium,medium,medium,medium
136,1,3,low,low,low,low,low
137,1,3,medium,medium,medium,medium,medium
138,1,4,medium,medium,medium,medium,medium
139,1,4,medium,medium,medium,medium,medium
140,1,5,medium,medium,medium,medium,medium
141,1,4,medium,medium,medium,medium,medium
142,1,4,medium,low,low,medium,low
143,1,2,low,low,low,low,low
144,1,3,medium,medium,medium,medium,medium
145,1,5,medium,medium,medium,medium,medium
146,1,2,low,low,low,low,low
147,1,5,medium,low,medium,medium,medium
148,1,4,medium,low,medium,medium,low
149,1,3,low,low,low,low,low
150,1,4,medium,low,low,medium,low
151,1,3,medium,medium,medium,medium,medium
152,1,4,medium,medium,medium,medium,medium
153,1,5,medium,low,medium,medium,medium
154,1,5,medium,medium,medium,medium,medium
155,1,4,medium,low,medium,medium,low
156,1,4,medium,medium,medium,medium,medium
157,1,3,medium,low,low,low,low
158,1,5,medium,medium,medium,medium,medium
159,1,5,medium,low,medium,medium,medium
160,1,4,medium,medium,medium,medium,medium
161,1,4,medium,low,medium,medium,medium
162,1,6,medium,low,medium,medium,medium
163,1,3,low,low,low,low,low
164,1,4,medium,medium,medium,medium,medium
165,1,3,medium,low,medium,medium,low
166,1,3,medium,low,low,medium,medium
167,1,3,medium,medium,medium,medium,medium
168,1,5,medium,medium,medium,medium,medium
169,1,4,medium,medium,medium,medium,medium
170,1,4,medium,low,medium,medium,low
171,1,3,medium,medium,medium,medium,low
172,1,3,medium,medium,medium,medium,low
173,1,3,medium,low,medium,medium,low
174,1,3,medium,low,low,medium,low
175,1,3,medium,low,low,low,low
176,1,4,medium,medium,medium,medium,medium
177,1,3,medium,medium,medium,medium,medium
178,1,3,low,low,low,low,low
179,1,4,medium,medium,medium,medium,medium
180,1,4,medium,low,low,low,low
181,1,4,medium,medium,medium,medium,medium
182,1,3,medium,medium,medium,medium,low
183,1,4,medium,medium,medium,medium,medium
184,1,3,medium,low,low,medium,low
185,1,3,medium,low,medium,medium,low
186,1,3,medium,medium,medium,medium,low
187,1,1,medium,medium,medium,medium,low
188,1,4,medium,medium,medium,medium,medium
189,1,2,low,low,low,low,low
190,1,5,medium,medium,medium,medium,medium
191,1,4,medium,medium,medium,medium,medium
192,1,4,medium,low,medium,medium,low
193,1,5,medium,medium,medium,medium,medium
194,1,4,medium,low,medium,medium,medium
195,1,2,low,low,low,low,low
196,1,3,medium,medium,medium,medium,medium
197,1,5,medium,low,medium,medium,medium
198,1,4,medium,low,medium,medium,medium
199,1,4,medium,low,low,low,low
200,1,3,medium,low,medium,medium,medium
201,1,5,medium,medium,medium,medium,medium
202,1,3,medium,medium,medium,medium,medium
203,1,4,medium,medium,medium,medium,medium
204,1,4,medium,low,low,medium,low
205,1,4,medium,low,medium,medium,low
206,1,5,medium,medium,medium,medium,medium
207,1,4,medium,medium,medium,medium,medium
208,1,3,medium,medium,medium,medium,medium
209,1,2,low,low,low,low,low
210,1,3,medium,medium,medium,medium,low
211,1,3,medium,medium,medium,medium,medium
212,1,3,medium,medium,medium,medium,low
213,1,3,medium,medium,low,medium,low
214,1,3,low,low,low,low,low
215,1,4,medium,low,medium,medium,medium
216,1,4,low,low,low,low,low
217,1,4,medium,low,medium,medium,medium
218,1,3,low,low,low,low,low
219,1,5,medium,low,medium,medium,medium
220,1,4,medium,low,medium,low,low
221,1,3,medium,medium,medium,medium,medium
222,1,6,medium,low,medium,medium,medium
223,1,3,medium,medium,medium,medium,low
224,1,4,medium,low,medium,medium,low
225,1,5,medium,low,medium,medium,medium
226,1,3,medium,low,low,medium,low
227,1,5,medium,medium,medium,medium,medium
228,1,3,medium,low,medium,medium,low
229,1,3,medium,medium,medium,medium,low
230,1,5,medium,low,medium,medium,medium
231,1,5,medium,medium,medium,medium,medium
232,1,5,medium,low,medium,medium,medium
233,1,2,low,low,low,low,low
234,1,4,medium,medium,medium,medium,medium
235,1,3,medium,medium,medium,medium,low
236,1,2,medium,low,medium,medium,low
237,1,3,low,low,low,medium,low
238,1,3,medium,medium,medium,medium,medium
239,1,3,medium,medium,medium,medium,medium
240,1,3,medium,low,medium,medium,low
241,1,3,low,low,low,low,low
242,1,3,medium,medium,medium,medium,medium
243,1,4,medium,low,medium,medium,low
244,1,2,medium,medium,medium,medium,low
245,1,4,medium,medium,medium,medium,medium
246,1,4,medium,medium,medium,medium,medium
247,1,4,medium,low,medium,medium,medium
248,1,4,medium,medium,medium,medium,medium
249,1,4,medium,medium,medium,medium,medium
250,1,4,low,low,low,medium,low
251,1,5,medium,medium,medium,medium,medium
252,1,3,medium,low,medium,medium,low
253,1,2,low,low,low,low,low
254,1,4,medium,low,medium,medium,low
255,1,4,medium,medium,medium,medium,medium
256,1,4,medium,low,low,medium,low
257,1,3,low,low,low,low,low
258,1,5,medium,medium,medium,medium,medium
259,1,4,medium,medium,medium,medium,low
260,1,3,medium,medium,low,medium,low
261,1,4,medium,medium,medium,medium,medium
262,1,3,medium,medium,medium,medium,medium
263,1,4,medium,low,medium,medium,medium
264,1,5,low,low,low,medium,low
265,1,4,medium,low,medium,medium,medium
266,1,5,medium,medium,medium,medium,medium
267,1,5,medium,medium,medium,medium,medium
268,1,3,medium,medium,medium,medium,low
269,1,3,medium,low,medium,medium,low
270,1,5,medium,medium,medium,medium,medium
271,1,4,medium,medium,medium,medium,medium
272,1,4,medium,low,medium,medium,medium
273,1,3,medium,low,low,medium,low
274,1,3,medium,medium,medium,medium,medium
275,1,5,medium,medium,medium,medium,medium
276,1,3,low,low,low,medium,low
277,1,3,medium,medium,medium,medium,medium
278,1,4,medium,medium,medium,medium,medium
279,1,5,medium,medium,medium,medium,medium
280,1,4,medium,medium,medium,medium,medium
281,1,2,low,low,low,medium,low
282,1,4,medium,medium,medium,medium,medium
283,1,3,medium,low,low,medium,low
284,1,4,medium,medium,medium,medium,medium
285,1,4,medium,low,medium,medium,low
286,1,1,medium,medium,medium,medium,low
287,1,5,medium,low,medium,medium,medium
288,1,4,medium,medium,medium,medium,medium
289,1,4,medium,medium,medium,medium,medium
290,1,5,medium,medium,medium,medium,medium
291,1,4,medium,medium,medium,medium,medium
292,1,5,medium,medium,medium,medium,medium
293,1,4,low,low,low,low,low
294,1,4,low,low,low,low,low
295,1,4,low,low,low,low,low
296,1,4,medium,low,medium,medium,medium
297,1,3,medium,low,medium,medium,low
298,1,4,medium,medium,medium,medium,medium
299,1,4,medium,medium,medium,medium,medium
300,1,3,low,low,low,low,low
301,1,3,medium,low,low,low,low
302,1,5,medium,medium,medium,medium,medium
303,1,4,medium,low,medium,medium,medium
304,1,4,medium,low,low,medium,low
305,1,4,medium,medium,medium,medium,medium
306,1,5,medium,medium,medium,medium,medium
307,1,4,medium,medium,medium,medium,medium
308,1,2,low,low,low,medium,low
309,1,3,medium,low,medium,medium,medium
310,1,4,medium,medium,medium,medium,medium
311,1,3,medium,low,medium,medium,medium
312,1,3,medium,low,low,medium,low
314,1,3,medium,medium,medium,medium,low
315,1,5,medium,medium,medium,medium,medium
316,1,5,medium,medium,medium,medium,medium
317,1,5,medium,medium,medium,medium,medium
318,1,4,medium,low,medium,medium,low
319,1,3,medium,low,low,low,low
320,1,3,medium,medium,medium,medium,low
321,1,5,medium,medium,medium,medium,medium
322,1,5,medium,low,medium,medium,low
323,1,4,medium,low,low,medium,low
324,1,5,medium,medium,medium,medium,medium
325,1,4,low,low,low,medium,low
326,1,5,medium,medium,medium,medium,medium
327,1,4,medium,medium,medium,medium,medium
328,1,3,medium,low,medium,medium,low
329,1,4,medium,medium,medium,medium,medium
330,1,4,medium,low,medium,medium,medium
331,1,4,medium,medium,medium,medium,medium
332,1,3,medium,low,low,low,low
333,1,3,medium,low,medium,medium,low
334,1,4,medium,low,low,medium,low
335,1,3,medium,low,low,low,low
336,1,4,medium,low,medium,medium,medium
337,1,4,medium,medium,medium,medium,medium
338,1,3,low,low,low,low,low
339,1,4,medium,low,medium,medium,medium
340,1,5,medium,medium,medium,medium,medium
341,1,4,medium,medium,medium,medium,medium
342,1,5,medium,medium,medium,medium,medium
343,1,4,low,low,low,low,low
345,1,5,medium,medium,medium,medium,medium
346,1,6,medium,low,medium,medium,medium
347,1,4,medium,medium,medium,medium,medium
348,1,5,medium,low,medium,medium,low
349,1,3,low,low,low,low,low
350,1,4,medium,low,low,medium,low
351,1,3,medium,medium,medium,medium,medium
352,1,3,low,low,low,low,low
353,1,2,low,low,low,low,low
354,1,3,medium,low,medium,medium,low
355,1,3,medium,medium,medium,medium,low
356,1,5,medium,medium,medium,medium,medium
357,1,4,medium,low,low,medium,low
358,1,3,medium,medium,medium,medium,medium
359,1,1,medium,medium,medium,medium,medium
360,1,4,low,low,low,low,low
361,1,4,medium,medium,medium,medium,medium
362,1,4,medium,low,medium,medium,low
363,1,4,medium,medium,medium,medium,low
364,1,5,medium,medium,medium,medium,medium
365,1,4,medium,low,low,medium,low
366,1,3,medium,low,medium,medium,low
367,1,3,medium,medium,medium,medium,medium
368,1,3,medium,medium,medium,medium,medium
369,1,3,medium,low,medium,medium,low
370,1,5,medium,medium,medium,medium,medium
371,1,4,medium,medium,medium,medium,low
372,1,4,medium,medium,medium,medium,medium
373,1,4,medium,medium,medium,medium,medium
374,1,4,medium,medium,low,medium,low
375,1,1,low,low,low,low,low
376,1,3,medium,low,low,low,low
377,1,4,medium,low,medium,medium,medium
378,1,4,medium,medium,medium,medium,medium
379,1,4,medium,medium,medium,medium,medium
380,1,4,medium,low,medium,medium,low
381,1,4,medium,low,medium,medium,medium
382,1,4,medium,medium,medium,medium,medium
383,1,4,medium,low,medium,medium,medium
384,1,4,medium,low,low,medium,low
385,1,6,medium,medium,medium,medium,medium
386,1,4,medium,medium,medium,medium,medium
387,1,4,medium,low,medium,medium,low
388,1,4,medium,medium,medium,medium,medium
389,1,3,medium,medium,medium,medium,medium
390,1,4,medium,medium,medium,medium,medium
391,1,5,medium,low,medium,medium,medium
392,1,3,medium,medium,medium,medium,medium
393,1,3,medium,low,low,medium,low
394,1,3,medium,medium,medium,medium,medium
395,1,2,low,low,low,low,low
396,1,3,low,low,low,low,low
397,1,4,medium,low,medium,medium,medium
398,1,5,medium,low,medium,medium,low
399,1,4,medium,medium,medium,medium,medium
400,1,3,medium,low,low,medium,low
401,1,2,low,low,low,medium,low
402,1,3,medium,medium,medium,medium,medium
403,1,4,medium,medium,medium,medium,medium
404,1,3,medium,medium,medium,medium,low
405,1,4,medium,medium,medium,medium,medium
406,1,4,low,low,low,low,low
407,1,3,medium,medium,medium,medium,medium
408,1,3,medium,medium,medium,medium,medium
409,1,4,medium,low,medium,medium,low
410,1,3,medium,low,medium,medium,low
411,1,5,medium,low,medium,medium,medium
412,1,5,medium,low,medium,medium,medium
413,1,4,medium,low,medium,medium,medium
414,1,3,low,low,low,low,low
415,1,4,medium,medium,medium,medium,medium
416,1,3,low,low,low,medium,low
417,1,3,low,low,low,low,low
418,1,5,medium,medium,medium,medium,medium
419,1,3,medium,medium,medium,medium,medium
420,1,4,low,low,low,low,low
421,1,3,medium,medium,medium,medium,medium
422,1,3,low,low,low,low,low
423,1,4,medium,medium,medium,medium,medium
424,1,4,medium,low,medium,medium,medium
425,1,5,medium,medium,medium,medium,medium
426,1,5,medium,medium,medium,medium,medium
427,1,5,medium,low,medium,medium,medium
428,1,3,medium,low,medium,medium,low
429,1,5,medium,medium,medium,medium,medium
430,1,5,medium,low,medium,medium,low
431,1,4,medium,medium,medium,medium,medium
432,1,3,medium,low,low,medium,low
433,1,5,medium,low,low,medium,low
434,1,3,medium,medium,medium,medium,low
435,1,4,medium,medium,medium,medium,medium
436,1,3,medium,medium,medium,medium,medium
437,1,5,medium,medium,medium,medium,medium
438,1,3,medium,low,medium,medium,low
439,1,4,medium,medium,medium,medium,medium
440,1,3,medium,low,medium,medium,medium
441,1,3,medium,medium,medium,medium,medium
442,1,5,medium,low,medium,medium,medium
443,1,3,medium,low,low,medium,low
444,1,4,medium,low,low,medium,low
445,1,3,low,low,low,low,low
446,1,5,medium,low,medium,medium,medium
447,1,5,medium,low,medium,medium,medium
448,1,3,medium,low,low,low,low
449,1,1,low,low,low,medium,low
450,1,4,medium,medium,medium,medium,medium
451,1,4,medium,low,low,medium,low
452,1,4,low,low,low,low,low
453,1,5,low,low,low,low,low
454,1,4,medium,low,medium,medium,medium
455,1,2,low,low,low,low,low
456,1,2,low,low,low,low,low
457,1,6,medium,medium,medium,medium,medium
458,1,4,medium,medium,medium,medium,medium
459,1,4,medium,medium,medium,medium,low
460,1,4,medium,low,medium,low,low
461,1,3,medium,low,medium,medium,medium
462,1,4,medium,medium,medium,medium,medium
463,1,4,medium,medium,medium,medium,medium
464,1,2,low,low,low,low,low
465,1,3,medium,low,low,low,low
466,1,4,medium,low,medium,medium,medium
467,1,4,medium,medium,medium,medium,medium
468,1,3,medium,low,low,medium,low
469,1,4,medium,low,medium,medium,medium
470,1,4,medium,low,medium,medium,medium
471,1,4,medium,medium,medium,medium,medium
472,1,5,medium,low,medium,medium,medium
473,1,3,medium,low,low,medium,low
474,1,2,low,low,low,low,low
475,1,4,medium,medium,medium,medium,medium
476,1,3,medium,medium,medium,medium,low
477,1,2,low,low,low,low,low
478,1,5,medium,medium,medium,medium,medium
479,1,5,medium,medium,medium,medium,medium
480,1,3,low,low,low,low,low
481,1,4,medium,low,medium,medium,medium
482,1,3,medium,low,medium,medium,medium
483,1,4,medium,medium,medium,medium,low
484,1,4,medium,medium,medium,medium,low
485,1,4,medium,low,medium,medium,medium
486,1,3,medium,medium,medium,medium,medium
487,1,3,low,low,low,low,low
488,1,4,medium,medium,medium,medium,medium
489,1,4,medium,medium,medium,medium,medium
490,1,4,medium,medium,medium,medium,medium
491,1,3,low,low,low,low,low
492,1,3,medium,low,low,medium,low
493,1,3,medium,medium,medium,medium,medium
494,1,3,medium,medium,medium,medium,medium
495,1,5,medium,low,medium,medium,low
496,1,4,low,low,low,low,low
497,1,5,medium,low,medium,medium,medium
498,1,5,medium,low,medium,medium,medium
499,1,5,medium,medium,medium,medium,medium
500,1,5,medium,medium,medium,medium,medium
501,1,3,low,low,low,low,low
502,1,2,low,low,low,low,low
503,1,3,medium,medium,medium,medium,medium
504,1,5,medium,low,medium,medium,medium
505,1,4,medium,medium,medium,medium,low
506,1,2,medium,medium,medium,medium,low
507,1,3,medium,medium,medium,medium,medium
508,1,5,medium,medium,medium,medium,medium
509,1,4,medium,medium,medium,medium,medium
510,1,4,medium,low,low,medium,low
511,1,3,medium,low,medium,medium,low
512,1,3,low,low,low,medium,low
513,1,3,medium,medium,medium,medium,medium
514,1,3,low,low,low,medium,low
515,1,3,low,low,low,medium,low
516,1,5,medium,medium,medium,medium,medium
517,1,4,medium,medium,medium,medium,medium
518,1,4,medium,low,medium,medium,low
519,1,5,medium,medium,medium,medium,medium
520,1,3,low,low,low,low,low
521,1,3,low,low,low,medium,low
522,1,4,medium,medium,medium,medium,medium
523,1,5,medium,medium,medium,medium,medium
524,1,4,medium,low,medium,medium,low
525,1,4,medium,medium,medium,medium,medium
526,1,3,medium,low,low,medium,low
527,1,3,medium,medium,medium,medium,medium
528,1,4,medium,medium,medium,medium,medium
529,1,2,medium,medium,low,medium,low
530,1,4,medium,low,low,low,low
531,1,4,medium,medium,medium,medium,medium
532,1,4,medium,medium,medium,medium,medium
533,1,5,medium,medium,medium,medium,medium
534,1,5,medium,low,medium,medium,medium
535,1,4,medium,medium,medium,medium,low
536,1,4,medium,low,medium,medium,low
537,1,3,medium,medium,medium,medium,low
538,1,4,medium,medium,medium,medium,medium
539,1,3,medium,low,medium,medium,low
540,1,4,medium,medium,medium,medium,medium
541,1,5,medium,medium,medium,medium,medium
542,1,6,medium,medium,medium,medium,medium
543,1,3,medium,medium,medium,medium,medium
544,1,3,medium,low,low,medium,low
545,1,1,medium,low,low,medium,low
546,1,2,medium,medium,medium,medium,low
547,1,5,medium,low,medium,medium,medium
548,1,4,medium,medium,medium,medium,medium
549,1,4,low,low,low,low,low
550,1,5,medium,medium,medium,medium,medium
551,1,4,medium,low,low,low,low
552,1,2,medium,low,low,medium,low
553,1,3,medium,medium,low,medium,low
554,1,4,medium,medium,medium,medium,medium
555,1,4,medium,low,medium,medium,medium
556,1,4,medium,medium,medium,medium,medium
557,1,5,medium,low,medium,medium,medium
558,1,5,medium,medium,medium,medium,medium
559,1,6,medium,medium,medium,medium,medium
560,1,3,medium,medium,medium,medium,medium
561,1,3,medium,low,low,medium,low
562,1,4,medium,low,medium,medium,low
563,1,3,medium,medium,medium,medium,medium
564,1,5,medium,medium,medium,medium,medium
565,1,4,medium,medium,medium,medium,medium
566,1,4,medium,medium,medium,medium,low
567,1,3,medium,medium,medium,medium,low
568,1,4,medium,medium,medium,medium,medium
569,1,4,medium,medium,medium,medium,low
570,1,3,low,low,low,low,low
571,1,4,medium,medium,medium,medium,medium
572,1,4,medium,medium,medium,medium,medium
573,1,4,medium,medium,medium,medium,medium
574,1,3,low,low,low,low,low
575,1,4,medium,low,medium,medium,medium
576,1,4,medium,medium,medium,medium,medium
577,1,2,medium,medium,medium,medium,low
578,1,3,medium,low,low,medium,low
579,1,4,medium,low,low,medium,low
580,1,3,low,low,low,low,low
581,1,4,medium,low,medium,medium,medium
582,1,5,medium,medium,medium,medium,medium
583,1,4,medium,low,low,medium,low
584,1,3,medium,low,low,low,low
585,1,5,medium,medium,medium,medium,medium
586,1,4,medium,medium,medium,medium,low
587,1,3,medium,low,low,low,low
588,1,4,medium,medium,medium,medium,medium
589,1,3,medium,medium,medium,medium,medium
590,1,2,medium,medium,low,medium,low
591,1,3,medium,low,medium,medium,low
592,1,3,medium,low,low,medium,low
593,1,4,medium,low,medium,medium,low
594,1,2,medium,medium,medium,medium,low
595,1,4,medium,medium,medium,medium,medium
596,1,2,medium,low,medium,medium,low
597,1,5,medium,low,medium,medium,medium
598,1,3,low,low,low,low,low
599,1,4,medium,medium,medium,medium,medium
600,1,2,low,low,low,low,low
601,1,3,medium,medium,medium,medium,medium
602,1,3,medium,low,low,medium,low
603,1,4,medium,low,low,low,low
604,1,4,medium,medium,medium,medium,medium
605,1,3,low,low,low,low,low
606,1,3,medium,low,medium,medium,low
607,1,4,medium,medium,medium,medium,medium
608,1,2,low,low,low,low,low
609,1,3,medium,medium,medium,medium,medium
610,1,2,medium,medium,low,medium,low
611,1,4,low,low,low,low,low
612,1,4,medium,medium,medium,medium,medium
613,1,4,medium,medium,medium,medium,medium
614,1,3,low,low,low,low,low
615,1,5,medium,medium,medium,medium,medium
616,1,4,low,low,low,low,low
617,1,5,medium,medium,medium,medium,medium
618,1,5,medium,medium,medium,medium,medium
619,1,6,medium,low,medium,medium,medium
620,1,4,medium,medium,medium,medium,medium
621,1,3,low,low,low,low,low
622,1,4,medium,medium,medium,medium,medium
623,1,2,medium,medium,medium,medium,medium
624,1,3,medium,medium,medium,medium,medium
625,1,4,medium,medium,medium,medium,medium
626,1,3,medium,low,low,medium,low
627,1,3,low,low,low,low,low
628,1,5,medium,low,low,medium,low
629,1,4,low,low,low,low,low
630,1,4,medium,medium,medium,medium,low
631,1,3,medium,medium,medium,medium,medium
632,1,4,medium,medium,medium,medium,medium
633,1,3,medium,medium,medium,medium,medium
634,1,2,low,low,low,low,low
635,1,4,medium,low,medium,medium,low
636,1,5,medium,medium,medium,medium,low
637,1,3,low,low,low,low,low
638,1,3,medium,medium,medium,medium,medium
639,1,3,medium,medium,medium,medium,low
640,1,4,medium,medium,medium,medium,medium
641,1,3,medium,medium,medium,medium,low
642,1,4,medium,low,medium,medium,medium
643,1,5,medium,medium,medium,medium,medium
644,1,4,medium,medium,medium,medium,medium
645,1,3,low,low,low,low,low
646,1,3,low,low,low,low,low
647,1,4,medium,medium,medium,medium,low
648,1,2,low,low,low,low,low
649,1,4,medium,medium,medium,medium,medium
650,1,5,medium,low,medium,medium,medium
651,1,3,low,low,low,medium,low
652,1,4,medium,low,medium,medium,low
653,1,4,medium,low,medium,medium,low
654,1,4,medium,low,medium,medium,low
655,1,3,medium,low,medium,medium,low
656,1,4,medium,low,low,medium,low
657,1,4,medium,medium,medium,medium,medium
658,1,4,medium,low,medium,medium,medium
659,1,4,medium,medium,medium,medium,medium
660,1,6,medium,low,medium,medium,medium
661,1,4,medium,medium,medium,medium,low
662,1,3,medium,medium,medium,medium,medium
663,1,4,medium,medium,medium,medium,medium
664,1,3,low,low,low,low,low
665,1,2,low,low,low,low,low
666,1,4,medium,medium,medium,medium,medium
667,1,4,medium,low,medium,medium,low
668,1,4,medium,medium,medium,medium,medium
669,1,4,low,low,low,low,low
670,1,3,medium,low,low,medium,low
671,1,3,medium,medium,medium,medium,low
672,1,4,medium,low,medium,medium,medium
673,1,2,medium,low,low,medium,low
674,1,3,low,low,low,medium,low
675,1,3,medium,low,low,medium,low
676,1,3,low,low,low,medium,low
677,1,3,medium,low,low,medium,low
678,1,3,medium,medium,medium,medium,medium
679,1,4,medium,medium,medium,medium,medium
680,1,3,medium,low,low,medium,low
681,1,3,medium,low,medium,medium,medium
682,1,4,medium,low,medium,medium,medium
683,1,4,medium,low,medium,medium,medium
684,1,5,medium,low,medium,medium,low
685,1,5,medium,medium,medium,medium,medium
686,1,4,medium,low,low,medium,low
687,1,4,medium,medium,low,medium,low
688,1,4,medium,medium,medium,medium,medium
689,1,5,medium,low,medium,medium,medium
690,1,4,medium,medium,medium,medium,medium
691,1,3,medium,medium,medium,medium,low
692,1,2,medium,medium,low,medium,low
693,1,3,low,low,low,low,low
694,1,5,medium,medium,medium,medium,medium
695,1,4,medium,medium,medium,medium,medium
696,1,3,medium,medium,medium,medium,medium
697,1,4,medium,low,medium,medium,low
698,1,3,low,low,low,low,low
699,1,5,medium,medium,medium,medium,medium
700,1,3,medium,medium,low,medium,low
701,1,4,medium,medium,medium,medium,medium
702,1,2,medium,medium,medium,medium,low
703,1,3,medium,low,medium,medium,low
704,1,2,low,low,low,medium,low
705,1,3,medium,medium,medium,medium,low
706,1,5,medium,medium,medium,medium,medium
707,1,3,low,low,low,low,low
708,1,4,medium,medium,medium,medium,medium
709,1,4,low,low,low,low,low
710,1,4,medium,medium,medium,medium,medium
711,1,4,medium,medium,medium,medium,medium
712,1,3,low,low,low,low,low
713,1,4,medium,low,medium,medium,low
714,1,5,medium,medium,medium,medium,medium
715,1,3,medium,medium,medium,medium,low
716,1,4,medium,medium,medium,medium,medium
717,1,5,medium,medium,medium,medium,low
718,1,5,medium,medium,medium,medium,medium
