essay_id,prompt_id,language_score,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10
6113,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6114,3,0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6115,3,0,low,low,low,low,low,low,low,low,low,low
6116,3,2,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6117,3,2,medium,medium,medium,medium,medium,low,medium,medium,low,low
6118,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6119,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6120,3,1,medium,medium,medium,medium,medium,low,low,medium,medium,low
6121,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6122,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6123,3,2,medium,medium,medium,low,low,low,medium,low,low,low
6124,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,low
6125,3,2,medium,medium,medium,medium,medium,medium,medium,medium,low,medium
6126,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6127,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6128,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6129,3,1,medium,medium,low,low,low,low,low,low,low,low
6130,3,1,low,low,low,low,low,low,low,low,low,low
6131,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6132,3,2,medium,low,low,low,low,low,low,low,low,low
6133,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6134,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6135,3,2,medium,medium,medium,medium,medium,medium,medium,low,medium,medium
6136,3,1,medium,low,medium,medium,medium,low,medium,low,low,low
6137,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6138,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6139,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6140,3,0,medium,medium,low,medium,medium,low,medium,medium,medium,low
6141,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6142,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6143,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6144,3,1,medium,low,low,medium,medium,low,medium,low,low,low
6145,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6146,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6147,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6148,3,0,medium,low,low,medium,medium,low,low,low,low,low
6149,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6150,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6151,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6152,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6153,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6154,3,0,medium,medium,low,medium,medium,low,low,low,low,low
6155,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6156,3,1,medium,low,low,medium,low,low,low,low,low,low
6157,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6158,3,1,medium,medium,medium,low,medium,low,medium,medium,medium,low
6159,3,1,medium,low,low,medium,medium,low,low,low,low,low
6160,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6161,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6162,3,1,medium,medium,low,medium,medium,low,medium,low,medium,medium
6163,3,0,medium,medium,medium,medium,medium,low,low,medium,medium,low
6164,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6165,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6166,3,1,medium,medium,medium,medium,medium,low,medium,medium,low,low
6167,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6168,3,1,medium,medium,medium,low,medium,low,low,low,medium,low
6169,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6170,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6171,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6172,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6173,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6174,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6175,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6176,3,0,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6177,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6178,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6179,3,1,medium,medium,medium,medium,medium,low,medium,low,medium,medium
6180,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6181,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6182,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6183,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6184,3,2,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6185,3,1,medium,low,low,medium,medium,low,low,low,low,low
6186,3,1,medium,medium,medium,medium,medium,low,low,medium,medium,low
6187,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6188,3,0,medium,low,low,medium,medium,low,low,low,medium,low
6189,3,0,medium,medium,low,medium,medium,low,low,low,low,low
6190,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6191,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6192,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6193,3,2,medium,low,low,low,low,low,low,low,low,low
6194,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6195,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6196,3,0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6197,3,1,medium,medium,medium,low,medium,low,medium,medium,low,low
6198,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6199,3,1,low,low,low,low,low,low,low,low,low,low
6200,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6201,3,1,medium,medium,medium,medium,medium,low,low,low,medium,low
6202,3,1,medium,medium,medium,medium,medium,low,low,medium,medium,low
6203,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6204,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6205,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6206,3,0,medium,low,low,medium,medium,low,low,low,low,low
6207,3,0,low,low,low,low,low,low,low,low,low,low
6208,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6209,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6210,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6211,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6212,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6213,3,0,low,low,low,medium,medium,low,low,low,low,low
6214,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6215,3,2,medium,medium,medium,medium,medium,low,low,low,low,low
6216,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6217,3,0,medium,low,low,medium,medium,low,low,low,medium,low
6218,3,1,medium,medium,medium,medium,medium,low,medium,low,low,medium
6219,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6220,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6221,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6222,3,1,medium,medium,medium,medium,medium,low,low,low,medium,medium
6223,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6224,3,1,medium,medium,low,medium,medium,medium,medium,medium,low,low
6225,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6226,3,2,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
6227,3,0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6228,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6229,3,0,medium,low,low,medium,medium,low,low,low,low,low
6230,3,0,medium,medium,low,medium,medium,low,low,low,low,low
6231,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6232,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6233,3,1,medium,low,low,medium,medium,low,medium,low,low,low
6234,3,0,medium,low,medium,medium,medium,low,low,low,medium,low
6235,3,0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6236,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6237,3,2,medium,medium,medium,medium,medium,low,medium,medium,low,low
6238,3,0,low,low,low,medium,medium,low,low,low,low,low
6239,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6240,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6241,3,0,low,low,low,low,low,low,low,low,low,low
6242,3,0,medium,low,medium,medium,medium,low,medium,low,low,low
6243,3,2,medium,low,medium,medium,medium,low,medium,low,low,low
6244,3,2,medium,low,medium,low,medium,low,low,low,low,low
6245,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6246,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6247,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6248,3,2,medium,medium,low,medium,medium,low,medium,low,low,low
6249,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6250,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6251,3,0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6252,3,0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6253,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6254,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6255,3,0,medium,medium,low,low,medium,low,medium,medium,medium,low
6256,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6257,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6258,3,0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6259,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6260,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6261,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6262,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6263,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6264,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6265,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6266,3,0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6267,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6268,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6269,3,0,medium,medium,low,medium,medium,low,medium,low,medium,low
6270,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6271,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6272,3,2,low,low,low,low,low,low,low,low,low,low
6273,3,0,medium,low,low,low,low,low,low,low,low,low
6274,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6275,3,0,medium,medium,low,medium,medium,medium,medium,low,low,low
6276,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6277,3,0,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6278,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6279,3,1,medium,medium,medium,medium,medium,low,medium,low,medium,medium
6280,3,2,medium,medium,medium,medium,medium,low,medium,medium,low,low
6281,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6282,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6283,3,0,medium,medium,medium,medium,medium,low,medium,low,low,low
6284,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6285,3,1,medium,medium,low,low,medium,low,medium,medium,low,low
6286,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6287,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6288,3,2,medium,medium,low,medium,medium,low,medium,low,medium,medium
6289,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6290,3,0,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6291,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6292,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6293,3,2,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6294,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6295,3,0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6296,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6297,3,1,medium,medium,low,medium,low,low,medium,low,low,medium
6298,3,0,medium,medium,medium,medium,medium,low,medium,medium,low,low
6299,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6300,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6301,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6302,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
6303,3,0,low,low,low,low,low,low,low,low,low,low
6304,3,2,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6305,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6306,3,0,medium,medium,low,medium,medium,medium,medium,low,low,low
6307,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6308,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6309,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
6310,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6311,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6312,3,2,medium,medium,medium,medium,medium,low,medium,low,low,low
6313,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6314,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6315,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6316,3,1,medium,medium,medium,medium,medium,low,low,medium,medium,low
6317,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6318,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6319,3,1,medium,medium,medium,medium,medium,low,medium,low,low,medium
6320,3,0,medium,medium,medium,medium,medium,low,low,low,medium,low
6321,3,0,medium,medium,low,medium,medium,low,medium,low,low,low
6322,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6323,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
6324,3,2,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6325,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6326,3,0,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
6327,3,2,medium,medium,medium,medium,medium,low,low,medium,medium,low
6328,3,2,medium,medium,low,medium,medium,low,medium,low,low,low
6329,3,2,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
6330,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6331,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6332,3,1,medium,medium,medium,low,medium,medium,low,medium,low,low
6333,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6334,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6335,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6336,3,2,medium,medium,low,medium,medium,medium,medium,medium,medium,medium
6337,3,1,medium,low,low,medium,medium,medium,medium,low,low,low
6338,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6339,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6340,3,2,medium,medium,low,medium,medium,low,medium,medium,medium,medium
6341,3,2,medium,low,medium,medium,medium,low,medium,low,medium,low
6342,3,2,medium,medium,medium,low,medium,low,low,low,medium,low
6343,3,1,medium,medium,medium,medium,medium,medium,medium,medium,low,medium
6344,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6345,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6346,3,1,medium,low,low,low,medium,low,low,low,low,low
6347,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6348,3,1,medium,medium,low,medium,medium,low,medium,medium,medium,medium
6349,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6350,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6351,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6352,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6353,3,2,medium,medium,low,medium,medium,low,low,medium,low,low
6354,3,1,medium,medium,medium,medium,medium,low,low,medium,medium,low
6355,3,1,medium,low,low,medium,medium,low,low,low,low,low
6356,3,0,low,low,low,low,low,low,low,low,low,low
6357,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6358,3,2,medium,low,medium,medium,medium,low,medium,low,medium,low
6359,3,0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6360,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6361,3,2,medium,medium,low,medium,medium,low,medium,low,medium,low
6362,3,1,medium,medium,medium,medium,medium,low,low,low,medium,low
6363,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6364,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6365,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6366,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6367,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6368,3,0,medium,medium,low,medium,medium,low,low,low,medium,low
6369,3,1,medium,medium,medium,medium,medium,medium,medium,low,medium,medium
6370,3,0,medium,medium,low,medium,medium,low,medium,medium,low,low
6371,3,2,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6372,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6373,3,1,medium,medium,low,medium,medium,low,medium,low,low,low
6374,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6375,3,0,low,low,low,low,medium,low,low,low,low,low
6376,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
