essay_id,prompt_id,sentence_fluency_score,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10
47,1,3,low,low,medium,low,low,low,medium,low,medium,low
48,1,6,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
49,1,3,low,low,medium,medium,low,low,medium,low,medium,low
50,1,1,low,low,low,low,low,low,low,low,low,low
51,1,4,low,medium,medium,medium,medium,low,medium,medium,medium,low
52,1,4,low,low,low,low,low,low,low,low,low,low
53,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
54,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
55,1,4,low,medium,medium,medium,low,low,low,low,medium,low
56,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
57,1,4,low,medium,medium,medium,medium,low,medium,low,medium,low
58,1,2,low,low,low,low,low,low,low,low,low,low
59,1,4,low,low,low,low,low,low,low,low,low,low
60,1,2,low,low,low,low,low,low,low,low,medium,low
61,1,3,low,medium,medium,medium,medium,low,medium,medium,medium,low
62,1,3,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
63,1,3,low,low,medium,medium,medium,low,medium,medium,medium,low
64,1,2,low,low,low,low,low,low,low,low,low,low
65,1,4,medium,medium,medium,medium,medium,low,medium,medium,medium,low
66,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
67,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
68,1,4,low,medium,medium,medium,medium,low,medium,medium,medium,low
69,1,4,low,medium,medium,medium,medium,medium,medium,medium,medium,medium
70,1,6,medium,medium,medium,medium,medium,low,medium,medium,medium,low
71,1,4,low,medium,medium,medium,medium,low,low,low,medium,low
72,1,5,medium,low,medium,medium,medium,low,medium,medium,medium,low
73,1,3,low,low,low,low,low,low,low,low,low,low
74,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
75,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
76,1,3,low,low,medium,medium,medium,low,medium,low,medium,low
77,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
78,1,4,low,low,low,low,low,low,low,low,low,low
79,1,4,low,medium,medium,medium,medium,low,medium,medium,medium,low
80,1,4,low,medium,medium,medium,medium,low,medium,medium,medium,medium
81,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
82,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
83,1,3,low,medium,medium,medium,medium,medium,medium,medium,medium,medium
84,1,2,low,low,low,low,low,low,low,low,low,low
85,1,4,low,medium,medium,medium,medium,low,medium,low,medium,low
86,1,5,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
87,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
88,1,5,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
89,1,3,low,medium,medium,medium,medium,low,medium,medium,medium,low
90,1,3,low,medium,medium,medium,medium,low,low,medium,medium,low
91,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
92,1,4,low,low,low,low,low,low,low,low,low,low
93,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
94,1,4,low,low,low,low,low,low,low,low,low,low
95,1,5,low,medium,medium,medium,medium,low,medium,medium,medium,low
96,1,3,low,medium,medium,medium,low,low,low,medium,medium,low
97,1,3,low,medium,medium,medium,medium,medium,medium,medium,medium,medium
98,1,5,low,medium,medium,medium,medium,low,medium,low,medium,low
99,1,3,low,low,low,low,low,low,low,low,low,low
100,1,2,low,low,low,low,low,low,low,low,low,low
101,1,4,low,medium,medium,medium,medium,low,medium,medium,medium,medium
102,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
103,1,5,low,low,low,low,low,low,low,low,low,low
104,1,6,low,low,low,low,low,low,low,low,low,low
105,1,4,low,low,low,low,low,low,low,low,low,low
106,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
107,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
108,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
109,1,4,medium,low,low,medium,medium,medium,medium,medium,medium,medium
110,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
111,1,5,low,low,low,low,low,low,low,low,low,low
112,1,4,low,low,low,low,low,low,low,low,low,low
113,1,3,low,medium,medium,low,low,low,low,low,medium,low
114,1,5,medium,medium,medium,medium,medium,low,medium,low,medium,low
115,1,3,low,low,low,low,low,low,low,low,low,low
116,1,2,low,low,low,low,low,low,low,low,low,low
117,1,5,low,medium,medium,medium,medium,low,medium,medium,medium,low
118,1,5,low,medium,low,medium,medium,low,medium,low,medium,low
119,1,5,low,medium,low,low,low,low,low,low,medium,low
120,1,3,low,medium,medium,medium,medium,medium,medium,medium,medium,medium
121,1,4,low,low,low,low,low,low,low,low,low,low
122,1,5,low,low,low,low,low,low,low,low,low,low
123,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
124,1,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
125,1,1,low,low,low,low,medium,low,low,low,medium,low
126,1,3,low,low,low,low,low,low,low,low,medium,low
127,1,4,low,low,medium,medium,medium,low,medium,low,medium,low
128,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
129,1,4,low,low,medium,medium,medium,low,medium,low,medium,low
130,1,6,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
131,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
132,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
133,1,4,low,medium,low,medium,low,low,medium,low,medium,medium
134,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
135,1,3,low,medium,medium,medium,low,low,low,low,medium,low
136,1,3,low,low,low,low,low,low,low,low,low,low
137,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
138,1,4,low,medium,medium,medium,medium,low,medium,low,medium,low
139,1,4,low,low,medium,medium,medium,low,medium,low,medium,medium
140,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
141,1,4,low,low,low,medium,medium,low,low,low,medium,low
142,1,4,low,medium,medium,medium,low,low,low,low,low,low
143,1,2,low,low,low,medium,low,low,low,low,low,low
144,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
145,1,5,low,low,medium,medium,medium,low,medium,medium,medium,low
146,1,2,low,low,low,low,low,low,low,low,low,low
147,1,5,low,medium,medium,medium,medium,low,low,medium,medium,low
148,1,3,low,medium,medium,medium,medium,low,low,medium,medium,low
149,1,3,low,low,low,low,low,low,low,low,low,low
150,1,4,low,medium,medium,low,low,low,low,low,medium,low
151,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
152,1,4,medium,medium,medium,medium,medium,low,medium,medium,medium,low
153,1,5,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
154,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
155,1,4,low,low,low,low,low,low,low,low,medium,low
156,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
157,1,3,low,medium,medium,medium,low,low,low,low,low,low
158,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
159,1,5,low,low,medium,medium,medium,low,low,low,medium,low
160,1,4,low,medium,medium,medium,medium,medium,medium,medium,medium,low
161,1,4,medium,low,medium,medium,medium,low,medium,low,medium,low
162,1,6,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
163,1,3,low,low,low,low,low,low,low,low,low,low
164,1,4,medium,medium,medium,medium,medium,low,medium,medium,medium,low
165,1,3,low,low,low,low,low,low,low,low,low,low
166,1,3,low,medium,medium,medium,medium,medium,medium,medium,medium,medium
167,1,3,low,low,medium,low,low,low,medium,low,medium,low
168,1,5,low,low,low,medium,medium,low,medium,low,medium,low
169,1,4,low,medium,medium,medium,medium,medium,low,medium,medium,low
170,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
171,1,3,low,low,low,low,low,low,low,low,low,low
172,1,3,low,low,low,low,low,low,low,low,medium,low
173,1,3,low,medium,medium,low,low,low,low,medium,medium,low
174,1,3,low,medium,medium,medium,medium,medium,medium,medium,medium,medium
175,1,3,low,medium,medium,medium,medium,low,medium,medium,medium,medium
176,1,4,low,low,low,low,low,low,low,low,medium,low
177,1,3,low,medium,medium,medium,medium,medium,medium,medium,medium,medium
178,1,3,low,low,low,low,low,low,low,low,low,low
179,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
180,1,4,low,low,low,medium,medium,low,medium,low,medium,low
181,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
182,1,3,low,medium,medium,medium,medium,low,low,medium,medium,low
183,1,4,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
184,1,3,low,low,low,low,low,low,low,low,low,low
185,1,3,low,low,low,medium,low,low,low,low,low,low
186,1,3,low,medium,medium,medium,medium,low,medium,low,medium,low
187,1,1,low,low,low,low,low,low,low,low,medium,low
188,1,4,low,medium,medium,medium,medium,low,low,low,medium,medium
189,1,2,low,low,low,low,low,low,low,low,low,low
190,1,6,low,medium,low,medium,medium,low,low,medium,medium,low
191,1,4,low,medium,medium,medium,medium,low,medium,medium,medium,low
192,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
193,1,5,medium,medium,medium,medium,medium,low,medium,medium,medium,low
194,1,5,low,medium,low,low,medium,low,low,low,low,low
195,1,2,low,low,low,low,low,low,low,low,low,low
196,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
197,1,5,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
198,1,5,low,medium,medium,medium,medium,low,medium,medium,medium,low
199,1,4,low,low,low,low,low,low,low,low,low,low
200,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
201,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
202,1,4,low,medium,medium,medium,medium,medium,low,medium,medium,medium
203,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
204,1,4,low,medium,medium,medium,medium,low,medium,low,medium,low
205,1,4,low,low,low,low,low,low,low,low,low,low
206,1,5,low,low,low,medium,medium,low,low,low,low,low
207,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
208,1,3,low,low,low,low,medium,low,low,low,medium,low
209,1,2,low,low,low,low,low,low,low,low,low,low
210,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
211,1,3,medium,medium,medium,medium,medium,low,low,medium,medium,low
212,1,3,low,medium,medium,low,low,low,medium,low,medium,low
213,1,3,low,low,medium,medium,medium,low,medium,medium,medium,low
214,1,3,low,medium,medium,medium,medium,low,medium,medium,medium,low
215,1,4,medium,medium,medium,medium,medium,low,medium,medium,medium,low
216,1,4,low,medium,medium,medium,medium,low,medium,medium,medium,low
217,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
218,1,3,low,medium,medium,medium,medium,low,low,medium,medium,low
219,1,4,low,low,low,low,low,low,low,low,low,low
220,1,4,low,low,low,medium,medium,low,medium,medium,medium,low
221,1,3,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
222,1,6,low,low,low,low,low,low,low,low,low,low
223,1,3,low,low,low,low,low,low,low,low,low,low
224,1,4,low,medium,medium,medium,medium,medium,low,medium,medium,medium
225,1,5,low,medium,medium,low,medium,low,low,medium,medium,low
226,1,3,low,low,low,low,low,low,low,low,low,low
227,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
228,1,3,low,low,low,low,low,low,low,low,low,low
229,1,3,low,low,low,low,low,low,low,low,medium,low
230,1,5,low,medium,low,medium,medium,low,low,low,low,low
231,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
232,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
233,1,2,low,medium,medium,low,low,low,low,low,low,low
234,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
235,1,3,low,low,low,low,low,low,low,low,medium,low
236,1,2,low,medium,medium,low,low,low,low,low,medium,low
237,1,3,low,low,low,low,low,low,low,low,low,low
238,1,3,low,medium,medium,medium,medium,medium,medium,medium,medium,medium
239,1,3,low,medium,medium,medium,low,low,medium,low,medium,low
240,1,3,low,medium,medium,medium,medium,medium,low,medium,medium,low
241,1,3,low,low,low,low,low,low,low,low,medium,low
242,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
243,1,4,low,medium,medium,medium,medium,low,low,medium,medium,medium
244,1,3,low,low,low,low,low,low,low,low,low,low
245,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
246,1,5,low,medium,medium,medium,medium,low,low,low,medium,medium
247,1,4,low,low,low,medium,low,low,low,low,low,low
248,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
249,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
250,1,4,low,low,low,low,low,low,low,low,low,low
251,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
252,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
253,1,2,low,low,low,low,low,low,low,low,low,low
254,1,4,low,medium,medium,medium,low,low,low,low,medium,low
255,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
256,1,4,low,low,low,low,low,low,low,low,low,low
257,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
258,1,5,medium,medium,medium,medium,medium,medium,medium,low,medium,medium
259,1,4,low,low,low,low,medium,low,low,low,medium,low
260,1,3,low,medium,medium,low,low,low,low,low,medium,low
261,1,4,medium,low,low,low,low,low,low,low,low,low
262,1,3,low,medium,medium,medium,medium,low,low,medium,medium,low
263,1,5,low,medium,medium,medium,medium,low,medium,medium,medium,medium
264,1,5,low,low,low,medium,medium,low,low,low,medium,low
265,1,4,low,medium,medium,medium,low,medium,medium,medium,medium,medium
266,1,6,medium,low,medium,medium,medium,low,medium,medium,medium,low
267,1,5,low,medium,medium,medium,medium,low,medium,low,medium,low
268,1,3,low,low,low,low,low,low,low,low,medium,low
269,1,3,low,low,low,low,medium,low,low,low,medium,low
270,1,5,low,low,low,medium,low,low,low,low,low,low
271,1,4,low,medium,medium,medium,medium,low,low,medium,medium,low
272,1,4,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
273,1,3,low,low,low,low,low,low,low,low,low,low
274,1,3,low,low,low,low,low,low,low,low,low,low
275,1,5,low,low,medium,low,medium,low,medium,medium,medium,low
276,1,3,low,low,low,low,low,low,low,low,low,low
277,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
278,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
279,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
280,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
281,1,2,low,medium,medium,medium,medium,low,low,medium,medium,low
282,1,4,low,medium,medium,medium,medium,low,medium,medium,medium,medium
283,1,3,medium,medium,medium,medium,medium,low,low,medium,medium,medium
284,1,4,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
285,1,4,low,medium,medium,medium,medium,low,medium,medium,medium,low
286,1,1,low,low,low,low,low,low,low,low,low,low
287,1,5,low,low,low,medium,medium,low,low,low,low,low
288,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
289,1,4,low,medium,low,low,medium,low,low,low,medium,low
290,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
291,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
292,1,5,medium,medium,high,medium,medium,medium,high,medium,medium,medium
293,1,4,low,low,medium,low,low,low,low,low,medium,low
294,1,4,low,low,low,low,low,low,low,low,low,low
295,1,4,low,medium,medium,low,medium,low,low,medium,medium,low
296,1,4,low,low,low,medium,medium,low,medium,low,medium,low
297,1,4,low,medium,medium,medium,low,low,low,medium,medium,low
298,1,3,low,medium,medium,medium,medium,medium,medium,medium,medium,medium
299,1,4,low,medium,low,low,low,low,low,low,low,low
300,1,3,low,low,low,low,low,low,low,low,low,low
301,1,4,low,medium,low,low,medium,low,low,low,medium,low
302,1,6,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
303,1,4,low,low,low,low,low,low,low,low,medium,low
304,1,4,medium,medium,medium,medium,medium,low,medium,medium,medium,low
305,1,4,low,low,low,low,low,low,low,low,low,low
306,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
307,1,4,low,low,low,medium,low,low,low,low,medium,low
308,1,2,low,medium,medium,low,low,low,low,low,medium,low
309,1,3,low,medium,medium,medium,medium,low,medium,medium,medium,low
310,1,4,low,medium,low,medium,medium,low,low,low,medium,low
311,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
312,1,3,low,medium,medium,medium,medium,low,medium,medium,medium,low
314,1,3,low,medium,medium,medium,medium,medium,low,medium,medium,medium
315,1,5,medium,medium,high,medium,medium,medium,medium,medium,medium,medium
316,1,5,medium,medium,low,medium,medium,low,low,low,medium,low
317,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
318,1,4,low,low,medium,low,low,low,low,low,medium,low
319,1,3,low,medium,medium,medium,medium,low,medium,medium,medium,low
320,1,3,low,low,medium,low,low,low,low,low,medium,low
321,1,5,low,medium,medium,low,low,low,low,medium,medium,low
322,1,5,low,low,medium,low,low,low,low,low,medium,low
323,1,4,medium,medium,low,medium,medium,low,medium,medium,medium,low
324,1,5,medium,medium,medium,medium,medium,low,medium,medium,medium,low
325,1,4,low,medium,low,medium,low,low,low,low,medium,low
326,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
327,1,4,medium,low,medium,medium,medium,medium,medium,medium,medium,low
328,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
329,1,4,low,low,low,low,low,low,low,low,low,low
330,1,4,low,low,medium,medium,medium,low,low,low,medium,low
331,1,4,low,medium,medium,medium,medium,low,medium,medium,medium,low
332,1,3,low,medium,medium,low,medium,low,medium,low,medium,low
333,1,3,low,low,medium,medium,medium,low,medium,low,medium,low
334,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
335,1,3,low,low,low,low,low,low,low,low,low,low
336,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
337,1,4,low,medium,medium,medium,medium,low,low,medium,medium,low
338,1,3,low,low,low,low,low,low,low,low,medium,low
339,1,4,medium,medium,medium,medium,medium,low,medium,medium,medium,low
340,1,5,medium,medium,medium,medium,medium,low,medium,medium,medium,low
341,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
342,1,5,medium,medium,medium,medium,medium,low,medium,medium,medium,low
343,1,4,low,low,low,low,medium,low,low,low,low,low
345,1,5,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
346,1,6,low,medium,medium,medium,medium,low,low,medium,medium,medium
347,1,4,low,low,low,low,low,low,low,low,low,low
348,1,5,low,low,low,low,low,low,low,low,low,low
349,1,3,low,low,low,low,low,low,low,low,low,low
350,1,3,low,medium,low,medium,low,low,low,low,low,low
351,1,3,low,medium,medium,medium,medium,low,low,medium,medium,medium
352,1,3,low,low,low,low,low,low,low,low,medium,low
353,1,2,low,low,low,low,low,low,low,low,low,low
354,1,3,low,low,low,low,low,low,low,low,low,low
355,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
356,1,5,low,low,low,low,medium,low,low,low,medium,low
357,1,4,low,medium,medium,medium,medium,low,low,medium,medium,low
358,1,3,low,low,low,medium,low,low,low,low,medium,low
359,1,1,medium,medium,high,medium,medium,medium,medium,medium,medium,medium
360,1,4,low,low,low,low,low,low,low,low,low,low
361,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
362,1,4,low,medium,low,medium,medium,low,low,low,medium,low
363,1,3,low,low,medium,low,low,low,low,low,medium,low
364,1,5,medium,medium,low,medium,medium,low,medium,low,medium,low
365,1,4,low,low,low,low,low,low,low,low,medium,low
366,1,3,low,medium,low,low,low,low,low,low,low,low
367,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
368,1,3,low,low,medium,medium,low,low,medium,low,medium,low
369,1,3,low,medium,medium,low,medium,low,low,low,medium,low
370,1,5,low,medium,low,medium,low,low,low,low,low,low
371,1,4,low,low,low,low,low,low,low,low,low,low
372,1,4,low,low,medium,medium,medium,medium,medium,medium,medium,low
373,1,3,low,low,low,low,low,low,low,low,low,low
374,1,3,low,medium,medium,low,low,low,medium,low,medium,low
375,1,1,low,low,low,low,low,low,low,low,low,low
376,1,3,low,medium,medium,medium,medium,low,low,medium,medium,low
377,1,4,low,low,low,low,low,low,low,low,medium,low
378,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
379,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
380,1,4,low,low,medium,medium,low,low,medium,low,medium,low
381,1,4,low,low,low,low,low,low,low,low,low,low
382,1,4,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
383,1,4,medium,low,low,medium,medium,low,medium,medium,medium,low
384,1,4,low,low,medium,medium,low,low,low,low,medium,low
385,1,6,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
386,1,4,medium,low,medium,medium,medium,medium,medium,medium,medium,medium
387,1,4,low,low,low,low,low,low,low,low,medium,low
388,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
389,1,3,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
390,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
391,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
392,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
393,1,3,low,low,medium,low,medium,low,medium,low,medium,low
394,1,3,low,medium,medium,medium,medium,low,low,medium,medium,low
395,1,2,low,low,low,low,low,low,low,low,medium,low
396,1,3,low,low,low,low,low,low,low,low,low,low
397,1,4,low,medium,medium,low,medium,low,medium,low,medium,low
398,1,5,low,medium,medium,medium,medium,medium,low,medium,medium,medium
399,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
400,1,3,low,low,low,low,low,low,low,low,low,low
401,1,2,low,low,low,low,low,low,low,low,low,low
402,1,3,low,medium,medium,medium,medium,low,medium,medium,medium,low
403,1,4,low,low,low,medium,low,low,medium,low,low,low
404,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
405,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
406,1,3,low,medium,low,low,low,low,low,low,low,low
407,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
408,1,3,low,low,low,low,low,low,low,low,low,low
409,1,3,low,low,low,low,medium,low,low,low,medium,low
410,1,3,low,low,low,low,low,low,low,low,medium,low
411,1,5,low,medium,low,medium,medium,low,medium,low,medium,low
412,1,5,medium,low,medium,medium,medium,low,medium,medium,medium,low
413,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
414,1,3,low,low,low,low,low,low,low,low,low,low
415,1,3,low,medium,medium,medium,medium,low,medium,medium,medium,medium
416,1,3,low,low,low,low,low,low,low,low,low,low
417,1,3,low,low,low,medium,low,low,low,low,low,low
418,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
419,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
420,1,4,low,low,low,low,low,low,low,low,low,low
421,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
422,1,3,low,low,low,low,low,low,low,low,low,low
423,1,4,low,medium,medium,medium,medium,low,medium,medium,medium,low
424,1,4,medium,low,low,medium,medium,low,medium,medium,medium,low
425,1,5,low,low,low,low,low,low,low,low,medium,low
426,1,5,medium,medium,medium,medium,medium,low,medium,medium,medium,low
427,1,5,low,medium,low,low,low,low,low,low,low,low
428,1,4,low,low,low,medium,medium,low,low,low,medium,low
429,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
430,1,5,low,low,low,low,low,low,low,low,low,low
431,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
432,1,3,low,low,low,medium,low,low,low,low,low,low
433,1,5,low,medium,medium,medium,medium,low,medium,medium,medium,low
434,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
435,1,4,low,medium,medium,low,low,low,low,low,medium,low
436,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
437,1,5,low,medium,medium,medium,low,low,medium,low,medium,low
438,1,3,low,medium,medium,low,low,low,low,low,low,low
439,1,4,low,low,low,low,low,low,low,low,medium,low
440,1,3,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
441,1,3,low,low,low,low,low,low,low,low,low,low
442,1,5,low,medium,medium,medium,medium,low,medium,low,medium,low
443,1,3,low,medium,medium,medium,medium,low,low,medium,medium,low
444,1,4,low,low,low,low,low,low,low,low,low,low
445,1,3,low,medium,medium,medium,low,low,low,low,medium,low
446,1,5,low,low,low,medium,medium,low,low,low,low,low
