essay_id,Grammar_score,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10
0465517EB6B7,3.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
04659704890C,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
046C6FB91CBA,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
046ECC91332C,3.5,medium,medium,low,low,medium,medium,low,low,medium,medium
04788D56AC58,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
047BD3CB80B4,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0484BCFC725D,3.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
04ACA7EB3994,3.5,low,low,low,low,low,low,low,low,medium,medium
04B3A4DD9460,3.0,low,low,low,low,low,low,low,low,low,medium
04B6FD84A066,4.0,medium,high,medium,medium,medium,medium,medium,medium,medium,medium
04C2DA8069E7,2.0,low,low,low,low,low,low,low,low,low,low
04E1A9EE5BE1,1.5,low,low,low,low,low,low,low,low,low,low
04FA62C5F269,2.0,low,low,low,low,low,low,low,low,low,medium
05021F4CA528,2.5,low,low,low,low,low,low,low,low,low,low
0506BAC596A7,2.0,low,low,low,low,low,low,low,low,low,low
050BFA60C6AF,2.5,low,low,low,low,low,low,low,low,low,low
0514D25768A0,2.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
051C3A22AEE0,2.0,low,low,low,low,low,low,low,low,low,low
053ACB9DFE74,3.0,low,low,low,low,low,low,low,low,low,medium
053C05D2EE43,2.5,low,low,low,low,low,low,low,low,low,medium
0546517E6BAA,3.5,low,low,low,low,low,low,low,low,low,medium
0563F089C239,2.5,medium,high,medium,medium,medium,medium,medium,medium,medium,medium
057E81E19740,2.0,low,low,low,low,low,low,low,low,low,low
057EE790CCEA,3.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
05903AA4540F,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
05ACEDBB9CB4,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
05CE0C0C5102,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
05E5653B781C,3.5,low,low,low,low,low,low,low,low,low,medium
05EC08C05019,3.0,low,low,low,low,low,low,low,low,low,low
05F30981F3EB,3.0,low,medium,low,low,medium,medium,low,medium,medium,medium
05F54CEC774B,3.5,medium,medium,low,low,medium,medium,low,low,medium,medium
0607B495212F,3.0,medium,medium,low,low,medium,medium,low,medium,medium,medium
061AF57CB05C,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
061D2BBACB45,3.0,low,low,low,low,low,low,low,low,low,medium
0623DD5A8E8F,2.0,low,low,low,low,low,low,low,low,low,low
062AE7A344D3,2.0,low,low,low,low,low,low,low,low,low,low
063F809DE304,3.0,medium,high,medium,medium,medium,medium,medium,medium,high,high
064423D845B1,3.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
06737289651D,2.5,low,low,low,low,low,low,low,low,low,low
06C9FC1267BB,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
06E81109FE92,2.0,low,low,low,low,low,low,low,low,low,low
06F368177993,3.0,low,low,low,low,low,low,low,low,low,low
06F5F6A09DC6,4.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
06FA8EF28227,3.0,low,medium,low,low,medium,low,low,low,medium,medium
070D792C65B7,4.0,medium,medium,low,low,medium,medium,low,medium,medium,medium
074FA0221628,3.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
0756FC69B810,2.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
076262AA0CD5,4.5,low,low,low,low,low,low,low,low,low,low
0781753B768E,2.0,medium,medium,medium,low,medium,medium,low,low,medium,medium
079FDB42E429,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
07A4DAFDE5B7,3.0,low,low,low,low,low,low,low,low,low,low
07C6BB6ADA38,3.0,low,medium,low,low,low,low,low,low,low,medium
07CE77EA56C5,4.5,medium,high,medium,high,medium,high,medium,high,high,high
07D5647B11AE,3.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
07DFD9A0986B,2.5,medium,medium,low,low,medium,medium,low,low,medium,medium
07E1633CC87A,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
07F3241EB3C6,3.5,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
0803CE11A14A,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
083E12F6B1D0,3.5,low,low,low,low,low,low,low,low,low,low
084763DC1C8C,2.5,medium,medium,medium,low,medium,medium,low,medium,medium,medium
085C8B43ADD6,2.5,low,low,low,low,low,low,low,low,medium,medium
08683001D359,2.5,low,low,low,low,low,low,low,low,low,low
0877E6A813FE,2.0,medium,medium,medium,low,medium,medium,low,medium,medium,medium
08B25090A80C,3.0,medium,medium,low,low,medium,medium,low,medium,medium,medium
08B72DCFD859,3.0,medium,medium,low,low,medium,medium,medium,medium,medium,medium
08D8232F2D78,3.5,medium,medium,low,low,low,medium,low,low,low,medium
08FAE6E0BDCC,3.0,low,low,low,low,low,low,low,low,low,low
08FC0154E0EF,2.5,low,low,low,low,low,low,low,low,low,medium
08FC47A564AE,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
092BBD374359,3.5,medium,medium,medium,low,medium,medium,low,medium,medium,medium
0943E322C195,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
094684D6DD30,2.0,low,low,low,low,low,low,low,low,low,low
095E153640F7,2.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0985602832CD,3.0,low,low,low,low,low,low,low,low,low,medium
09A801B564F5,3.5,low,low,low,low,low,low,low,low,low,low
09ADB0629CD0,4.0,medium,medium,medium,low,medium,medium,low,medium,medium,medium
09EC2F6B0D24,3.0,medium,medium,low,low,medium,medium,low,medium,medium,medium
0A082DA0A890,2.5,medium,medium,low,low,medium,medium,low,low,medium,medium
0A1482CD6163,4.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0A324290AFE7,3.0,medium,medium,low,low,medium,medium,low,medium,medium,medium
0A3964629F69,2.5,low,low,low,low,low,low,low,low,low,medium
0A4CDC286F8C,3.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
0A8B8F282E45,2.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0AAD73A0AA91,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0AB62AE1C13F,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0ABD502C5BF9,3.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
0AC3C87DC51A,2.5,low,low,low,low,low,low,low,low,low,low
0ACB3F8B9DF8,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0AD69388300B,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0AF4F757FBEA,2.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
0AFAD06336F3,3.5,medium,medium,low,low,medium,medium,low,low,medium,medium
0AFC8CE27321,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0AFEC3CC53B5,2.0,low,low,low,low,low,low,low,low,low,low
0B00BC4CBABC,3.5,medium,high,medium,medium,medium,medium,medium,medium,medium,high
0B1599B11FCF,2.5,low,low,low,low,low,low,low,low,low,low
0B3118834B72,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0B478E81218B,3.5,low,low,low,low,low,low,low,low,low,low
0B6316123881,2.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0B720B5EA0E9,3.0,low,low,low,low,medium,medium,low,low,low,medium
0B72A4344B3E,2.5,medium,high,low,low,medium,medium,low,medium,medium,medium
0B84A2B37B65,3.0,medium,low,low,low,low,medium,low,low,low,medium
0B953049AE1E,3.5,medium,high,medium,medium,medium,medium,medium,medium,high,high
0BB7AF7A448C,2.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
0BB9FAE6E27B,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0BDADA3AFF77,3.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
0BEB8F7F5A64,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0BF56A2681D3,4.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0C1EDBE2EEC3,3.5,medium,medium,medium,low,medium,medium,medium,low,medium,medium
0C28481DFBB8,2.5,low,low,low,low,low,low,low,low,low,low
0C30A2A5D998,2.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0C699C871AA5,3.5,low,medium,low,low,low,low,low,low,low,medium
0C7D385D812A,2.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0C88A0C1602B,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0C88E7BE611B,2.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0C8D699DEE90,2.0,low,low,low,low,low,low,low,low,low,low
0C91926E2BC6,3.5,medium,medium,low,low,medium,medium,medium,medium,medium,medium
0CB1237268E3,3.0,low,high,low,low,medium,low,low,low,medium,medium
0CCB18D0CAB7,2.5,low,low,low,low,low,low,low,low,low,low
0CFDDC1CF75A,2.0,low,low,low,low,low,low,low,low,low,low
0D00750E249B,2.0,low,low,low,low,low,low,low,low,low,low
0D0CADFF33DF,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0D23E504FBC0,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0D382343F3D7,4.0,low,low,low,low,low,low,low,low,low,medium
0D5DA97CCEAE,2.5,low,low,low,low,medium,low,low,low,medium,medium
0D65AF80CDE7,2.5,low,low,low,low,low,low,low,low,low,low
0D807ABE1BB3,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0D8EC8868869,2.0,low,low,low,low,low,low,low,low,low,low
0D9288F0A6C9,3.5,low,low,low,low,low,low,low,low,low,medium
0DB44DDF91E6,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0DC7DEF31BE5,2.0,low,low,low,low,low,low,low,low,low,low
0DF2006FC8F1,3.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
0E03218FDD2F,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0E07647BBC59,3.0,medium,medium,medium,low,medium,medium,low,medium,medium,medium
0E14B9D24898,2.5,low,low,low,low,low,low,low,low,low,low
0E22A47D358E,2.0,medium,medium,low,low,medium,medium,medium,medium,low,medium
0E26C20CFBBE,2.5,low,low,low,low,medium,low,low,low,medium,medium
0E3C1F059C31,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0E4FA5AC1EC1,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0E5C8FE6867B,2.0,low,low,low,low,low,low,low,low,low,low
0E6BB199BF93,2.5,low,medium,low,low,low,low,low,low,low,medium
0E9FC972215F,3.5,low,low,low,low,medium,medium,low,low,medium,medium
0EBED6896F51,3.5,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
0EC392C06372,2.5,low,low,low,low,low,low,low,low,low,low
0EC7D67618F4,2.5,low,low,low,low,low,low,low,low,low,low
0ED9E0B4AC30,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0EE67777ABB5,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0EEE49F99224,2.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0F19DD8FEEDC,3.0,low,medium,low,low,medium,medium,low,medium,medium,medium
0F32DDCBECB6,3.0,low,low,low,low,medium,medium,low,low,low,medium
0F3EC382C3CB,4.0,medium,medium,low,low,medium,medium,low,medium,medium,medium
0F473C4B0103,3.0,medium,medium,medium,low,medium,low,low,low,medium,medium
0F563E567370,3.0,medium,medium,low,low,low,medium,low,low,medium,medium
0F634E9B3E9C,2.5,low,low,low,low,low,low,low,low,low,low
0F7900292BB6,3.0,low,low,low,low,low,low,low,low,low,low
0F7DB6BD1AD5,3.0,medium,medium,low,low,medium,medium,low,low,medium,medium
0F8436260047,4.5,low,low,low,low,low,low,low,low,low,low
0F84CCFB4982,2.0,low,low,low,low,low,low,low,low,low,low
0F8F499BAAB9,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0F9FDD188673,3.0,low,medium,low,low,medium,medium,medium,low,medium,medium
0FD73E4EED03,2.5,low,low,low,low,low,low,low,low,low,low
0FF307182628,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0FFB44B5D0C2,3.5,medium,low,low,low,medium,low,low,low,medium,medium
101576652D3B,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
101E0C554F66,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
101E64C9DA0E,3.5,medium,medium,low,low,medium,medium,low,medium,medium,medium
1087B6C7FB98,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
108CA77CBAB4,3.5,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
10988CD16BF3,4.0,medium,medium,medium,medium,medium,medium,medium,medium,high,medium
109D8D4A91FC,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
10A367BB87EB,3.5,medium,high,medium,medium,medium,medium,medium,medium,medium,medium
10AC7944DC4A,2.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
10BE9BFD7D41,2.5,low,low,low,low,low,low,low,low,low,medium
10D0BBF44479,2.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
10D2D1173D36,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
10D3A9E5E79E,3.5,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
10D5A47D0859,2.0,low,low,low,low,low,low,low,low,low,low
10D60ACB3E5D,2.0,low,low,low,low,low,low,low,low,low,low
10DA9316D02D,2.5,medium,medium,low,low,medium,medium,low,medium,medium,medium
10DF0ACB336C,3.0,low,low,low,low,medium,low,low,low,medium,medium
10E11F30F47C,2.0,low,low,low,low,low,low,low,low,low,low
10ECA491D66C,3.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
10F5D7C3719C,2.5,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
112AA24D20BC,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
113436EC45E2,2.0,low,low,low,low,low,low,low,low,low,low
113B1543C433,2.5,medium,medium,low,low,medium,medium,low,medium,medium,medium
11402548A471,3.5,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
11598C88FBA4,3.0,low,low,low,low,low,low,low,low,low,medium
1170D6863F27,2.5,low,low,low,low,low,low,low,low,low,medium
11DD0B26B584,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
11E5C01714C5,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
11E9348F5072,3.0,medium,medium,low,low,medium,medium,low,medium,medium,medium
1202062A4FA5,2.5,medium,medium,low,low,medium,medium,low,low,medium,medium
1204D17C682A,2.0,low,low,low,low,low,low,low,low,low,low
120FE0B76D5C,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1214E4605B0C,3.5,low,low,low,low,medium,medium,low,low,low,medium
1247CB034EF7,4.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
125C1167A84A,3.0,low,low,low,low,low,low,low,low,low,low
125CD13D5FA4,3.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
125E7C6E0D31,3.0,medium,medium,medium,low,medium,medium,low,medium,medium,medium
126555810C31,2.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1271A68BDC00,3.5,medium,high,medium,medium,medium,medium,medium,medium,high,medium
1274667FF6E3,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
12796C5A0480,2.0,low,low,low,low,low,low,low,low,low,low
128161F8B117,3.0,medium,medium,low,low,medium,medium,medium,medium,medium,medium
12920189F7BB,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
12CA89146E91,2.5,low,low,low,low,low,low,low,low,low,low
12E3D52345C6,4.5,high,high,high,high,high,high,high,high,high,high
12F2BF34883F,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
12F89E196E97,3.5,medium,high,medium,high,medium,medium,medium,medium,high,medium
12FE853D6B88,4.5,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
1300AD075785,3.0,medium,low,low,low,medium,low,low,low,medium,medium
130CA439835B,2.5,low,low,low,low,low,low,low,low,low,low
13450D581EC9,3.0,low,low,low,low,low,low,low,low,low,low
1348668DF845,3.5,low,medium,low,low,low,low,low,low,low,low
134937CE445C,3.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
13578C0BCC3C,3.5,low,low,low,low,low,low,low,low,low,low
136B3124BE79,2.5,low,low,low,low,low,low,low,low,low,medium
136F4548CFD0,2.5,low,low,low,low,medium,low,low,low,low,medium
13A94BBE2B24,3.5,medium,medium,low,low,medium,medium,medium,medium,medium,medium
13AB4CC7F80F,3.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
13C400DD9794,2.0,low,low,low,low,low,low,low,low,low,low
13D960FD28CD,3.5,low,low,low,low,low,low,low,low,low,low
13E1CB9819CB,4.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
13FDCF58A955,3.5,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
14409A305AB3,3.5,low,low,low,low,low,low,low,low,medium,medium
144671E445D0,2.5,medium,medium,low,low,medium,medium,low,low,medium,medium
1451EA314B8A,3.5,medium,high,medium,medium,medium,medium,medium,medium,medium,medium
14AC534FFE42,3.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
14CC79B9F334,3.5,medium,medium,low,low,medium,medium,low,low,medium,medium
14D2867090F2,4.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
14ED79D68BC4,2.5,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
14EE006078C4,2.5,low,low,low,low,low,low,low,low,low,low
150C42083D49,4.5,medium,medium,low,low,low,low,low,low,low,medium
15125AF6CB82,2.5,medium,medium,low,low,medium,medium,low,medium,medium,medium
1535E922B3AA,3.0,low,low,low,low,low,low,low,low,low,medium
153C3543E432,3.5,low,low,low,low,low,low,low,low,low,medium
15847C58ED47,3.0,low,low,low,low,low,low,low,low,low,low
1590895B2332,3.0,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
1594F1B5DED6,2.5,low,low,low,low,low,low,low,low,low,low
15968BD9B40A,3.5,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
15AC952FFBC1,3.5,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
15B68B826F8D,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
15BD3759DC85,3.5,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
15BDA0989B56,2.0,low,low,low,low,low,low,low,low,low,low
15D10C4DBA29,3.0,low,low,low,low,medium,low,low,low,low,medium
15F6B5C6229A,2.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
15FD5B635B50,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
16005A45A20A,3.5,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
161779A176BD,3.5,medium,medium,low,low,medium,low,low,low,medium,medium
161E5C8A6719,3.5,low,medium,low,low,low,low,low,low,low,medium
161F2D351A92,2.5,medium,low,low,low,medium,medium,medium,low,medium,medium
163A54729CAA,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
163AC455E1DF,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1649A2246587,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
164D6D056A48,4.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
168958FC7315,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
168C858F93A3,3.0,low,low,low,low,low,low,low,low,low,low
16B45E8AA9F3,2.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
16B9EB49892E,2.5,low,low,low,low,low,low,low,low,low,low
16C3B49CFB43,2.5,medium,medium,low,low,medium,medium,medium,medium,medium,medium
16C794A0F479,3.0,low,low,low,low,low,low,low,low,low,low
16DA6810DEF3,3.5,medium,low,low,low,medium,low,low,low,medium,medium
16DEF72E220A,2.5,medium,medium,medium,low,medium,medium,medium,low,medium,medium
1703E46B4DC9,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
17085E68BA88,4.5,medium,medium,low,low,medium,medium,low,low,medium,medium
171E655CC8F1,2.0,low,low,low,low,low,low,low,low,low,low
1721F085F81E,2.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
17230E94E6CF,2.5,low,low,low,low,low,low,low,low,low,low
172C8C3F5976,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
172F67E7FBBC,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1736153EF81F,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
174C4761FEA2,4.0,medium,high,medium,high,medium,high,high,medium,high,high
1767698C3969,3.5,low,low,low,low,low,low,low,low,low,low
17D51D57629D,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
17E1D83B4708,3.5,medium,high,medium,high,medium,medium,medium,medium,high,high
17E521D5F29C,3.0,low,low,low,low,low,low,low,low,low,medium
1829D6D139C2,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1846CE5F244D,3.0,low,low,low,low,medium,low,low,low,medium,medium
1849B89A02D6,4.0,low,low,low,low,low,low,low,low,medium,medium
185E2F7317F2,3.5,low,low,low,low,low,low,low,low,low,low
188FE8830590,4.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
18D47A791678,3.5,medium,medium,low,low,medium,medium,low,low,medium,medium
18EA27A2E333,3.0,medium,medium,medium,low,medium,medium,low,medium,medium,medium
18FDAA0BF6A2,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1928846BB272,2.5,medium,low,low,low,medium,low,low,low,medium,medium
192D02CF8C9E,2.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
194E86ED4117,3.0,medium,high,medium,medium,medium,medium,medium,medium,medium,high
196096A1C048,4.5,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
196EE083F6D0,2.5,low,low,low,low,low,low,low,low,low,low
197F95A99618,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
19864CA2672E,2.5,low,low,low,low,medium,low,low,low,low,medium
198F2ABF2971,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
19D55405175F,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
19DDF17CA4DC,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1A039B3091BA,2.5,low,low,low,low,low,low,low,low,low,medium
1A17F32415FD,2.5,medium,medium,low,low,medium,medium,low,low,medium,medium
1A2894059051,3.5,low,low,low,low,low,low,low,low,medium,medium
1A2895AB84D7,3.0,low,low,low,low,low,low,low,low,low,low
1A3D750157B1,2.0,low,low,low,low,low,low,low,low,low,low
1A469EB86263,2.0,low,low,low,low,low,low,low,low,low,low
1A56FC79C084,2.0,low,low,low,low,low,low,low,low,low,medium
1AA55FB101FD,3.0,low,low,low,low,low,low,low,low,low,low
1AD12415C4DB,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1AE2E7D8DFA3,3.0,low,low,low,low,low,low,low,low,low,medium
1B056DE0E856,3.0,low,low,low,low,low,low,low,low,low,low
1B2274161889,3.5,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
1B4C8AD95EB5,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1B622A28EDD9,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
1B7B007D6E1C,2.5,low,low,low,low,low,low,low,low,medium,medium
1B981E7E59C5,3.0,low,low,low,low,low,low,low,low,medium,medium
1BA1FD29BF69,3.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
