essay_id,prompt_id,word_choice_score,question1,question2,question3,question4,question5,question6,question7,question8
42,1,3,low,low,low,low,low,low,medium,medium
43,1,2,medium,medium,low,low,low,medium,medium,medium
44,1,3,low,low,low,low,low,medium,high,medium
45,1,3,low,low,low,low,low,low,medium,medium
46,1,4,medium,low,low,low,low,medium,medium,medium
47,1,3,medium,medium,low,medium,low,medium,medium,medium
48,1,5,medium,medium,medium,medium,medium,medium,medium,medium
49,1,3,medium,low,low,low,low,medium,high,medium
50,1,1,medium,low,low,low,low,medium,medium,medium
51,1,3,medium,low,low,low,low,medium,medium,medium
52,1,3,medium,low,low,low,low,medium,medium,medium
53,1,3,medium,medium,low,medium,low,medium,medium,medium
54,1,4,medium,medium,medium,medium,low,medium,medium,medium
55,1,3,low,low,low,low,low,low,medium,medium
56,1,4,medium,medium,medium,medium,low,medium,medium,medium
57,1,4,medium,medium,low,medium,low,medium,medium,medium
58,1,2,low,low,low,low,low,low,medium,high
59,1,3,medium,medium,low,medium,low,medium,medium,medium
60,1,2,low,low,low,low,low,medium,medium,medium
61,1,3,medium,medium,medium,medium,medium,medium,medium,medium
62,1,3,low,low,low,low,low,low,medium,medium
63,1,3,medium,low,low,low,low,medium,medium,high
64,1,2,low,low,low,low,low,low,medium,medium
65,1,4,medium,medium,low,medium,low,medium,medium,medium
66,1,5,medium,medium,medium,medium,low,medium,medium,medium
67,1,4,medium,medium,low,low,low,medium,medium,medium
68,1,4,medium,medium,medium,medium,low,medium,medium,medium
69,1,3,medium,medium,low,low,low,medium,medium,medium
70,1,6,medium,medium,low,medium,low,medium,medium,medium
71,1,4,medium,medium,low,medium,low,medium,medium,medium
72,1,6,medium,medium,medium,medium,low,medium,medium,medium
73,1,3,low,low,low,low,low,low,high,high
74,1,3,medium,medium,low,low,low,medium,medium,medium
75,1,4,medium,medium,medium,medium,low,medium,medium,medium
76,1,3,medium,medium,low,low,low,medium,medium,medium
77,1,4,medium,medium,medium,medium,medium,medium,medium,medium
78,1,4,medium,low,low,low,low,medium,high,medium
79,1,4,low,low,low,low,low,low,medium,high
80,1,3,medium,medium,low,low,low,medium,medium,medium
81,1,3,medium,medium,low,low,low,medium,medium,medium
82,1,5,medium,medium,low,medium,low,medium,medium,medium
83,1,3,medium,medium,medium,medium,low,medium,medium,medium
84,1,2,low,low,low,low,low,low,high,high
85,1,4,medium,medium,low,medium,low,medium,medium,medium
86,1,5,medium,medium,medium,medium,low,medium,medium,medium
87,1,4,medium,medium,low,medium,medium,medium,medium,medium
88,1,5,medium,medium,low,medium,low,medium,medium,medium
89,1,2,low,low,low,low,low,low,high,medium
90,1,3,medium,low,low,low,low,medium,medium,medium
91,1,3,medium,medium,low,low,low,medium,medium,medium
92,1,4,medium,medium,low,medium,low,medium,medium,medium
93,1,4,medium,medium,medium,medium,medium,medium,medium,medium
94,1,4,medium,low,low,low,low,medium,medium,medium
95,1,5,medium,medium,low,medium,low,medium,medium,medium
96,1,3,medium,medium,low,low,low,medium,medium,medium
97,1,4,medium,medium,medium,medium,medium,medium,medium,medium
98,1,5,medium,medium,medium,medium,medium,medium,medium,medium
99,1,3,low,low,low,low,low,low,high,high
100,1,2,low,low,low,low,low,low,high,high
101,1,4,medium,medium,low,medium,medium,medium,medium,medium
102,1,5,medium,medium,low,low,low,medium,medium,medium
103,1,5,medium,medium,low,medium,low,medium,medium,medium
104,1,5,medium,medium,low,low,low,medium,medium,medium
105,1,4,medium,low,low,low,low,low,high,high
106,1,5,medium,medium,medium,medium,medium,medium,medium,medium
107,1,4,medium,medium,medium,medium,medium,medium,medium,medium
108,1,3,medium,medium,low,low,low,medium,medium,medium
109,1,4,medium,medium,low,low,low,medium,medium,medium
110,1,3,medium,medium,low,medium,low,medium,medium,medium
111,1,5,medium,medium,low,medium,low,medium,medium,medium
112,1,4,medium,low,low,low,low,medium,high,high
113,1,4,medium,medium,medium,medium,low,medium,medium,medium
114,1,4,medium,medium,low,medium,low,medium,medium,medium
115,1,3,medium,low,low,low,low,low,high,high
116,1,2,medium,low,low,low,low,medium,medium,medium
117,1,4,medium,medium,low,medium,low,medium,medium,medium
118,1,5,medium,medium,medium,medium,low,medium,high,medium
119,1,5,medium,medium,medium,medium,medium,medium,medium,medium
120,1,3,medium,low,low,low,low,medium,medium,medium
121,1,4,low,low,low,low,low,low,high,high
122,1,4,medium,medium,low,low,low,medium,medium,medium
123,1,4,medium,medium,medium,medium,low,medium,medium,medium
124,1,2,medium,medium,low,low,low,medium,medium,medium
125,1,1,low,low,low,low,low,low,high,high
126,1,3,low,low,low,low,low,low,medium,medium
127,1,4,medium,medium,low,medium,low,medium,medium,medium
128,1,5,medium,medium,medium,medium,medium,medium,medium,medium
129,1,4,medium,medium,low,low,low,medium,medium,medium
130,1,6,medium,medium,medium,medium,medium,medium,medium,medium
131,1,4,medium,medium,medium,medium,medium,medium,medium,medium
132,1,5,medium,medium,low,medium,low,medium,high,medium
133,1,4,low,low,low,low,low,low,high,high
134,1,4,medium,medium,low,medium,low,medium,medium,medium
135,1,3,medium,medium,low,low,low,medium,medium,medium
136,1,3,low,low,low,low,low,low,high,high
137,1,3,medium,medium,low,medium,low,medium,medium,medium
138,1,4,medium,medium,low,medium,low,medium,medium,medium
139,1,3,medium,medium,low,low,low,medium,medium,medium
140,1,4,medium,medium,medium,medium,low,medium,medium,medium
141,1,4,medium,medium,medium,medium,medium,medium,medium,medium
142,1,4,medium,medium,low,medium,low,medium,medium,medium
143,1,2,medium,low,low,low,low,medium,medium,medium
144,1,4,medium,medium,low,medium,low,medium,medium,medium
145,1,5,medium,medium,low,medium,low,medium,medium,medium
146,1,2,low,low,low,low,low,low,medium,high
147,1,5,medium,medium,medium,medium,medium,medium,medium,medium
148,1,3,medium,low,low,low,low,medium,medium,medium
149,1,3,low,low,low,low,low,medium,high,medium
150,1,4,medium,medium,low,low,low,medium,medium,medium
151,1,3,medium,medium,low,low,low,medium,medium,medium
152,1,3,medium,medium,low,low,low,medium,medium,medium
153,1,5,medium,medium,low,medium,low,medium,medium,medium
154,1,5,medium,medium,medium,medium,medium,medium,medium,medium
155,1,4,medium,medium,low,low,low,medium,medium,medium
156,1,3,medium,medium,medium,medium,low,medium,medium,medium
157,1,3,medium,medium,low,medium,low,medium,medium,medium
158,1,4,medium,medium,medium,medium,medium,medium,medium,medium
159,1,5,medium,medium,medium,medium,medium,medium,medium,medium
160,1,3,medium,medium,low,medium,medium,medium,medium,medium
161,1,4,medium,medium,low,low,low,medium,medium,medium
162,1,6,medium,medium,medium,medium,medium,medium,medium,medium
163,1,3,low,low,low,low,low,low,high,high
164,1,4,medium,medium,low,medium,low,medium,medium,medium
165,1,3,medium,medium,low,medium,low,medium,medium,medium
166,1,3,medium,medium,medium,medium,medium,medium,medium,medium
167,1,3,medium,medium,low,medium,low,medium,medium,medium
168,1,4,medium,medium,medium,medium,low,medium,medium,medium
169,1,3,medium,medium,medium,medium,low,medium,medium,medium
170,1,3,medium,low,low,low,low,medium,medium,medium
171,1,3,medium,low,low,low,low,medium,medium,medium
172,1,3,medium,low,low,low,low,medium,medium,medium
173,1,3,medium,medium,low,low,low,medium,medium,medium
174,1,3,medium,low,low,low,low,medium,medium,medium
175,1,3,medium,low,low,low,low,medium,medium,medium
176,1,4,medium,medium,low,medium,low,medium,medium,medium
177,1,3,medium,medium,low,medium,low,medium,medium,medium
178,1,3,low,low,low,low,low,low,high,high
179,1,4,medium,medium,medium,medium,low,medium,medium,medium
180,1,4,medium,low,low,low,low,medium,medium,high
181,1,5,medium,medium,medium,medium,medium,medium,medium,medium
182,1,3,medium,low,low,low,low,medium,medium,medium
183,1,4,medium,medium,medium,medium,low,medium,medium,medium
184,1,3,medium,low,low,low,low,medium,medium,medium
185,1,3,medium,low,low,low,low,medium,medium,medium
186,1,3,medium,low,low,low,low,medium,medium,medium
187,1,2,medium,low,low,low,low,medium,medium,medium
188,1,4,medium,medium,low,medium,low,medium,medium,medium
189,1,2,low,low,low,low,low,low,medium,medium
190,1,6,medium,medium,medium,medium,medium,medium,medium,medium
191,1,4,medium,medium,medium,medium,medium,medium,medium,medium
192,1,4,medium,medium,low,low,low,medium,high,medium
193,1,4,medium,medium,medium,medium,low,medium,medium,medium
194,1,4,medium,medium,medium,medium,medium,medium,medium,medium
195,1,2,low,low,low,low,low,low,medium,high
196,1,3,medium,medium,low,low,low,medium,medium,medium
197,1,5,medium,medium,low,medium,medium,medium,medium,medium
198,1,4,medium,medium,low,medium,low,medium,medium,medium
199,1,4,medium,low,low,low,low,medium,high,high
200,1,3,medium,medium,low,medium,low,medium,medium,medium
201,1,5,medium,medium,medium,medium,medium,medium,medium,medium
202,1,4,medium,medium,low,medium,low,medium,medium,medium
203,1,4,medium,medium,low,medium,low,medium,medium,medium
204,1,4,medium,low,low,low,low,medium,high,medium
205,1,4,medium,medium,medium,medium,medium,medium,medium,medium
206,1,4,medium,medium,low,medium,low,medium,medium,medium
207,1,4,medium,medium,low,low,low,medium,medium,medium
208,1,3,medium,medium,medium,medium,low,medium,medium,medium
209,1,2,low,low,low,low,low,low,medium,medium
210,1,3,medium,medium,low,low,low,medium,medium,medium
211,1,3,medium,medium,low,low,low,medium,medium,medium
212,1,3,medium,low,low,low,low,medium,medium,medium
213,1,3,low,low,low,low,low,medium,medium,medium
214,1,3,medium,low,low,low,low,medium,medium,medium
215,1,4,medium,medium,low,medium,low,medium,high,medium
216,1,3,low,low,low,low,low,low,medium,medium
217,1,4,medium,medium,medium,medium,low,medium,medium,medium
218,1,3,low,low,low,low,low,medium,medium,medium
219,1,4,medium,medium,low,low,low,medium,medium,medium
220,1,4,medium,medium,low,medium,low,medium,high,high
221,1,2,medium,medium,medium,medium,low,medium,medium,medium
222,1,5,medium,medium,low,medium,low,medium,medium,medium
223,1,3,medium,low,low,low,low,medium,medium,medium
224,1,4,medium,medium,low,low,low,medium,medium,medium
225,1,5,medium,medium,medium,medium,medium,medium,medium,medium
226,1,3,low,low,low,low,low,medium,medium,medium
227,1,5,medium,medium,low,medium,low,medium,medium,medium
228,1,3,medium,low,low,low,low,medium,medium,medium
229,1,3,medium,medium,low,low,low,medium,medium,medium
230,1,5,medium,medium,medium,medium,low,medium,medium,medium
231,1,4,medium,medium,low,medium,low,medium,medium,medium
232,1,5,medium,medium,medium,medium,medium,medium,medium,medium
233,1,2,low,low,low,low,low,low,medium,high
234,1,4,medium,medium,medium,medium,low,medium,medium,medium
235,1,3,medium,medium,low,low,low,medium,medium,medium
236,1,2,medium,low,low,low,low,medium,medium,medium
237,1,3,medium,low,low,low,low,medium,high,medium
238,1,3,medium,medium,medium,medium,low,medium,medium,medium
239,1,3,medium,medium,low,low,low,medium,medium,medium
240,1,3,medium,low,low,low,low,medium,medium,medium
241,1,3,low,low,low,low,low,low,medium,high
242,1,3,medium,medium,medium,medium,low,medium,medium,medium
243,1,4,medium,medium,low,low,low,medium,high,high
244,1,3,medium,medium,low,low,low,medium,medium,medium
245,1,4,medium,medium,medium,medium,low,medium,medium,medium
246,1,5,medium,medium,medium,medium,medium,medium,medium,medium
247,1,3,medium,medium,low,medium,low,medium,high,medium
248,1,4,medium,medium,low,medium,low,medium,medium,medium
249,1,4,medium,medium,low,medium,low,medium,medium,medium
250,1,4,medium,low,low,low,low,medium,medium,high
251,1,5,medium,medium,medium,medium,low,medium,medium,medium
252,1,3,medium,medium,low,low,low,medium,medium,medium
253,1,2,low,low,low,low,low,low,medium,high
254,1,4,medium,medium,low,low,low,medium,high,medium
255,1,3,medium,medium,medium,medium,low,medium,medium,medium
256,1,3,medium,low,low,low,low,medium,medium,high
257,1,3,medium,low,low,low,low,medium,medium,medium
258,1,5,medium,medium,medium,medium,medium,medium,medium,medium
259,1,4,medium,medium,low,medium,medium,medium,medium,medium
260,1,3,medium,low,low,low,low,medium,medium,medium
261,1,3,medium,medium,low,medium,low,medium,medium,medium
262,1,3,medium,medium,low,low,low,medium,medium,medium
263,1,5,medium,medium,low,medium,low,medium,medium,medium
264,1,5,low,low,low,low,low,low,medium,medium
265,1,4,medium,medium,medium,medium,medium,medium,medium,medium
266,1,6,medium,medium,low,medium,low,medium,medium,medium
267,1,5,medium,medium,medium,medium,low,medium,medium,medium
268,1,3,medium,medium,low,low,low,medium,medium,medium
269,1,3,medium,medium,low,low,medium,medium,medium,medium
270,1,4,medium,medium,low,medium,low,medium,medium,medium
271,1,4,medium,medium,low,low,low,medium,medium,medium
272,1,4,medium,medium,low,medium,low,medium,high,medium
273,1,3,medium,low,low,low,low,medium,medium,high
274,1,3,medium,medium,low,medium,medium,medium,medium,medium
275,1,5,medium,medium,medium,medium,medium,medium,medium,medium
276,1,3,low,low,low,low,low,low,medium,high
277,1,3,medium,medium,medium,medium,low,medium,medium,medium
278,1,4,medium,medium,medium,medium,low,medium,medium,medium
279,1,5,medium,medium,medium,medium,low,medium,medium,medium
280,1,4,medium,medium,medium,medium,medium,medium,medium,medium
281,1,2,low,low,low,low,low,low,medium,medium
282,1,4,medium,medium,medium,medium,low,medium,medium,medium
283,1,3,low,low,low,low,low,low,medium,medium
284,1,3,medium,medium,low,medium,low,medium,medium,medium
285,1,4,medium,medium,low,medium,medium,medium,medium,medium
286,1,1,medium,low,low,low,low,low,medium,medium
287,1,5,medium,medium,medium,medium,medium,medium,medium,medium
288,1,3,medium,medium,low,medium,low,medium,medium,medium
289,1,4,medium,medium,medium,medium,medium,medium,medium,medium
290,1,5,medium,medium,medium,medium,medium,medium,medium,medium
291,1,5,medium,medium,medium,medium,medium,medium,medium,medium
292,1,5,medium,medium,medium,medium,low,medium,medium,medium
293,1,3,low,low,low,low,low,low,medium,medium
294,1,4,medium,low,low,low,low,low,high,high
295,1,4,low,low,low,low,low,medium,high,medium
296,1,4,medium,medium,low,low,low,medium,high,medium
297,1,3,medium,low,low,low,low,medium,medium,high
298,1,4,medium,medium,low,low,low,medium,high,medium
299,1,4,medium,medium,low,low,low,medium,medium,medium
300,1,3,low,low,low,low,medium,low,high,high
301,1,4,medium,low,low,low,low,medium,medium,medium
302,1,5,medium,medium,medium,medium,medium,medium,medium,medium
303,1,4,medium,medium,low,medium,medium,medium,medium,medium
304,1,4,medium,medium,low,low,low,medium,high,medium
305,1,4,medium,medium,medium,medium,low,medium,medium,medium
306,1,5,medium,medium,medium,medium,medium,medium,medium,medium
307,1,3,medium,medium,medium,medium,medium,medium,medium,medium
308,1,2,low,low,low,low,low,low,medium,medium
309,1,3,medium,medium,low,medium,low,medium,medium,medium
310,1,4,medium,medium,low,medium,low,medium,medium,medium
311,1,3,medium,medium,low,low,low,medium,medium,medium
312,1,3,low,low,low,low,low,low,high,medium
314,1,3,medium,medium,low,low,low,medium,medium,medium
315,1,5,medium,medium,medium,medium,low,medium,medium,medium
316,1,5,medium,medium,medium,medium,medium,medium,medium,medium
317,1,5,medium,medium,medium,medium,low,medium,medium,medium
318,1,3,medium,medium,low,low,low,medium,medium,medium
319,1,3,medium,low,low,medium,low,medium,medium,medium
320,1,3,medium,low,low,low,low,medium,medium,medium
321,1,5,medium,medium,medium,medium,medium,medium,medium,medium
322,1,5,medium,medium,low,low,low,medium,medium,medium
323,1,4,medium,low,low,low,low,medium,medium,medium
324,1,4,medium,medium,medium,medium,low,medium,medium,medium
325,1,4,medium,low,low,low,low,medium,medium,medium
326,1,5,medium,medium,medium,medium,low,medium,medium,medium
327,1,3,medium,medium,low,medium,low,medium,medium,medium
328,1,3,medium,medium,low,low,low,medium,medium,medium
329,1,3,medium,medium,low,low,low,medium,medium,medium
330,1,4,medium,medium,low,medium,low,medium,high,medium
331,1,4,medium,medium,medium,medium,medium,medium,medium,medium
332,1,3,medium,low,low,low,low,medium,medium,medium
333,1,3,medium,medium,low,medium,low,medium,medium,medium
334,1,4,medium,low,low,low,low,medium,high,medium
335,1,3,medium,low,low,low,low,medium,medium,medium
336,1,4,medium,medium,medium,medium,medium,medium,medium,medium
337,1,4,medium,medium,medium,medium,low,medium,medium,medium
338,1,3,low,low,low,low,low,low,high,high
339,1,4,medium,medium,low,medium,low,medium,medium,medium
340,1,5,medium,medium,medium,medium,low,medium,medium,medium
341,1,4,medium,medium,low,medium,low,medium,medium,medium
342,1,5,medium,medium,low,medium,low,medium,medium,medium
343,1,3,medium,low,low,low,low,low,medium,medium
345,1,5,medium,medium,medium,medium,low,medium,medium,medium
346,1,6,medium,medium,medium,medium,low,medium,high,medium
347,1,3,medium,medium,low,low,low,medium,medium,medium
348,1,4,medium,medium,low,low,low,medium,medium,medium
349,1,3,low,low,low,low,low,low,medium,high
350,1,4,medium,low,low,low,low,medium,high,medium
351,1,4,medium,medium,low,medium,low,medium,medium,medium
352,1,3,low,low,low,low,low,low,medium,high
353,1,2,low,low,low,low,low,low,high,medium
354,1,3,medium,medium,low,low,low,medium,high,medium
355,1,4,medium,medium,low,low,low,medium,medium,medium
356,1,4,medium,medium,medium,medium,low,medium,medium,medium
357,1,3,medium,low,low,low,low,medium,medium,medium
358,1,3,medium,medium,low,medium,low,medium,medium,medium
359,1,1,medium,medium,medium,medium,medium,medium,medium,low
360,1,3,medium,low,low,low,low,low,high,high
361,1,4,medium,medium,low,medium,low,medium,medium,medium
362,1,4,medium,medium,low,medium,low,medium,medium,medium
363,1,3,medium,medium,low,low,low,medium,medium,medium
364,1,5,medium,medium,medium,medium,medium,medium,high,medium
365,1,3,medium,medium,low,low,medium,medium,medium,medium
366,1,3,medium,medium,low,low,low,medium,high,medium
367,1,3,medium,medium,low,medium,low,medium,medium,medium
368,1,3,medium,medium,low,medium,low,medium,medium,medium
369,1,3,medium,medium,low,low,low,medium,medium,high
370,1,6,medium,medium,medium,medium,medium,medium,medium,medium
371,1,3,medium,medium,low,low,low,medium,medium,medium
372,1,4,medium,medium,low,medium,low,medium,high,medium
373,1,3,medium,medium,low,low,low,medium,medium,medium
374,1,3,medium,medium,low,low,low,medium,medium,medium
375,1,1,low,low,low,low,low,low,high,high
376,1,3,medium,low,low,low,low,medium,medium,high
377,1,4,medium,medium,medium,medium,medium,medium,medium,medium
378,1,4,medium,medium,medium,medium,low,medium,medium,medium
379,1,4,medium,medium,low,medium,medium,medium,medium,medium
380,1,4,medium,medium,low,medium,medium,medium,medium,medium
381,1,4,medium,medium,medium,medium,medium,medium,medium,medium
382,1,3,medium,medium,low,medium,low,medium,medium,medium
383,1,4,medium,medium,medium,medium,low,medium,medium,medium
384,1,4,medium,medium,low,low,low,medium,medium,medium
385,1,6,medium,medium,medium,medium,low,medium,medium,medium
386,1,4,medium,medium,medium,medium,low,medium,medium,medium
387,1,4,medium,medium,low,low,low,medium,medium,medium
388,1,3,medium,medium,medium,medium,low,medium,medium,medium
389,1,3,medium,medium,low,low,low,medium,medium,medium
390,1,4,medium,medium,medium,medium,low,medium,medium,medium
391,1,5,medium,medium,low,medium,low,medium,medium,medium
392,1,3,medium,medium,low,low,low,medium,medium,medium
393,1,3,medium,low,low,low,low,medium,medium,high
394,1,2,medium,low,low,low,low,medium,medium,medium
395,1,2,low,low,low,low,low,low,medium,high
396,1,3,low,low,low,low,low,low,medium,medium
397,1,4,medium,medium,low,medium,medium,medium,medium,medium
398,1,4,medium,medium,medium,medium,medium,medium,medium,medium
399,1,4,medium,medium,medium,medium,low,medium,medium,medium
400,1,3,medium,low,low,low,low,medium,medium,high
401,1,2,low,low,low,low,low,low,medium,medium
402,1,3,medium,medium,low,medium,low,medium,medium,medium
403,1,3,medium,medium,low,low,low,medium,medium,medium
404,1,3,medium,medium,low,low,low,medium,medium,medium
405,1,5,medium,medium,low,medium,low,medium,high,medium
406,1,3,low,low,low,low,low,low,high,high
407,1,3,medium,medium,low,medium,low,medium,medium,medium
408,1,3,medium,medium,low,low,low,medium,medium,medium
409,1,3,medium,low,low,low,low,medium,high,medium
410,1,3,medium,low,low,low,low,medium,medium,medium
411,1,5,medium,medium,low,medium,low,medium,medium,medium
412,1,5,medium,medium,low,low,low,medium,medium,medium
413,1,4,medium,medium,low,low,low,medium,medium,medium
414,1,3,low,low,low,low,low,low,medium,medium
415,1,3,medium,medium,low,medium,low,medium,medium,medium
416,1,3,low,low,low,low,low,low,high,medium
417,1,3,low,low,low,low,low,low,high,high
418,1,5,medium,medium,medium,medium,low,medium,medium,medium
419,1,3,medium,medium,low,low,low,medium,medium,medium
420,1,4,low,low,low,low,low,low,medium,high
421,1,3,medium,medium,medium,medium,medium,medium,medium,medium
422,1,3,low,low,low,low,low,low,medium,high
423,1,3,medium,medium,low,medium,low,medium,medium,medium
424,1,4,medium,medium,low,medium,low,medium,high,medium
425,1,5,medium,medium,medium,medium,low,medium,medium,medium
426,1,5,medium,medium,medium,medium,low,medium,medium,medium
427,1,5,medium,medium,low,medium,low,medium,medium,medium
428,1,3,medium,medium,low,low,low,medium,medium,medium
429,1,5,medium,medium,medium,medium,low,medium,medium,medium
430,1,4,medium,low,low,low,low,medium,high,high
431,1,4,medium,medium,medium,medium,low,medium,medium,medium
432,1,3,medium,medium,low,low,medium,medium,medium,medium
433,1,5,medium,medium,low,low,low,medium,high,high
434,1,3,medium,medium,low,low,low,medium,medium,medium
435,1,4,medium,medium,medium,medium,medium,medium,medium,medium
436,1,3,medium,medium,low,medium,low,medium,medium,medium
437,1,5,medium,medium,medium,medium,medium,medium,medium,medium
438,1,3,medium,medium,low,low,low,medium,medium,medium
439,1,4,medium,medium,low,medium,low,medium,medium,medium
440,1,3,medium,medium,low,low,low,medium,medium,medium
441,1,3,medium,medium,low,low,low,medium,medium,medium
442,1,5,medium,medium,low,low,low,medium,medium,medium
443,1,3,medium,low,low,low,low,medium,medium,medium
444,1,4,medium,medium,low,medium,low,medium,medium,medium
445,1,3,low,low,low,low,low,low,medium,medium
446,1,6,medium,medium,low,medium,low,medium,medium,medium
447,1,4,medium,medium,low,medium,medium,medium,high,medium
448,1,4,medium,medium,low,medium,low,medium,medium,high
449,1,1,low,low,low,low,low,low,medium,medium
450,1,4,medium,medium,low,medium,low,medium,medium,medium
451,1,3,medium,medium,low,low,low,medium,medium,medium
452,1,3,low,low,low,low,low,low,high,medium
453,1,4,low,low,low,low,low,low,medium,high
454,1,4,medium,medium,low,medium,low,medium,medium,medium
455,1,1,low,low,low,low,low,low,high,high
456,1,2,low,low,low,low,low,low,high,high
457,1,6,medium,medium,medium,medium,medium,medium,medium,medium
458,1,4,medium,medium,low,low,low,medium,medium,medium
459,1,3,medium,medium,low,medium,medium,medium,medium,medium
460,1,4,medium,medium,low,low,low,medium,medium,medium
461,1,3,medium,medium,low,low,low,medium,medium,medium
462,1,4,medium,medium,medium,medium,low,medium,medium,medium
463,1,4,medium,medium,low,medium,low,medium,medium,medium
464,1,3,low,low,low,low,low,low,medium,medium
465,1,4,low,low,low,low,low,low,medium,medium
466,1,4,medium,medium,low,medium,low,medium,medium,medium
467,1,4,medium,medium,low,medium,low,medium,medium,medium
468,1,3,medium,low,low,low,low,medium,medium,medium
469,1,4,medium,medium,low,medium,low,medium,medium,medium
470,1,4,medium,medium,low,medium,low,medium,medium,medium
471,1,3,medium,medium,low,medium,low,medium,medium,medium
472,1,5,medium,medium,low,medium,low,medium,medium,medium
473,1,3,medium,low,low,low,low,medium,medium,medium
474,1,2,low,low,low,low,low,low,medium,high
475,1,4,medium,medium,medium,medium,low,medium,medium,medium
476,1,4,medium,low,low,low,low,medium,medium,medium
477,1,2,low,low,low,low,low,low,medium,high
478,1,5,medium,medium,medium,medium,low,medium,medium,medium
479,1,5,medium,medium,medium,medium,low,medium,medium,medium
480,1,4,low,low,low,low,low,low,high,high
481,1,5,medium,medium,low,medium,low,medium,medium,medium
482,1,3,medium,medium,low,medium,low,medium,medium,medium
483,1,3,medium,medium,low,low,low,medium,medium,medium
484,1,4,medium,low,low,low,low,medium,medium,medium
485,1,4,medium,medium,medium,medium,low,medium,medium,medium
486,1,3,medium,medium,low,medium,medium,medium,medium,medium
487,1,3,low,low,low,low,low,low,high,medium
488,1,3,medium,medium,low,low,low,medium,medium,medium
489,1,5,medium,medium,medium,medium,low,medium,medium,medium
490,1,4,medium,medium,low,medium,low,medium,medium,medium
491,1,3,low,low,low,low,low,low,medium,high
492,1,3,low,low,low,low,low,medium,medium,medium
493,1,3,medium,medium,low,low,low,medium,medium,medium
494,1,4,medium,medium,low,medium,low,medium,medium,medium
495,1,4,medium,medium,low,low,low,medium,medium,medium
496,1,4,medium,low,low,low,low,medium,medium,medium
497,1,5,medium,medium,low,medium,low,medium,medium,medium
498,1,6,medium,medium,medium,medium,low,medium,medium,medium
499,1,4,medium,medium,medium,medium,medium,medium,medium,medium
500,1,4,medium,medium,low,medium,low,medium,medium,medium
501,1,3,low,low,low,low,low,low,medium,high
502,1,2,low,low,low,low,low,low,medium,high
503,1,3,medium,medium,low,low,low,medium,medium,medium
504,1,5,medium,medium,low,medium,low,medium,medium,medium
505,1,4,medium,medium,low,low,low,medium,medium,medium
506,1,3,medium,medium,low,low,low,medium,medium,medium
507,1,3,medium,medium,medium,medium,low,medium,medium,medium
508,1,5,medium,medium,medium,medium,medium,medium,medium,medium
509,1,5,medium,medium,low,medium,low,medium,medium,medium
510,1,3,medium,low,low,low,low,medium,medium,medium
511,1,3,medium,low,low,low,low,medium,medium,medium
512,1,3,medium,low,low,low,low,low,high,high
513,1,4,medium,medium,low,medium,low,medium,medium,medium
514,1,4,medium,low,low,low,low,medium,medium,medium
515,1,3,medium,low,low,low,low,medium,medium,medium
516,1,5,medium,medium,medium,medium,low,medium,medium,medium
