essay_id,prompt_id,content_score,question1,question2,question3,question4,question5
388,1,3.0,high,medium,medium,medium,medium
389,1,3.0,high,medium,medium,medium,medium
390,1,5.0,high,medium,medium,high,medium
391,1,5.0,high,medium,medium,high,medium
392,1,3.0,medium,medium,low,medium,medium
393,1,3.0,low,low,low,low,low
394,1,3.0,low,medium,low,medium,medium
395,1,3.0,low,low,low,low,low
396,1,2.0,low,low,low,low,low
397,1,4.0,high,low,high,high,medium
398,1,5.0,high,medium,low,medium,medium
399,1,5.0,high,high,medium,high,medium
400,1,3.0,low,low,low,medium,medium
401,1,2.0,low,low,low,low,low
402,1,4.0,medium,medium,medium,medium,medium
403,1,4.0,high,medium,medium,medium,medium
404,1,3.0,high,medium,medium,medium,medium
405,1,4.0,high,high,high,high,medium
406,1,3.0,low,low,low,low,low
407,1,4.0,high,medium,medium,medium,medium
408,1,3.0,high,medium,low,medium,medium
409,1,3.0,low,low,low,low,low
410,1,3.0,low,low,low,low,low
411,1,6.0,high,low,high,high,medium
412,1,5.0,high,medium,medium,medium,medium
413,1,4.0,high,medium,medium,medium,medium
414,1,3.0,low,low,low,low,low
415,1,4.0,low,low,low,low,low
416,1,3.0,low,low,low,low,low
417,1,4.0,low,low,low,low,low
418,1,6.0,high,medium,high,high,medium
419,1,3.0,high,medium,low,medium,medium
420,1,5.0,low,low,low,low,low
421,1,3.0,medium,medium,medium,medium,medium
422,1,3.0,low,low,low,low,low
423,1,4.0,high,medium,medium,medium,medium
424,1,5.0,high,high,high,high,high
425,1,5.0,medium,medium,medium,medium,medium
426,1,5.0,high,medium,medium,high,medium
427,1,5.0,high,low,low,low,low
428,1,3.0,medium,low,low,medium,low
429,1,4.0,high,medium,medium,medium,medium
430,1,5.0,high,medium,medium,medium,medium
431,1,4.0,high,low,low,low,medium
432,1,4.0,high,medium,low,medium,low
433,1,5.0,low,low,low,low,medium
434,1,3.0,medium,low,low,medium,medium
435,1,4.0,high,medium,medium,high,medium
436,1,3.0,medium,medium,medium,medium,medium
437,1,4.0,high,medium,low,medium,medium
438,1,4.0,high,low,low,low,low
439,1,4.0,medium,medium,low,medium,medium
440,1,3.0,low,medium,low,medium,low
441,1,4.0,low,low,low,low,low
442,1,5.0,high,medium,low,high,medium
443,1,3.0,medium,medium,medium,medium,medium
444,1,5.0,low,low,low,low,low
445,1,3.0,low,low,low,low,low
446,1,6.0,high,low,medium,high,medium
447,1,5.0,low,low,low,low,low
448,1,4.0,low,low,low,low,low
449,1,1.0,low,low,low,low,low
450,1,4.0,medium,medium,medium,medium,medium
451,1,4.0,high,medium,medium,medium,medium
452,1,3.0,high,medium,medium,medium,medium
453,1,5.0,low,low,low,low,low
454,1,4.0,medium,medium,low,medium,medium
455,1,2.0,low,low,low,low,low
456,1,3.0,low,low,low,low,low
457,1,5.0,high,high,high,high,high
458,1,3.0,low,medium,low,medium,medium
459,1,3.0,high,medium,low,medium,medium
460,1,4.0,high,medium,low,medium,medium
461,1,4.0,high,medium,low,medium,low
462,1,3.0,high,high,medium,high,medium
463,1,4.0,high,high,high,high,medium
464,1,2.0,low,low,low,low,low
465,1,4.0,high,medium,low,medium,medium
466,1,4.0,high,medium,medium,medium,medium
467,1,4.0,high,medium,medium,medium,medium
468,1,3.0,medium,medium,low,medium,medium
469,1,4.0,low,medium,low,medium,medium
470,1,5.0,medium,medium,medium,medium,medium
471,1,4.0,high,medium,low,medium,medium
472,1,5.0,high,medium,high,high,medium
473,1,3.0,medium,low,low,medium,low
474,1,2.0,low,low,low,low,low
475,1,5.0,medium,medium,medium,medium,medium
476,1,4.0,low,low,low,low,low
477,1,2.0,low,low,low,low,low
478,1,5.0,high,medium,low,medium,medium
479,1,6.0,high,high,medium,high,medium
480,1,4.0,low,low,low,low,low
481,1,4.0,high,high,high,high,medium
482,1,4.0,high,low,low,medium,low
483,1,4.0,medium,medium,medium,medium,medium
484,1,3.0,medium,medium,low,medium,medium
485,1,4.0,high,medium,low,medium,medium
486,1,4.0,high,medium,medium,medium,medium
487,1,3.0,low,low,low,low,low
488,1,3.0,low,medium,low,medium,medium
489,1,5.0,high,low,medium,medium,medium
490,1,4.0,high,medium,medium,medium,medium
491,1,3.0,low,low,low,low,low
492,1,3.0,low,low,low,low,low
493,1,4.0,high,medium,medium,medium,medium
494,1,4.0,high,medium,low,low,medium
495,1,5.0,low,low,low,low,low
496,1,5.0,low,low,low,low,low
497,1,5.0,high,medium,low,medium,medium
498,1,6.0,high,high,high,high,medium
499,1,5.0,medium,medium,medium,medium,medium
500,1,5.0,high,medium,medium,high,medium
501,1,3.0,low,low,low,low,low
502,1,2.0,low,low,low,low,low
503,1,4.0,medium,medium,medium,medium,medium
504,1,6.0,high,medium,high,high,medium
505,1,4.0,low,low,low,low,low
506,1,3.0,medium,medium,low,medium,medium
507,1,4.0,high,medium,medium,high,medium
508,1,5.0,high,medium,medium,high,medium
509,1,4.0,high,low,low,low,medium
510,1,3.0,low,low,low,low,low
511,1,3.0,medium,medium,low,medium,medium
512,1,3.0,low,low,low,low,low
513,1,4.0,high,medium,medium,medium,medium
514,1,3.0,low,low,low,low,low
515,1,3.0,low,low,low,low,low
516,1,4.0,high,high,medium,high,medium
517,1,4.0,medium,medium,medium,medium,medium
518,1,4.0,medium,low,low,medium,medium
519,1,5.0,low,low,low,low,low
520,1,3.0,low,low,low,low,low
521,1,2.0,low,low,low,low,low
522,1,4.0,low,low,low,low,medium
523,1,5.0,high,medium,medium,medium,medium
524,1,5.0,low,medium,low,medium,medium
525,1,5.0,high,high,medium,high,medium
526,1,4.0,low,low,low,low,low
527,1,3.0,medium,medium,medium,medium,medium
528,1,4.0,high,medium,medium,high,medium
529,1,2.0,low,low,low,low,low
530,1,5.0,low,low,low,low,low
531,1,4.0,high,medium,medium,high,medium
532,1,3.0,high,medium,medium,medium,medium
533,1,4.0,high,medium,medium,medium,medium
534,1,5.0,high,low,high,high,medium
535,1,3.0,medium,medium,low,medium,medium
536,1,3.0,low,medium,low,medium,medium
537,1,4.0,medium,medium,low,medium,medium
538,1,3.0,high,medium,medium,medium,medium
539,1,3.0,high,medium,low,medium,medium
540,1,5.0,medium,medium,low,medium,medium
541,1,5.0,medium,medium,low,medium,medium
542,1,6.0,high,high,high,high,high
543,1,3.0,medium,medium,low,medium,medium
544,1,3.0,low,low,low,low,low
545,1,1.0,low,low,low,low,low
546,1,2.0,low,low,low,medium,low
547,1,5.0,high,medium,low,medium,medium
548,1,4.0,high,high,high,high,high
549,1,5.0,low,low,low,low,low
550,1,4.0,high,medium,low,high,medium
551,1,4.0,high,medium,medium,medium,medium
552,1,3.0,low,low,low,low,low
553,1,3.0,low,low,low,low,low
554,1,4.0,medium,medium,medium,medium,medium
555,1,4.0,high,low,low,medium,medium
556,1,5.0,high,medium,medium,high,medium
557,1,5.0,high,medium,low,medium,medium
558,1,5.0,high,high,high,high,high
559,1,6.0,high,high,high,high,high
560,1,3.0,medium,medium,low,medium,medium
561,1,3.0,low,low,low,medium,low
562,1,4.0,high,medium,medium,medium,medium
563,1,3.0,high,medium,medium,medium,medium
564,1,5.0,high,high,high,high,medium
565,1,4.0,high,medium,medium,medium,medium
566,1,4.0,high,medium,medium,medium,medium
567,1,3.0,medium,medium,medium,medium,medium
568,1,4.0,medium,medium,low,medium,low
569,1,4.0,medium,medium,low,medium,medium
570,1,3.0,low,low,low,low,low
571,1,4.0,high,medium,medium,medium,medium
572,1,5.0,high,high,high,high,high
573,1,4.0,high,medium,medium,medium,medium
574,1,3.0,low,low,low,low,low
575,1,4.0,high,low,low,medium,medium
576,1,4.0,high,medium,medium,medium,medium
577,1,3.0,medium,medium,low,medium,medium
578,1,3.0,medium,low,low,medium,medium
579,1,4.0,low,low,low,low,low
580,1,3.0,low,low,low,low,low
581,1,4.0,high,medium,low,high,medium
582,1,5.0,high,high,high,high,high
583,1,4.0,medium,low,low,low,low
584,1,4.0,low,low,low,low,low
585,1,5.0,low,low,low,low,low
586,1,4.0,high,medium,medium,medium,medium
587,1,3.0,high,low,low,medium,low
588,1,4.0,high,high,high,high,high
589,1,2.0,low,low,low,low,medium
590,1,3.0,medium,medium,low,medium,medium
591,1,3.0,low,low,low,low,low
592,1,4.0,high,medium,medium,medium,medium
593,1,4.0,medium,medium,low,medium,medium
594,1,3.0,medium,medium,low,medium,medium
595,1,4.0,medium,medium,medium,medium,medium
596,1,2.0,medium,medium,low,medium,medium
597,1,5.0,high,medium,medium,high,medium
598,1,3.0,low,low,low,low,low
599,1,5.0,high,medium,medium,high,medium
600,1,3.0,low,low,low,low,low
601,1,3.0,medium,medium,medium,medium,medium
602,1,3.0,low,low,low,low,low
603,1,4.0,low,low,low,low,low
604,1,5.0,high,medium,medium,medium,medium
605,1,3.0,low,low,low,low,low
606,1,4.0,medium,medium,low,medium,medium
607,1,4.0,medium,medium,medium,medium,medium
608,1,2.0,low,low,low,low,low
609,1,3.0,high,medium,medium,medium,medium
610,1,3.0,low,low,low,low,low
611,1,4.0,low,low,low,low,low
612,1,4.0,high,medium,low,medium,medium
613,1,4.0,low,low,low,low,medium
614,1,4.0,low,low,low,low,low
615,1,5.0,high,high,high,high,medium
616,1,4.0,low,low,low,low,low
617,1,5.0,low,low,low,low,low
618,1,5.0,low,low,low,low,low
619,1,6.0,high,high,high,high,high
620,1,4.0,high,medium,medium,medium,medium
621,1,3.0,low,low,low,low,low
622,1,5.0,medium,medium,medium,medium,medium
623,1,3.0,medium,low,low,medium,medium
624,1,3.0,low,low,low,low,low
625,1,4.0,high,medium,low,low,medium
626,1,3.0,medium,medium,medium,medium,medium
627,1,3.0,low,low,low,low,low
628,1,5.0,high,medium,low,medium,medium
629,1,5.0,high,low,low,low,low
630,1,4.0,high,low,low,medium,low
631,1,4.0,high,medium,low,medium,medium
632,1,4.0,high,medium,medium,high,medium
633,1,4.0,high,medium,medium,medium,medium
634,1,2.0,low,low,low,low,low
635,1,4.0,high,medium,medium,low,medium
636,1,4.0,low,medium,medium,medium,medium
637,1,4.0,low,low,low,low,low
638,1,4.0,high,medium,medium,medium,medium
639,1,3.0,low,low,low,low,low
640,1,4.0,high,medium,medium,medium,medium
641,1,4.0,medium,low,low,medium,medium
642,1,4.0,low,low,low,medium,low
643,1,5.0,high,medium,medium,medium,medium
644,1,4.0,high,high,high,high,high
645,1,3.0,low,low,low,low,low
646,1,3.0,high,low,low,medium,low
647,1,4.0,high,medium,medium,medium,medium
648,1,3.0,low,low,low,low,low
649,1,4.0,high,high,medium,medium,medium
650,1,6.0,high,high,high,high,high
651,1,4.0,low,low,low,low,low
652,1,3.0,medium,medium,low,medium,medium
653,1,4.0,medium,low,low,medium,low
654,1,4.0,low,low,low,low,low
655,1,3.0,medium,medium,low,medium,medium
656,1,4.0,high,medium,medium,medium,medium
657,1,4.0,high,medium,low,medium,medium
658,1,4.0,low,low,low,low,low
659,1,4.0,high,high,high,high,medium
660,1,6.0,high,high,high,high,high
661,1,4.0,low,low,low,low,low
662,1,3.0,medium,medium,medium,medium,low
663,1,4.0,high,medium,low,medium,medium
664,1,3.0,low,low,low,low,low
665,1,2.0,low,low,low,low,low
666,1,4.0,high,medium,medium,medium,medium
667,1,3.0,high,medium,medium,medium,medium
668,1,4.0,high,medium,medium,medium,medium
669,1,4.0,low,low,low,low,low
670,1,3.0,medium,medium,low,medium,medium
671,1,3.0,high,medium,low,medium,medium
672,1,4.0,medium,medium,low,medium,low
673,1,2.0,low,low,low,low,low
674,1,3.0,high,medium,low,medium,medium
675,1,3.0,low,low,low,low,low
676,1,3.0,low,low,low,low,low
677,1,3.0,low,low,low,low,low
678,1,4.0,medium,low,low,low,low
679,1,3.0,high,medium,medium,medium,medium
680,1,4.0,low,low,low,low,low
681,1,4.0,medium,medium,low,medium,medium
682,1,4.0,high,low,low,low,low
683,1,4.0,high,medium,low,medium,medium
684,1,4.0,high,high,high,high,medium
685,1,5.0,high,high,high,high,high
686,1,4.0,low,low,low,low,low
687,1,3.0,high,medium,medium,medium,medium
688,1,4.0,high,medium,medium,medium,medium
689,1,4.0,high,medium,medium,medium,medium
690,1,4.0,high,high,medium,medium,medium
691,1,3.0,high,medium,medium,medium,medium
692,1,3.0,low,low,low,low,low
693,1,4.0,high,medium,low,medium,medium
694,1,4.0,high,high,medium,high,medium
695,1,5.0,high,high,medium,high,medium
