essay_id,prompt_id,word_choice_score,question1,question2,question3,question4,question5,question6,question7,question8,question9
137,1,3,medium,medium,medium,low,medium,medium,medium,medium,medium
138,1,4,low,low,low,low,low,low,low,low,low
139,1,3,medium,medium,medium,low,medium,medium,medium,medium,medium
140,1,4,medium,medium,medium,low,medium,medium,medium,medium,medium
141,1,4,high,medium,high,medium,high,medium,high,high,high
142,1,4,low,low,low,low,low,low,low,low,low
143,1,2,low,low,low,low,low,low,low,low,low
144,1,4,medium,low,medium,low,medium,medium,low,medium,low
145,1,5,medium,low,low,low,high,low,high,low,low
146,1,2,low,low,low,low,low,low,low,low,low
147,1,5,high,low,high,high,high,low,high,medium,high
148,1,3,medium,low,low,low,medium,medium,low,medium,low
149,1,3,low,low,low,low,low,low,low,low,low
150,1,4,low,low,low,low,medium,low,low,low,low
151,1,3,medium,medium,medium,low,medium,medium,low,medium,medium
152,1,3,medium,low,low,low,medium,low,low,medium,low
153,1,5,low,low,low,low,low,low,low,low,low
154,1,5,medium,medium,high,medium,high,medium,high,medium,high
155,1,4,low,low,low,low,low,low,low,low,low
156,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium
157,1,3,low,low,low,low,low,low,low,low,low
158,1,4,medium,low,medium,low,high,low,medium,medium,medium
159,1,5,low,low,low,low,low,low,low,low,low
160,1,3,medium,low,medium,low,medium,medium,low,medium,medium
161,1,4,medium,low,low,low,low,low,low,medium,low
162,1,6,high,medium,high,medium,high,medium,high,high,high
163,1,3,low,low,low,low,low,low,low,low,low
164,1,4,low,low,low,low,low,low,low,low,low
165,1,3,medium,low,low,low,medium,low,low,medium,low
166,1,3,low,low,low,low,low,low,low,low,low
167,1,3,low,low,low,low,low,low,low,low,low
168,1,4,medium,low,medium,low,medium,medium,medium,medium,medium
169,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium
170,1,3,medium,low,medium,low,medium,low,low,medium,low
171,1,3,low,low,low,low,medium,low,low,medium,low
172,1,3,medium,low,low,low,medium,low,low,medium,low
173,1,3,low,low,low,low,low,low,low,low,low
174,1,3,low,low,low,low,low,low,low,low,low
175,1,3,low,low,low,low,low,low,low,low,low
176,1,4,low,low,low,low,low,low,low,low,low
177,1,3,medium,low,medium,low,medium,medium,medium,medium,medium
178,1,3,low,low,low,low,low,low,low,low,low
179,1,4,medium,low,medium,low,medium,low,medium,medium,medium
180,1,4,medium,low,low,low,medium,low,low,medium,low
181,1,5,high,low,high,low,high,low,high,high,high
182,1,3,medium,low,low,low,medium,low,low,medium,low
183,1,4,medium,medium,medium,low,medium,low,high,medium,medium
184,1,3,low,low,low,low,low,low,low,low,low
185,1,3,low,low,low,low,low,low,low,low,low
186,1,3,low,low,low,low,low,low,low,low,low
187,1,2,medium,low,low,low,medium,medium,low,medium,low
188,1,4,medium,low,low,low,medium,low,low,medium,medium
189,1,2,low,low,low,low,low,low,low,low,low
190,1,6,medium,medium,medium,low,medium,low,medium,medium,medium
191,1,4,medium,medium,medium,low,medium,medium,medium,medium,medium
192,1,4,low,low,low,low,low,low,low,medium,low
193,1,4,medium,low,medium,low,medium,medium,medium,medium,medium
194,1,4,high,low,high,high,high,low,low,high,high
195,1,2,low,low,low,low,low,low,low,low,low
196,1,3,medium,low,medium,low,medium,medium,low,medium,low
197,1,5,high,medium,medium,medium,high,medium,high,medium,high
198,1,4,medium,low,low,low,medium,low,low,medium,low
199,1,4,low,low,low,low,low,low,low,low,low
200,1,3,low,low,low,low,medium,low,low,low,low
201,1,5,medium,medium,medium,low,medium,medium,high,medium,medium
202,1,4,medium,low,low,low,medium,low,low,medium,low
203,1,4,medium,low,low,low,medium,low,low,medium,low
204,1,4,low,low,low,low,low,low,low,low,low
205,1,4,low,low,low,low,low,low,low,low,low
206,1,4,medium,low,medium,low,medium,low,medium,medium,medium
207,1,4,medium,low,low,low,medium,low,low,medium,medium
208,1,3,medium,low,medium,low,medium,low,medium,medium,medium
209,1,2,low,low,low,low,low,low,low,low,low
210,1,3,medium,low,low,low,medium,low,low,medium,low
211,1,3,medium,medium,medium,low,medium,medium,medium,medium,medium
212,1,3,low,low,low,low,low,low,low,low,low
213,1,3,medium,low,low,low,medium,low,medium,medium,low
214,1,3,low,low,low,low,low,low,low,low,low
215,1,4,low,low,low,low,low,low,low,low,low
216,1,3,low,low,low,low,low,low,low,low,low
217,1,4,high,medium,high,medium,high,medium,high,high,high
218,1,3,low,low,low,low,low,low,low,low,low
219,1,4,medium,low,low,low,medium,low,low,medium,low
220,1,4,low,low,low,low,low,low,low,low,low
221,1,2,low,low,low,low,medium,low,low,medium,low
222,1,5,medium,low,low,low,low,low,low,low,low
223,1,3,low,low,low,low,low,low,low,low,low
224,1,4,low,low,low,low,low,low,low,low,low
225,1,5,low,low,low,low,low,low,low,low,low
226,1,3,low,low,low,low,low,low,low,low,low
227,1,5,medium,low,medium,low,medium,medium,medium,medium,medium
228,1,3,low,low,low,low,low,low,low,low,low
229,1,3,low,low,low,low,low,low,low,low,low
230,1,5,low,low,low,low,low,low,low,medium,low
231,1,4,medium,low,medium,low,medium,medium,low,medium,medium
232,1,5,high,medium,high,medium,high,medium,high,high,high
233,1,2,low,low,low,low,low,low,low,low,low
234,1,4,medium,medium,medium,low,medium,medium,medium,medium,medium
235,1,3,low,low,low,low,medium,low,low,medium,low
236,1,2,low,low,low,low,low,low,low,low,low
237,1,3,low,low,low,low,low,low,low,low,low
238,1,3,medium,medium,medium,low,medium,medium,medium,medium,medium
239,1,3,medium,low,low,low,low,low,low,medium,low
240,1,3,low,low,low,low,medium,low,low,low,low
241,1,3,low,low,low,low,low,low,low,low,low
242,1,3,medium,medium,medium,low,medium,low,medium,medium,medium
243,1,4,low,low,low,low,low,low,low,low,low
244,1,3,low,low,low,low,medium,low,low,medium,low
245,1,4,medium,medium,medium,low,medium,medium,medium,medium,medium
246,1,5,high,medium,high,medium,high,high,high,high,high
247,1,3,low,low,low,low,medium,low,low,medium,low
248,1,4,low,low,low,low,medium,low,low,medium,low
249,1,4,medium,low,low,low,low,low,low,medium,low
250,1,4,low,low,low,low,low,low,low,low,low
251,1,5,high,medium,medium,medium,high,medium,high,high,high
252,1,3,low,low,low,low,medium,low,low,low,low
253,1,2,low,low,low,low,low,low,low,low,low
254,1,4,low,low,low,low,low,low,low,low,low
255,1,3,medium,low,medium,low,medium,low,medium,medium,medium
256,1,3,low,low,low,low,low,low,low,low,low
257,1,3,low,low,low,low,low,low,low,low,low
258,1,5,medium,medium,medium,low,medium,medium,medium,medium,medium
259,1,4,low,low,low,low,low,low,low,low,low
260,1,3,medium,low,low,low,medium,low,low,medium,low
261,1,3,medium,low,low,low,low,low,low,medium,low
262,1,3,medium,low,low,low,medium,low,low,medium,low
263,1,5,low,low,low,low,low,low,low,low,low
264,1,5,low,low,low,low,low,low,low,low,low
265,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium
266,1,6,medium,low,medium,low,high,medium,medium,medium,medium
267,1,5,high,medium,medium,low,high,medium,high,medium,high
268,1,3,medium,low,medium,low,medium,low,medium,medium,medium
269,1,3,low,low,low,low,low,low,low,low,low
270,1,4,medium,low,low,low,medium,low,low,medium,low
271,1,4,medium,medium,medium,low,medium,medium,medium,medium,medium
272,1,4,medium,medium,medium,medium,high,low,high,medium,medium
273,1,3,low,low,low,low,low,low,low,low,low
274,1,3,low,low,low,low,low,low,low,low,low
275,1,5,low,low,low,low,low,low,low,low,low
276,1,3,low,low,low,low,low,low,low,low,low
277,1,3,medium,medium,medium,medium,high,medium,high,medium,medium
278,1,4,medium,medium,medium,low,high,medium,medium,medium,medium
279,1,5,medium,low,medium,low,high,low,low,medium,medium
280,1,4,medium,medium,medium,medium,high,medium,medium,medium,medium
281,1,2,low,low,low,low,low,low,low,low,low
282,1,4,medium,medium,medium,low,medium,medium,medium,medium,medium
283,1,3,low,low,low,low,medium,low,low,medium,low
284,1,3,medium,low,medium,low,medium,medium,medium,medium,medium
285,1,4,medium,low,medium,medium,medium,low,low,medium,medium
286,1,1,low,low,low,low,low,low,low,low,low
287,1,5,medium,low,low,low,medium,low,medium,medium,low
288,1,3,low,low,low,low,low,low,low,medium,low
289,1,4,medium,low,low,low,medium,low,low,medium,low
290,1,5,high,medium,high,medium,high,medium,high,high,high
291,1,5,high,medium,high,high,high,high,high,high,high
292,1,5,high,medium,high,medium,high,high,high,high,high
293,1,3,low,low,low,low,low,low,low,low,low
294,1,4,low,low,low,low,low,low,low,low,low
295,1,4,low,low,low,low,low,low,low,low,low
296,1,4,low,low,low,low,low,low,low,low,low
297,1,3,medium,low,low,low,medium,low,medium,medium,low
298,1,4,low,low,low,low,medium,low,low,medium,low
299,1,4,medium,low,low,low,medium,low,low,medium,low
300,1,3,low,low,low,high,low,low,low,low,low
301,1,4,low,low,low,low,low,low,low,low,low
302,1,5,medium,low,medium,low,high,low,low,medium,medium
303,1,4,low,low,low,low,low,low,low,low,low
304,1,4,low,low,low,low,low,low,low,low,low
305,1,4,low,low,low,low,medium,low,low,low,low
306,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium
307,1,3,low,low,low,low,medium,low,low,medium,low
308,1,2,low,low,low,low,low,low,low,low,low
309,1,3,low,low,low,low,low,low,low,low,low
310,1,4,medium,low,medium,low,high,low,high,medium,medium
311,1,3,low,low,low,low,low,low,low,low,low
312,1,3,low,low,low,low,low,low,low,low,low
314,1,3,low,low,low,low,low,low,low,low,low
315,1,5,high,medium,medium,medium,high,medium,high,high,high
316,1,5,high,medium,high,low,high,low,high,medium,high
317,1,5,medium,medium,medium,low,medium,medium,medium,medium,medium
318,1,3,low,low,low,low,low,low,low,low,low
319,1,3,medium,low,low,low,high,low,low,medium,medium
320,1,3,medium,low,low,low,medium,low,low,medium,medium
321,1,5,low,low,high,low,high,low,high,high,high
322,1,5,medium,low,medium,low,medium,low,medium,medium,medium
323,1,4,low,low,low,low,low,low,low,low,low
324,1,4,medium,medium,medium,low,medium,medium,medium,medium,medium
325,1,4,medium,low,low,low,medium,low,medium,medium,medium
326,1,5,high,medium,high,low,high,high,high,high,high
327,1,3,low,low,low,low,medium,low,low,medium,low
328,1,3,low,low,low,low,low,low,low,low,low
329,1,3,low,low,low,low,medium,low,low,medium,low
330,1,4,low,low,low,low,low,low,low,low,low
331,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium
332,1,3,medium,low,medium,medium,medium,medium,low,medium,medium
333,1,3,low,low,low,low,low,low,low,low,low
334,1,4,low,low,low,low,low,low,low,low,low
335,1,3,low,low,low,low,low,low,low,low,low
336,1,4,medium,medium,medium,medium,medium,low,high,medium,medium
337,1,4,medium,low,medium,low,medium,low,medium,medium,medium
338,1,3,low,low,low,low,low,low,low,low,low
339,1,4,medium,low,low,low,high,low,low,medium,high
340,1,5,medium,medium,medium,low,medium,medium,medium,medium,medium
341,1,4,medium,low,medium,low,medium,medium,low,medium,low
342,1,5,high,low,medium,low,high,medium,medium,medium,medium
343,1,3,low,low,low,low,low,low,low,low,low
345,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium
346,1,6,low,low,low,low,low,low,low,low,low
347,1,3,medium,medium,medium,low,medium,medium,medium,medium,medium
348,1,4,low,low,low,low,low,low,low,low,low
349,1,3,low,low,low,low,low,low,low,low,low
350,1,4,low,low,low,low,low,low,low,low,low
351,1,4,medium,low,medium,low,high,low,low,medium,high
352,1,3,low,low,low,low,low,low,low,low,low
353,1,2,low,low,low,low,low,low,low,low,low
354,1,3,low,low,low,low,low,low,low,low,low
355,1,4,low,low,low,low,medium,low,low,medium,low
356,1,4,medium,medium,medium,low,medium,low,medium,medium,medium
357,1,3,low,low,low,low,low,low,low,low,low
358,1,3,medium,low,low,low,medium,low,medium,medium,medium
359,1,1,high,high,low,low,high,low,high,high,high
360,1,3,low,low,low,low,low,low,low,low,low
361,1,4,low,low,low,low,high,low,low,low,low
362,1,4,low,low,low,low,low,low,low,low,low
363,1,3,low,low,low,low,medium,medium,low,medium,low
364,1,5,high,low,high,low,high,low,high,high,high
365,1,3,low,low,low,low,low,low,low,low,low
366,1,3,low,low,low,low,low,low,low,low,low
367,1,3,medium,low,low,low,medium,low,low,medium,low
368,1,3,medium,medium,medium,low,medium,medium,medium,medium,medium
369,1,3,medium,low,medium,low,medium,medium,medium,medium,medium
370,1,6,high,low,low,low,high,low,low,high,low
371,1,3,low,low,low,low,low,low,low,low,low
372,1,4,medium,low,medium,low,high,medium,high,medium,medium
373,1,3,medium,medium,medium,low,medium,medium,medium,medium,medium
374,1,3,low,low,low,low,low,low,low,low,low
375,1,1,low,low,low,low,low,low,low,low,low
376,1,3,low,low,low,low,low,low,low,low,low
377,1,4,low,low,low,low,low,low,low,low,low
378,1,4,high,medium,medium,medium,high,medium,medium,medium,medium
379,1,4,medium,low,medium,low,medium,medium,low,medium,low
380,1,4,low,low,low,low,low,low,low,low,low
381,1,4,medium,low,low,low,low,low,low,medium,low
382,1,3,medium,low,medium,low,medium,low,low,medium,medium
383,1,4,medium,low,medium,low,medium,low,medium,medium,medium
384,1,4,medium,low,low,low,low,low,low,medium,low
385,1,6,high,low,high,low,high,high,high,high,high
386,1,4,medium,low,medium,low,medium,low,low,medium,medium
387,1,4,medium,low,medium,low,medium,low,low,medium,medium
388,1,3,medium,medium,medium,low,medium,medium,medium,medium,medium
389,1,3,medium,medium,medium,low,medium,medium,medium,medium,medium
390,1,4,medium,medium,medium,low,high,medium,medium,medium,medium
391,1,5,medium,medium,medium,low,high,low,high,medium,medium
392,1,3,low,low,low,low,low,low,low,low,low
393,1,3,low,low,low,low,low,low,low,low,low
394,1,2,medium,low,low,low,medium,low,low,medium,low
395,1,2,low,low,low,low,low,low,low,low,low
396,1,3,low,low,low,low,low,low,low,low,low
397,1,4,low,low,low,low,low,low,low,low,low
398,1,4,medium,low,medium,medium,medium,medium,low,medium,medium
399,1,4,high,medium,medium,low,high,medium,high,medium,medium
400,1,3,low,low,low,low,low,low,low,low,low
401,1,2,low,low,low,low,low,low,low,low,low
402,1,3,medium,low,low,low,medium,low,low,medium,low
403,1,3,medium,medium,medium,low,medium,low,medium,medium,medium
404,1,3,medium,medium,medium,low,medium,medium,medium,medium,medium
405,1,5,medium,low,low,low,high,low,low,medium,low
406,1,3,low,low,low,low,low,low,low,low,low
407,1,3,medium,low,low,low,medium,low,low,medium,low
408,1,3,low,low,low,low,low,low,low,low,low
409,1,3,low,low,low,low,low,low,low,low,low
410,1,3,low,low,low,low,low,low,low,low,low
411,1,5,high,low,high,low,low,low,high,high,high
412,1,5,low,low,low,low,low,low,low,low,low
413,1,4,medium,low,medium,low,medium,low,low,medium,medium
414,1,3,low,low,low,low,low,low,low,low,low
415,1,3,low,low,low,low,low,low,low,low,low
416,1,3,low,low,low,low,low,low,low,low,low
417,1,3,low,low,low,low,low,low,low,low,low
418,1,5,medium,medium,medium,low,high,medium,medium,medium,medium
419,1,3,medium,low,low,low,medium,low,low,medium,low
420,1,4,low,low,low,low,low,low,low,low,low
421,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium
422,1,3,low,low,low,low,low,low,low,low,low
423,1,3,medium,low,medium,low,medium,low,medium,medium,medium
424,1,4,medium,low,high,low,high,low,high,medium,high
425,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium
426,1,5,medium,medium,medium,low,medium,low,medium,medium,medium
427,1,5,low,low,low,low,low,low,low,low,low
428,1,3,low,low,low,low,low,low,low,low,low
429,1,5,medium,low,medium,low,medium,low,medium,medium,medium
430,1,4,low,low,low,low,medium,low,low,medium,low
431,1,4,low,low,low,low,low,low,low,low,low
432,1,3,low,low,low,low,low,low,low,low,low
433,1,5,low,low,low,low,low,low,low,low,low
434,1,3,low,low,low,low,low,low,low,low,low
435,1,4,medium,medium,medium,medium,high,medium,medium,medium,medium
436,1,3,medium,low,low,low,low,low,low,low,low
437,1,5,medium,low,low,low,medium,low,low,medium,low
438,1,3,low,low,low,low,low,low,low,low,low
439,1,4,low,low,low,low,low,low,low,medium,low
440,1,3,low,low,low,low,low,low,low,low,low
441,1,3,low,low,low,low,low,low,low,low,low
442,1,5,low,low,low,low,low,low,low,low,low
443,1,3,medium,low,low,low,medium,low,medium,medium,low
444,1,4,low,low,low,low,low,low,low,low,low
445,1,3,low,low,low,low,low,low,low,low,low
446,1,6,high,low,low,low,low,low,high,low,high
447,1,4,low,low,low,low,low,low,low,low,low
448,1,4,low,low,low,low,low,low,low,low,low
449,1,1,low,low,low,low,low,low,low,low,low
450,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium
451,1,3,medium,low,low,low,medium,low,low,medium,low
452,1,3,medium,low,low,low,medium,low,low,medium,low
453,1,4,low,low,low,low,low,low,low,low,low
454,1,4,low,low,low,low,low,low,low,low,low
455,1,1,low,low,low,low,low,low,low,low,low
456,1,2,low,low,low,low,low,low,low,low,low
457,1,6,high,low,high,low,high,medium,high,high,high
458,1,4,low,low,low,low,low,low,low,low,low
459,1,3,low,low,low,medium,medium,low,low,medium,low
460,1,4,low,low,low,low,medium,low,low,medium,low
461,1,3,low,low,low,low,low,low,low,low,low
462,1,4,medium,low,medium,low,high,medium,medium,medium,medium
463,1,4,high,medium,medium,medium,high,high,medium,high,high
464,1,3,low,low,low,low,low,low,low,low,low
465,1,4,low,low,low,low,low,low,low,low,low
466,1,4,medium,medium,medium,low,medium,medium,low,medium,medium
467,1,4,medium,medium,medium,low,medium,medium,medium,medium,medium
468,1,3,medium,low,low,low,medium,low,medium,medium,low
469,1,4,low,low,low,low,low,low,low,low,low
470,1,4,medium,low,medium,low,medium,low,low,medium,medium
471,1,3,medium,low,low,low,medium,low,low,medium,low
472,1,5,high,low,medium,low,high,low,high,medium,medium
473,1,3,low,low,low,low,low,low,low,low,low
474,1,2,low,low,low,low,low,low,low,low,low
475,1,4,medium,medium,medium,low,medium,low,medium,medium,medium
476,1,4,low,low,low,low,low,low,low,low,low
477,1,2,low,low,low,low,low,low,low,low,low
478,1,5,medium,low,low,low,medium,low,medium,medium,medium
479,1,5,medium,medium,medium,medium,high,medium,high,medium,medium
480,1,4,low,low,low,low,low,low,low,low,low
481,1,5,low,low,medium,low,high,low,high,medium,low
482,1,3,low,low,low,low,low,low,low,low,low
483,1,3,low,low,low,low,low,low,low,medium,low
484,1,4,medium,low,low,low,medium,low,low,medium,medium
485,1,4,low,low,low,low,low,low,low,low,low
486,1,3,medium,low,medium,medium,medium,low,medium,medium,medium
487,1,3,low,low,low,low,low,low,low,low,low
488,1,3,low,low,low,low,medium,low,low,low,low
489,1,5,low,low,low,low,low,low,low,medium,low
490,1,4,medium,low,low,low,medium,low,medium,medium,low
491,1,3,low,low,low,low,low,low,low,low,low
492,1,3,low,low,low,low,low,low,low,low,low
493,1,3,medium,low,medium,low,medium,medium,medium,medium,medium
494,1,4,low,low,low,low,low,low,low,low,low
495,1,4,low,low,low,low,low,low,low,low,low
496,1,4,low,low,low,low,low,low,low,low,low
497,1,5,low,low,low,low,low,low,low,medium,low
498,1,6,high,low,high,low,high,low,high,low,low
499,1,4,medium,medium,medium,low,medium,medium,medium,medium,medium
500,1,4,medium,low,medium,low,medium,medium,medium,medium,medium
501,1,3,low,low,low,low,low,low,low,low,low
502,1,2,low,low,low,low,low,low,low,low,low
503,1,3,medium,medium,medium,low,medium,medium,medium,medium,medium
504,1,5,medium,low,medium,low,high,low,low,medium,medium
505,1,4,low,low,low,low,low,low,low,low,low
506,1,3,low,low,low,low,medium,low,low,low,low
507,1,3,medium,low,medium,low,medium,low,high,medium,medium
508,1,5,medium,medium,medium,medium,medium,medium,high,medium,medium
509,1,5,medium,low,low,low,low,low,low,medium,low
510,1,3,low,low,low,low,low,low,low,low,low
511,1,3,low,low,low,low,medium,low,low,medium,low
512,1,3,low,low,low,low,low,low,low,low,low
513,1,4,medium,low,medium,low,medium,low,medium,medium,medium
514,1,4,low,low,low,low,low,low,low,low,low
515,1,3,low,low,low,low,low,low,low,low,low
516,1,5,medium,medium,medium,medium,high,medium,high,medium,medium
517,1,3,medium,medium,medium,low,medium,low,medium,medium,medium
518,1,4,low,low,low,low,low,low,low,low,low
519,1,5,low,low,low,low,low,low,high,low,low
520,1,3,low,low,low,low,low,low,low,low,low
521,1,3,low,low,low,low,low,low,low,low,low
522,1,4,low,low,low,low,low,low,low,low,low
523,1,4,medium,medium,medium,medium,medium,medium,high,medium,medium
524,1,4,low,low,low,low,low,low,low,low,low
525,1,4,high,medium,medium,low,high,medium,medium,medium,medium
526,1,3,low,low,low,low,low,low,low,low,low
