essay_id,prompt_id,content_score,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10
290,1,5.0,high,high,high,medium,high,high,high,high,high,high
291,1,5.0,high,high,high,medium,high,high,high,high,high,high
292,1,6.0,high,high,high,medium,high,high,high,high,high,high
293,1,3.0,medium,medium,medium,low,medium,medium,medium,low,low,medium
294,1,4.0,low,low,low,low,low,low,low,low,low,low
295,1,4.0,low,low,low,low,low,low,low,low,low,low
296,1,4.0,low,low,medium,low,low,low,low,low,low,low
297,1,4.0,medium,high,high,medium,medium,medium,medium,medium,medium,high
298,1,4.0,medium,medium,medium,low,medium,medium,low,low,low,medium
299,1,4.0,medium,medium,medium,low,medium,medium,medium,medium,low,high
300,1,3.0,low,low,low,low,low,low,low,low,low,low
301,1,5.0,low,low,low,low,low,low,low,low,low,low
302,1,6.0,high,high,high,low,high,high,high,high,low,high
303,1,4.0,low,low,low,low,low,low,low,low,low,low
304,1,5.0,low,low,low,low,low,low,low,low,low,low
305,1,4.0,low,medium,medium,low,low,medium,low,low,low,medium
306,1,5.0,medium,medium,medium,low,medium,medium,medium,medium,medium,high
307,1,4.0,medium,high,medium,low,low,medium,low,low,low,high
308,1,2.0,medium,medium,low,low,low,medium,low,low,low,medium
309,1,3.0,low,medium,low,low,low,medium,low,low,low,low
310,1,4.0,high,high,high,medium,high,high,high,high,medium,high
311,1,4.0,low,medium,medium,low,low,medium,low,low,low,medium
312,1,3.0,low,medium,medium,low,low,medium,low,low,low,low
314,1,3.0,low,low,low,low,low,low,low,low,low,low
315,1,5.0,high,high,high,medium,high,high,high,high,high,high
316,1,4.0,high,high,high,low,high,high,high,high,high,high
317,1,5.0,medium,high,high,low,medium,medium,medium,medium,medium,high
318,1,3.0,low,low,medium,low,low,medium,low,low,low,low
319,1,3.0,high,high,high,low,high,high,high,high,low,high
320,1,3.0,medium,medium,medium,low,medium,medium,medium,low,low,medium
321,1,5.0,high,high,high,low,high,high,high,high,low,high
322,1,4.0,medium,high,high,low,medium,high,medium,high,low,high
323,1,4.0,low,medium,medium,low,low,medium,low,low,low,medium
324,1,5.0,medium,high,high,low,medium,medium,medium,high,medium,high
325,1,5.0,medium,high,medium,low,medium,medium,low,high,low,high
326,1,5.0,high,high,high,low,high,high,high,high,high,high
327,1,3.0,low,medium,medium,low,low,medium,low,low,low,low
328,1,3.0,medium,medium,medium,low,low,medium,low,low,low,medium
329,1,4.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
330,1,4.0,low,low,low,low,low,low,low,low,low,low
331,1,4.0,medium,high,high,medium,medium,medium,medium,medium,low,high
332,1,3.0,medium,high,high,low,medium,medium,medium,low,low,high
333,1,3.0,low,medium,medium,low,low,medium,low,low,low,low
334,1,4.0,low,low,low,low,low,low,low,low,low,low
335,1,3.0,low,low,low,low,low,low,low,low,low,low
336,1,4.0,medium,high,high,low,high,medium,high,high,medium,high
337,1,4.0,medium,high,high,medium,medium,high,medium,medium,low,high
338,1,3.0,low,low,low,low,low,low,low,low,low,low
339,1,5.0,high,high,high,medium,high,high,high,high,low,high
340,1,5.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
341,1,3.0,medium,high,medium,low,medium,medium,medium,low,low,medium
342,1,5.0,high,high,high,low,high,high,high,low,low,high
343,1,4.0,low,low,low,low,low,low,low,low,low,low
345,1,5.0,medium,high,high,medium,medium,medium,medium,medium,medium,high
346,1,6.0,medium,high,low,low,low,medium,low,low,low,low
347,1,4.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
348,1,5.0,medium,medium,medium,low,low,medium,medium,low,low,medium
349,1,3.0,low,low,low,low,low,low,low,low,low,low
350,1,4.0,medium,high,high,low,medium,medium,medium,low,low,high
351,1,4.0,high,high,high,low,high,high,high,high,low,high
352,1,2.0,low,medium,low,low,low,medium,low,low,low,low
353,1,2.0,low,low,low,low,low,low,low,low,low,low
354,1,3.0,medium,medium,medium,low,low,medium,low,low,low,medium
355,1,3.0,low,medium,medium,low,low,medium,low,low,low,low
356,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
357,1,4.0,low,low,low,low,low,low,low,low,low,low
358,1,3.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
359,1,1.0,high,high,high,low,high,high,high,high,high,high
360,1,4.0,low,low,low,low,low,low,low,low,low,low
361,1,5.0,high,high,high,low,high,high,low,high,low,high
362,1,4.0,low,medium,medium,low,low,medium,low,low,low,low
363,1,3.0,medium,medium,medium,low,low,medium,low,low,low,medium
364,1,5.0,high,high,high,medium,high,high,high,high,high,high
365,1,4.0,low,low,low,low,low,low,low,low,low,low
366,1,3.0,low,medium,low,low,low,low,low,low,low,low
367,1,4.0,medium,medium,medium,low,medium,medium,medium,medium,low,high
368,1,4.0,high,high,high,low,medium,high,high,high,medium,high
369,1,3.0,medium,high,medium,low,medium,medium,medium,high,low,high
370,1,6.0,high,high,high,low,high,high,high,high,low,high
371,1,4.0,low,medium,medium,low,low,medium,low,low,low,low
372,1,5.0,high,high,high,medium,high,high,high,medium,low,high
373,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
374,1,4.0,low,medium,low,low,low,low,low,low,low,low
375,1,1.0,low,low,low,low,low,low,low,low,low,low
376,1,4.0,low,low,medium,low,low,low,low,low,low,low
377,1,4.0,medium,high,high,low,medium,low,low,high,low,high
378,1,4.0,high,high,high,medium,high,high,high,high,medium,high
379,1,4.0,medium,high,high,low,medium,medium,medium,low,low,high
380,1,4.0,low,high,high,low,medium,medium,low,low,low,high
381,1,4.0,medium,medium,medium,low,medium,medium,low,low,low,medium
382,1,3.0,medium,high,high,low,medium,high,medium,high,low,high
383,1,4.0,medium,high,high,medium,medium,medium,medium,high,low,high
384,1,4.0,medium,medium,medium,low,medium,medium,medium,low,low,medium
385,1,6.0,high,high,high,low,high,high,high,high,high,high
386,1,4.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
387,1,3.0,medium,high,medium,low,medium,medium,medium,low,low,medium
388,1,3.0,medium,high,medium,medium,medium,medium,medium,medium,medium,high
389,1,3.0,medium,high,high,medium,medium,medium,medium,medium,medium,high
390,1,5.0,high,high,high,medium,high,high,high,high,medium,high
391,1,5.0,high,high,high,low,high,high,high,high,low,high
392,1,3.0,medium,medium,medium,low,medium,medium,low,low,low,medium
393,1,3.0,low,low,low,low,low,low,low,low,low,low
394,1,3.0,medium,medium,medium,low,low,medium,low,medium,low,medium
395,1,3.0,low,medium,low,low,low,low,low,low,low,medium
396,1,2.0,low,low,low,low,low,low,low,low,low,low
397,1,4.0,high,high,high,low,high,medium,low,low,low,high
398,1,5.0,medium,high,high,low,medium,medium,medium,high,low,high
399,1,5.0,high,high,high,medium,high,high,high,high,medium,high
400,1,3.0,low,medium,medium,low,medium,medium,low,low,low,medium
401,1,2.0,low,low,low,low,low,low,low,low,low,low
402,1,4.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
403,1,4.0,high,high,high,low,medium,high,medium,high,low,high
404,1,3.0,medium,medium,high,low,medium,medium,medium,medium,low,medium
405,1,4.0,high,high,high,low,high,high,high,high,low,high
406,1,3.0,low,low,low,low,low,low,low,low,low,low
407,1,4.0,medium,high,high,low,medium,high,medium,low,low,high
408,1,3.0,medium,medium,medium,low,low,medium,low,low,low,medium
409,1,3.0,low,low,low,low,low,low,low,low,low,low
410,1,3.0,low,low,low,low,low,low,low,low,low,low
411,1,6.0,high,high,high,high,high,low,high,low,low,high
412,1,5.0,medium,high,high,low,medium,medium,medium,high,low,high
413,1,4.0,medium,high,high,low,medium,medium,medium,medium,low,high
414,1,3.0,low,low,low,low,low,low,low,low,low,low
415,1,4.0,low,low,low,low,low,low,low,low,low,low
416,1,3.0,low,low,low,low,low,low,low,low,low,low
417,1,4.0,low,medium,low,low,low,low,low,low,low,low
418,1,6.0,high,high,high,medium,high,high,high,high,medium,high
419,1,3.0,medium,medium,medium,low,medium,medium,low,low,low,medium
420,1,5.0,low,low,low,low,low,low,low,low,low,low
421,1,3.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
422,1,3.0,low,low,low,low,low,low,low,low,low,low
423,1,4.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
424,1,5.0,high,high,high,medium,high,high,high,high,high,high
425,1,5.0,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
426,1,5.0,high,high,high,medium,high,high,high,high,medium,high
427,1,5.0,low,high,high,low,low,low,low,low,low,low
428,1,3.0,medium,medium,medium,low,medium,medium,low,low,low,medium
429,1,4.0,medium,high,high,low,medium,medium,medium,medium,low,high
430,1,5.0,medium,high,high,low,medium,high,low,high,low,high
431,1,4.0,low,medium,medium,low,low,medium,low,low,low,low
432,1,4.0,medium,medium,medium,low,medium,medium,low,low,low,medium
433,1,5.0,low,medium,medium,low,low,medium,low,low,low,low
434,1,3.0,medium,medium,medium,low,low,medium,low,low,low,medium
435,1,4.0,medium,high,high,low,high,high,high,high,medium,high
436,1,3.0,medium,medium,medium,low,medium,medium,medium,low,low,medium
437,1,4.0,medium,medium,medium,low,low,medium,low,low,low,medium
438,1,4.0,low,low,low,low,low,low,low,low,low,low
439,1,4.0,medium,medium,medium,low,low,medium,low,low,low,low
440,1,3.0,medium,medium,low,low,low,medium,low,low,low,low
441,1,4.0,low,high,low,low,low,low,low,low,low,low
442,1,5.0,medium,high,high,low,high,high,high,low,low,high
443,1,3.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
444,1,5.0,low,low,medium,low,low,low,low,low,low,low
445,1,3.0,low,low,low,low,low,low,low,low,low,low
446,1,6.0,low,high,high,low,high,medium,high,low,low,high
447,1,5.0,low,low,low,low,low,low,low,low,low,low
448,1,4.0,low,medium,high,low,low,medium,low,low,low,high
449,1,1.0,low,low,low,low,low,low,low,low,low,low
