essay_id,Phraseology_score,question1,question2,question3,question4,question5
05021F4CA528,2.5,medium,low,low,low,low
0506BAC596A7,2.5,low,low,low,low,low
050BFA60C6AF,2.5,low,low,low,low,low
0514D25768A0,3.0,medium,medium,medium,medium,medium
051C3A22AEE0,3.0,low,low,low,low,low
053ACB9DFE74,3.0,medium,medium,low,medium,low
053C05D2EE43,3.0,low,low,low,low,low
0546517E6BAA,3.5,medium,medium,low,low,low
0563F089C239,3.5,medium,medium,medium,medium,medium
057E81E19740,2.5,low,low,low,low,low
057EE790CCEA,2.5,medium,medium,medium,medium,low
05903AA4540F,3.0,medium,medium,medium,medium,medium
05ACEDBB9CB4,3.0,medium,medium,medium,medium,low
05CE0C0C5102,3.5,medium,medium,medium,medium,low
05E5653B781C,3.0,medium,medium,medium,low,low
05EC08C05019,3.5,low,low,low,low,low
05F30981F3EB,3.5,medium,medium,low,low,low
05F54CEC774B,3.0,medium,medium,medium,medium,low
0607B495212F,2.0,medium,medium,medium,medium,low
061AF57CB05C,3.5,medium,medium,medium,medium,medium
061D2BBACB45,3.5,low,low,low,low,low
0623DD5A8E8F,2.5,low,low,low,low,low
062AE7A344D3,3.0,low,low,low,low,low
063F809DE304,2.5,medium,high,medium,medium,medium
064423D845B1,2.5,medium,medium,medium,medium,low
06737289651D,2.5,low,low,low,low,low
06C9FC1267BB,3.0,medium,medium,medium,medium,medium
06E81109FE92,2.5,low,low,low,low,low
06F368177993,2.5,low,low,low,low,low
06F5F6A09DC6,4.5,medium,medium,medium,medium,medium
06FA8EF28227,3.0,medium,medium,low,low,low
070D792C65B7,4.5,medium,medium,medium,low,low
074FA0221628,3.0,medium,medium,medium,medium,medium
0756FC69B810,2.5,medium,medium,medium,medium,medium
076262AA0CD5,4.5,low,low,low,low,low
0781753B768E,3.0,medium,medium,medium,medium,low
079FDB42E429,3.5,medium,medium,medium,medium,low
07A4DAFDE5B7,3.0,low,low,low,low,low
07C6BB6ADA38,3.0,low,medium,low,low,low
07CE77EA56C5,5.0,high,high,medium,high,medium
07D5647B11AE,2.5,medium,medium,medium,medium,medium
07DFD9A0986B,3.0,medium,medium,medium,medium,low
07E1633CC87A,4.0,medium,medium,medium,medium,medium
07F3241EB3C6,3.5,medium,high,medium,medium,low
0803CE11A14A,4.0,medium,medium,medium,medium,medium
083E12F6B1D0,2.5,medium,medium,low,low,low
084763DC1C8C,2.5,medium,medium,medium,medium,low
085C8B43ADD6,3.0,medium,medium,low,medium,low
08683001D359,3.0,low,low,low,low,low
0877E6A813FE,2.5,medium,medium,medium,medium,low
08B25090A80C,3.5,medium,medium,medium,medium,low
08B72DCFD859,3.0,medium,medium,medium,medium,low
08D8232F2D78,2.5,medium,medium,low,medium,low
08FAE6E0BDCC,3.0,low,low,low,low,low
08FC0154E0EF,1.5,medium,medium,low,low,low
08FC47A564AE,2.5,medium,medium,medium,medium,low
092BBD374359,3.0,medium,medium,medium,medium,medium
0943E322C195,4.0,medium,medium,medium,medium,medium
094684D6DD30,2.5,low,low,low,low,low
095E153640F7,3.5,medium,medium,medium,medium,medium
0985602832CD,3.0,medium,medium,low,low,low
09A801B564F5,3.5,low,low,low,low,low
09ADB0629CD0,3.5,medium,medium,medium,medium,low
09EC2F6B0D24,2.5,medium,medium,medium,medium,low
0A082DA0A890,3.0,medium,medium,medium,medium,low
0A1482CD6163,4.0,medium,medium,medium,medium,medium
0A324290AFE7,4.0,medium,medium,medium,low,low
0A3964629F69,2.5,medium,medium,low,low,low
0A4CDC286F8C,3.0,medium,medium,medium,medium,low
0A8B8F282E45,2.5,medium,medium,medium,medium,medium
0AAD73A0AA91,3.0,medium,medium,medium,medium,low
0AB62AE1C13F,3.5,medium,medium,medium,medium,medium
0ABD502C5BF9,2.0,medium,medium,medium,medium,low
0AC3C87DC51A,2.5,low,low,low,low,low
0ACB3F8B9DF8,3.0,medium,medium,medium,medium,low
0AD69388300B,3.5,medium,medium,medium,medium,medium
0AF4F757FBEA,2.5,medium,medium,medium,medium,medium
0AFAD06336F3,3.5,medium,medium,low,low,low
0AFC8CE27321,5.0,medium,medium,medium,medium,medium
0AFEC3CC53B5,3.0,low,low,low,low,low
0B00BC4CBABC,3.5,medium,high,high,high,medium
0B1599B11FCF,2.0,low,low,low,low,low
0B3118834B72,3.5,medium,medium,medium,medium,low
0B478E81218B,4.0,low,low,low,low,low
0B6316123881,3.0,medium,medium,medium,medium,medium
0B720B5EA0E9,3.5,medium,medium,low,low,low
0B72A4344B3E,3.5,medium,medium,medium,low,low
0B84A2B37B65,2.0,medium,medium,low,medium,low
0B953049AE1E,4.5,high,high,medium,medium,medium
0BB7AF7A448C,2.5,medium,medium,medium,low,low
0BB9FAE6E27B,4.0,medium,medium,medium,medium,medium
0BDADA3AFF77,3.0,medium,medium,medium,medium,medium
0BEB8F7F5A64,4.5,medium,medium,medium,medium,medium
0BF56A2681D3,3.0,medium,medium,medium,medium,medium
0C1EDBE2EEC3,4.0,medium,medium,medium,medium,medium
0C28481DFBB8,3.0,low,low,low,low,low
0C30A2A5D998,2.0,medium,medium,medium,medium,medium
0C699C871AA5,3.5,low,low,low,low,low
0C7D385D812A,3.0,medium,medium,medium,medium,medium
0C88A0C1602B,3.5,medium,medium,medium,medium,medium
0C88E7BE611B,3.0,medium,medium,medium,medium,medium
0C8D699DEE90,2.5,low,low,low,low,low
0C91926E2BC6,3.0,medium,medium,medium,low,low
0CB1237268E3,2.5,medium,medium,low,low,low
0CCB18D0CAB7,2.0,low,low,low,low,low
0CFDDC1CF75A,2.5,low,low,low,low,low
0D00750E249B,2.0,low,medium,low,low,low
0D0CADFF33DF,3.0,medium,medium,medium,medium,medium
0D23E504FBC0,3.0,medium,medium,medium,medium,medium
0D382343F3D7,3.5,low,low,low,low,low
0D5DA97CCEAE,3.0,medium,medium,low,low,low
0D65AF80CDE7,2.0,low,low,low,low,low
0D807ABE1BB3,3.5,medium,medium,medium,medium,medium
0D8EC8868869,1.5,low,low,low,low,low
0D9288F0A6C9,3.5,low,medium,low,low,low
0DB44DDF91E6,2.5,medium,medium,medium,high,medium
0DC7DEF31BE5,2.5,low,low,low,low,low
0DF2006FC8F1,2.5,medium,medium,medium,medium,medium
0E03218FDD2F,5.0,medium,medium,medium,medium,low
0E07647BBC59,4.0,medium,medium,medium,medium,low
0E14B9D24898,2.5,low,low,low,low,low
0E22A47D358E,2.5,medium,medium,low,medium,low
0E26C20CFBBE,2.5,medium,medium,medium,medium,low
0E3C1F059C31,3.5,medium,medium,medium,medium,medium
0E4FA5AC1EC1,4.0,medium,medium,medium,medium,medium
0E5C8FE6867B,3.0,low,medium,low,low,low
0E6BB199BF93,3.0,medium,medium,low,low,low
0E9FC972215F,3.5,medium,medium,medium,medium,low
0EBED6896F51,3.5,medium,medium,medium,medium,low
0EC392C06372,2.5,low,low,low,low,low
0EC7D67618F4,3.0,low,low,low,low,low
0ED9E0B4AC30,4.0,medium,medium,medium,medium,medium
0EE67777ABB5,4.0,medium,medium,medium,medium,low
0EEE49F99224,3.5,medium,medium,medium,medium,medium
0F19DD8FEEDC,3.0,medium,medium,medium,medium,low
0F32DDCBECB6,3.5,medium,medium,medium,medium,low
0F3EC382C3CB,3.5,medium,medium,medium,medium,low
0F473C4B0103,3.0,medium,medium,medium,medium,low
0F563E567370,2.5,medium,medium,low,low,low
0F634E9B3E9C,2.5,low,low,low,low,low
0F7900292BB6,2.5,low,medium,low,low,low
0F7DB6BD1AD5,3.0,medium,medium,medium,medium,low
0F8436260047,4.0,low,medium,low,low,low
0F84CCFB4982,3.0,low,low,low,low,low
0F8F499BAAB9,2.5,medium,medium,medium,medium,low
0F9FDD188673,2.5,medium,medium,low,medium,low
0FD73E4EED03,3.0,low,medium,low,low,low
0FF307182628,2.5,medium,medium,medium,medium,medium
0FFB44B5D0C2,3.0,medium,medium,medium,medium,low
101576652D3B,4.5,medium,medium,medium,medium,medium
101E0C554F66,3.0,medium,medium,medium,medium,medium
101E64C9DA0E,3.0,medium,medium,medium,medium,medium
1087B6C7FB98,4.0,medium,medium,medium,medium,medium
108CA77CBAB4,3.5,medium,medium,medium,medium,low
10988CD16BF3,3.5,medium,medium,medium,medium,medium
109D8D4A91FC,4.0,medium,medium,medium,medium,medium
10A367BB87EB,3.5,medium,medium,medium,medium,medium
10AC7944DC4A,3.0,medium,medium,medium,medium,low
10BE9BFD7D41,3.0,medium,medium,low,medium,low
10D0BBF44479,2.0,medium,medium,medium,medium,medium
10D2D1173D36,4.0,medium,medium,medium,medium,medium
10D3A9E5E79E,4.0,medium,medium,medium,medium,medium
10D5A47D0859,3.0,medium,medium,low,low,low
10D60ACB3E5D,2.0,low,low,low,low,low
10DA9316D02D,2.5,medium,medium,medium,low,low
10DF0ACB336C,2.5,medium,medium,low,low,low
10E11F30F47C,2.5,low,low,low,low,low
10ECA491D66C,3.0,medium,medium,medium,medium,low
10F5D7C3719C,2.0,medium,medium,medium,medium,low
112AA24D20BC,3.5,medium,medium,medium,medium,medium
113436EC45E2,3.0,low,low,low,low,low
113B1543C433,2.5,medium,medium,medium,low,low
11402548A471,4.0,medium,medium,medium,low,low
11598C88FBA4,2.0,low,medium,low,low,low
1170D6863F27,2.5,medium,medium,low,low,low
11DD0B26B584,3.5,medium,medium,medium,medium,low
11E5C01714C5,3.5,medium,medium,medium,medium,medium
11E9348F5072,3.0,medium,medium,medium,medium,low
1202062A4FA5,3.5,medium,medium,medium,low,low
1204D17C682A,2.0,low,low,low,low,low
120FE0B76D5C,3.0,medium,medium,medium,medium,low
1214E4605B0C,3.5,medium,medium,low,low,low
1247CB034EF7,3.5,medium,medium,medium,medium,low
125C1167A84A,3.0,low,low,low,low,low
125CD13D5FA4,3.5,medium,medium,medium,medium,medium
125E7C6E0D31,3.5,medium,medium,medium,medium,medium
126555810C31,3.0,medium,medium,medium,medium,medium
1271A68BDC00,4.0,medium,high,medium,medium,medium
1274667FF6E3,2.5,medium,medium,medium,medium,medium
12796C5A0480,1.5,low,low,low,low,low
128161F8B117,3.0,medium,medium,medium,medium,low
12920189F7BB,4.0,medium,medium,medium,medium,medium
12CA89146E91,2.5,low,low,low,low,low
12E3D52345C6,5.0,high,high,high,high,high
12F2BF34883F,3.0,medium,medium,medium,medium,medium
12F89E196E97,4.0,medium,high,medium,medium,low
12FE853D6B88,5.0,medium,medium,medium,low,low
1300AD075785,3.5,medium,medium,medium,medium,low
130CA439835B,2.5,low,low,low,low,low
13450D581EC9,3.0,low,low,low,low,low
1348668DF845,4.0,low,low,low,low,low
134937CE445C,3.5,medium,high,medium,medium,medium
13578C0BCC3C,3.0,low,low,low,low,low
136B3124BE79,3.0,medium,medium,low,low,low
136F4548CFD0,2.5,medium,medium,low,low,low
13A94BBE2B24,3.5,medium,medium,medium,medium,medium
13AB4CC7F80F,3.5,medium,medium,medium,medium,medium
13C400DD9794,2.0,low,low,low,low,low
13D960FD28CD,3.0,low,low,low,low,low
13E1CB9819CB,4.0,medium,medium,medium,medium,medium
13FDCF58A955,3.0,medium,medium,low,medium,low
14409A305AB3,3.0,medium,medium,low,low,low
144671E445D0,2.0,medium,medium,low,low,low
1451EA314B8A,4.0,medium,medium,medium,medium,medium
14AC534FFE42,3.5,medium,medium,medium,medium,medium
14CC79B9F334,4.0,medium,medium,low,low,low
14D2867090F2,4.0,medium,medium,medium,medium,medium
14ED79D68BC4,2.5,medium,medium,medium,medium,low
14EE006078C4,3.5,low,medium,low,low,low
150C42083D49,4.0,low,medium,low,low,low
15125AF6CB82,3.5,medium,medium,medium,medium,low
1535E922B3AA,4.0,medium,medium,low,low,low
153C3543E432,3.5,low,low,low,low,low
15847C58ED47,3.0,low,low,low,low,low
1590895B2332,4.0,medium,medium,medium,low,low
1594F1B5DED6,3.0,medium,medium,low,low,low
15968BD9B40A,3.0,medium,medium,medium,medium,medium
15AC952FFBC1,3.5,medium,medium,medium,medium,low
15B68B826F8D,3.5,medium,medium,medium,medium,medium
15BD3759DC85,3.5,medium,medium,medium,medium,medium
15BDA0989B56,3.0,low,low,low,low,low
15D10C4DBA29,2.5,medium,medium,low,low,low
15F6B5C6229A,3.0,medium,medium,medium,medium,low
15FD5B635B50,4.0,medium,medium,medium,medium,medium
16005A45A20A,3.0,medium,medium,medium,medium,medium
161779A176BD,4.0,medium,medium,medium,low,low
161E5C8A6719,4.0,medium,medium,low,low,low
161F2D351A92,2.5,medium,medium,medium,medium,low
163A54729CAA,4.0,medium,medium,medium,medium,medium
163AC455E1DF,3.0,medium,medium,medium,medium,low
1649A2246587,3.5,medium,medium,medium,medium,medium
164D6D056A48,3.5,medium,medium,low,medium,low
168958FC7315,3.0,medium,medium,medium,medium,low
168C858F93A3,2.5,low,low,low,low,low
16B45E8AA9F3,3.0,medium,medium,medium,medium,medium
16B9EB49892E,2.0,low,low,low,low,low
16C3B49CFB43,2.5,medium,medium,medium,low,low
16C794A0F479,3.0,low,low,low,low,low
16DA6810DEF3,3.0,low,medium,low,low,low
16DEF72E220A,2.0,medium,medium,medium,medium,medium
1703E46B4DC9,4.0,medium,medium,medium,medium,low
17085E68BA88,4.0,medium,medium,medium,low,low
171E655CC8F1,2.0,low,low,low,low,low
1721F085F81E,3.0,medium,medium,medium,medium,medium
17230E94E6CF,2.0,medium,medium,low,low,low
172C8C3F5976,3.5,medium,medium,medium,medium,low
172F67E7FBBC,3.5,medium,medium,medium,medium,medium
1736153EF81F,2.5,medium,medium,medium,medium,medium
174C4761FEA2,3.5,medium,high,high,high,medium
1767698C3969,3.5,low,low,low,low,low
17D51D57629D,3.5,medium,medium,medium,high,medium
17E1D83B4708,3.5,medium,high,medium,medium,medium
17E521D5F29C,3.5,low,low,low,low,low
1829D6D139C2,3.5,medium,high,medium,medium,low
1846CE5F244D,2.0,medium,medium,medium,low,low
1849B89A02D6,3.5,medium,medium,medium,medium,low
185E2F7317F2,4.0,medium,medium,low,low,low
188FE8830590,4.0,medium,medium,medium,medium,medium
18D47A791678,2.0,medium,medium,medium,low,low
18EA27A2E333,3.0,medium,medium,medium,low,low
18FDAA0BF6A2,4.0,medium,medium,medium,medium,low
1928846BB272,2.0,medium,medium,low,low,low
192D02CF8C9E,3.0,medium,medium,medium,medium,low
194E86ED4117,4.0,high,high,medium,medium,medium
196096A1C048,4.5,medium,medium,medium,low,low
196EE083F6D0,2.5,low,low,low,low,low
197F95A99618,4.5,medium,medium,medium,medium,medium
19864CA2672E,2.5,low,medium,low,low,low
198F2ABF2971,3.5,medium,medium,medium,medium,medium
19D55405175F,4.0,medium,medium,medium,medium,medium
19DDF17CA4DC,3.5,medium,medium,medium,medium,low
1A039B3091BA,2.5,medium,medium,low,medium,low
1A17F32415FD,2.5,medium,medium,medium,medium,low
1A2894059051,3.0,medium,medium,low,low,low
1A2895AB84D7,3.0,low,low,low,low,low
1A3D750157B1,2.0,low,low,low,low,low
1A469EB86263,2.0,low,low,low,low,low
1A56FC79C084,3.0,medium,medium,low,low,low
1AA55FB101FD,3.5,low,low,low,low,low
1AD12415C4DB,3.0,medium,medium,medium,medium,medium
1AE2E7D8DFA3,3.0,medium,medium,low,low,low
1B056DE0E856,3.0,medium,medium,low,low,low
1B2274161889,4.0,medium,medium,low,low,low
1B4C8AD95EB5,4.0,medium,medium,medium,medium,medium
1B622A28EDD9,4.0,medium,medium,medium,medium,medium
1B7B007D6E1C,3.0,medium,medium,medium,low,low
1B981E7E59C5,3.0,medium,medium,low,low,low
1BA1FD29BF69,3.0,medium,medium,medium,medium,low
1BAD681F72CB,2.5,medium,medium,medium,medium,medium
1BC40A063549,2.5,medium,medium,low,low,low
1BD023792E29,3.5,medium,medium,medium,medium,low
1BE17E2DA549,2.5,medium,medium,medium,medium,low
1BE638E9C951,3.5,medium,medium,medium,medium,low
1BEADE7B4160,2.0,low,low,low,low,low
1C0E34879BB0,3.0,medium,medium,medium,medium,medium
1C17939C40A7,2.0,medium,medium,medium,medium,low
1C1E049AB15F,3.5,medium,medium,medium,medium,medium
1C2665B95694,2.5,medium,medium,low,low,low
1C31DA60C28D,2.0,low,low,low,low,low
1C65B8D20F73,3.5,low,low,low,low,low
1C911B0C2A2D,2.0,low,low,low,low,low
1CB9668F242D,2.5,medium,medium,low,low,low
1CC7C3E50765,2.0,low,low,low,low,low
1CE5DBCEF2CE,1.0,low,low,low,low,low
1CF3776F970D,3.0,medium,medium,medium,medium,low
1CFAD2A1BC00,3.0,medium,medium,medium,medium,medium
1CFAD594A087,4.0,medium,medium,medium,medium,low
1D1C40F5718C,3.0,medium,medium,low,low,low
1D2C46F51793,2.5,medium,medium,low,low,low
1D31AE0453BC,3.5,medium,medium,medium,medium,medium
1D327ADD95AA,4.5,high,high,high,high,high
1D47271C213D,3.0,medium,medium,medium,medium,low
1D75D76AC202,3.5,medium,medium,medium,medium,medium
1D82FAFE677B,2.0,low,low,low,low,low
1D8BDC81DE2C,2.5,medium,medium,low,low,low
1D944BF5BE87,4.0,medium,medium,medium,medium,medium
1DB195AA7BE3,2.0,low,low,low,low,low
1DDA34D8E4D3,2.5,medium,medium,low,low,low
1DDC2D1DB4EE,3.5,medium,medium,medium,medium,medium
1DE0E7C48DF0,3.0,medium,medium,medium,medium,low
1DFACB5D0C9E,3.0,low,low,low,low,low
1DFAE221EE14,3.5,low,low,low,low,low
1E11EA73C7B3,4.5,medium,medium,medium,medium,medium
1E176F592611,2.5,medium,medium,medium,low,low
1E2B10DC7A53,3.0,low,medium,low,low,low
1E492FE5045A,4.0,medium,medium,medium,medium,medium
1E4E4216EB39,4.0,medium,medium,medium,low,low
1E6F7CF7470E,3.0,medium,medium,medium,medium,low
1E7CF4875ED5,3.5,medium,medium,medium,low,low
1E8ABB190763,3.0,medium,medium,medium,low,low
1EB4D8BFB732,4.0,medium,medium,medium,medium,medium
1EEA95D39409,2.5,low,low,low,low,low
1F0A461A2589,3.0,medium,medium,low,low,low
1F217579A773,3.0,low,low,low,low,low
1F28812EE23D,4.0,medium,medium,medium,medium,medium
1F3620A2965E,3.5,medium,medium,medium,medium,medium
1F4961D46D29,4.5,high,high,high,high,high
1F50675D8683,3.0,medium,medium,medium,medium,low
1F7FD80F4396,2.0,medium,medium,medium,medium,low
1F9C0492FB8A,3.0,low,low,low,low,low
1FAC31F5C8DC,3.5,medium,medium,medium,medium,low
1FACF7E8D0A7,3.5,medium,medium,medium,medium,medium
1FB89CF59E5B,3.5,medium,medium,medium,medium,medium
1FB9B9E08786,3.0,medium,medium,medium,medium,low
1FC46D4B9D8C,2.5,medium,medium,low,low,low
1FE3EE0E16A8,2.5,medium,high,medium,medium,low
2003BF2E6DD0,4.0,high,high,high,high,medium
200671752EE0,4.0,medium,medium,medium,medium,medium
2010889A6522,3.0,medium,medium,medium,medium,medium
202C217E354A,2.0,low,medium,low,low,low
205069BE2E53,3.0,low,low,low,low,low
205D590BCBB1,3.5,medium,medium,medium,medium,low
206522E53696,2.5,low,low,low,low,low
2082C42A8F43,3.5,medium,medium,medium,medium,low
209A6BC99DB9,4.5,medium,medium,medium,medium,medium
20A2147B6DB8,3.0,medium,medium,medium,medium,medium
20A42E81AC2B,2.0,low,low,low,low,low
20AA145EB328,3.5,medium,high,medium,medium,low
20BC5CCE8C64,2.5,low,medium,low,low,low
20CF9410DC4A,3.0,medium,medium,medium,medium,low
20E194B18D0E,4.0,low,medium,low,low,low
20E2B07931F3,2.5,medium,medium,medium,medium,medium
20FB731C7598,3.0,medium,medium,medium,medium,low
2116231D1DC4,2.0,low,low,low,low,low
211699D25472,3.0,medium,medium,medium,medium,medium
214EC21D1403,3.5,medium,medium,medium,medium,low
21535555126A,3.5,medium,medium,medium,medium,low
2157AE4AFAA6,3.5,medium,medium,medium,medium,low
21737947650E,2.5,low,low,low,low,low
21741500885B,3.0,low,low,low,low,low
2175BC2F7C2C,3.5,medium,medium,medium,medium,low
21884C3DC96A,3.5,medium,medium,medium,medium,medium
219A0A3B6B5D,2.5,medium,medium,low,low,low
21B100A503DC,4.0,medium,medium,medium,medium,medium
21EFAE02832D,3.0,medium,medium,medium,medium,low
21F8069EC7F7,3.0,medium,medium,medium,medium,low
21FB103CCBBF,3.0,low,low,low,low,low
221BA383246D,3.5,medium,medium,medium,medium,medium
222D14189E1F,3.0,low,low,low,low,low
223FCA37F79D,4.0,medium,medium,medium,medium,medium
2265CC4410DE,4.0,medium,medium,medium,medium,medium
227569D39F6D,3.0,medium,medium,low,low,low
2286BCFF86EB,4.0,medium,medium,medium,medium,low
2299FA736E92,4.0,medium,medium,medium,medium,medium
22BF4720FB84,2.0,medium,medium,low,medium,low
22CFD6C961E3,4.0,medium,medium,medium,medium,medium
22D02123C65D,3.5,medium,medium,medium,medium,low
22E55C32A973,3.0,medium,medium,medium,medium,medium
22F16C83DE10,3.0,medium,medium,medium,medium,medium
22F571F54234,4.0,medium,high,medium,high,medium
22FDAB421C71,3.5,medium,medium,medium,medium,low
2327EC67A339,2.5,low,low,low,low,low
232A59426B1E,2.0,low,low,low,low,low
234F1BA430B7,3.0,medium,medium,medium,medium,medium
2358C2CE9966,2.0,medium,medium,medium,medium,low
2379CD1725FE,2.5,medium,medium,low,low,low
23958A3106EA,4.0,medium,medium,medium,medium,low
239A72DE1E35,3.5,low,medium,low,low,low
23B40A807A4E,3.5,medium,medium,medium,medium,low
23D5BA721F52,3.5,medium,medium,medium,low,low
23F0ABEF8370,2.0,medium,medium,low,low,low
23FC0A3DF4C9,3.5,low,low,low,medium,low
24050FFA49AE,3.5,medium,medium,medium,medium,low
244973AE9715,4.5,high,high,high,high,high
245B5CD11772,3.5,medium,medium,medium,medium,medium
24615FD199BE,3.0,medium,medium,medium,medium,low
248407B5DBB2,3.0,medium,high,medium,high,medium
24B8DF4DA85A,4.0,medium,medium,medium,medium,medium
24C508ED6FE2,2.5,medium,medium,medium,medium,medium
24C654C85C1F,3.5,medium,medium,low,medium,low
24DAF94F0A18,3.0,medium,medium,low,low,low
24E7F271035B,4.0,low,medium,low,low,low
25130AAA9552,2.5,low,low,low,low,low
25248BD3EEC2,3.5,medium,medium,medium,medium,low
253108CDC69F,4.0,low,low,low,low,low
2538542762C0,3.0,medium,medium,medium,medium,medium
253B2D521F14,3.5,medium,medium,low,low,low
25518B329285,3.0,medium,medium,low,low,low
25597135F582,3.5,medium,medium,low,medium,low
2567C158F746,2.5,medium,medium,low,low,low
2568B64DB374,3.5,medium,medium,medium,medium,low
257D0126F271,3.0,medium,medium,medium,medium,low
2580A540719C,4.0,medium,medium,medium,medium,low
25BFA95D04DE,3.0,medium,medium,medium,medium,low
25BFEA75C65A,3.0,medium,medium,medium,medium,low
25F1B2374A32,4.0,medium,medium,medium,medium,medium
25FA30699A04,4.0,high,high,medium,low,low
2623A90F72B9,3.5,medium,medium,medium,medium,medium
2637F9BEE7D3,3.0,medium,medium,medium,medium,low
263A29FC4FB1,3.0,medium,medium,medium,medium,medium
263C2C01BC08,3.5,medium,medium,medium,low,low
265FCDBBF0C1,3.0,medium,medium,medium,medium,medium
2675A97C2B76,3.5,medium,medium,medium,low,low
26788FA4ED04,3.5,medium,medium,low,low,low
269026CFBEC9,2.5,low,low,low,low,low
269101ABF266,3.5,medium,medium,medium,medium,low
26D32FF6313F,2.5,low,low,low,low,low
26E2AD762E9B,2.5,medium,medium,medium,medium,medium
26EA99485576,4.0,medium,medium,medium,medium,medium
2716F5E20A4F,1.0,low,low,low,low,low
2723DB12AC00,3.0,medium,medium,medium,medium,low
272CA21BAE13,3.0,low,low,low,low,low
277A95AC0190,3.5,medium,medium,low,low,low
278DE0BFACBF,2.5,medium,medium,medium,medium,low
279245CFCCF4,4.0,medium,medium,medium,medium,medium
27B8304D6E89,2.0,medium,medium,medium,medium,medium
27D80E5F87B1,3.0,medium,medium,medium,medium,medium
27E725D251A8,2.5,medium,medium,medium,low,low
27FC2D31B704,2.5,medium,medium,medium,low,low
280F4A13DE2B,4.0,medium,medium,medium,medium,medium
281AB73DF311,4.0,medium,high,medium,high,medium
2844FD2BF83B,2.0,low,low,low,low,low
28494A144B1A,3.5,medium,medium,low,low,low
2855CD45984F,3.0,low,low,low,low,low
28639BE05BB7,3.5,medium,medium,low,medium,low
28661F47D728,2.5,medium,medium,low,medium,low
286FE6743E88,2.0,low,low,low,low,low
287BE4F26530,2.5,medium,medium,low,low,low
28930E0B8820,3.0,medium,medium,low,low,low
28C8F048A469,3.5,medium,medium,medium,medium,medium
28FF89DC3B40,3.0,medium,medium,low,low,low
2909EE180A2A,4.0,medium,medium,medium,medium,medium
292E635496C4,2.5,medium,medium,low,low,low
293A93F037A7,3.0,medium,medium,medium,medium,medium
