essay_id,Vocabulary_score,question1,question2,question3,question4,question5,question6
0D23E504FBC0,2.5,medium,medium,medium,medium,medium,medium
0D382343F3D7,3.5,low,low,low,low,low,low
0D5DA97CCEAE,3.0,low,low,low,low,medium,low
0D65AF80CDE7,2.0,low,low,low,low,low,low
0D807ABE1BB3,3.5,medium,medium,medium,medium,medium,medium
0D8EC8868869,1.5,low,low,low,low,low,low
0D9288F0A6C9,3.5,low,low,medium,low,medium,low
0DB44DDF91E6,3.0,medium,medium,medium,medium,medium,medium
0DC7DEF31BE5,2.0,low,low,low,low,low,low
0DF2006FC8F1,3.0,medium,medium,medium,medium,medium,medium
0E03218FDD2F,4.0,medium,medium,medium,medium,medium,medium
0E07647BBC59,4.0,medium,medium,medium,medium,medium,medium
0E14B9D24898,2.0,low,low,low,low,medium,low
0E22A47D358E,2.5,low,low,medium,low,medium,low
0E26C20CFBBE,3.0,medium,medium,medium,medium,medium,medium
0E3C1F059C31,3.5,medium,medium,medium,medium,medium,medium
0E4FA5AC1EC1,4.5,medium,medium,medium,medium,medium,medium
0E5C8FE6867B,3.0,low,low,low,low,low,low
0E6BB199BF93,3.0,medium,low,medium,low,medium,medium
0E9FC972215F,3.5,medium,medium,medium,medium,medium,medium
0EBED6896F51,3.5,medium,medium,medium,medium,medium,medium
0EC392C06372,3.5,low,low,low,low,low,low
0EC7D67618F4,2.5,low,low,low,low,low,low
0ED9E0B4AC30,3.5,medium,medium,medium,medium,medium,medium
0EE67777ABB5,4.0,medium,medium,medium,medium,medium,medium
0EEE49F99224,2.5,medium,medium,medium,medium,medium,medium
0F19DD8FEEDC,4.0,medium,medium,medium,medium,medium,medium
0F32DDCBECB6,3.5,medium,low,medium,medium,medium,medium
0F3EC382C3CB,3.5,medium,medium,medium,medium,medium,medium
0F473C4B0103,3.5,medium,medium,medium,medium,medium,medium
0F563E567370,2.5,medium,medium,medium,low,medium,medium
0F634E9B3E9C,3.0,low,low,low,low,low,low
0F7900292BB6,3.5,medium,low,low,low,medium,low
0F7DB6BD1AD5,3.0,medium,medium,medium,medium,medium,medium
0F8436260047,3.0,medium,low,low,low,medium,low
0F84CCFB4982,3.0,low,low,low,low,low,low
0F8F499BAAB9,3.0,medium,medium,medium,medium,medium,medium
0F9FDD188673,3.0,low,low,low,low,medium,low
0FD73E4EED03,3.5,medium,low,medium,low,medium,low
0FF307182628,2.5,medium,medium,medium,medium,medium,medium
0FFB44B5D0C2,4.0,medium,medium,medium,medium,medium,medium
101576652D3B,5.0,medium,medium,medium,medium,medium,medium
101E0C554F66,3.5,medium,medium,medium,medium,medium,medium
101E64C9DA0E,3.5,medium,medium,medium,medium,medium,medium
1087B6C7FB98,4.0,medium,medium,medium,medium,medium,medium
108CA77CBAB4,3.5,medium,medium,medium,medium,medium,medium
10988CD16BF3,3.0,medium,medium,medium,medium,medium,medium
109D8D4A91FC,3.5,medium,medium,medium,medium,medium,medium
10A367BB87EB,3.5,medium,medium,medium,medium,medium,medium
10AC7944DC4A,3.0,medium,medium,medium,medium,medium,medium
10BE9BFD7D41,3.0,medium,low,medium,medium,medium,low
10D0BBF44479,3.0,medium,medium,medium,medium,medium,medium
10D2D1173D36,4.0,medium,medium,medium,medium,medium,medium
10D3A9E5E79E,3.5,medium,medium,medium,medium,medium,medium
10D5A47D0859,2.0,medium,low,low,low,medium,low
10D60ACB3E5D,2.0,low,low,low,low,low,low
10DA9316D02D,3.0,medium,medium,medium,medium,medium,medium
10DF0ACB336C,3.0,low,low,low,low,medium,low
10E11F30F47C,3.0,low,low,low,low,medium,low
10ECA491D66C,3.5,medium,medium,medium,medium,medium,medium
10F5D7C3719C,2.0,medium,medium,medium,medium,medium,medium
112AA24D20BC,3.5,medium,medium,medium,medium,medium,medium
113436EC45E2,3.0,low,low,low,low,medium,low
113B1543C433,3.0,medium,medium,medium,medium,medium,medium
11402548A471,4.0,medium,medium,medium,medium,medium,medium
11598C88FBA4,3.0,low,low,low,low,medium,low
1170D6863F27,2.5,medium,low,medium,low,medium,low
11DD0B26B584,3.0,medium,medium,medium,medium,medium,medium
11E5C01714C5,4.0,medium,medium,medium,medium,medium,medium
11E9348F5072,3.0,medium,medium,medium,medium,medium,medium
1202062A4FA5,3.5,medium,high,medium,medium,medium,medium
1204D17C682A,3.0,low,low,low,low,low,low
120FE0B76D5C,3.5,medium,medium,medium,medium,medium,medium
1214E4605B0C,3.5,medium,low,medium,medium,medium,low
1247CB034EF7,3.0,medium,medium,medium,medium,medium,medium
125C1167A84A,3.0,low,low,low,low,low,low
125CD13D5FA4,3.5,medium,medium,medium,medium,medium,medium
125E7C6E0D31,3.5,medium,medium,medium,medium,medium,medium
126555810C31,3.5,medium,medium,medium,medium,medium,medium
1271A68BDC00,4.0,medium,medium,medium,medium,medium,medium
1274667FF6E3,4.0,medium,medium,medium,medium,medium,medium
12796C5A0480,2.0,low,low,low,low,low,low
128161F8B117,3.0,medium,medium,medium,medium,medium,medium
12920189F7BB,3.5,medium,medium,medium,medium,medium,medium
12CA89146E91,2.5,low,low,low,low,medium,low
12E3D52345C6,5.0,high,high,high,high,high,high
12F2BF34883F,3.5,medium,medium,medium,medium,medium,medium
12F89E196E97,3.0,medium,high,medium,high,medium,medium
12FE853D6B88,5.0,medium,medium,medium,medium,medium,medium
1300AD075785,3.5,medium,medium,medium,medium,medium,medium
130CA439835B,3.0,low,low,low,low,low,low
13450D581EC9,3.0,low,low,low,low,low,low
1348668DF845,3.5,medium,low,medium,low,medium,low
134937CE445C,3.0,medium,medium,medium,medium,medium,medium
13578C0BCC3C,3.5,low,low,low,low,low,low
136B3124BE79,3.0,medium,low,medium,low,medium,low
136F4548CFD0,2.5,low,low,low,low,medium,low
13A94BBE2B24,3.5,medium,medium,medium,medium,medium,medium
13AB4CC7F80F,4.0,medium,medium,medium,medium,medium,medium
13C400DD9794,2.0,low,low,low,low,medium,low
13D960FD28CD,3.5,low,low,low,low,low,low
13E1CB9819CB,4.0,medium,medium,medium,medium,medium,medium
13FDCF58A955,3.0,medium,low,medium,medium,medium,medium
14409A305AB3,4.0,medium,medium,medium,low,medium,low
144671E445D0,3.0,medium,medium,medium,medium,medium,medium
1451EA314B8A,4.5,medium,medium,medium,medium,medium,medium
14AC534FFE42,3.5,medium,medium,medium,medium,medium,medium
14CC79B9F334,3.5,medium,low,medium,medium,medium,medium
14D2867090F2,4.0,medium,medium,medium,medium,medium,medium
14ED79D68BC4,3.0,medium,medium,medium,medium,medium,medium
14EE006078C4,3.5,low,low,medium,low,medium,low
150C42083D49,4.0,low,low,low,low,medium,low
15125AF6CB82,3.5,medium,medium,medium,medium,medium,medium
1535E922B3AA,3.5,medium,low,medium,medium,medium,medium
153C3543E432,3.5,medium,low,low,low,low,low
15847C58ED47,3.5,low,low,low,low,medium,low
1590895B2332,3.5,medium,medium,medium,medium,medium,medium
1594F1B5DED6,2.5,low,low,low,low,medium,low
15968BD9B40A,4.0,medium,medium,medium,medium,medium,medium
15AC952FFBC1,3.5,medium,medium,medium,medium,medium,medium
15B68B826F8D,3.5,medium,medium,medium,medium,medium,medium
15BD3759DC85,4.0,medium,medium,medium,medium,medium,medium
15BDA0989B56,2.5,low,low,low,low,low,low
15D10C4DBA29,3.0,medium,medium,medium,medium,medium,medium
15F6B5C6229A,3.0,medium,medium,medium,medium,medium,medium
15FD5B635B50,3.0,medium,medium,medium,medium,medium,medium
16005A45A20A,3.0,medium,medium,medium,medium,low,medium
161779A176BD,4.5,medium,medium,medium,medium,medium,medium
161E5C8A6719,3.5,medium,low,medium,low,medium,low
161F2D351A92,3.0,medium,medium,medium,low,medium,low
163A54729CAA,3.0,medium,medium,medium,medium,medium,medium
163AC455E1DF,3.0,medium,medium,medium,medium,medium,medium
1649A2246587,3.5,medium,medium,medium,medium,medium,medium
164D6D056A48,3.5,medium,medium,medium,low,medium,medium
168958FC7315,3.0,medium,medium,medium,medium,medium,medium
168C858F93A3,3.0,low,low,low,low,medium,low
16B45E8AA9F3,3.5,medium,medium,medium,medium,medium,medium
16B9EB49892E,2.5,low,low,low,low,low,low
16C3B49CFB43,3.0,medium,medium,medium,medium,medium,medium
16C794A0F479,3.0,low,low,low,low,low,low
16DA6810DEF3,2.5,low,low,medium,low,medium,low
16DEF72E220A,2.0,medium,medium,medium,medium,medium,medium
1703E46B4DC9,4.5,medium,medium,medium,medium,medium,medium
17085E68BA88,4.0,medium,medium,medium,medium,medium,medium
171E655CC8F1,2.5,low,low,low,low,medium,low
1721F085F81E,3.5,medium,medium,medium,medium,medium,medium
17230E94E6CF,2.5,medium,low,low,low,medium,low
172C8C3F5976,3.0,medium,medium,medium,medium,medium,medium
172F67E7FBBC,4.0,medium,medium,medium,medium,medium,medium
1736153EF81F,3.5,medium,medium,medium,medium,medium,medium
174C4761FEA2,3.5,medium,medium,high,high,medium,medium
1767698C3969,3.5,low,low,medium,low,medium,low
17D51D57629D,3.0,medium,medium,medium,medium,medium,medium
17E1D83B4708,3.5,high,high,high,medium,medium,medium
17E521D5F29C,3.0,low,low,low,low,medium,low
1829D6D139C2,3.0,medium,medium,medium,medium,medium,medium
1846CE5F244D,3.0,medium,medium,medium,medium,medium,medium
1849B89A02D6,4.0,medium,medium,medium,medium,medium,medium
185E2F7317F2,4.0,low,low,low,low,medium,low
188FE8830590,4.0,medium,medium,medium,medium,medium,medium
18D47A791678,3.0,medium,medium,medium,medium,medium,medium
18EA27A2E333,3.5,medium,medium,medium,medium,medium,medium
18FDAA0BF6A2,3.0,medium,medium,medium,medium,medium,medium
1928846BB272,3.0,medium,low,medium,low,medium,medium
192D02CF8C9E,3.0,medium,medium,medium,medium,medium,medium
194E86ED4117,4.0,medium,high,high,medium,medium,medium
196096A1C048,4.5,medium,high,medium,medium,medium,medium
196EE083F6D0,2.5,low,low,low,low,low,low
197F95A99618,4.5,medium,medium,medium,medium,medium,medium
19864CA2672E,2.5,medium,low,medium,low,medium,medium
198F2ABF2971,4.5,medium,medium,medium,medium,medium,medium
19D55405175F,4.0,medium,medium,medium,medium,medium,medium
19DDF17CA4DC,3.0,medium,medium,medium,medium,medium,medium
1A039B3091BA,2.5,low,low,medium,low,medium,low
1A17F32415FD,3.0,medium,medium,medium,medium,medium,medium
1A2894059051,2.5,low,low,low,low,medium,low
1A2895AB84D7,3.5,low,low,low,low,low,low
1A3D750157B1,3.0,low,low,low,low,low,low
1A469EB86263,2.5,low,low,low,low,low,low
1A56FC79C084,3.0,medium,medium,medium,medium,medium,low
1AA55FB101FD,3.0,low,low,low,low,low,low
1AD12415C4DB,2.5,medium,medium,medium,medium,medium,medium
1AE2E7D8DFA3,3.0,medium,low,medium,medium,medium,medium
1B056DE0E856,3.0,low,low,low,low,medium,low
1B2274161889,4.5,medium,low,medium,medium,medium,medium
1B4C8AD95EB5,3.5,medium,medium,medium,medium,medium,medium
1B622A28EDD9,4.5,medium,medium,medium,medium,medium,medium
1B7B007D6E1C,2.5,medium,medium,medium,medium,medium,medium
1B981E7E59C5,3.5,medium,medium,medium,medium,medium,low
1BA1FD29BF69,3.0,medium,medium,medium,medium,medium,medium
1BAD681F72CB,2.5,medium,medium,medium,medium,medium,medium
1BC40A063549,2.5,medium,medium,medium,medium,medium,medium
1BD023792E29,4.0,medium,medium,medium,medium,medium,medium
1BE17E2DA549,3.0,medium,medium,medium,medium,medium,low
1BE638E9C951,3.0,medium,medium,medium,medium,medium,medium
1BEADE7B4160,2.0,low,low,low,low,low,low
1C0E34879BB0,3.0,medium,medium,medium,medium,medium,medium
1C17939C40A7,2.0,medium,medium,medium,medium,medium,medium
1C1E049AB15F,3.5,medium,medium,medium,medium,medium,medium
1C2665B95694,3.0,medium,medium,medium,medium,medium,medium
1C31DA60C28D,2.5,low,low,low,low,low,low
1C65B8D20F73,3.0,low,low,low,low,medium,low
1C911B0C2A2D,2.5,low,low,low,low,low,low
1CB9668F242D,3.5,medium,medium,medium,medium,medium,medium
1CC7C3E50765,3.5,low,low,low,low,medium,low
1CE5DBCEF2CE,1.5,low,low,low,low,low,low
1CF3776F970D,3.5,low,low,medium,low,medium,medium
1CFAD2A1BC00,3.0,medium,medium,medium,medium,medium,medium
1CFAD594A087,3.5,medium,medium,medium,medium,medium,medium
1D1C40F5718C,3.0,medium,low,low,low,medium,low
1D2C46F51793,3.0,low,low,medium,low,medium,low
1D31AE0453BC,3.0,medium,medium,medium,medium,medium,medium
1D327ADD95AA,5.0,high,high,high,high,high,high
1D47271C213D,3.0,medium,medium,medium,medium,medium,medium
1D75D76AC202,3.5,medium,medium,medium,medium,medium,medium
1D82FAFE677B,2.5,low,low,low,low,medium,low
1D8BDC81DE2C,2.5,low,low,medium,low,medium,low
1D944BF5BE87,4.0,medium,medium,medium,medium,medium,medium
1DB195AA7BE3,2.0,low,low,low,low,low,low
1DDA34D8E4D3,3.0,low,low,low,low,medium,low
1DDC2D1DB4EE,4.0,medium,medium,medium,medium,medium,medium
1DE0E7C48DF0,3.5,medium,medium,medium,medium,medium,medium
1DFACB5D0C9E,3.0,low,low,low,low,low,low
1DFAE221EE14,3.0,low,low,medium,low,medium,low
1E11EA73C7B3,4.0,medium,medium,medium,medium,medium,medium
1E176F592611,3.0,medium,medium,medium,medium,medium,medium
1E2B10DC7A53,3.0,medium,low,low,low,medium,low
1E492FE5045A,4.0,medium,medium,medium,medium,medium,medium
1E4E4216EB39,4.0,medium,low,medium,medium,medium,medium
1E6F7CF7470E,3.0,medium,medium,medium,medium,medium,medium
1E7CF4875ED5,3.0,medium,medium,medium,medium,medium,medium
1E8ABB190763,3.0,medium,medium,medium,medium,medium,medium
1EB4D8BFB732,4.0,medium,medium,medium,medium,medium,medium
1EEA95D39409,3.0,low,low,low,low,low,low
1F0A461A2589,3.0,medium,low,medium,low,medium,low
1F217579A773,3.5,low,low,low,low,medium,low
1F28812EE23D,3.5,medium,medium,medium,medium,medium,medium
1F3620A2965E,3.0,medium,high,medium,medium,medium,medium
1F4961D46D29,5.0,high,high,high,high,high,high
1F50675D8683,3.0,medium,medium,medium,medium,medium,medium
1F7FD80F4396,3.0,medium,medium,medium,medium,medium,medium
1F9C0492FB8A,2.5,low,low,low,low,medium,low
1FAC31F5C8DC,3.5,medium,medium,medium,medium,medium,medium
1FACF7E8D0A7,3.0,medium,medium,medium,medium,medium,medium
1FB89CF59E5B,3.5,medium,medium,medium,medium,medium,medium
1FB9B9E08786,3.0,medium,medium,medium,medium,medium,medium
1FC46D4B9D8C,2.0,medium,low,medium,low,medium,medium
1FE3EE0E16A8,3.5,medium,medium,medium,medium,medium,medium
2003BF2E6DD0,4.0,high,high,high,high,medium,high
200671752EE0,4.5,medium,medium,medium,medium,medium,medium
2010889A6522,3.0,medium,medium,medium,medium,medium,medium
202C217E354A,2.5,low,low,low,low,medium,low
205069BE2E53,3.0,low,low,low,low,medium,low
205D590BCBB1,3.5,medium,medium,medium,low,medium,medium
206522E53696,2.5,low,low,low,low,low,low
2082C42A8F43,3.5,medium,medium,medium,medium,medium,medium
209A6BC99DB9,4.5,medium,medium,medium,medium,medium,medium
20A2147B6DB8,3.0,medium,medium,medium,medium,medium,medium
20A42E81AC2B,2.0,low,low,low,low,medium,low
20AA145EB328,4.5,medium,high,medium,medium,medium,medium
20BC5CCE8C64,3.5,medium,low,medium,low,medium,low
20CF9410DC4A,3.0,medium,high,medium,medium,medium,medium
20E194B18D0E,4.0,low,low,medium,low,medium,medium
20E2B07931F3,3.0,medium,medium,medium,medium,medium,medium
20FB731C7598,3.0,medium,medium,medium,medium,medium,medium
2116231D1DC4,3.0,low,low,low,low,medium,low
211699D25472,3.5,medium,medium,medium,medium,medium,medium
214EC21D1403,4.0,medium,medium,medium,medium,medium,medium
21535555126A,4.0,medium,medium,medium,medium,medium,medium
2157AE4AFAA6,3.5,medium,medium,medium,medium,medium,medium
21737947650E,2.5,low,low,low,low,medium,low
21741500885B,3.5,low,low,low,low,low,low
2175BC2F7C2C,3.5,medium,medium,medium,medium,medium,medium
21884C3DC96A,3.0,medium,medium,medium,medium,medium,medium
219A0A3B6B5D,2.5,medium,low,medium,low,medium,low
21B100A503DC,4.0,medium,medium,medium,medium,medium,medium
21EFAE02832D,3.0,medium,low,medium,low,medium,medium
21F8069EC7F7,3.5,medium,medium,medium,medium,medium,medium
21FB103CCBBF,3.0,low,low,low,low,medium,low
221BA383246D,3.5,medium,medium,medium,medium,medium,medium
222D14189E1F,3.5,low,low,low,low,medium,low
223FCA37F79D,4.0,medium,medium,medium,medium,medium,medium
2265CC4410DE,4.0,medium,medium,medium,medium,medium,medium
227569D39F6D,3.0,medium,low,medium,low,medium,medium
2286BCFF86EB,3.5,medium,medium,medium,medium,medium,medium
2299FA736E92,3.5,medium,medium,medium,medium,medium,medium
22BF4720FB84,2.5,medium,low,medium,low,medium,medium
22CFD6C961E3,4.0,medium,medium,medium,medium,medium,medium
22D02123C65D,3.0,medium,medium,medium,medium,medium,medium
22E55C32A973,3.5,medium,medium,medium,medium,medium,medium
22F16C83DE10,2.5,medium,medium,medium,medium,medium,medium
22F571F54234,4.5,medium,high,high,medium,medium,high
22FDAB421C71,4.0,medium,medium,medium,medium,medium,medium
2327EC67A339,2.5,low,low,low,low,low,low
232A59426B1E,2.5,low,low,low,low,low,low
234F1BA430B7,3.5,medium,medium,medium,medium,medium,medium
2358C2CE9966,3.0,medium,low,medium,low,medium,medium
2379CD1725FE,2.5,low,low,low,low,medium,low
23958A3106EA,4.0,medium,medium,medium,medium,medium,medium
239A72DE1E35,3.5,low,low,low,low,medium,low
23B40A807A4E,3.0,medium,medium,medium,medium,medium,medium
23D5BA721F52,3.5,medium,medium,medium,low,medium,medium
23F0ABEF8370,2.5,medium,low,medium,medium,medium,medium
23FC0A3DF4C9,3.0,low,low,low,low,medium,low
24050FFA49AE,3.5,medium,low,medium,low,medium,medium
244973AE9715,5.0,high,high,high,high,high,high
245B5CD11772,3.5,medium,medium,medium,medium,medium,medium
