essay_id,prompt_id,narrativity_score,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10
6025,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6026,3,3,medium,high,high,medium,high,high,medium,high,high,medium
6027,3,3,medium,high,high,high,high,high,medium,high,high,medium
6028,3,1,low,low,medium,low,low,low,low,low,low,low
6029,3,1,low,medium,medium,medium,medium,medium,low,low,low,medium
6030,3,3,medium,high,high,medium,medium,high,low,medium,high,medium
6031,3,2,medium,high,medium,medium,medium,high,low,high,high,medium
6032,3,2,medium,medium,high,medium,medium,medium,low,medium,medium,medium
6033,3,2,medium,medium,medium,medium,medium,high,low,medium,medium,medium
6034,3,2,medium,high,high,medium,medium,medium,medium,medium,high,medium
6035,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6036,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6037,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6038,3,1,low,low,low,low,low,low,low,low,low,low
6039,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6040,3,0,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6041,3,0,low,low,high,low,low,low,low,low,low,low
6042,3,2,medium,high,high,high,high,high,medium,high,high,high
6043,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6044,3,0,low,low,medium,low,low,low,low,low,low,low
6045,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6046,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6047,3,1,medium,medium,high,medium,medium,medium,low,medium,medium,medium
6048,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6049,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6050,3,3,medium,high,high,high,high,high,low,high,high,high
6051,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6052,3,1,low,medium,medium,medium,low,medium,low,low,low,low
6053,3,0,low,medium,medium,medium,low,low,low,low,low,medium
6054,3,2,medium,medium,high,medium,medium,medium,low,medium,medium,medium
6055,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6056,3,1,low,medium,medium,medium,low,medium,low,low,low,medium
6057,3,2,medium,high,medium,medium,medium,high,low,medium,high,medium
6058,3,1,low,medium,medium,medium,low,medium,low,low,low,medium
6059,3,1,medium,medium,high,medium,medium,medium,low,medium,medium,medium
6060,3,0,low,low,medium,low,low,low,low,low,low,low
6061,3,2,medium,high,medium,high,medium,high,low,high,high,medium
6062,3,1,medium,medium,high,medium,medium,medium,low,medium,medium,medium
6063,3,1,medium,medium,medium,medium,medium,high,low,medium,medium,medium
6064,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6065,3,2,low,medium,medium,medium,medium,medium,low,medium,medium,medium
6066,3,0,low,medium,medium,medium,low,low,low,low,medium,medium
6067,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
6068,3,1,medium,medium,high,medium,medium,medium,low,medium,medium,medium
6069,3,2,medium,medium,high,medium,medium,medium,low,medium,high,medium
6070,3,2,medium,high,medium,medium,medium,medium,low,high,high,medium
6071,3,3,medium,high,high,high,medium,medium,low,medium,high,high
6072,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6073,3,2,medium,high,high,high,medium,high,low,high,high,medium
6074,3,2,low,medium,high,medium,medium,medium,low,low,high,medium
6075,3,3,medium,high,high,medium,high,high,medium,high,high,medium
6076,3,2,low,medium,medium,medium,low,low,low,low,low,low
6077,3,1,low,medium,high,medium,medium,low,low,low,medium,medium
6078,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6079,3,2,medium,high,high,high,medium,medium,low,high,high,medium
6080,3,3,medium,medium,high,medium,medium,medium,low,medium,high,medium
6081,3,1,low,medium,medium,medium,low,low,low,low,low,low
6082,3,0,medium,medium,medium,medium,medium,medium,low,low,medium,medium
6083,3,0,low,medium,medium,medium,medium,medium,low,low,medium,medium
6084,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6085,3,3,medium,high,high,high,medium,high,low,high,high,high
6086,3,1,low,medium,medium,medium,medium,medium,low,low,medium,medium
6087,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6088,3,2,medium,high,medium,medium,medium,medium,low,medium,high,medium
6089,3,2,medium,high,high,medium,medium,high,low,medium,high,medium
6090,3,1,low,medium,medium,medium,low,low,low,medium,low,medium
6091,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6092,3,0,medium,medium,high,medium,medium,medium,low,medium,high,medium
6093,3,0,low,medium,medium,medium,low,low,low,low,low,low
6094,3,2,low,medium,medium,medium,low,low,low,low,low,low
6095,3,3,medium,high,high,high,high,high,medium,high,high,high
6096,3,1,medium,medium,medium,medium,medium,medium,medium,medium,high,medium
6097,3,1,low,medium,medium,medium,medium,medium,low,medium,medium,medium
6098,3,2,low,medium,high,medium,medium,medium,low,medium,medium,medium
6099,3,0,low,medium,medium,medium,medium,medium,low,medium,medium,low
6100,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6101,3,1,low,low,low,low,low,low,low,low,low,low
6102,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6103,3,3,medium,high,high,high,medium,high,low,medium,high,medium
6104,3,0,low,low,low,low,low,low,low,low,low,low
6105,3,2,medium,high,medium,medium,medium,high,low,high,high,medium
6106,3,1,medium,high,high,high,medium,high,low,high,high,medium
6107,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6108,3,1,low,low,medium,low,low,low,low,low,low,low
6109,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6110,3,2,low,medium,medium,medium,medium,medium,low,low,low,medium
6111,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6112,3,1,low,low,low,low,low,low,low,low,low,low
6113,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6114,3,1,low,medium,medium,low,low,low,low,low,low,low
6115,3,0,low,low,low,low,low,low,low,low,low,low
6116,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6117,3,2,medium,medium,medium,medium,medium,medium,low,low,medium,medium
6118,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6119,3,1,medium,high,high,high,medium,high,low,medium,high,medium
6120,3,1,low,medium,medium,medium,medium,low,low,medium,low,low
6121,3,2,low,medium,medium,medium,medium,medium,low,medium,medium,medium
6122,3,1,medium,medium,medium,medium,medium,medium,medium,high,high,medium
6123,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6124,3,3,medium,high,high,high,medium,high,low,high,high,medium
6125,3,1,medium,medium,high,medium,medium,medium,low,medium,medium,medium
6126,3,1,medium,medium,high,high,medium,medium,low,medium,high,medium
6127,3,3,medium,high,high,high,high,high,medium,high,high,medium
6128,3,3,medium,high,high,high,high,high,low,high,high,high
6129,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6130,3,1,low,medium,medium,medium,medium,low,medium,medium,medium,medium
6131,3,1,medium,medium,high,medium,medium,medium,medium,medium,medium,medium
6132,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6133,3,2,medium,medium,high,medium,medium,medium,low,low,medium,medium
6134,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6135,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6136,3,1,low,medium,medium,medium,low,low,low,low,low,medium
6137,3,2,medium,medium,high,medium,medium,medium,low,medium,medium,medium
6138,3,3,medium,medium,high,medium,medium,medium,medium,medium,high,medium
6139,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6140,3,0,medium,medium,medium,medium,medium,medium,low,low,medium,medium
6141,3,1,medium,medium,medium,medium,medium,medium,low,high,high,medium
6142,3,2,medium,high,high,high,medium,high,medium,high,high,medium
6143,3,1,medium,medium,high,medium,medium,high,medium,medium,medium,medium
6144,3,1,low,low,medium,low,low,low,low,low,low,low
6145,3,2,medium,medium,medium,medium,medium,medium,medium,medium,high,medium
6146,3,1,low,medium,high,medium,medium,medium,medium,medium,medium,medium
6147,3,1,medium,medium,high,medium,medium,medium,medium,medium,medium,medium
6148,3,1,low,low,low,low,low,low,low,low,low,low
6149,3,2,medium,high,medium,medium,medium,high,medium,medium,medium,medium
6150,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6151,3,3,medium,medium,high,medium,medium,medium,medium,medium,medium,medium
6152,3,3,medium,high,high,high,medium,high,low,medium,high,medium
6153,3,1,low,low,high,medium,low,low,low,low,low,low
6154,3,0,low,low,low,low,low,low,low,low,low,low
6155,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6156,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6157,3,1,medium,medium,medium,medium,medium,medium,medium,medium,high,medium
6158,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6159,3,1,low,medium,medium,medium,low,medium,low,medium,low,low
6160,3,3,medium,high,high,high,medium,high,medium,high,high,medium
6161,3,1,low,low,medium,low,low,low,low,low,low,low
6162,3,1,low,medium,high,medium,medium,medium,low,medium,medium,medium
6163,3,0,medium,medium,high,medium,medium,medium,low,medium,medium,medium
6164,3,1,low,medium,high,medium,medium,medium,low,low,low,medium
6165,3,3,medium,high,high,high,high,high,low,high,high,medium
6166,3,1,medium,medium,high,medium,medium,low,low,low,medium,medium
6167,3,1,medium,medium,high,medium,medium,medium,medium,medium,high,medium
6168,3,1,low,medium,medium,medium,medium,medium,medium,medium,medium,medium
6169,3,3,medium,medium,medium,medium,medium,medium,medium,medium,high,medium
6170,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6171,3,3,medium,high,high,high,medium,medium,low,high,high,medium
6172,3,2,medium,high,high,high,high,high,medium,medium,high,medium
6173,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
6174,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6175,3,1,medium,medium,high,medium,medium,medium,medium,medium,medium,medium
6176,3,0,low,medium,medium,low,low,low,medium,low,low,low
6177,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6178,3,1,medium,medium,medium,medium,medium,medium,medium,high,high,medium
6179,3,1,low,low,medium,low,low,low,low,low,low,low
6180,3,1,low,low,low,low,low,low,low,low,low,low
6181,3,2,medium,high,high,medium,medium,medium,low,medium,high,medium
6182,3,1,medium,high,high,high,medium,high,medium,medium,high,high
6183,3,2,medium,high,high,medium,medium,medium,low,high,high,medium
6184,3,2,medium,medium,high,high,medium,medium,low,medium,high,medium
6185,3,1,low,medium,medium,medium,medium,medium,low,medium,medium,medium
6186,3,1,low,medium,medium,low,low,low,low,low,low,low
6187,3,2,low,medium,high,medium,low,low,low,low,low,low
6188,3,0,low,medium,medium,medium,medium,low,low,low,low,low
6189,3,0,low,low,medium,low,low,low,low,low,low,low
6190,3,2,medium,medium,medium,medium,medium,medium,medium,medium,high,medium
6191,3,1,medium,high,high,medium,high,high,medium,high,high,medium
6192,3,3,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6193,3,2,medium,medium,high,medium,medium,medium,low,medium,high,medium
6194,3,3,medium,high,high,high,medium,high,medium,high,high,medium
6195,3,2,medium,high,high,medium,medium,medium,medium,high,high,medium
6196,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6197,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6198,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6199,3,1,low,low,medium,medium,low,low,low,low,low,low
6200,3,1,medium,medium,high,medium,medium,high,medium,medium,medium,medium
6201,3,1,medium,medium,high,medium,medium,low,low,low,medium,medium
6202,3,1,low,medium,medium,medium,low,low,medium,medium,low,low
6203,3,1,medium,high,high,medium,medium,high,low,high,high,medium
6204,3,1,medium,high,medium,medium,medium,high,medium,medium,high,medium
6205,3,1,low,medium,medium,medium,medium,medium,low,medium,low,medium
6206,3,0,low,low,medium,low,low,low,low,low,low,low
6207,3,0,low,medium,medium,low,low,low,low,medium,low,low
6208,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6209,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6210,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6211,3,1,medium,medium,high,medium,medium,medium,low,medium,high,medium
6212,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6213,3,0,low,medium,medium,medium,medium,low,low,low,low,medium
6214,3,1,medium,medium,high,medium,medium,medium,low,medium,high,medium
6215,3,1,low,low,high,low,low,low,low,low,low,low
6216,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6217,3,0,medium,medium,high,medium,medium,low,low,medium,medium,medium
6218,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6219,3,2,medium,high,medium,medium,medium,medium,low,medium,high,medium
6220,3,1,low,medium,high,medium,medium,medium,medium,medium,high,medium
6221,3,1,medium,medium,high,medium,medium,medium,low,medium,medium,medium
6222,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6223,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6224,3,1,low,medium,medium,medium,medium,low,low,low,medium,medium
6225,3,2,medium,high,medium,medium,medium,medium,medium,medium,high,medium
6226,3,2,medium,medium,high,medium,medium,medium,medium,medium,high,medium
6227,3,0,medium,medium,high,high,medium,medium,high,low,high,medium
6228,3,1,low,medium,medium,medium,medium,medium,low,high,high,medium
6229,3,0,low,medium,medium,medium,low,low,low,low,low,low
6230,3,0,low,medium,high,medium,medium,high,low,low,high,medium
6231,3,1,medium,high,medium,medium,medium,medium,medium,high,high,medium
6232,3,1,medium,high,high,high,high,high,low,medium,high,medium
6233,3,1,low,medium,high,medium,low,medium,low,low,medium,medium
6234,3,0,low,medium,medium,medium,medium,low,low,medium,medium,low
6235,3,0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6236,3,3,medium,high,high,medium,medium,medium,medium,high,high,medium
6237,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6238,3,0,low,low,medium,low,low,low,low,low,low,low
6239,3,2,medium,high,high,high,medium,high,low,medium,high,medium
6240,3,3,medium,high,high,high,medium,medium,medium,high,high,medium
6241,3,0,low,low,medium,low,low,low,low,low,low,low
6242,3,0,low,low,medium,medium,low,low,low,low,low,low
6243,3,3,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6244,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6245,3,2,medium,medium,high,medium,medium,high,medium,medium,medium,medium
6246,3,2,medium,high,high,high,high,medium,medium,high,high,medium
6247,3,2,medium,high,high,high,medium,high,medium,high,high,high
6248,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6249,3,2,medium,high,high,high,medium,high,medium,medium,high,high
6250,3,2,low,medium,medium,low,low,low,low,medium,low,low
6251,3,1,medium,high,high,high,medium,medium,medium,medium,high,medium
6252,3,0,low,medium,medium,medium,low,low,low,low,low,low
6253,3,3,medium,high,medium,medium,medium,high,medium,high,high,medium
6254,3,1,medium,high,medium,medium,medium,medium,low,medium,high,medium
6255,3,0,low,medium,medium,medium,low,low,low,medium,low,medium
6256,3,1,low,medium,high,medium,low,medium,low,low,medium,medium
6257,3,0,low,medium,medium,medium,medium,low,low,low,low,medium
6258,3,0,low,medium,medium,medium,low,low,low,low,low,low
6259,3,1,low,medium,high,medium,low,low,low,low,low,low
6260,3,1,medium,medium,high,medium,medium,medium,low,low,medium,medium
6261,3,1,medium,high,high,high,medium,medium,medium,medium,high,high
6262,3,3,medium,high,high,medium,medium,high,medium,high,high,medium
6263,3,3,medium,medium,medium,medium,medium,medium,medium,medium,high,medium
6264,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6265,3,1,medium,medium,medium,medium,medium,medium,low,low,high,medium
6266,3,0,low,medium,medium,medium,low,low,low,medium,low,low
6267,3,3,medium,high,high,high,high,high,low,high,high,medium
6268,3,2,medium,high,high,high,high,high,high,high,high,medium
6269,3,0,low,medium,high,medium,low,low,low,low,low,low
6270,3,2,medium,high,high,medium,medium,high,low,high,high,medium
6271,3,1,medium,high,high,high,medium,medium,medium,medium,high,medium
6272,3,2,low,medium,medium,medium,low,low,low,medium,low,low
6273,3,0,low,medium,medium,medium,low,low,low,low,low,low
6274,3,1,low,medium,medium,low,low,low,low,low,low,low
6275,3,0,low,low,low,low,low,low,low,low,low,low
6276,3,3,medium,high,high,high,medium,high,low,medium,high,medium
6277,3,0,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
6278,3,0,medium,medium,high,medium,medium,medium,medium,medium,medium,medium
6279,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6280,3,2,medium,medium,high,medium,medium,high,low,medium,high,medium
6281,3,2,medium,medium,medium,medium,medium,high,low,medium,medium,medium
6282,3,2,medium,high,medium,medium,medium,medium,medium,high,high,medium
6283,3,0,low,low,medium,low,low,low,low,low,low,low
6284,3,2,medium,high,high,medium,high,high,high,high,high,medium
6285,3,1,low,medium,medium,medium,low,medium,low,medium,medium,medium
6286,3,2,medium,high,medium,medium,medium,high,medium,medium,high,medium
6287,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6288,3,1,medium,high,high,high,medium,medium,low,medium,high,medium
6289,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6290,3,0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6291,3,2,medium,medium,high,medium,medium,medium,low,medium,high,medium
6292,3,3,medium,high,high,medium,medium,medium,medium,high,high,medium
6293,3,2,medium,medium,high,medium,medium,medium,medium,medium,high,medium
6294,3,2,medium,medium,high,medium,medium,medium,low,medium,medium,medium
6295,3,0,low,medium,high,medium,medium,medium,medium,medium,medium,medium
6296,3,1,medium,medium,high,medium,medium,medium,medium,medium,medium,medium
6297,3,1,medium,medium,medium,medium,medium,medium,low,medium,high,medium
6298,3,0,medium,medium,high,medium,medium,medium,low,medium,medium,medium
6299,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6300,3,2,medium,high,high,high,high,high,medium,high,high,medium
6301,3,2,medium,high,high,high,high,medium,low,high,high,medium
6302,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6303,3,0,low,low,low,low,low,low,low,low,low,low
6304,3,2,medium,medium,high,medium,medium,medium,low,medium,medium,medium
6305,3,1,medium,high,medium,medium,medium,high,low,medium,high,medium
6306,3,0,low,low,high,low,low,low,low,low,low,low
6307,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6308,3,2,medium,high,high,medium,medium,high,medium,medium,high,medium
6309,3,1,low,medium,medium,medium,low,low,low,low,low,low
6310,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6311,3,2,low,medium,medium,medium,low,medium,low,low,low,low
6312,3,2,low,medium,medium,medium,medium,medium,low,medium,low,low
6313,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6314,3,1,low,medium,high,medium,medium,low,low,low,medium,medium
6315,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6316,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6317,3,2,medium,high,high,high,medium,high,low,medium,high,medium
6318,3,0,medium,high,high,high,medium,medium,medium,medium,high,medium
6319,3,1,low,medium,medium,medium,low,medium,low,low,low,medium
6320,3,0,low,medium,medium,medium,low,low,low,medium,low,low
6321,3,0,low,medium,medium,medium,low,low,low,low,low,low
6322,3,1,medium,medium,high,medium,medium,medium,low,medium,high,medium
6323,3,0,medium,medium,high,medium,medium,low,low,low,medium,medium
6324,3,1,low,medium,high,medium,low,low,low,low,low,low
6325,3,1,medium,medium,high,medium,medium,medium,medium,medium,high,medium
6326,3,0,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6327,3,3,medium,medium,high,medium,medium,medium,medium,medium,high,medium
6328,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6329,3,2,medium,medium,high,medium,medium,medium,medium,medium,medium,medium
6330,3,3,medium,high,medium,medium,medium,medium,medium,high,high,medium
6331,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6332,3,1,low,low,high,low,low,low,low,low,low,low
6333,3,2,medium,high,high,high,high,high,medium,high,high,medium
6334,3,1,low,medium,medium,medium,medium,medium,low,medium,low,low
6335,3,3,medium,high,medium,medium,medium,medium,medium,high,high,medium
6336,3,2,medium,high,medium,medium,medium,high,medium,medium,high,medium
6337,3,1,medium,high,high,medium,medium,high,medium,medium,high,medium
6338,3,2,medium,high,high,high,medium,high,medium,high,high,medium
6339,3,3,medium,high,high,high,medium,medium,low,high,high,medium
6340,3,3,medium,medium,high,medium,medium,medium,medium,medium,high,medium
6341,3,2,low,medium,medium,medium,medium,medium,low,medium,low,low
6342,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6343,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6344,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6345,3,2,medium,high,high,medium,medium,medium,medium,medium,high,medium
6346,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6347,3,1,medium,medium,high,medium,medium,medium,low,medium,medium,medium
6348,3,1,medium,high,medium,medium,medium,high,medium,medium,high,medium
6349,3,2,medium,medium,medium,medium,medium,high,medium,medium,high,medium
6350,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6351,3,2,medium,high,high,medium,medium,high,low,medium,high,medium
6352,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6353,3,2,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6354,3,1,low,medium,medium,medium,medium,low,low,medium,medium,medium
6355,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6356,3,0,low,low,low,low,low,low,low,low,low,low
6357,3,1,medium,medium,high,medium,medium,low,low,medium,medium,medium
6358,3,2,medium,medium,high,medium,medium,low,medium,medium,medium,medium
6359,3,0,high,high,high,high,high,high,high,high,high,high
6360,3,3,medium,high,high,medium,medium,high,medium,high,high,medium
6361,3,2,medium,medium,medium,medium,medium,medium,low,low,medium,medium
6362,3,0,low,low,medium,low,low,low,low,low,low,low
6363,3,1,medium,medium,medium,medium,medium,medium,low,medium,high,medium
6364,3,1,medium,medium,medium,medium,medium,medium,medium,medium,high,medium
6365,3,1,low,medium,high,medium,medium,low,low,low,low,medium
6366,3,3,medium,medium,medium,medium,medium,medium,medium,high,high,medium
6367,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
6368,3,0,low,low,low,low,low,low,low,low,low,low
6369,3,1,medium,medium,high,medium,medium,medium,low,medium,medium,medium
6370,3,0,low,low,medium,low,low,low,low,low,low,low
6371,3,2,medium,high,medium,medium,medium,medium,medium,high,high,medium
6372,3,2,medium,medium,high,medium,medium,medium,medium,high,high,medium
6373,3,1,low,medium,medium,medium,low,low,low,medium,medium,medium
6374,3,1,medium,medium,high,medium,medium,medium,medium,medium,medium,medium
6375,3,0,low,low,low,low,low,low,low,low,low,low
6376,3,3,medium,medium,high,medium,medium,medium,medium,medium,medium,medium
6377,3,3,medium,medium,medium,medium,medium,medium,medium,medium,high,medium
6378,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6379,3,2,medium,high,high,high,high,high,low,high,high,medium
6380,3,2,medium,medium,high,medium,medium,medium,low,medium,medium,medium
6381,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6382,3,0,low,medium,medium,medium,low,low,low,low,low,low
6383,3,1,medium,medium,high,medium,medium,medium,low,medium,high,medium
6384,3,1,low,medium,medium,medium,medium,medium,low,medium,medium,medium
6385,3,1,medium,high,high,medium,medium,medium,medium,high,high,medium
6386,3,2,low,medium,medium,medium,medium,medium,low,low,low,medium
6387,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6388,3,2,medium,medium,medium,medium,medium,medium,low,medium,high,medium
6389,3,3,medium,medium,high,medium,medium,medium,low,medium,medium,medium
6390,3,2,medium,medium,high,medium,medium,medium,low,medium,high,medium
6391,3,1,low,medium,high,medium,medium,medium,low,medium,medium,medium
6392,3,3,medium,high,high,high,high,high,medium,high,high,medium
6393,3,0,low,low,medium,low,low,low,low,low,low,low
6394,3,0,low,low,low,low,low,low,low,low,low,low
6395,3,1,medium,medium,high,medium,medium,medium,low,medium,medium,medium
6396,3,3,medium,high,high,high,high,high,high,high,high,medium
6397,3,1,medium,medium,high,medium,medium,medium,medium,medium,medium,medium
