essay_id,prompt_id,conventions_score,question1,question2,question3,question4,question5,question6,question7,question8,question9
137,1,3,medium,medium,medium,medium,medium,medium,medium,low,medium
138,1,4,low,low,low,low,low,low,low,low,low
139,1,4,medium,medium,medium,low,medium,medium,low,low,medium
140,1,5,medium,medium,high,medium,medium,high,high,medium,medium
141,1,4,high,medium,high,low,medium,high,low,medium,medium
142,1,4,low,low,low,low,low,low,low,low,low
143,1,2,low,low,low,low,low,low,low,low,low
144,1,3,medium,medium,medium,low,medium,medium,low,low,medium
145,1,5,low,low,low,low,low,high,high,low,low
146,1,2,low,low,low,low,low,low,low,low,low
147,1,5,low,low,low,low,low,high,high,low,low
148,1,4,medium,medium,medium,low,medium,medium,low,low,medium
149,1,3,low,low,low,low,low,low,low,low,low
150,1,4,low,low,low,low,low,low,low,low,low
151,1,3,medium,medium,medium,low,medium,medium,low,low,medium
152,1,4,medium,medium,low,low,medium,medium,medium,low,medium
153,1,5,low,low,low,low,low,low,low,low,low
154,1,5,high,medium,high,low,medium,high,high,low,medium
155,1,4,low,low,low,low,low,low,low,low,low
156,1,4,medium,medium,high,medium,medium,medium,medium,medium,medium
157,1,3,low,low,low,low,low,low,low,low,low
158,1,5,high,medium,high,low,high,high,high,medium,medium
159,1,5,low,low,low,low,low,low,low,low,low
160,1,4,medium,medium,medium,medium,medium,medium,medium,low,medium
161,1,4,low,low,low,low,low,medium,low,low,low
162,1,6,high,medium,low,low,medium,high,high,low,medium
163,1,3,low,low,low,low,low,low,low,low,low
164,1,4,medium,low,low,low,low,medium,low,low,medium
165,1,3,medium,low,low,low,low,medium,low,low,low
166,1,3,low,low,low,low,low,low,low,low,low
167,1,3,low,low,low,low,low,low,low,low,low
168,1,5,medium,medium,medium,medium,medium,medium,low,medium,medium
169,1,4,high,medium,high,medium,medium,medium,high,low,medium
170,1,4,medium,low,low,low,low,medium,low,low,medium
171,1,3,low,low,low,low,low,medium,low,low,low
172,1,3,low,low,low,low,low,low,low,low,low
173,1,3,low,low,low,low,low,low,low,low,low
174,1,3,low,low,low,low,low,low,low,low,low
175,1,3,low,low,low,low,low,low,low,low,low
176,1,4,low,low,low,low,low,low,low,low,low
177,1,3,medium,medium,medium,low,medium,medium,low,low,medium
178,1,3,low,low,low,low,low,low,low,low,low
179,1,4,medium,medium,high,medium,medium,high,high,low,medium
180,1,4,low,low,low,low,medium,medium,low,low,low
181,1,4,high,high,high,high,high,high,high,low,high
182,1,3,medium,medium,low,low,low,medium,low,low,medium
183,1,4,medium,medium,high,medium,medium,medium,high,low,medium
184,1,3,low,low,low,low,low,low,low,low,low
185,1,3,low,low,low,low,low,low,low,low,low
186,1,3,low,low,low,low,low,low,low,low,medium
187,1,1,medium,low,low,low,low,medium,low,low,medium
188,1,4,medium,low,low,low,medium,medium,low,low,medium
189,1,2,low,low,low,low,low,low,low,low,low
190,1,5,medium,medium,low,medium,medium,medium,medium,low,medium
191,1,4,medium,medium,high,medium,medium,medium,medium,low,medium
192,1,4,low,low,low,low,low,medium,low,low,low
193,1,5,medium,medium,high,medium,medium,medium,high,low,medium
194,1,4,low,low,low,low,low,low,high,low,low
195,1,2,low,low,low,low,low,low,low,low,low
196,1,3,medium,medium,medium,medium,medium,medium,low,low,medium
197,1,5,medium,medium,low,low,medium,high,high,low,medium
198,1,4,low,medium,low,low,medium,high,high,high,low
199,1,4,low,low,low,low,low,low,low,low,low
200,1,3,low,low,low,low,low,medium,low,low,low
201,1,5,medium,medium,medium,medium,medium,medium,high,medium,medium
202,1,3,low,medium,low,low,low,medium,low,low,medium
203,1,4,low,low,low,low,low,medium,low,low,low
204,1,4,low,low,low,low,low,low,low,low,low
205,1,4,low,low,low,low,low,low,low,low,low
206,1,5,medium,medium,high,low,medium,medium,medium,low,medium
207,1,4,medium,medium,low,low,low,medium,low,low,medium
208,1,3,medium,medium,medium,medium,medium,medium,high,low,medium
209,1,2,low,low,low,low,low,low,low,low,low
210,1,3,medium,medium,low,low,low,medium,low,low,low
211,1,3,medium,medium,medium,medium,medium,medium,medium,low,medium
212,1,3,low,low,low,low,low,low,low,low,low
213,1,3,medium,low,medium,low,medium,medium,low,low,medium
214,1,3,low,low,low,low,low,low,low,low,low
215,1,4,low,low,low,low,low,low,high,low,low
216,1,4,low,low,low,low,low,low,low,low,low
217,1,4,high,medium,low,low,medium,high,high,low,medium
218,1,3,low,low,low,low,low,low,low,low,low
219,1,5,low,low,low,low,low,medium,low,low,low
220,1,4,low,low,low,low,low,low,low,low,low
221,1,3,low,low,low,low,low,medium,low,low,low
222,1,6,low,low,low,low,low,medium,low,low,low
223,1,3,low,low,low,low,low,low,low,low,low
224,1,4,low,low,low,low,low,low,low,low,low
225,1,5,low,low,low,low,low,low,low,low,low
226,1,3,low,low,low,low,low,low,low,low,low
227,1,5,medium,medium,medium,low,medium,medium,low,low,medium
228,1,3,low,low,low,low,low,low,low,low,low
229,1,3,low,low,low,low,low,low,low,low,low
230,1,5,low,medium,low,low,low,low,low,low,medium
231,1,5,medium,low,low,low,medium,medium,low,low,medium
232,1,5,high,medium,medium,medium,high,high,high,low,medium
233,1,2,low,low,low,low,low,low,low,low,low
234,1,4,medium,medium,medium,low,medium,medium,low,low,medium
235,1,3,medium,low,low,low,low,medium,low,low,medium
236,1,2,low,low,low,low,low,low,low,low,low
237,1,3,low,low,low,low,low,low,low,low,low
238,1,3,medium,medium,medium,medium,medium,medium,medium,low,medium
239,1,3,medium,medium,low,low,medium,medium,low,low,medium
240,1,3,low,low,low,low,low,low,low,low,low
241,1,3,low,low,low,low,low,low,low,low,low
242,1,3,medium,medium,medium,low,medium,medium,medium,medium,medium
243,1,4,low,low,low,low,low,low,low,low,low
244,1,2,low,low,low,low,low,low,low,low,low
245,1,4,medium,medium,medium,medium,medium,medium,medium,low,medium
246,1,4,high,high,high,high,high,high,high,low,high
247,1,4,low,low,low,low,low,low,low,low,low
248,1,4,medium,low,low,low,low,medium,low,low,low
249,1,4,low,low,low,low,low,medium,high,medium,low
250,1,4,low,low,low,low,low,low,low,low,low
251,1,5,high,high,high,high,medium,high,high,medium,medium
252,1,3,low,low,low,low,low,medium,low,low,low
253,1,2,low,low,low,low,low,low,low,low,low
254,1,4,low,low,low,low,low,low,low,low,low
255,1,4,medium,medium,medium,medium,medium,medium,medium,low,medium
256,1,4,low,low,low,low,low,low,low,low,low
257,1,3,low,low,low,low,low,low,low,low,low
258,1,5,medium,medium,high,medium,medium,medium,medium,low,medium
259,1,4,low,low,low,low,low,low,low,low,low
260,1,3,medium,low,low,low,low,low,low,low,low
261,1,4,low,low,low,low,low,low,low,low,low
262,1,3,medium,low,low,low,low,medium,low,low,medium
263,1,4,low,low,low,low,low,low,low,low,low
264,1,5,low,low,low,low,low,low,low,low,low
265,1,4,medium,medium,medium,low,low,medium,low,low,medium
266,1,5,high,medium,high,low,medium,high,high,medium,medium
267,1,5,high,medium,high,low,medium,high,high,high,medium
268,1,3,medium,medium,low,low,medium,medium,low,low,medium
269,1,3,low,low,low,low,low,low,low,low,low
270,1,5,medium,medium,medium,low,medium,medium,low,low,medium
271,1,4,medium,medium,medium,low,medium,medium,low,low,medium
272,1,4,medium,medium,low,low,low,high,low,low,medium
273,1,3,low,low,low,low,low,low,low,low,low
274,1,3,low,low,low,low,low,low,low,medium,low
275,1,5,low,low,low,low,low,low,low,low,medium
276,1,3,low,low,low,low,low,low,low,low,low
277,1,3,medium,medium,high,low,medium,medium,high,low,medium
278,1,4,high,high,high,high,medium,high,high,low,medium
279,1,5,high,medium,high,low,medium,medium,high,low,medium
280,1,4,medium,medium,medium,medium,medium,medium,high,low,medium
281,1,2,low,low,low,low,low,low,low,low,low
282,1,4,medium,medium,high,medium,medium,medium,low,low,medium
283,1,3,low,low,low,low,low,low,low,low,low
284,1,4,medium,medium,low,low,medium,medium,low,low,medium
285,1,4,low,low,low,low,low,medium,low,low,low
286,1,1,low,low,low,low,low,low,low,low,low
287,1,5,low,low,low,low,low,medium,low,low,low
288,1,4,medium,medium,low,low,low,low,low,low,medium
289,1,4,low,medium,low,low,low,medium,low,low,medium
290,1,5,high,high,high,high,high,high,high,low,high
291,1,4,high,high,high,high,high,high,high,low,high
292,1,5,high,high,high,high,high,high,high,high,high
293,1,4,low,low,low,low,low,low,low,low,low
294,1,4,low,low,low,low,low,low,low,low,low
295,1,4,low,low,low,low,low,low,low,low,low
296,1,4,low,low,low,low,low,low,low,low,low
297,1,3,medium,low,low,low,medium,medium,medium,low,medium
298,1,4,medium,medium,low,low,low,medium,low,low,medium
299,1,4,medium,medium,low,low,medium,medium,low,low,medium
300,1,3,low,low,low,low,low,low,low,low,low
301,1,3,low,low,low,low,low,low,low,low,low
302,1,5,medium,medium,low,low,medium,medium,high,low,medium
303,1,4,low,low,low,low,low,low,low,low,low
304,1,4,low,low,low,low,low,low,low,low,low
305,1,4,low,low,low,low,low,low,low,low,low
306,1,5,medium,medium,medium,medium,medium,medium,medium,low,medium
307,1,4,medium,medium,low,low,low,low,low,low,medium
308,1,2,low,low,low,low,low,low,low,low,low
309,1,3,low,low,low,low,low,low,low,low,low
310,1,4,high,low,high,high,high,high,high,medium,medium
311,1,3,low,low,low,low,low,medium,low,low,low
312,1,3,low,low,low,low,low,medium,low,low,low
314,1,3,low,low,low,low,low,low,low,low,low
315,1,5,high,high,high,high,high,high,high,medium,high
316,1,5,high,low,high,low,high,high,high,low,medium
317,1,5,medium,medium,medium,low,medium,medium,medium,low,medium
318,1,4,low,low,low,low,low,low,low,low,low
319,1,3,low,low,low,low,low,high,high,low,low
320,1,3,low,low,low,low,low,medium,low,low,low
321,1,5,low,low,low,low,low,low,low,low,low
322,1,5,medium,low,low,low,medium,medium,low,low,medium
323,1,4,low,low,low,low,low,low,low,low,low
324,1,5,medium,medium,medium,medium,medium,medium,medium,low,medium
325,1,4,medium,medium,low,low,low,medium,low,low,low
326,1,5,high,high,high,high,high,high,high,high,high
327,1,4,low,medium,low,low,low,low,low,low,low
328,1,3,low,low,low,low,low,low,low,low,low
329,1,4,medium,medium,low,low,medium,medium,low,low,medium
330,1,4,low,low,low,low,low,low,low,low,low
331,1,4,medium,medium,low,low,low,medium,low,low,medium
332,1,3,low,low,low,low,low,medium,low,low,low
333,1,3,low,low,low,low,low,low,low,low,low
334,1,4,low,low,low,low,low,low,low,low,low
335,1,3,low,low,low,low,low,low,low,low,low
336,1,4,low,medium,low,low,low,medium,low,low,medium
337,1,4,medium,low,low,low,medium,medium,low,medium,medium
338,1,3,low,low,low,low,low,low,low,low,low
339,1,4,low,low,low,low,low,high,low,low,low
340,1,5,medium,medium,medium,medium,medium,medium,medium,low,medium
341,1,4,medium,low,low,low,medium,medium,low,low,medium
342,1,5,medium,medium,high,low,medium,high,high,low,medium
343,1,4,low,low,low,low,low,low,low,low,low
345,1,5,medium,medium,low,low,medium,medium,medium,medium,medium
346,1,6,low,low,low,low,low,low,low,low,low
347,1,4,medium,medium,low,low,medium,medium,low,low,medium
348,1,5,low,low,low,low,low,low,low,low,low
349,1,3,low,low,low,low,low,low,low,low,low
350,1,4,low,low,low,low,low,medium,low,low,low
351,1,3,medium,low,high,low,medium,high,low,low,medium
352,1,3,low,low,low,low,low,low,low,low,low
353,1,2,low,low,low,low,low,low,low,low,low
354,1,3,low,low,low,low,low,low,low,low,low
355,1,3,medium,medium,low,low,low,low,low,low,medium
356,1,5,medium,medium,low,medium,medium,medium,medium,low,medium
357,1,4,low,low,low,low,low,low,low,low,low
358,1,3,medium,low,low,low,medium,medium,low,low,medium
359,1,1,high,high,high,high,high,high,high,low,high
360,1,4,low,low,low,low,low,low,low,low,low
361,1,4,low,low,low,low,low,low,low,low,low
362,1,4,low,low,low,low,low,low,low,low,low
363,1,4,medium,low,low,low,low,low,low,low,low
364,1,5,high,high,high,high,high,high,high,high,high
365,1,4,low,low,low,low,low,low,low,low,low
366,1,3,low,low,low,low,low,low,low,low,low
367,1,3,low,low,low,low,low,medium,low,low,low
368,1,3,medium,medium,high,medium,medium,medium,medium,low,medium
369,1,3,medium,low,low,low,medium,medium,low,low,low
370,1,5,high,low,high,low,low,high,low,low,medium
371,1,4,low,low,low,low,low,low,low,low,low
372,1,4,medium,medium,high,low,low,high,high,medium,medium
373,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium
374,1,4,low,low,low,low,low,low,low,low,low
375,1,1,low,low,low,low,low,low,low,low,low
376,1,3,low,low,low,low,low,low,low,low,low
377,1,4,low,low,low,low,low,low,low,low,low
378,1,4,medium,medium,low,low,high,high,high,low,medium
379,1,4,medium,medium,low,low,low,medium,low,low,medium
380,1,4,low,low,low,low,low,low,low,low,low
381,1,4,low,low,low,low,low,low,low,low,low
382,1,4,medium,medium,low,low,medium,medium,low,low,medium
383,1,4,medium,medium,low,low,low,medium,medium,medium,medium
384,1,4,low,low,low,low,low,low,low,low,low
385,1,6,high,high,high,high,high,high,high,high,high
386,1,4,medium,medium,low,low,medium,medium,low,low,medium
387,1,4,low,low,low,low,low,medium,low,low,low
388,1,4,medium,medium,medium,medium,medium,medium,medium,low,medium
389,1,3,medium,medium,medium,medium,medium,medium,low,low,medium
390,1,4,high,medium,high,medium,medium,high,medium,low,medium
391,1,5,medium,low,low,low,low,medium,low,low,medium
392,1,3,low,low,low,low,low,low,low,low,low
393,1,3,low,low,low,low,low,low,low,low,low
394,1,3,medium,medium,medium,low,low,low,low,low,medium
395,1,2,low,low,low,low,low,low,low,low,low
396,1,3,low,low,low,low,low,low,low,low,low
397,1,4,low,low,low,low,low,low,low,low,low
398,1,5,medium,low,low,low,low,medium,low,low,medium
399,1,4,high,high,high,high,high,high,high,medium,high
400,1,3,low,low,low,low,low,low,low,low,low
401,1,2,low,low,low,low,low,low,low,low,low
402,1,3,medium,low,low,low,medium,medium,low,low,low
403,1,4,medium,medium,high,medium,medium,medium,medium,low,medium
404,1,3,medium,medium,low,low,medium,medium,low,low,medium
405,1,4,low,low,low,low,low,high,low,low,low
406,1,4,low,low,low,low,low,low,low,low,low
407,1,3,medium,medium,low,low,low,medium,low,low,medium
408,1,3,low,low,low,low,low,medium,low,low,medium
409,1,4,low,low,low,low,low,low,low,low,low
410,1,3,low,low,low,low,low,low,low,low,low
411,1,5,low,low,low,low,low,high,high,high,low
412,1,5,low,low,low,low,low,medium,low,low,low
413,1,4,medium,medium,low,low,low,medium,low,low,medium
414,1,3,low,low,low,low,low,low,low,low,low
415,1,4,low,low,low,low,low,low,low,low,low
416,1,3,low,low,low,low,low,low,low,low,low
417,1,3,low,low,low,low,low,low,low,low,low
418,1,5,medium,medium,low,low,medium,high,high,low,medium
419,1,3,medium,low,low,low,low,medium,low,low,medium
420,1,4,low,low,low,low,low,low,low,low,low
421,1,3,medium,medium,medium,medium,medium,medium,medium,low,medium
422,1,3,low,low,low,low,low,low,low,low,low
423,1,4,medium,low,low,low,medium,medium,low,low,medium
424,1,4,high,medium,high,high,high,high,high,high,medium
425,1,5,medium,medium,low,low,medium,medium,medium,low,medium
426,1,5,medium,medium,medium,low,medium,medium,medium,low,medium
427,1,5,low,low,low,low,low,low,high,low,low
428,1,3,low,low,low,low,low,low,low,low,low
429,1,5,medium,medium,medium,medium,medium,medium,low,low,medium
430,1,5,low,low,low,low,low,medium,low,low,low
431,1,4,low,low,low,low,low,low,low,low,low
432,1,3,low,low,low,low,low,low,low,low,low
433,1,5,low,low,low,low,low,low,low,low,low
434,1,3,low,low,low,low,low,low,low,low,low
435,1,4,medium,medium,low,medium,medium,high,medium,low,medium
436,1,3,low,low,low,low,medium,medium,low,low,low
437,1,5,medium,medium,low,low,low,low,low,low,medium
438,1,3,low,low,low,low,low,low,low,low,low
439,1,4,low,low,low,low,low,low,low,low,low
440,1,3,low,low,low,low,low,low,low,low,low
441,1,3,low,low,low,low,low,low,low,low,low
442,1,5,low,low,low,low,low,high,low,low,low
443,1,3,medium,low,low,low,low,medium,low,low,medium
444,1,4,low,low,low,low,low,low,low,low,low
445,1,3,low,low,low,low,low,low,low,low,low
446,1,5,low,low,low,low,low,low,low,low,low
447,1,5,low,low,low,low,low,low,low,low,low
448,1,3,low,low,low,low,low,low,low,low,low
449,1,1,low,low,low,low,low,low,low,low,low
450,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium
451,1,4,low,low,low,low,low,medium,low,low,low
452,1,4,medium,medium,low,low,medium,medium,low,low,medium
453,1,5,low,low,low,low,low,low,low,low,low
454,1,4,low,low,low,low,low,low,low,low,low
455,1,2,low,low,low,low,low,low,low,low,low
456,1,2,low,low,low,low,low,low,low,low,low
457,1,6,high,high,high,high,high,high,high,low,high
458,1,4,low,low,low,low,low,low,low,low,low
459,1,4,low,low,low,low,low,low,low,low,low
460,1,4,low,low,low,low,low,low,low,low,low
461,1,3,low,low,low,low,low,medium,low,low,low
462,1,4,high,medium,high,medium,high,high,medium,low,medium
463,1,4,high,medium,high,low,high,high,low,medium,medium
464,1,2,low,low,low,low,low,low,low,low,low
465,1,3,low,low,low,low,low,low,low,low,low
466,1,4,medium,medium,low,low,medium,medium,low,low,medium
467,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium
468,1,3,medium,low,low,low,low,medium,low,low,medium
469,1,4,low,low,low,low,low,low,low,low,low
470,1,4,medium,medium,low,low,medium,medium,medium,medium,medium
471,1,4,medium,medium,high,low,medium,medium,low,low,medium
472,1,5,medium,medium,low,low,medium,high,low,low,medium
473,1,3,low,low,low,low,low,low,low,low,low
474,1,2,low,low,low,low,low,low,low,low,low
475,1,4,low,medium,low,low,low,low,low,low,low
476,1,3,low,low,low,low,low,low,low,low,low
477,1,2,low,low,low,low,low,low,low,low,low
478,1,5,medium,medium,medium,medium,medium,medium,medium,low,medium
479,1,5,high,high,high,high,medium,high,high,medium,medium
480,1,3,low,low,low,low,low,low,low,low,low
481,1,4,high,low,high,low,high,high,high,low,medium
482,1,3,low,low,low,low,low,low,low,low,low
483,1,4,low,low,low,low,low,low,low,low,low
484,1,4,medium,medium,low,low,medium,medium,medium,low,medium
485,1,4,low,low,low,low,low,low,low,low,low
486,1,3,medium,medium,low,low,low,medium,low,low,medium
487,1,3,low,low,low,low,low,low,low,low,low
488,1,4,medium,medium,low,low,low,low,low,low,medium
489,1,4,low,low,low,low,low,low,low,low,low
490,1,4,low,low,low,low,low,medium,low,low,low
491,1,3,low,low,low,low,low,low,low,low,low
492,1,3,low,low,low,low,low,low,low,low,low
493,1,3,medium,low,low,low,medium,medium,low,low,medium
494,1,3,low,low,low,low,low,low,low,low,low
495,1,5,low,low,low,low,low,low,low,low,low
496,1,4,low,low,low,low,low,low,low,low,low
497,1,5,low,low,low,low,low,low,low,low,low
498,1,5,low,low,low,low,low,high,low,high,low
499,1,5,medium,medium,low,low,medium,medium,low,low,medium
500,1,5,medium,medium,medium,low,medium,medium,medium,low,medium
501,1,3,low,low,low,low,low,low,low,low,low
502,1,2,low,low,low,low,low,low,low,low,low
503,1,3,medium,medium,medium,medium,medium,medium,medium,low,medium
504,1,5,medium,low,low,low,low,high,low,low,low
505,1,4,low,low,low,low,low,low,low,low,low
506,1,2,low,low,low,low,low,medium,low,low,low
507,1,3,medium,medium,low,low,medium,medium,high,medium,medium
508,1,5,medium,medium,high,medium,medium,high,medium,medium,medium
509,1,4,low,medium,low,low,low,low,high,low,low
510,1,4,low,low,low,low,low,low,low,low,low
511,1,3,low,low,low,low,low,low,low,low,low
512,1,3,low,low,low,low,low,low,low,low,low
513,1,3,medium,medium,low,low,medium,medium,low,low,medium
514,1,3,low,low,low,low,low,low,low,low,low
515,1,3,low,low,low,low,low,low,low,low,low
516,1,5,high,medium,high,medium,medium,high,high,medium,medium
517,1,4,medium,medium,low,low,medium,medium,low,low,medium
518,1,4,low,low,low,low,low,low,low,low,low
519,1,5,low,low,high,low,low,low,high,high,low
520,1,3,low,low,low,low,low,low,low,low,low
521,1,3,low,low,low,low,low,low,low,low,low
522,1,4,low,medium,low,low,low,low,low,low,low
523,1,5,medium,medium,medium,medium,medium,medium,medium,low,medium
524,1,4,low,low,low,low,low,low,low,low,low
525,1,4,high,high,high,high,high,high,high,low,medium
526,1,3,low,low,low,low,low,low,low,low,low
527,1,3,medium,low,low,low,medium,medium,low,low,medium
528,1,4,high,medium,high,medium,medium,high,medium,low,medium
529,1,2,low,low,low,low,low,low,low,low,low
530,1,4,low,low,low,low,low,low,low,low,low
531,1,4,medium,low,low,low,low,medium,low,low,low
532,1,4,medium,medium,medium,low,medium,medium,medium,low,medium
533,1,5,medium,medium,low,low,low,medium,low,low,medium
534,1,5,low,low,low,low,low,low,low,low,low
535,1,4,medium,low,low,low,low,medium,low,low,low
