essay_id,prompt_id,sentence_fluency_score,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13
52,1,4,medium,low,low,low,low,low,low,low,low,low,low,low,low
53,1,4,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,medium,low
54,1,4,medium,high,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
55,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
56,1,5,high,high,high,medium,medium,high,high,high,high,low,high,low,low
57,1,4,low,low,low,low,low,low,low,low,low,low,low,high,low
58,1,2,low,low,low,low,low,low,low,low,low,low,low,high,high
59,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
60,1,2,medium,medium,medium,low,medium,medium,low,medium,low,high,medium,high,high
61,1,3,medium,medium,medium,low,low,medium,medium,medium,low,low,low,low,low
62,1,3,low,low,low,low,low,low,low,low,low,low,low,low,low
63,1,3,medium,medium,low,low,low,low,low,medium,low,low,low,low,low
64,1,2,low,low,low,low,low,low,low,low,low,low,low,high,low
65,1,4,medium,medium,medium,low,low,low,medium,medium,low,low,low,low,low
66,1,5,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
67,1,4,medium,medium,medium,low,low,low,low,medium,low,low,low,low,low
68,1,4,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
69,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
70,1,6,medium,medium,medium,low,low,medium,medium,medium,low,low,low,low,low
71,1,4,medium,medium,medium,low,low,low,low,low,low,low,low,low,low
72,1,5,high,high,high,high,medium,high,high,high,low,low,high,low,high
73,1,3,low,low,low,low,low,low,low,low,low,low,low,high,high
74,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium
75,1,4,high,high,high,medium,medium,high,medium,high,high,medium,medium,medium,medium
76,1,3,low,medium,medium,low,low,low,low,low,low,low,low,low,low
77,1,4,medium,medium,high,low,low,low,low,low,low,low,low,low,low
78,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
79,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
80,1,4,low,low,low,low,low,low,low,low,low,low,low,high,high
81,1,3,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
82,1,5,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
83,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
84,1,2,low,low,low,low,low,low,low,low,low,low,low,high,low
85,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
86,1,5,medium,high,high,low,low,medium,medium,medium,low,low,medium,low,low
87,1,4,low,medium,medium,low,medium,low,medium,medium,low,low,low,low,low
88,1,5,medium,medium,medium,low,low,low,medium,medium,low,low,low,low,low
89,1,3,low,low,low,low,low,low,low,low,low,low,low,low,low
90,1,3,medium,medium,medium,low,medium,medium,low,medium,low,low,low,medium,low
91,1,3,medium,medium,medium,low,low,low,low,low,low,low,low,low,high
92,1,4,low,medium,low,low,low,low,low,low,low,low,low,low,low
93,1,4,high,high,high,high,high,high,high,high,high,low,high,low,high
94,1,4,low,low,low,low,low,low,low,low,low,low,low,high,low
95,1,5,medium,high,medium,low,medium,medium,medium,medium,low,low,medium,low,low
96,1,3,medium,medium,medium,low,low,low,low,low,low,low,low,low,low
97,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
98,1,5,low,medium,low,low,low,low,low,low,low,low,low,high,low
99,1,3,low,low,low,low,low,low,low,low,low,low,low,high,high
100,1,2,low,low,low,low,low,low,low,low,low,low,low,high,high
101,1,4,medium,medium,medium,low,low,low,medium,low,low,low,low,low,low
102,1,5,medium,medium,low,low,low,low,medium,low,low,low,low,low,low
103,1,5,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
104,1,6,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
105,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
106,1,5,high,high,high,high,medium,high,high,high,high,high,high,low,medium
107,1,5,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium
108,1,3,medium,medium,medium,low,medium,low,medium,medium,low,low,medium,low,low
109,1,4,medium,medium,medium,low,low,low,low,medium,low,low,low,low,low
110,1,4,high,medium,medium,medium,medium,high,medium,medium,medium,medium,medium,medium,medium
111,1,5,low,low,low,low,low,low,low,low,low,low,low,low,low
112,1,4,low,low,low,low,low,low,low,low,low,low,low,high,high
113,1,3,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
114,1,5,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
115,1,3,low,low,low,low,low,low,low,low,low,low,low,high,high
116,1,2,medium,medium,medium,low,medium,low,low,medium,low,high,low,high,medium
117,1,5,low,low,low,low,low,low,low,low,low,low,low,low,low
118,1,5,high,high,high,high,low,high,high,high,low,low,high,low,low
119,1,5,low,high,low,low,low,low,low,low,low,low,low,high,high
120,1,3,low,low,low,low,low,low,low,low,low,low,low,low,low
121,1,4,low,low,low,low,low,low,low,low,low,low,low,high,high
122,1,5,low,low,low,low,low,low,low,low,low,low,low,high,high
123,1,4,high,medium,medium,medium,medium,medium,medium,medium,low,low,medium,low,low
124,1,2,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,medium,low
125,1,1,low,low,low,low,low,low,low,low,low,low,low,high,high
126,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
127,1,4,medium,medium,medium,low,medium,low,medium,medium,low,low,low,low,low
128,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
129,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
130,1,6,high,high,high,medium,high,high,high,high,high,low,high,low,high
131,1,5,low,medium,medium,low,low,low,low,medium,low,low,low,low,low
132,1,5,high,high,high,low,medium,high,high,high,low,low,high,low,low
133,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
134,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
135,1,3,medium,medium,medium,low,medium,low,low,medium,low,low,low,low,low
136,1,3,low,low,low,low,low,low,low,low,low,low,low,high,high
137,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
138,1,4,low,medium,low,low,low,low,low,low,low,low,low,low,low
139,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,medium,medium
140,1,5,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,low,low
141,1,4,high,high,high,low,high,high,high,high,low,low,high,low,low
142,1,4,low,medium,low,low,low,low,low,low,low,low,low,high,low
143,1,2,low,low,low,low,low,low,low,low,low,low,low,low,low
144,1,3,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
145,1,5,low,low,low,low,low,low,low,low,low,low,low,low,low
146,1,2,low,low,low,low,low,low,low,low,low,low,low,high,high
147,1,5,medium,high,medium,low,low,low,high,low,low,low,low,high,low
148,1,3,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
149,1,3,low,low,low,low,low,low,low,low,low,low,low,low,low
150,1,4,low,low,low,low,low,low,low,low,low,low,low,high,low
151,1,3,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,medium,medium
152,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,medium
153,1,5,low,low,low,low,low,low,low,low,low,low,low,low,low
154,1,5,high,high,high,low,medium,high,high,high,low,low,high,low,low
155,1,4,low,medium,low,low,low,low,low,low,low,low,low,high,low
156,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
157,1,3,low,low,low,low,low,low,low,low,low,low,low,high,high
158,1,5,medium,medium,medium,low,low,medium,medium,medium,low,low,medium,high,low
159,1,5,low,medium,low,low,low,low,low,low,low,low,low,low,low
160,1,4,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,medium,medium
161,1,4,medium,medium,medium,low,low,low,low,low,low,low,low,low,low
162,1,6,high,high,high,low,high,high,high,high,low,low,high,low,low
163,1,3,low,low,low,low,low,low,low,low,low,low,low,high,high
164,1,4,low,medium,low,low,low,low,low,low,low,low,low,low,low
165,1,3,medium,medium,medium,low,low,low,low,medium,low,low,low,low,low
166,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
167,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
168,1,5,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,medium,medium
169,1,4,high,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
170,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,low,low,low
171,1,3,medium,medium,medium,low,medium,low,low,medium,low,low,low,low,low
172,1,3,medium,medium,medium,low,low,low,low,low,low,low,low,high,low
173,1,3,low,low,low,low,low,low,low,low,low,low,low,low,low
174,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
175,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
176,1,4,low,low,low,low,low,low,low,low,low,low,low,high,low
177,1,3,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,low,medium
178,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
179,1,4,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,high,medium
180,1,4,medium,medium,medium,low,low,low,medium,medium,low,low,low,low,low
181,1,5,high,high,high,high,medium,high,high,high,low,low,high,low,low
182,1,3,medium,medium,medium,low,medium,medium,medium,medium,low,low,low,low,low
183,1,4,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,low,medium
184,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
185,1,3,low,low,low,low,low,low,low,low,low,low,low,low,low
186,1,3,low,medium,medium,low,low,low,low,low,low,low,low,high,low
187,1,1,medium,medium,medium,low,medium,medium,low,medium,low,low,low,high,high
188,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
189,1,2,low,low,low,low,low,low,low,low,low,low,low,high,high
190,1,6,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,medium,medium
191,1,4,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,low,low
192,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
193,1,5,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,low,low
194,1,5,low,high,high,low,low,low,high,low,low,low,low,high,high
195,1,2,low,low,low,low,low,low,low,low,low,low,low,high,high
196,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
197,1,5,medium,high,high,low,medium,medium,high,medium,low,low,medium,low,low
198,1,5,low,medium,medium,low,low,low,medium,low,low,low,low,low,low
199,1,4,low,low,low,low,low,low,low,low,low,low,low,high,high
200,1,3,low,medium,medium,low,low,low,low,low,low,low,low,low,low
201,1,5,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,medium,medium
202,1,4,medium,medium,medium,low,low,low,medium,low,low,low,low,low,low
203,1,4,medium,medium,low,low,low,low,low,low,low,low,low,high,low
204,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
205,1,4,low,low,low,low,low,low,low,low,low,low,low,high,high
206,1,5,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
207,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
208,1,3,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
209,1,2,low,low,low,low,low,low,low,low,low,low,low,high,high
210,1,3,medium,medium,medium,low,medium,low,medium,medium,low,low,low,low,low
211,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
212,1,3,low,low,low,low,low,low,low,low,low,low,low,low,low
213,1,3,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
214,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
215,1,4,low,medium,low,low,low,low,low,low,low,low,low,low,low
216,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
217,1,4,high,high,high,high,medium,high,high,high,low,low,high,low,low
218,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
219,1,4,medium,medium,medium,low,low,low,low,medium,low,low,low,low,low
220,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
221,1,3,medium,medium,medium,low,medium,medium,low,medium,low,low,low,low,low
222,1,6,medium,medium,low,low,low,low,low,low,low,low,low,low,low
223,1,3,low,low,low,low,low,low,low,low,low,low,low,low,low
224,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
225,1,5,low,low,low,low,low,low,low,low,low,low,low,high,high
226,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
227,1,4,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,low,low
228,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
229,1,3,medium,medium,low,low,low,low,low,low,low,low,low,high,low
230,1,5,low,medium,low,low,low,low,medium,low,low,low,low,low,low
231,1,5,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,medium,low
232,1,5,high,high,high,high,medium,high,high,high,low,low,high,low,medium
233,1,2,low,low,low,low,low,low,low,low,low,low,low,high,low
234,1,4,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,low,low
235,1,3,medium,medium,medium,low,medium,low,low,medium,low,low,low,low,low
236,1,2,medium,medium,low,low,low,low,low,low,low,low,low,high,low
237,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
238,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
239,1,3,medium,medium,medium,low,low,low,medium,low,low,low,low,low,low
240,1,3,medium,medium,medium,low,medium,low,low,medium,low,low,low,low,low
241,1,3,low,low,low,low,low,low,low,low,low,low,low,low,low
242,1,3,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
243,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
244,1,3,medium,medium,medium,low,low,low,low,medium,low,low,low,medium,low
245,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
246,1,5,high,high,high,high,high,high,high,high,high,high,high,high,high
247,1,4,low,medium,medium,low,low,low,low,low,low,low,low,low,low
248,1,4,medium,medium,medium,low,medium,low,medium,medium,low,low,low,low,low
249,1,4,low,medium,low,low,low,low,low,low,low,low,low,low,low
250,1,4,low,low,low,low,low,low,low,low,low,low,low,high,low
251,1,5,high,high,high,medium,medium,medium,high,high,high,medium,high,low,high
252,1,3,medium,medium,low,low,low,low,low,low,low,low,low,low,low
253,1,2,low,low,low,low,low,low,low,low,low,low,low,high,low
254,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
255,1,4,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,low,low
256,1,4,medium,medium,low,low,low,low,low,low,low,low,low,low,low
257,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
258,1,5,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
259,1,4,low,low,low,low,low,low,low,low,low,low,low,high,high
260,1,3,medium,medium,medium,low,low,low,medium,low,low,low,low,low,low
261,1,4,medium,medium,medium,low,low,low,medium,medium,low,low,low,low,low
262,1,3,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
263,1,5,low,medium,low,low,low,low,low,low,low,low,low,high,low
264,1,5,low,low,low,low,low,low,low,low,low,low,low,high,low
265,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,high,low
266,1,6,high,high,medium,low,medium,medium,medium,medium,low,low,medium,low,low
267,1,5,high,high,medium,low,medium,high,high,medium,low,low,medium,low,low
268,1,3,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,low,low
269,1,3,low,medium,low,low,low,low,low,low,low,low,low,high,low
270,1,5,medium,medium,medium,low,low,low,medium,medium,low,low,low,low,low
271,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
272,1,4,high,medium,high,low,medium,medium,medium,medium,low,low,medium,low,low
273,1,3,low,low,low,low,low,low,low,low,low,low,low,low,low
274,1,3,low,low,low,low,low,low,low,low,low,low,low,low,low
275,1,5,low,medium,low,low,low,low,low,low,low,low,low,low,low
276,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
277,1,3,medium,high,high,medium,medium,medium,medium,medium,low,low,medium,low,low
278,1,5,high,medium,high,medium,medium,high,medium,high,high,medium,medium,low,high
279,1,5,high,medium,medium,low,medium,high,medium,medium,low,low,medium,low,low
280,1,4,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,low,low
281,1,2,low,low,low,low,low,low,low,low,low,low,low,low,low
282,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
283,1,3,medium,medium,medium,low,low,low,low,low,low,low,low,high,low
284,1,4,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,low,low
285,1,4,low,medium,medium,low,low,low,low,low,low,low,low,low,low
286,1,1,low,low,low,low,low,low,low,low,low,high,low,high,high
287,1,5,medium,medium,medium,low,low,low,medium,low,low,low,low,low,low
288,1,4,medium,medium,medium,low,low,low,low,low,low,low,low,low,low
289,1,4,medium,medium,medium,low,low,low,medium,low,low,low,low,high,low
290,1,5,high,high,high,high,high,high,high,high,high,high,high,low,high
291,1,5,high,high,high,high,high,high,high,high,high,low,high,low,high
292,1,5,high,high,high,high,high,high,high,high,high,low,high,low,high
293,1,4,low,low,medium,low,low,low,low,low,low,low,low,low,low
294,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
295,1,4,low,low,low,low,low,low,low,low,low,low,low,high,low
296,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
297,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
298,1,3,medium,medium,medium,low,medium,low,medium,medium,low,low,medium,low,low
299,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
300,1,3,low,low,low,low,low,low,low,low,low,low,low,high,high
301,1,4,low,low,low,low,low,low,low,low,low,low,low,high,low
302,1,6,medium,medium,medium,low,medium,low,medium,medium,low,low,medium,low,low
303,1,4,low,low,low,low,low,low,low,low,low,low,low,high,high
304,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
305,1,4,low,medium,low,low,low,low,medium,low,low,low,low,low,low
306,1,5,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,low,medium
307,1,4,medium,medium,medium,low,low,medium,medium,medium,low,low,medium,low,low
308,1,2,low,low,low,low,low,low,low,low,low,high,low,high,high
309,1,3,low,low,low,low,low,low,low,low,low,low,low,low,low
310,1,4,medium,medium,high,low,medium,medium,medium,medium,low,low,medium,low,low
311,1,3,low,low,low,low,low,low,low,low,low,low,low,low,low
312,1,3,low,medium,low,low,low,low,low,low,low,low,low,low,low
314,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
315,1,5,high,high,high,high,high,high,high,high,high,low,high,low,high
316,1,5,high,high,high,low,medium,high,high,medium,low,low,medium,low,low
317,1,5,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
318,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
319,1,3,medium,high,high,low,low,low,medium,medium,low,low,low,low,low
320,1,3,medium,medium,medium,low,low,low,medium,medium,low,low,low,low,low
321,1,5,high,high,high,low,low,low,high,high,low,low,high,low,low
322,1,5,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
323,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
324,1,5,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,low,low
325,1,4,medium,medium,medium,low,low,low,medium,low,low,low,low,low,low
326,1,5,high,high,high,high,high,high,high,high,high,low,high,high,high
327,1,4,medium,medium,low,low,low,low,medium,medium,low,low,low,low,low
328,1,3,low,low,low,low,low,low,low,low,low,low,low,low,low
329,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,low,low,low
330,1,4,low,low,low,low,low,low,low,low,low,low,low,high,high
331,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
332,1,3,medium,medium,medium,low,low,low,medium,medium,low,low,low,high,low
333,1,3,low,medium,low,low,low,low,low,low,low,low,low,low,low
334,1,4,low,low,low,low,low,low,low,low,low,low,low,high,low
335,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
336,1,4,medium,high,medium,low,low,low,medium,medium,low,low,medium,low,low
337,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
338,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
339,1,4,medium,high,high,low,low,low,medium,low,low,low,low,low,low
340,1,5,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,medium,medium
341,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
342,1,5,high,high,high,low,medium,high,high,medium,low,low,medium,low,low
343,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
345,1,5,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,low,low
346,1,6,low,low,low,low,low,low,low,low,low,low,low,high,low
347,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
348,1,5,low,low,low,low,low,low,low,low,low,low,low,low,low
349,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
350,1,3,low,low,low,low,low,low,low,low,low,low,low,low,low
351,1,3,medium,medium,high,low,medium,high,high,medium,low,low,medium,low,low
352,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
353,1,2,low,low,low,low,low,low,low,low,low,low,low,high,high
354,1,3,low,low,low,low,low,low,low,low,low,low,low,low,low
355,1,3,medium,medium,medium,low,medium,low,low,medium,low,low,low,medium,medium
356,1,5,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,medium,medium
357,1,4,low,low,low,low,low,low,low,low,low,low,low,high,low
358,1,3,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
359,1,1,high,high,high,low,low,medium,low,high,high,high,high,high,high
360,1,4,low,low,low,low,low,low,low,low,low,low,low,high,high
361,1,4,low,medium,low,low,low,low,low,low,low,low,low,low,low
362,1,4,low,low,low,low,low,low,low,low,low,low,low,high,low
363,1,3,medium,medium,medium,low,medium,low,low,low,low,low,low,low,low
364,1,5,high,high,high,high,low,high,high,high,low,low,high,low,low
365,1,4,low,low,low,low,low,low,low,low,low,low,low,high,low
366,1,3,low,low,low,low,low,low,low,low,low,low,low,high,high
367,1,3,medium,medium,medium,low,low,low,low,low,low,low,low,low,low
368,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
369,1,3,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,high,low
370,1,5,high,high,high,low,low,high,high,high,low,low,low,low,low
371,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
372,1,4,medium,high,medium,low,medium,medium,medium,medium,low,low,medium,low,low
373,1,3,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,medium,medium
374,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
375,1,1,low,low,low,low,low,low,low,low,low,low,low,high,high
376,1,3,low,low,low,low,low,low,low,low,low,low,low,low,low
377,1,4,medium,high,medium,low,low,low,high,medium,low,low,low,high,high
378,1,4,high,high,high,medium,medium,high,high,high,low,low,high,low,low
379,1,4,medium,medium,medium,low,low,low,medium,medium,low,low,medium,low,low
380,1,4,low,medium,low,low,low,low,low,low,low,low,low,high,high
381,1,4,medium,medium,medium,low,low,low,low,low,low,low,low,low,low
382,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,low,low,low
383,1,4,medium,medium,medium,low,low,medium,medium,medium,low,low,medium,low,low
384,1,4,medium,low,low,low,low,low,low,low,low,low,low,low,low
385,1,6,high,high,high,high,high,high,high,high,high,low,high,low,low
386,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
387,1,4,medium,medium,medium,low,low,low,medium,medium,low,low,low,low,low
388,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
389,1,3,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,medium,medium
390,1,4,high,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,low,medium
