essay_id,prompt_id,narrativity_score,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10
6040,3,0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6041,3,0,low,low,low,medium,low,medium,low,low,low,medium
6042,3,2,high,medium,high,high,high,high,high,high,high,high
6043,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6044,3,0,low,low,low,low,low,medium,low,low,low,low
6045,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6046,3,2,medium,medium,medium,medium,medium,high,medium,medium,medium,medium
6047,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6048,3,1,medium,low,medium,medium,medium,high,medium,medium,medium,high
6049,3,1,medium,low,medium,medium,medium,high,medium,low,medium,medium
6050,3,3,high,medium,high,high,high,high,high,high,high,high
6051,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6052,3,1,medium,low,medium,medium,low,medium,low,low,low,medium
6053,3,0,medium,low,low,medium,medium,medium,low,low,medium,medium
6054,3,2,medium,low,medium,medium,medium,high,medium,low,medium,medium
6055,3,2,medium,medium,medium,medium,medium,high,medium,medium,medium,medium
6056,3,1,medium,low,medium,low,low,medium,low,low,low,high
6057,3,2,high,medium,high,medium,medium,high,medium,medium,high,high
6058,3,1,medium,low,medium,medium,medium,medium,low,low,medium,medium
6059,3,1,medium,low,medium,medium,medium,high,medium,low,medium,medium
6060,3,0,low,low,low,low,low,medium,low,low,low,low
6061,3,2,high,medium,high,medium,medium,high,high,medium,high,high
6062,3,1,medium,medium,medium,high,medium,high,medium,medium,medium,medium
6063,3,1,high,medium,high,medium,medium,high,medium,medium,high,medium
6064,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6065,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6066,3,0,medium,low,low,medium,medium,medium,low,low,medium,medium
6067,3,1,medium,low,medium,medium,medium,medium,medium,medium,medium,medium
6068,3,1,medium,medium,medium,medium,medium,high,medium,medium,medium,medium
6069,3,2,medium,low,medium,medium,medium,high,medium,medium,medium,medium
6070,3,2,high,medium,high,medium,high,high,medium,medium,high,high
6071,3,3,high,medium,high,high,high,high,high,high,high,medium
6072,3,2,medium,medium,medium,medium,medium,high,medium,low,medium,medium
6073,3,2,high,medium,high,high,medium,high,medium,medium,high,high
6074,3,2,medium,low,medium,high,medium,high,low,low,low,high
6075,3,3,high,medium,high,high,medium,high,high,medium,high,high
6076,3,2,medium,low,low,medium,low,medium,medium,low,low,low
6077,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6078,3,1,medium,low,medium,medium,medium,high,medium,medium,medium,medium
6079,3,2,high,medium,high,medium,high,high,high,high,high,high
6080,3,3,medium,medium,high,medium,medium,high,high,high,high,high
6081,3,1,medium,low,low,medium,low,medium,low,low,low,low
6082,3,0,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6083,3,0,medium,low,low,medium,medium,high,low,low,medium,medium
6084,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6085,3,3,high,medium,high,high,high,high,high,high,high,high
6086,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6087,3,1,medium,low,medium,medium,medium,high,medium,medium,medium,medium
6088,3,2,high,medium,high,high,medium,high,high,medium,high,high
6089,3,2,high,low,medium,medium,medium,medium,medium,medium,medium,high
6090,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6091,3,2,high,medium,high,medium,medium,medium,medium,medium,medium,medium
6092,3,0,medium,low,medium,high,medium,high,medium,high,medium,high
6093,3,0,medium,low,low,low,low,medium,low,low,low,low
6094,3,2,medium,low,low,medium,medium,medium,low,low,low,medium
6095,3,3,high,high,high,high,high,high,high,high,high,high
6096,3,1,medium,low,high,medium,medium,high,medium,medium,high,high
6097,3,1,medium,low,low,medium,medium,medium,low,low,low,medium
6098,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,high
6099,3,0,medium,low,medium,medium,medium,medium,low,low,medium,medium
6100,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6101,3,1,low,low,low,low,low,low,low,low,low,low
6102,3,2,medium,low,medium,medium,medium,medium,medium,medium,medium,medium
6103,3,3,high,medium,high,high,medium,high,medium,medium,high,high
6104,3,0,low,low,low,low,low,low,low,low,low,low
6105,3,2,high,medium,high,medium,medium,medium,medium,medium,high,high
6106,3,1,high,medium,high,high,high,high,medium,high,high,high
6107,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6108,3,1,low,low,low,medium,low,low,low,low,low,low
6109,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6110,3,2,medium,low,medium,medium,medium,medium,medium,low,low,medium
6111,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6112,3,1,low,low,low,low,low,medium,low,low,low,low
6113,3,2,medium,medium,high,medium,medium,medium,medium,medium,medium,medium
6114,3,1,medium,low,low,medium,low,medium,low,low,low,medium
6115,3,0,low,low,low,low,low,low,low,low,low,low
6116,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6117,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6118,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6119,3,1,high,high,high,high,high,high,high,high,high,high
6120,3,1,medium,low,medium,medium,medium,medium,low,low,medium,medium
6121,3,2,medium,low,medium,medium,medium,medium,medium,medium,medium,medium
6122,3,1,medium,medium,high,medium,medium,high,medium,medium,high,high
6123,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6124,3,3,high,medium,high,high,high,high,medium,high,high,high
6125,3,1,medium,low,medium,medium,medium,high,medium,low,medium,medium
6126,3,1,medium,medium,high,high,high,high,medium,high,high,high
6127,3,3,high,medium,high,high,high,high,high,high,high,high
6128,3,3,high,medium,high,high,high,high,high,high,high,high
6129,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6130,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6131,3,1,medium,medium,medium,medium,medium,high,medium,medium,medium,high
6132,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6133,3,2,medium,low,medium,high,medium,high,medium,medium,medium,medium
6134,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6135,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6136,3,1,medium,low,low,medium,medium,medium,low,low,low,medium
6137,3,2,medium,low,medium,medium,medium,medium,medium,medium,medium,medium
6138,3,3,medium,medium,high,high,medium,high,medium,medium,high,medium
6139,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6140,3,0,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6141,3,1,medium,low,high,medium,medium,medium,medium,medium,high,medium
6142,3,2,high,medium,high,medium,medium,high,high,medium,high,high
6143,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,high
6144,3,1,low,low,low,low,low,medium,low,low,low,low
6145,3,2,medium,medium,high,medium,medium,medium,medium,medium,high,high
6146,3,1,medium,low,medium,medium,medium,medium,medium,medium,medium,high
6147,3,1,medium,medium,medium,high,medium,high,medium,medium,medium,medium
6148,3,1,low,low,low,low,low,low,low,low,low,low
6149,3,2,high,low,high,medium,medium,high,medium,medium,high,high
6150,3,3,medium,low,medium,medium,medium,medium,medium,medium,medium,medium
6151,3,3,medium,medium,high,medium,medium,high,medium,medium,medium,high
6152,3,3,high,medium,high,high,high,high,medium,high,high,high
6153,3,1,low,low,low,medium,medium,medium,low,low,low,low
6154,3,0,low,low,low,low,low,low,low,low,low,low
6155,3,1,medium,medium,high,medium,medium,high,medium,medium,medium,high
6156,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6157,3,1,medium,medium,high,medium,medium,medium,medium,medium,high,medium
6158,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6159,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6160,3,3,high,medium,high,high,high,high,high,high,high,high
6161,3,1,low,low,low,low,low,medium,low,low,low,low
6162,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6163,3,0,medium,low,medium,high,medium,high,medium,high,medium,medium
6164,3,1,medium,low,medium,medium,medium,medium,low,low,medium,medium
6165,3,3,high,medium,high,high,high,high,high,high,high,high
6166,3,1,medium,low,medium,medium,medium,high,low,high,medium,medium
6167,3,1,medium,low,medium,medium,medium,high,low,high,medium,high
6168,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6169,3,3,medium,low,medium,medium,medium,medium,medium,medium,medium,high
6170,3,2,medium,low,medium,medium,medium,medium,medium,medium,medium,medium
6171,3,3,high,medium,high,high,high,high,high,medium,high,high
6172,3,2,high,medium,high,high,high,high,high,medium,high,high
6173,3,1,medium,low,medium,medium,medium,high,medium,medium,medium,medium
6174,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6175,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,high
6176,3,0,low,low,low,medium,low,medium,low,low,low,low
6177,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6178,3,1,medium,medium,high,medium,medium,medium,medium,medium,high,high
6179,3,1,low,low,low,low,low,medium,low,low,low,low
6180,3,1,low,low,low,low,low,medium,low,low,low,low
6181,3,2,high,medium,medium,medium,medium,high,medium,medium,medium,high
6182,3,1,high,medium,high,high,high,high,high,high,high,high
6183,3,2,high,medium,high,high,medium,high,medium,medium,high,high
6184,3,2,high,medium,high,high,medium,high,medium,medium,high,medium
6185,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6186,3,1,medium,low,low,medium,low,medium,low,low,low,low
6187,3,2,low,low,low,medium,medium,high,low,low,low,low
6188,3,0,medium,low,low,medium,medium,medium,low,low,low,medium
6189,3,0,low,low,low,medium,low,medium,low,low,low,medium
6190,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6191,3,1,high,medium,high,medium,high,high,high,high,high,high
6192,3,3,medium,medium,high,medium,medium,medium,medium,medium,medium,high
6193,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6194,3,3,high,medium,high,high,high,high,high,medium,high,high
6195,3,2,high,medium,high,medium,medium,high,medium,medium,high,high
6196,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6197,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6198,3,2,medium,medium,medium,medium,medium,medium,medium,low,medium,medium
6199,3,1,low,low,low,medium,low,medium,low,low,low,medium
6200,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6201,3,1,medium,low,medium,medium,medium,high,medium,low,medium,medium
6202,3,1,medium,low,low,medium,low,medium,low,low,low,medium
6203,3,1,high,medium,high,medium,medium,high,high,medium,high,high
6204,3,1,high,medium,high,medium,medium,high,high,high,high,high
6205,3,1,medium,low,low,low,medium,medium,low,low,medium,low
6206,3,0,low,low,low,low,low,low,low,low,low,low
6207,3,0,medium,low,low,low,low,medium,low,low,low,low
6208,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6209,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6210,3,1,medium,medium,medium,medium,medium,high,medium,medium,high,medium
6211,3,1,medium,medium,high,medium,medium,high,medium,medium,medium,high
6212,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6213,3,0,medium,low,medium,medium,medium,medium,low,low,medium,medium
6214,3,1,medium,medium,medium,high,medium,high,medium,medium,medium,high
6215,3,1,low,low,low,low,low,low,low,low,low,low
6216,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6217,3,0,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6218,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6219,3,2,high,medium,high,medium,medium,high,medium,medium,high,high
6220,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6221,3,1,medium,medium,medium,medium,medium,high,medium,medium,medium,medium
6222,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6223,3,1,medium,low,medium,medium,medium,medium,medium,medium,medium,medium
6224,3,1,medium,low,low,medium,medium,medium,low,low,medium,medium
6225,3,2,high,medium,high,medium,medium,medium,medium,medium,high,high
6226,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,high
6227,3,0,medium,low,high,high,medium,high,low,high,high,high
6228,3,1,medium,low,high,low,medium,medium,medium,medium,high,high
6229,3,0,medium,low,low,medium,low,medium,low,high,low,medium
6230,3,0,medium,low,low,medium,medium,high,low,high,low,high
6231,3,1,high,medium,high,medium,medium,medium,medium,medium,high,high
6232,3,1,high,medium,high,high,high,high,medium,high,high,high
6233,3,1,medium,low,low,medium,high,high,low,high,low,medium
6234,3,0,medium,low,medium,medium,medium,medium,low,low,medium,medium
6235,3,0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6236,3,3,high,medium,high,high,medium,high,high,medium,high,high
6237,3,1,medium,medium,high,medium,medium,medium,medium,medium,medium,medium
6238,3,0,low,low,low,low,low,medium,low,low,low,low
6239,3,2,high,low,high,high,high,high,medium,high,high,high
6240,3,3,high,medium,high,high,high,high,high,medium,high,high
6241,3,0,low,low,low,low,low,low,low,low,low,low
6242,3,0,low,low,low,medium,low,high,low,low,low,low
6243,3,3,medium,medium,high,medium,medium,medium,medium,medium,medium,medium
6244,3,2,medium,medium,medium,medium,medium,medium,medium,low,medium,medium
6245,3,2,high,medium,high,medium,medium,high,medium,medium,medium,high
6246,3,2,high,medium,high,medium,high,high,high,high,high,high
6247,3,2,high,medium,high,high,high,high,high,high,high,high
6248,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6249,3,2,high,medium,high,medium,high,high,high,medium,high,high
6250,3,2,medium,low,low,low,low,medium,low,low,low,medium
6251,3,1,high,medium,high,high,medium,high,medium,high,high,high
6252,3,0,medium,low,medium,medium,medium,medium,low,low,low,medium
6253,3,3,high,medium,high,medium,medium,medium,medium,medium,high,high
6254,3,1,high,medium,high,medium,medium,medium,high,medium,high,high
6255,3,0,medium,low,low,medium,medium,medium,low,low,medium,medium
6256,3,1,medium,low,medium,medium,medium,high,low,low,medium,medium
6257,3,0,medium,low,low,medium,medium,high,low,low,medium,medium
6258,3,0,medium,low,low,medium,low,medium,low,low,low,medium
6259,3,1,medium,low,low,medium,medium,medium,low,low,low,medium
6260,3,1,medium,low,medium,medium,medium,high,medium,low,medium,medium
6261,3,1,high,medium,high,high,high,high,high,high,high,high
6262,3,3,high,medium,high,high,medium,high,medium,high,high,high
6263,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6264,3,2,medium,low,medium,medium,medium,medium,medium,low,high,medium
6265,3,1,medium,low,high,medium,medium,high,medium,low,high,high
6266,3,0,medium,low,low,medium,low,medium,low,low,low,medium
6267,3,3,high,medium,high,high,high,high,high,high,high,high
6268,3,2,high,medium,high,high,high,high,high,high,high,high
6269,3,0,medium,low,low,medium,low,medium,low,low,low,medium
6270,3,2,high,medium,medium,medium,medium,medium,medium,medium,high,high
6271,3,1,high,medium,high,medium,medium,high,medium,high,high,high
6272,3,2,medium,low,medium,medium,low,medium,low,low,medium,medium
6273,3,0,medium,low,medium,medium,low,medium,low,low,medium,medium
6274,3,1,medium,low,low,low,low,medium,low,low,low,low
6275,3,0,low,low,low,low,low,low,low,low,low,low
6276,3,3,high,low,high,high,high,high,high,high,high,high
6277,3,0,medium,low,medium,medium,medium,medium,low,high,medium,medium
6278,3,0,medium,medium,high,high,medium,high,medium,high,high,high
6279,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,high
6280,3,2,high,medium,high,medium,medium,high,medium,medium,high,high
6281,3,2,medium,medium,high,medium,medium,medium,medium,medium,medium,high
6282,3,2,high,medium,high,medium,medium,medium,medium,medium,high,high
6283,3,0,low,low,low,low,low,medium,low,low,low,low
6284,3,2,high,medium,high,medium,medium,high,high,medium,high,high
6285,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6286,3,2,high,medium,high,medium,medium,medium,medium,medium,high,high
6287,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6288,3,1,high,medium,high,high,medium,high,medium,medium,high,high
6289,3,1,medium,low,medium,medium,medium,high,medium,medium,medium,medium
6290,3,0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6291,3,2,medium,medium,medium,high,medium,high,medium,medium,high,high
6292,3,3,high,medium,high,medium,medium,high,high,medium,high,high
6293,3,2,high,medium,high,high,medium,high,medium,medium,high,high
6294,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6295,3,0,medium,low,medium,medium,medium,high,medium,low,medium,medium
6296,3,1,medium,low,medium,medium,medium,high,medium,high,medium,high
6297,3,1,medium,medium,medium,medium,medium,high,medium,medium,medium,medium
6298,3,0,medium,medium,medium,high,medium,high,medium,medium,medium,medium
6299,3,2,medium,low,medium,medium,medium,medium,medium,medium,medium,medium
6300,3,2,high,medium,high,high,high,high,high,high,high,high
6301,3,2,high,medium,high,high,high,high,high,high,high,high
6302,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6303,3,0,low,low,low,low,low,low,low,low,low,low
6304,3,2,medium,medium,medium,medium,medium,high,medium,medium,medium,medium
6305,3,1,high,medium,high,medium,medium,medium,medium,medium,high,high
6306,3,0,low,low,low,medium,low,medium,low,low,low,medium
6307,3,1,medium,medium,medium,medium,medium,medium,medium,low,medium,medium
6308,3,2,high,medium,high,medium,medium,high,medium,medium,high,high
6309,3,1,medium,low,low,medium,low,medium,low,low,low,low
6310,3,1,medium,low,medium,medium,medium,medium,medium,low,high,medium
6311,3,2,medium,low,low,medium,low,medium,low,low,low,medium
6312,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6313,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,high
6314,3,1,medium,low,low,medium,medium,medium,low,low,medium,medium
6315,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6316,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6317,3,2,high,medium,high,high,medium,high,high,medium,high,high
6318,3,0,high,medium,high,medium,medium,high,medium,high,high,medium
6319,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6320,3,0,medium,low,medium,medium,low,medium,low,low,medium,medium
6321,3,0,medium,low,low,medium,medium,medium,low,low,low,medium
6322,3,1,medium,low,medium,medium,medium,high,medium,low,medium,medium
6323,3,0,medium,low,medium,medium,medium,high,medium,low,medium,medium
6324,3,1,medium,low,low,medium,medium,high,low,low,medium,medium
6325,3,1,medium,medium,medium,medium,medium,high,medium,medium,medium,high
6326,3,0,medium,low,medium,medium,medium,medium,low,low,medium,medium
6327,3,3,high,medium,medium,medium,medium,high,medium,medium,medium,high
6328,3,2,medium,low,high,medium,medium,medium,medium,low,high,medium
6329,3,2,medium,medium,high,medium,medium,high,medium,medium,high,high
6330,3,3,high,medium,high,medium,medium,medium,high,medium,high,high
6331,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6332,3,1,low,low,low,low,low,high,low,low,low,low
6333,3,2,high,medium,high,high,high,high,high,high,high,high
6334,3,1,medium,low,medium,low,medium,medium,low,low,medium,medium
6335,3,3,high,medium,high,medium,medium,high,medium,medium,high,high
6336,3,2,high,medium,high,medium,medium,high,medium,medium,high,high
6337,3,1,high,low,high,medium,medium,medium,medium,medium,high,high
6338,3,2,high,medium,high,medium,high,high,high,high,high,high
6339,3,3,high,medium,high,high,medium,high,high,medium,high,high
6340,3,3,medium,medium,medium,medium,medium,high,medium,medium,high,high
6341,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6342,3,1,medium,medium,medium,medium,medium,high,medium,high,medium,medium
6343,3,1,medium,low,medium,medium,medium,medium,medium,medium,medium,medium
6344,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6345,3,2,high,medium,high,high,medium,high,medium,medium,high,high
6346,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6347,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6348,3,1,medium,medium,medium,medium,medium,high,medium,medium,medium,high
6349,3,2,high,medium,high,medium,medium,high,medium,medium,high,high
6350,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6351,3,2,high,medium,high,medium,medium,high,medium,medium,high,high
6352,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6353,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6354,3,1,medium,low,medium,medium,medium,medium,low,low,medium,medium
6355,3,1,medium,low,medium,medium,medium,medium,medium,medium,medium,medium
6356,3,0,low,low,low,low,low,low,low,low,low,low
6357,3,1,medium,low,medium,medium,medium,high,low,high,medium,medium
6358,3,2,medium,low,medium,medium,medium,high,medium,high,medium,medium
6359,3,0,high,high,high,high,high,high,high,high,high,high
6360,3,3,high,medium,high,high,medium,high,medium,medium,high,high
6361,3,2,medium,low,medium,medium,medium,medium,medium,medium,medium,medium
6362,3,0,low,low,low,medium,low,medium,low,low,low,low
6363,3,1,medium,low,high,medium,medium,medium,medium,medium,high,medium
6364,3,1,medium,low,medium,medium,medium,medium,medium,medium,high,medium
6365,3,1,medium,low,medium,medium,medium,high,low,low,medium,medium
6366,3,3,medium,medium,high,medium,medium,high,high,medium,high,high
6367,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,high
6368,3,0,low,low,low,low,low,low,low,low,low,low
6369,3,1,medium,low,medium,medium,medium,high,medium,low,medium,medium
6370,3,0,low,low,low,medium,low,medium,low,low,low,low
6371,3,2,high,medium,high,medium,medium,medium,medium,medium,high,medium
6372,3,2,medium,medium,medium,medium,medium,high,medium,medium,medium,high
6373,3,1,medium,low,medium,medium,medium,medium,low,low,medium,medium
6374,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6375,3,0,low,low,low,low,low,low,low,low,low,low
6376,3,3,medium,medium,high,medium,medium,high,medium,medium,high,high
6377,3,3,medium,medium,high,medium,medium,medium,high,medium,high,high
6378,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6379,3,2,high,medium,high,high,high,high,high,high,high,high
6380,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6381,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,high
6382,3,0,medium,low,low,medium,medium,medium,low,low,medium,medium
6383,3,1,medium,medium,high,high,medium,high,medium,medium,high,high
6384,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6385,3,1,high,medium,high,high,medium,high,medium,high,high,high
6386,3,2,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6387,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6388,3,2,medium,medium,high,medium,medium,high,high,medium,medium,high
6389,3,3,high,medium,high,medium,medium,high,medium,medium,high,high
6390,3,2,medium,low,medium,high,medium,high,medium,low,medium,high
6391,3,1,medium,low,medium,medium,medium,high,medium,low,medium,medium
6392,3,3,high,medium,high,medium,high,high,high,medium,high,high
6393,3,0,low,low,low,medium,low,medium,low,low,low,low
6394,3,0,low,low,low,low,low,low,low,low,low,low
6395,3,1,high,medium,medium,medium,medium,high,medium,medium,medium,medium
6396,3,3,high,medium,high,high,high,high,high,high,high,high
6397,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6398,3,2,medium,medium,high,medium,medium,high,medium,medium,high,high
6399,3,1,medium,low,medium,medium,medium,medium,medium,low,medium,medium
6400,3,1,high,medium,high,medium,medium,high,medium,medium,high,high
6401,3,1,medium,medium,medium,medium,medium,high,medium,medium,medium,medium
6402,3,2,medium,low,medium,medium,medium,high,medium,medium,medium,medium
6403,3,0,low,low,low,low,low,low,low,low,low,low
