essay_id,prompt_id,conventions_score,question1,question2,question3,question4,question5,question6
124,1,3,low,medium,low,medium,medium,high
125,1,1,low,low,low,low,low,high
126,1,3,low,low,low,low,low,high
127,1,4,low,low,low,medium,medium,high
128,1,4,medium,medium,low,medium,medium,high
129,1,4,low,low,low,low,low,high
130,1,6,high,high,high,medium,high,high
131,1,5,low,low,low,low,low,high
132,1,5,low,low,low,low,high,high
133,1,4,low,low,low,low,low,high
134,1,4,medium,medium,low,medium,medium,high
135,1,3,low,low,low,low,low,high
136,1,3,low,low,low,low,low,high
137,1,3,medium,medium,low,medium,medium,high
138,1,4,low,low,low,low,low,high
139,1,4,low,medium,low,medium,medium,high
140,1,5,medium,high,low,medium,medium,high
141,1,4,low,low,low,medium,high,high
142,1,4,low,low,low,low,low,high
143,1,2,low,low,low,low,low,high
144,1,3,low,medium,low,medium,medium,high
145,1,5,low,low,low,low,low,high
146,1,2,low,low,low,low,low,high
147,1,5,low,low,low,low,low,high
148,1,4,low,low,low,medium,low,high
149,1,3,low,low,low,low,low,high
150,1,4,low,low,low,low,low,high
151,1,3,low,low,low,medium,medium,high
152,1,4,low,low,low,medium,medium,high
153,1,5,low,low,low,low,low,high
154,1,5,medium,high,low,medium,medium,high
155,1,4,low,low,low,low,low,high
156,1,4,medium,medium,medium,medium,medium,high
157,1,3,low,low,low,low,low,high
158,1,5,low,low,low,medium,high,high
159,1,5,low,low,low,low,low,high
160,1,4,medium,medium,low,medium,medium,high
161,1,4,low,low,low,low,low,high
162,1,6,low,low,low,medium,high,high
163,1,3,low,low,low,low,low,high
164,1,4,low,low,low,low,low,high
165,1,3,low,low,low,low,low,high
166,1,3,low,low,low,low,low,high
167,1,3,low,low,low,low,low,high
168,1,5,medium,medium,low,medium,medium,high
169,1,4,medium,medium,low,medium,medium,high
170,1,4,low,low,low,medium,low,high
171,1,3,low,low,low,low,low,high
172,1,3,low,low,low,low,low,high
173,1,3,low,low,low,low,low,high
174,1,3,low,low,low,low,low,high
175,1,3,low,low,low,low,low,high
176,1,4,low,low,low,low,low,high
177,1,3,medium,low,low,medium,medium,high
178,1,3,low,low,low,low,low,high
179,1,4,medium,low,low,medium,medium,high
180,1,4,low,low,low,low,low,high
181,1,4,high,high,high,high,high,high
182,1,3,low,low,low,medium,medium,high
183,1,4,medium,medium,low,medium,medium,high
184,1,3,low,low,low,low,low,high
185,1,3,low,low,low,low,low,high
186,1,3,low,low,low,low,low,high
187,1,1,low,low,low,low,low,high
188,1,4,low,low,low,medium,low,high
189,1,2,low,low,low,low,low,high
190,1,5,medium,medium,low,medium,medium,high
191,1,4,medium,medium,low,medium,medium,high
192,1,4,low,low,low,low,low,high
193,1,5,medium,medium,low,medium,medium,high
194,1,4,low,low,low,low,low,high
195,1,2,low,low,low,low,low,high
196,1,3,medium,low,low,medium,medium,high
197,1,5,low,low,low,medium,high,high
198,1,4,low,low,low,low,low,high
199,1,4,low,low,low,low,low,high
200,1,3,low,low,low,low,low,high
201,1,5,medium,high,low,medium,medium,high
202,1,3,low,low,low,low,low,high
203,1,4,low,low,low,low,low,high
204,1,4,low,low,low,low,low,high
205,1,4,low,low,low,low,low,high
206,1,5,low,medium,low,medium,medium,high
207,1,4,low,low,low,medium,medium,high
208,1,3,medium,medium,low,medium,medium,high
209,1,2,low,low,low,low,low,high
210,1,3,low,low,low,low,low,high
211,1,3,medium,medium,medium,medium,medium,medium
212,1,3,low,low,low,low,low,high
213,1,3,low,low,low,medium,medium,high
214,1,3,low,low,low,low,low,high
215,1,4,low,low,low,low,low,high
216,1,4,low,low,low,low,low,high
217,1,4,medium,low,low,high,high,high
218,1,3,low,low,low,low,low,high
219,1,5,low,low,low,low,low,high
220,1,4,low,low,low,low,low,high
221,1,3,low,low,low,low,medium,high
222,1,6,low,low,low,low,low,high
223,1,3,low,low,low,low,low,high
224,1,4,low,low,low,low,low,high
225,1,5,low,low,low,low,low,high
226,1,3,low,low,low,low,low,high
227,1,5,medium,low,low,medium,medium,high
228,1,3,low,low,low,low,low,high
229,1,3,low,low,low,low,low,high
230,1,5,low,low,low,low,low,high
231,1,5,low,low,low,medium,medium,high
232,1,5,medium,medium,low,medium,high,high
233,1,2,low,low,low,low,low,high
234,1,4,medium,medium,low,medium,medium,high
235,1,3,low,low,low,low,low,high
236,1,2,low,low,low,low,low,high
237,1,3,low,low,low,low,low,high
238,1,3,medium,medium,low,medium,medium,high
239,1,3,low,low,low,low,low,high
240,1,3,low,low,low,low,low,high
241,1,3,low,low,low,low,low,high
242,1,3,medium,medium,low,medium,low,high
243,1,4,low,low,low,low,low,high
244,1,2,low,low,low,low,low,high
245,1,4,medium,medium,low,medium,medium,medium
246,1,4,high,high,high,high,high,high
247,1,4,low,low,low,low,low,high
248,1,4,low,low,low,low,low,high
249,1,4,low,low,low,low,low,high
250,1,4,low,low,low,low,low,high
251,1,5,medium,high,high,medium,high,high
252,1,3,low,low,low,low,low,high
253,1,2,low,low,low,low,low,high
254,1,4,low,low,low,low,low,high
255,1,4,medium,medium,low,medium,medium,high
256,1,4,low,low,low,low,low,high
257,1,3,low,low,low,low,low,high
258,1,5,medium,medium,low,medium,medium,high
259,1,4,low,low,low,low,low,high
260,1,3,low,low,low,low,low,high
261,1,4,low,low,low,low,low,high
262,1,3,low,low,low,low,medium,high
263,1,4,low,low,low,low,low,high
264,1,5,low,low,low,low,low,high
265,1,4,medium,medium,low,medium,low,high
266,1,5,medium,medium,low,medium,medium,high
267,1,5,medium,low,low,medium,high,high
268,1,3,low,low,low,medium,medium,high
269,1,3,low,low,low,low,low,high
270,1,5,low,low,low,medium,low,high
271,1,4,low,low,low,medium,medium,high
272,1,4,low,low,low,medium,medium,high
273,1,3,low,low,low,low,low,high
274,1,3,low,low,low,low,low,high
275,1,5,low,low,low,low,low,high
276,1,3,low,low,low,low,low,high
277,1,3,medium,medium,low,medium,medium,high
278,1,4,medium,high,high,medium,high,high
279,1,5,medium,high,low,medium,medium,high
280,1,4,medium,medium,low,medium,medium,high
281,1,2,low,low,low,low,low,high
282,1,4,medium,medium,medium,medium,medium,high
283,1,3,low,low,low,low,low,high
284,1,4,low,medium,low,medium,medium,high
285,1,4,low,low,low,low,low,high
286,1,1,low,low,low,low,low,high
287,1,5,low,low,low,low,low,high
288,1,4,low,low,low,low,low,high
289,1,4,low,low,low,low,low,high
290,1,5,high,high,high,high,high,high
291,1,4,high,high,high,high,high,high
292,1,5,high,high,low,high,high,high
293,1,4,low,low,low,low,low,high
294,1,4,low,low,low,low,low,high
295,1,4,low,low,low,low,low,high
296,1,4,low,low,low,low,low,high
297,1,3,low,low,low,medium,medium,high
298,1,4,low,low,low,low,low,high
299,1,4,low,low,low,medium,medium,high
300,1,3,low,low,low,low,low,high
301,1,3,low,low,low,low,low,high
302,1,5,low,low,low,medium,low,high
303,1,4,low,low,low,low,low,high
304,1,4,low,low,low,low,low,high
305,1,4,low,low,low,low,low,high
306,1,5,medium,medium,low,medium,medium,high
307,1,4,low,low,low,medium,medium,high
308,1,2,low,low,low,low,low,high
309,1,3,low,low,low,low,low,high
310,1,4,medium,low,low,medium,high,high
311,1,3,low,low,low,low,low,high
312,1,3,low,low,low,low,low,high
314,1,3,low,low,low,low,low,high
315,1,5,high,high,medium,high,high,high
316,1,5,medium,low,low,medium,high,high
317,1,5,medium,medium,low,medium,medium,high
318,1,4,low,low,low,low,low,high
319,1,3,low,low,low,low,low,high
320,1,3,low,low,low,low,low,high
321,1,5,low,low,low,low,high,high
322,1,5,low,low,low,medium,medium,high
323,1,4,low,low,low,low,low,high
324,1,5,medium,medium,low,medium,medium,high
325,1,4,low,low,low,low,low,high
326,1,5,high,high,high,high,high,high
327,1,4,low,low,low,low,low,high
328,1,3,low,low,low,low,low,high
329,1,4,low,low,low,medium,medium,high
330,1,4,low,low,low,low,low,high
331,1,4,low,low,low,medium,medium,high
332,1,3,low,low,low,low,low,high
333,1,3,low,low,low,low,low,high
334,1,4,low,low,low,low,low,high
335,1,3,low,low,low,low,low,high
336,1,4,low,low,low,low,low,high
337,1,4,low,low,low,low,medium,high
338,1,3,low,low,low,low,low,high
339,1,4,low,low,low,low,low,high
340,1,5,medium,medium,low,medium,medium,high
341,1,4,low,low,low,medium,medium,high
342,1,5,medium,high,high,medium,high,high
343,1,4,low,low,low,low,low,high
345,1,5,low,low,low,medium,medium,high
346,1,6,low,low,low,low,low,high
347,1,4,low,low,low,medium,medium,high
348,1,5,low,low,low,low,low,high
349,1,3,low,low,low,low,low,high
350,1,4,low,low,low,low,low,high
351,1,3,low,low,low,medium,high,high
352,1,3,low,low,low,low,low,high
353,1,2,low,low,low,low,low,high
354,1,3,low,low,low,low,low,high
355,1,3,low,low,low,low,low,high
356,1,5,medium,medium,low,medium,medium,high
357,1,4,low,low,low,low,low,high
358,1,3,low,low,low,medium,medium,high
359,1,1,high,high,high,high,high,high
360,1,4,low,low,low,low,low,high
361,1,4,low,low,low,low,low,high
362,1,4,low,low,low,low,low,high
363,1,4,low,low,low,low,low,high
364,1,5,high,high,low,high,high,high
365,1,4,low,low,low,low,low,high
366,1,3,low,low,low,low,low,high
367,1,3,low,low,low,low,low,high
368,1,3,medium,medium,medium,medium,medium,high
369,1,3,low,low,low,medium,medium,high
370,1,5,low,low,low,low,high,high
371,1,4,low,low,low,low,low,high
372,1,4,low,low,low,medium,high,high
373,1,4,medium,low,low,medium,medium,high
374,1,4,low,low,low,low,low,high
375,1,1,low,low,low,low,low,high
376,1,3,low,low,low,low,low,high
377,1,4,low,low,low,low,low,high
378,1,4,medium,high,low,medium,medium,high
379,1,4,low,low,low,medium,low,high
380,1,4,low,low,low,low,low,high
381,1,4,low,low,low,low,low,high
382,1,4,low,low,low,medium,medium,high
383,1,4,low,low,low,medium,low,high
384,1,4,low,low,low,low,low,high
385,1,6,high,high,high,high,high,high
386,1,4,low,low,low,medium,medium,high
387,1,4,low,low,low,low,low,high
388,1,4,medium,medium,medium,medium,medium,medium
389,1,3,medium,medium,low,medium,medium,high
390,1,4,medium,high,medium,medium,high,high
391,1,5,low,low,low,medium,low,high
392,1,3,low,low,low,low,low,high
393,1,3,low,low,low,low,low,high
394,1,3,low,medium,low,medium,medium,high
395,1,2,low,low,low,low,low,high
396,1,3,low,low,low,low,low,high
397,1,4,low,low,low,low,low,high
398,1,5,low,low,low,low,low,high
399,1,4,high,high,high,high,high,high
400,1,3,low,low,low,low,low,high
401,1,2,low,low,low,low,low,high
402,1,3,low,low,low,low,low,high
403,1,4,medium,medium,medium,medium,medium,high
404,1,3,low,low,low,medium,medium,high
405,1,4,low,low,low,low,low,high
406,1,4,low,low,low,low,low,high
407,1,3,low,low,low,medium,medium,high
408,1,3,low,low,low,low,low,high
409,1,4,low,low,low,low,low,high
410,1,3,low,low,low,low,low,high
411,1,5,low,low,low,low,low,high
412,1,5,low,low,low,low,low,high
413,1,4,low,low,low,medium,low,high
414,1,3,low,low,low,low,low,high
415,1,4,low,low,low,low,low,high
416,1,3,low,low,low,low,low,high
417,1,3,low,low,low,low,low,high
418,1,5,medium,low,low,medium,medium,high
419,1,3,low,low,low,medium,medium,high
420,1,4,low,low,low,low,low,high
421,1,3,medium,medium,medium,medium,medium,high
422,1,3,low,low,low,low,low,high
423,1,4,low,low,low,medium,medium,high
424,1,4,high,high,low,high,high,high
425,1,5,medium,medium,low,medium,medium,high
426,1,5,medium,high,low,medium,medium,high
427,1,5,low,low,low,low,low,high
428,1,3,low,low,low,low,low,high
429,1,5,medium,medium,low,medium,medium,high
430,1,5,low,low,low,low,low,high
431,1,4,low,low,low,low,low,high
432,1,3,low,low,low,low,low,high
433,1,5,low,low,low,low,low,high
434,1,3,low,low,low,low,low,high
435,1,4,medium,medium,low,medium,medium,high
436,1,3,low,low,low,low,low,high
437,1,5,low,low,low,low,low,high
438,1,3,low,low,low,low,low,high
439,1,4,low,low,low,low,low,high
440,1,3,low,low,low,low,low,high
441,1,3,low,low,low,low,low,high
442,1,5,low,low,low,low,low,high
443,1,3,low,low,low,low,medium,high
444,1,4,low,low,low,low,low,high
445,1,3,low,low,low,low,low,high
446,1,5,low,low,low,low,low,high
447,1,5,low,low,low,low,low,high
448,1,3,low,low,low,low,low,high
449,1,1,low,low,low,low,low,high
450,1,4,medium,medium,medium,medium,medium,medium
451,1,4,low,low,low,low,low,high
452,1,4,low,low,low,medium,medium,high
453,1,5,low,low,low,low,low,high
454,1,4,low,low,low,low,low,high
455,1,2,low,low,low,low,low,high
456,1,2,low,low,low,low,low,high
457,1,6,high,high,high,high,high,high
458,1,4,low,low,low,low,low,high
459,1,4,low,low,low,low,low,high
460,1,4,low,low,low,low,low,high
461,1,3,low,low,low,low,low,high
462,1,4,medium,medium,low,medium,high,high
463,1,4,medium,medium,low,medium,high,high
464,1,2,low,low,low,low,low,high
465,1,3,low,low,low,low,low,high
466,1,4,low,low,low,medium,medium,high
467,1,4,medium,medium,low,medium,medium,high
468,1,3,low,low,low,medium,low,high
469,1,4,low,low,low,low,low,high
470,1,4,low,low,low,medium,medium,high
471,1,4,low,low,low,medium,medium,high
472,1,5,low,low,low,medium,low,high
473,1,3,low,low,low,low,low,high
474,1,2,low,low,low,low,low,high
475,1,4,low,low,low,low,low,high
476,1,3,low,low,low,low,low,high
477,1,2,low,low,low,low,low,high
478,1,5,medium,medium,low,medium,medium,high
479,1,5,medium,high,medium,medium,high,high
480,1,3,low,low,low,low,low,high
481,1,4,low,low,low,low,low,high
482,1,3,low,low,low,low,low,high
483,1,4,low,low,low,low,low,high
484,1,4,low,low,low,medium,medium,high
485,1,4,low,low,low,low,low,high
486,1,3,low,low,low,medium,medium,high
487,1,3,low,low,low,low,low,high
488,1,4,low,low,low,medium,low,high
489,1,4,low,low,low,low,low,high
490,1,4,low,low,low,low,low,high
491,1,3,low,low,low,low,low,high
492,1,3,low,low,low,low,low,high
493,1,3,low,low,low,medium,medium,high
494,1,3,low,low,low,low,low,high
495,1,5,low,low,low,low,low,high
496,1,4,low,low,low,low,low,high
497,1,5,low,low,low,low,low,high
498,1,5,low,low,low,low,low,high
499,1,5,medium,low,low,medium,low,high
500,1,5,low,low,low,medium,medium,high
501,1,3,low,low,low,low,low,high
502,1,2,low,low,low,low,low,high
503,1,3,medium,medium,medium,medium,medium,high
504,1,5,low,low,low,medium,low,high
505,1,4,low,low,low,low,low,high
506,1,2,low,low,low,low,low,high
507,1,3,low,low,low,low,low,high
508,1,5,medium,medium,low,medium,medium,high
509,1,4,low,low,low,low,low,high
510,1,4,low,low,low,low,low,high
511,1,3,low,low,low,low,low,high
512,1,3,low,low,low,low,low,high
513,1,3,low,medium,low,medium,medium,high
514,1,3,low,low,low,low,low,high
515,1,3,low,low,low,low,low,high
516,1,5,medium,high,medium,medium,medium,medium
517,1,4,low,low,low,medium,medium,high
518,1,4,low,low,low,low,low,high
519,1,5,low,low,low,low,low,high
520,1,3,low,low,low,low,low,high
521,1,3,low,low,low,low,low,high
522,1,4,low,low,low,low,low,high
523,1,5,medium,medium,low,medium,medium,high
524,1,4,low,low,low,low,low,high
525,1,4,medium,high,low,medium,high,high
526,1,3,low,low,low,low,low,high
527,1,3,low,low,low,medium,low,high
528,1,4,medium,medium,high,medium,high,high
529,1,2,low,low,low,low,low,high
530,1,4,low,low,low,low,low,high
531,1,4,low,low,low,low,low,high
532,1,4,medium,medium,low,medium,medium,high
533,1,5,medium,low,low,medium,low,high
534,1,5,low,low,low,low,low,high
535,1,4,low,low,low,low,low,high
536,1,4,low,low,low,low,low,high
537,1,3,low,low,low,low,low,high
538,1,4,medium,medium,medium,medium,medium,medium
539,1,3,low,low,low,low,medium,high
540,1,4,low,low,low,low,low,high
541,1,5,low,low,low,medium,medium,high
542,1,6,high,high,high,high,high,high
543,1,3,low,low,low,low,low,high
544,1,3,low,low,low,low,low,high
545,1,1,low,low,low,low,low,high
546,1,2,low,low,low,low,low,high
547,1,5,low,low,low,low,low,high
548,1,4,medium,high,high,high,high,high
549,1,4,low,low,low,low,low,high
550,1,5,low,low,low,low,medium,high
551,1,4,low,low,low,low,low,high
552,1,2,low,low,low,low,low,high
553,1,3,low,low,low,low,low,high
554,1,4,medium,medium,low,medium,medium,high
555,1,4,low,low,low,low,low,high
556,1,4,low,low,low,medium,low,high
557,1,5,low,low,low,low,low,high
558,1,5,high,high,medium,high,high,high
559,1,6,low,low,low,low,low,high
560,1,3,low,low,low,low,low,high
561,1,3,low,low,low,low,low,high
562,1,4,low,low,low,medium,low,high
563,1,3,low,low,low,medium,medium,high
564,1,5,low,low,low,medium,low,high
565,1,4,low,low,low,low,low,high
566,1,4,low,low,low,low,medium,high
567,1,3,medium,medium,low,medium,medium,high
568,1,4,low,low,low,low,low,high
569,1,4,low,low,low,low,low,high
570,1,3,low,low,low,low,low,high
571,1,4,medium,low,low,medium,low,high
572,1,4,medium,high,low,medium,high,high
573,1,4,low,low,low,low,low,high
574,1,3,low,low,low,low,low,high
575,1,4,low,low,low,low,low,high
576,1,4,low,low,low,low,medium,high
577,1,2,low,low,low,low,low,high
578,1,3,low,low,low,low,low,high
579,1,4,low,low,low,low,low,high
580,1,3,low,low,low,low,low,high
581,1,4,low,low,low,medium,medium,high
582,1,5,high,high,medium,high,high,high
583,1,4,low,low,low,low,low,high
584,1,3,low,low,low,low,low,high
585,1,5,low,low,low,low,low,high
586,1,4,low,low,low,medium,medium,high
587,1,3,low,low,low,low,low,high
588,1,4,low,low,low,medium,high,high
589,1,3,low,medium,low,medium,medium,high
590,1,2,low,low,low,medium,low,high
591,1,3,low,low,low,low,low,high
592,1,3,low,low,low,medium,medium,high
593,1,4,low,low,low,low,low,high
594,1,2,low,low,low,medium,low,high
595,1,4,medium,medium,low,medium,medium,high
596,1,2,low,low,low,low,low,high
597,1,5,low,low,low,low,low,high
598,1,3,low,low,low,low,low,high
599,1,4,medium,low,low,medium,medium,high
600,1,2,low,low,low,low,low,high
601,1,3,medium,medium,low,medium,medium,high
602,1,3,low,low,low,low,low,high
603,1,4,low,low,low,low,low,high
604,1,4,low,low,low,medium,low,high
605,1,3,low,low,low,low,low,high
606,1,3,low,low,low,low,low,high
607,1,4,medium,medium,low,medium,medium,high
608,1,2,low,low,low,low,low,high
609,1,3,low,low,low,medium,medium,high
610,1,2,low,low,low,low,low,high
611,1,4,low,low,low,low,low,high
612,1,4,low,low,low,low,low,high
613,1,4,low,low,low,low,low,high
614,1,3,low,low,low,low,low,high
615,1,5,low,low,low,medium,medium,high
616,1,4,low,low,low,low,low,high
617,1,5,low,low,low,low,low,high
618,1,5,low,low,low,low,low,high
619,1,6,high,low,low,high,high,high
620,1,4,medium,medium,low,medium,medium,high
621,1,3,low,low,low,low,low,high
622,1,4,low,low,low,medium,medium,high
623,1,2,low,low,low,low,low,high
624,1,3,low,low,low,low,low,high
625,1,4,low,low,low,low,low,high
626,1,3,low,low,low,medium,medium,high
627,1,3,low,low,low,low,low,high
628,1,5,low,low,low,low,low,high
629,1,4,low,low,low,low,low,high
630,1,4,low,low,low,low,low,high
631,1,3,low,low,low,medium,medium,high
632,1,4,medium,high,high,medium,medium,high
633,1,3,low,low,low,medium,medium,high
634,1,2,low,low,low,low,low,high
635,1,4,low,low,low,low,low,high
636,1,5,low,low,low,low,low,high
637,1,3,low,low,low,low,low,high
638,1,3,low,low,low,medium,medium,high
639,1,3,low,low,low,low,low,high
640,1,4,low,low,low,medium,medium,high
641,1,3,low,low,low,low,low,high
642,1,4,low,low,low,low,low,high
643,1,5,low,low,low,low,low,high
644,1,4,high,high,high,high,high,high
645,1,3,low,low,low,low,low,high
646,1,3,low,low,low,low,low,high
647,1,4,low,low,low,low,low,high
648,1,2,low,low,low,low,low,high
649,1,4,medium,high,medium,medium,medium,medium
650,1,5,high,high,low,high,high,high
651,1,3,low,low,low,low,low,high
652,1,4,low,low,low,medium,medium,high
653,1,4,low,low,low,low,low,high
654,1,4,low,low,low,low,low,high
655,1,3,low,low,low,low,low,high
656,1,4,low,low,low,medium,low,high
657,1,4,low,low,low,low,medium,high
658,1,4,low,low,low,low,low,high
659,1,4,medium,high,high,medium,high,high
660,1,6,high,high,low,high,high,high
661,1,4,low,low,low,low,low,high
662,1,3,low,low,low,low,low,high
663,1,4,low,low,low,low,low,high
664,1,3,low,low,low,low,low,high
665,1,2,low,low,low,low,low,high
666,1,4,low,low,low,medium,medium,high
667,1,4,low,low,low,medium,medium,high
668,1,4,medium,medium,low,medium,medium,high
669,1,4,low,low,low,low,low,high
670,1,3,low,low,low,low,low,high
671,1,3,low,low,low,low,medium,high
672,1,4,low,low,low,low,low,high
673,1,2,low,low,low,low,low,high
674,1,3,low,low,low,low,low,high
675,1,3,low,low,low,low,low,high
676,1,3,low,low,low,low,low,high
677,1,3,low,low,low,low,low,high
678,1,3,low,low,low,low,low,high
679,1,4,medium,medium,low,medium,medium,high
680,1,3,low,low,low,low,low,high
681,1,3,low,low,low,low,low,high
682,1,4,low,low,low,low,low,high
683,1,4,low,low,low,low,low,high
684,1,5,low,high,low,medium,high,high
685,1,5,high,high,high,medium,high,high
686,1,4,low,low,low,low,low,high
687,1,4,low,low,low,low,low,high
688,1,4,medium,medium,low,medium,medium,high
689,1,5,low,low,low,low,low,high
690,1,4,medium,high,low,medium,medium,high
691,1,3,low,low,low,medium,medium,high
692,1,2,low,low,low,low,low,high
693,1,3,low,low,low,low,low,high
694,1,5,medium,high,high,medium,medium,medium
695,1,4,medium,medium,medium,medium,high,high
696,1,3,medium,low,low,medium,medium,high
697,1,4,low,low,low,low,low,high
698,1,3,low,low,low,low,low,high
699,1,5,low,high,low,low,high,high
700,1,3,low,low,low,low,low,high
701,1,4,low,low,low,low,low,high
702,1,2,low,low,low,medium,medium,high
703,1,3,low,low,low,low,low,high
704,1,2,low,low,low,low,low,high
705,1,3,low,low,low,low,low,high
706,1,5,low,high,low,medium,high,high
707,1,3,low,low,low,low,low,high
708,1,4,low,high,low,medium,medium,high
709,1,4,low,low,low,low,low,high
710,1,4,medium,low,low,medium,high,high
711,1,4,medium,high,high,high,high,high
712,1,3,low,low,low,low,low,high
713,1,4,low,low,low,low,low,high
714,1,5,low,low,low,low,low,high
715,1,3,low,low,low,low,low,high
716,1,4,low,low,low,low,low,high
717,1,5,low,low,low,low,low,high
718,1,5,low,low,low,low,low,high
719,1,3,medium,medium,low,medium,medium,high
720,1,5,low,low,low,low,low,high
721,1,4,low,low,low,low,low,high
722,1,5,high,low,low,high,high,high
723,1,5,high,high,high,high,high,high
724,1,4,low,low,low,low,low,high
725,1,3,low,low,low,low,low,high
726,1,4,low,low,low,low,low,high
727,1,2,low,low,low,low,low,high
728,1,3,low,low,low,low,low,high
729,1,3,medium,medium,medium,medium,medium,high
730,1,5,low,low,low,medium,high,high
731,1,3,low,low,low,low,low,high
732,1,4,medium,medium,medium,medium,medium,high
733,1,3,low,low,low,low,low,high
734,1,4,low,low,low,low,low,high
735,1,4,medium,medium,low,medium,medium,high
736,1,4,low,low,low,low,low,high
737,1,4,low,low,low,medium,medium,high
738,1,3,low,low,low,medium,high,high
739,1,3,low,low,low,low,low,high
