essay_id,prompt_id,content_score,question1,question2,question3,question4,question5,question6
84,1,2.0,low,low,low,low,medium,high
85,1,4.0,medium,medium,medium,low,medium,medium
86,1,4.0,medium,medium,medium,medium,medium,medium
87,1,4.0,medium,medium,medium,medium,medium,medium
88,1,4.0,medium,medium,medium,medium,medium,medium
89,1,3.0,medium,medium,medium,medium,medium,medium
90,1,3.0,low,medium,medium,medium,medium,medium
91,1,3.0,medium,medium,medium,medium,medium,medium
92,1,4.0,low,low,medium,low,medium,high
93,1,4.0,medium,medium,medium,medium,medium,medium
94,1,3.0,low,low,low,low,low,high
95,1,5.0,low,medium,medium,low,medium,medium
96,1,4.0,medium,medium,medium,medium,medium,medium
97,1,4.0,medium,medium,medium,medium,medium,medium
98,1,4.0,medium,medium,medium,high,medium,high
99,1,3.0,low,low,medium,low,medium,high
100,1,2.0,low,low,medium,low,medium,medium
101,1,5.0,medium,medium,medium,medium,medium,high
102,1,5.0,medium,medium,medium,medium,medium,medium
103,1,4.0,medium,medium,medium,medium,medium,medium
104,1,6.0,low,low,medium,high,medium,high
105,1,5.0,low,medium,medium,low,medium,high
106,1,6.0,medium,medium,medium,medium,medium,medium
107,1,5.0,medium,medium,medium,medium,medium,medium
108,1,4.0,medium,medium,medium,medium,medium,medium
109,1,3.0,medium,medium,medium,medium,medium,medium
110,1,3.0,medium,medium,medium,medium,medium,medium
111,1,5.0,low,medium,medium,high,medium,high
112,1,3.0,low,low,medium,high,medium,high
113,1,4.0,medium,medium,medium,medium,medium,medium
114,1,5.0,medium,medium,medium,high,medium,medium
115,1,3.0,low,low,low,low,medium,high
116,1,1.0,medium,medium,medium,medium,medium,medium
117,1,4.0,low,medium,medium,medium,medium,medium
118,1,5.0,medium,medium,medium,high,medium,medium
119,1,4.0,medium,medium,medium,high,medium,high
120,1,3.0,low,medium,medium,low,medium,high
121,1,4.0,low,low,medium,low,medium,high
122,1,5.0,low,medium,medium,low,medium,high
123,1,4.0,medium,medium,medium,medium,medium,medium
124,1,2.0,medium,medium,medium,medium,medium,medium
125,1,2.0,low,low,medium,high,medium,high
126,1,3.0,low,low,medium,low,low,high
127,1,4.0,low,medium,low,low,medium,high
128,1,4.0,medium,medium,medium,medium,medium,medium
129,1,4.0,medium,medium,medium,medium,medium,medium
130,1,5.0,high,medium,medium,medium,medium,medium
131,1,5.0,medium,medium,medium,medium,medium,medium
132,1,6.0,medium,medium,medium,medium,medium,medium
133,1,4.0,low,medium,medium,high,medium,high
134,1,4.0,medium,medium,medium,medium,medium,medium
135,1,3.0,medium,medium,medium,medium,medium,medium
136,1,3.0,low,low,low,low,low,high
137,1,3.0,medium,medium,medium,medium,medium,medium
138,1,3.0,medium,medium,medium,high,medium,medium
139,1,3.0,medium,medium,low,medium,medium,medium
140,1,4.0,medium,medium,medium,medium,medium,medium
141,1,5.0,medium,medium,medium,medium,medium,medium
142,1,4.0,low,low,medium,high,medium,high
143,1,3.0,low,medium,medium,low,medium,high
144,1,4.0,medium,medium,medium,medium,medium,medium
145,1,5.0,medium,medium,medium,high,medium,high
146,1,2.0,low,low,low,low,low,high
147,1,5.0,medium,medium,medium,high,medium,high
148,1,4.0,medium,medium,medium,medium,medium,medium
149,1,3.0,low,low,medium,low,medium,high
150,1,4.0,medium,medium,medium,medium,medium,high
151,1,3.0,medium,medium,medium,medium,medium,medium
152,1,4.0,medium,medium,medium,medium,medium,medium
153,1,4.0,medium,medium,medium,medium,medium,medium
154,1,5.0,medium,medium,medium,medium,medium,medium
155,1,4.0,low,medium,medium,low,medium,high
156,1,4.0,medium,medium,medium,medium,medium,medium
157,1,3.0,medium,medium,medium,low,medium,medium
158,1,5.0,medium,medium,medium,medium,medium,medium
159,1,5.0,medium,medium,medium,high,medium,high
160,1,4.0,medium,medium,medium,medium,medium,medium
161,1,5.0,medium,medium,medium,high,medium,medium
162,1,5.0,medium,medium,medium,medium,medium,medium
163,1,3.0,low,low,medium,low,low,high
164,1,4.0,medium,medium,medium,medium,medium,medium
165,1,3.0,low,low,medium,high,medium,high
166,1,4.0,medium,medium,medium,medium,medium,medium
167,1,3.0,low,medium,medium,low,medium,medium
168,1,5.0,medium,medium,medium,medium,medium,medium
169,1,3.0,medium,medium,medium,medium,medium,medium
170,1,3.0,medium,medium,medium,medium,medium,medium
171,1,3.0,medium,medium,medium,low,medium,medium
172,1,3.0,low,medium,medium,medium,medium,medium
173,1,3.0,medium,medium,medium,low,medium,high
174,1,3.0,medium,medium,medium,medium,medium,medium
175,1,3.0,medium,medium,medium,medium,medium,medium
176,1,4.0,medium,medium,medium,high,medium,high
177,1,3.0,low,medium,medium,medium,medium,medium
178,1,3.0,low,low,medium,low,medium,high
179,1,4.0,medium,medium,medium,medium,medium,medium
180,1,4.0,low,low,medium,medium,medium,high
181,1,5.0,medium,medium,medium,medium,medium,medium
182,1,3.0,medium,medium,medium,low,medium,medium
183,1,5.0,medium,medium,medium,medium,medium,medium
184,1,3.0,low,low,low,low,low,high
185,1,3.0,medium,medium,medium,medium,medium,medium
186,1,4.0,medium,medium,medium,medium,medium,medium
187,1,2.0,medium,medium,medium,medium,medium,medium
188,1,4.0,medium,medium,medium,low,medium,medium
189,1,2.0,low,low,low,low,low,low
190,1,6.0,medium,medium,medium,high,medium,high
191,1,4.0,medium,medium,medium,medium,medium,medium
192,1,4.0,medium,medium,medium,medium,medium,medium
193,1,4.0,medium,medium,medium,medium,medium,medium
194,1,5.0,low,low,medium,high,medium,high
195,1,2.0,low,low,low,low,medium,high
196,1,4.0,medium,medium,medium,medium,medium,medium
197,1,5.0,medium,medium,medium,medium,medium,medium
198,1,5.0,medium,medium,medium,high,medium,medium
199,1,4.0,low,low,medium,high,medium,high
200,1,4.0,medium,medium,medium,medium,medium,medium
201,1,6.0,medium,medium,medium,medium,medium,medium
202,1,4.0,medium,medium,medium,low,medium,medium
203,1,4.0,low,medium,medium,low,medium,medium
204,1,4.0,low,medium,medium,low,medium,medium
205,1,5.0,low,low,medium,high,medium,high
206,1,5.0,medium,medium,medium,medium,medium,medium
207,1,4.0,medium,medium,medium,medium,medium,medium
208,1,3.0,medium,low,medium,medium,medium,medium
209,1,2.0,low,low,low,low,low,medium
210,1,4.0,medium,medium,medium,low,medium,medium
211,1,3.0,medium,medium,medium,medium,medium,medium
212,1,3.0,low,medium,medium,high,medium,high
213,1,3.0,medium,medium,medium,medium,medium,medium
214,1,4.0,medium,medium,medium,medium,medium,medium
215,1,5.0,medium,medium,medium,medium,medium,high
216,1,4.0,medium,medium,medium,medium,medium,medium
217,1,4.0,medium,medium,medium,medium,medium,medium
218,1,4.0,medium,medium,medium,medium,medium,medium
219,1,5.0,low,low,medium,high,medium,high
220,1,4.0,low,medium,medium,low,medium,high
221,1,3.0,medium,medium,medium,medium,medium,medium
222,1,6.0,medium,medium,medium,medium,medium,medium
223,1,4.0,medium,low,medium,low,medium,medium
224,1,4.0,medium,medium,medium,medium,medium,medium
225,1,5.0,medium,medium,medium,medium,medium,high
226,1,3.0,medium,medium,medium,medium,medium,medium
227,1,5.0,medium,medium,medium,medium,medium,medium
228,1,3.0,low,low,low,low,low,high
229,1,4.0,low,low,medium,low,medium,medium
230,1,5.0,medium,medium,medium,medium,medium,medium
231,1,5.0,medium,medium,medium,medium,medium,medium
232,1,5.0,medium,medium,medium,medium,medium,medium
233,1,2.0,low,medium,medium,low,medium,medium
234,1,4.0,medium,medium,medium,medium,medium,medium
235,1,3.0,medium,medium,medium,low,medium,medium
236,1,2.0,medium,medium,medium,medium,medium,medium
237,1,3.0,low,low,low,low,low,high
238,1,4.0,medium,medium,medium,medium,medium,medium
239,1,3.0,medium,medium,medium,medium,medium,medium
240,1,3.0,medium,medium,medium,low,medium,medium
241,1,3.0,low,low,medium,low,medium,medium
242,1,4.0,medium,medium,medium,medium,medium,medium
243,1,5.0,low,medium,medium,medium,medium,medium
244,1,3.0,medium,medium,medium,low,medium,medium
245,1,3.0,medium,medium,medium,medium,medium,medium
246,1,5.0,medium,medium,medium,medium,medium,medium
247,1,4.0,medium,medium,medium,high,medium,medium
248,1,4.0,medium,medium,medium,low,medium,medium
249,1,5.0,medium,medium,medium,medium,medium,medium
250,1,4.0,low,low,low,high,low,high
251,1,6.0,medium,medium,medium,medium,medium,medium
252,1,3.0,medium,medium,medium,medium,medium,medium
253,1,3.0,low,low,low,low,low,high
254,1,4.0,medium,medium,medium,medium,medium,medium
255,1,4.0,medium,medium,medium,medium,medium,medium
256,1,4.0,low,low,medium,medium,medium,medium
257,1,4.0,medium,medium,medium,low,medium,medium
258,1,6.0,medium,medium,medium,medium,medium,medium
259,1,5.0,medium,medium,medium,medium,medium,high
260,1,3.0,medium,medium,medium,medium,medium,medium
261,1,4.0,medium,medium,medium,medium,medium,medium
262,1,3.0,medium,medium,medium,medium,medium,medium
263,1,5.0,medium,medium,medium,medium,medium,high
264,1,5.0,medium,medium,medium,high,medium,high
265,1,4.0,low,medium,medium,medium,medium,medium
266,1,5.0,medium,medium,medium,high,medium,medium
267,1,4.0,medium,medium,medium,medium,medium,medium
268,1,3.0,medium,medium,medium,high,medium,medium
269,1,3.0,medium,medium,medium,high,medium,medium
270,1,4.0,medium,medium,medium,low,medium,medium
271,1,4.0,medium,medium,medium,low,medium,medium
272,1,4.0,medium,medium,medium,medium,medium,high
273,1,3.0,low,low,low,low,low,high
274,1,4.0,low,low,low,high,medium,high
275,1,5.0,low,medium,medium,high,medium,high
276,1,3.0,low,low,medium,high,medium,high
277,1,3.0,medium,medium,medium,medium,medium,medium
278,1,5.0,medium,medium,medium,medium,medium,medium
279,1,5.0,high,medium,medium,medium,medium,medium
280,1,4.0,high,medium,medium,high,medium,medium
281,1,2.0,medium,medium,medium,medium,medium,high
282,1,4.0,medium,medium,medium,high,medium,high
283,1,3.0,medium,medium,medium,medium,medium,medium
284,1,4.0,medium,medium,medium,medium,medium,medium
285,1,4.0,medium,medium,medium,medium,medium,medium
286,1,1.0,low,low,low,low,low,medium
287,1,5.0,medium,medium,medium,low,medium,medium
288,1,4.0,medium,medium,medium,medium,medium,medium
289,1,4.0,low,medium,medium,low,medium,medium
290,1,5.0,high,medium,medium,medium,medium,medium
291,1,5.0,medium,medium,medium,medium,medium,medium
292,1,6.0,medium,high,high,medium,medium,medium
293,1,3.0,low,medium,medium,medium,medium,medium
294,1,4.0,low,low,low,low,medium,high
295,1,4.0,low,medium,medium,low,medium,high
296,1,4.0,low,medium,medium,low,medium,high
297,1,4.0,medium,medium,medium,medium,medium,medium
298,1,4.0,medium,medium,medium,low,medium,medium
299,1,4.0,low,low,medium,medium,medium,medium
300,1,3.0,low,low,low,low,low,high
301,1,5.0,medium,medium,medium,high,medium,high
302,1,6.0,medium,medium,medium,medium,medium,medium
303,1,4.0,medium,medium,medium,high,medium,high
304,1,5.0,low,medium,medium,low,medium,high
305,1,4.0,medium,medium,medium,medium,medium,medium
306,1,5.0,medium,medium,medium,medium,medium,medium
307,1,4.0,medium,medium,medium,high,low,high
308,1,2.0,medium,medium,medium,high,medium,high
309,1,3.0,medium,medium,medium,medium,medium,medium
310,1,4.0,high,medium,medium,high,high,high
311,1,4.0,medium,medium,medium,medium,medium,medium
312,1,3.0,medium,medium,medium,low,medium,medium
314,1,3.0,low,medium,medium,low,medium,medium
315,1,5.0,medium,medium,medium,medium,medium,medium
316,1,4.0,medium,medium,medium,medium,medium,medium
317,1,5.0,medium,medium,medium,medium,medium,medium
318,1,3.0,low,medium,medium,low,medium,medium
319,1,3.0,medium,medium,medium,high,medium,medium
320,1,3.0,low,medium,medium,medium,medium,medium
321,1,5.0,medium,medium,medium,medium,medium,medium
322,1,4.0,low,medium,medium,medium,medium,medium
323,1,4.0,low,medium,medium,low,medium,high
324,1,5.0,medium,medium,medium,medium,medium,medium
325,1,5.0,low,medium,medium,low,medium,high
326,1,5.0,medium,medium,medium,medium,medium,medium
327,1,3.0,medium,medium,medium,medium,medium,medium
328,1,3.0,medium,medium,medium,medium,medium,medium
329,1,4.0,low,low,low,low,medium,high
330,1,4.0,medium,medium,medium,low,medium,high
331,1,4.0,medium,medium,medium,low,medium,high
332,1,3.0,medium,medium,medium,medium,medium,medium
333,1,3.0,medium,medium,medium,high,medium,medium
334,1,4.0,medium,medium,medium,medium,medium,medium
335,1,3.0,low,low,medium,low,medium,medium
336,1,4.0,medium,medium,medium,medium,medium,medium
337,1,4.0,medium,medium,medium,medium,medium,medium
338,1,3.0,low,low,medium,high,medium,high
339,1,5.0,medium,medium,medium,medium,medium,medium
340,1,5.0,medium,medium,medium,medium,medium,medium
341,1,3.0,medium,medium,medium,medium,medium,medium
342,1,5.0,medium,medium,medium,medium,medium,medium
343,1,4.0,low,low,medium,low,low,high
345,1,5.0,medium,medium,medium,medium,medium,medium
346,1,6.0,low,medium,medium,low,medium,high
347,1,4.0,medium,medium,medium,low,medium,medium
348,1,5.0,low,low,medium,low,medium,high
349,1,3.0,low,low,medium,low,medium,high
350,1,4.0,medium,medium,medium,high,medium,medium
351,1,4.0,medium,medium,medium,low,medium,medium
352,1,2.0,low,low,medium,low,medium,high
353,1,2.0,low,low,low,low,medium,low
354,1,3.0,low,low,medium,low,medium,medium
355,1,3.0,low,medium,medium,medium,medium,medium
356,1,5.0,low,low,medium,low,low,medium
357,1,4.0,medium,medium,medium,medium,medium,medium
358,1,3.0,low,medium,medium,low,medium,medium
359,1,1.0,medium,medium,medium,medium,medium,medium
360,1,4.0,medium,low,medium,medium,medium,high
361,1,5.0,medium,medium,medium,medium,medium,medium
362,1,4.0,medium,medium,medium,high,medium,medium
363,1,3.0,medium,medium,medium,medium,medium,medium
364,1,5.0,medium,low,medium,medium,medium,medium
365,1,4.0,medium,medium,medium,high,medium,high
366,1,3.0,low,low,medium,high,medium,high
367,1,4.0,medium,medium,medium,medium,medium,medium
368,1,4.0,medium,medium,medium,medium,medium,medium
369,1,3.0,medium,medium,medium,medium,medium,medium
370,1,6.0,medium,medium,medium,high,medium,medium
371,1,4.0,low,low,medium,low,medium,medium
372,1,5.0,low,medium,medium,medium,medium,medium
373,1,4.0,medium,medium,medium,medium,medium,medium
374,1,4.0,medium,medium,medium,low,medium,high
375,1,1.0,low,low,low,low,low,high
376,1,4.0,medium,medium,medium,medium,medium,medium
377,1,4.0,medium,medium,low,high,medium,high
378,1,4.0,medium,medium,high,medium,medium,medium
379,1,4.0,medium,medium,medium,medium,medium,medium
380,1,4.0,medium,medium,medium,medium,medium,medium
381,1,4.0,low,medium,medium,low,medium,medium
382,1,3.0,medium,medium,medium,medium,medium,medium
383,1,4.0,medium,medium,medium,medium,medium,medium
384,1,4.0,low,medium,medium,high,medium,high
385,1,6.0,medium,medium,medium,high,medium,high
386,1,4.0,medium,medium,medium,medium,medium,medium
387,1,3.0,low,medium,medium,medium,medium,medium
388,1,3.0,medium,medium,medium,medium,medium,medium
389,1,3.0,medium,medium,medium,medium,medium,medium
390,1,5.0,medium,medium,medium,medium,medium,medium
391,1,5.0,medium,medium,medium,medium,medium,medium
392,1,3.0,medium,medium,medium,medium,medium,medium
393,1,3.0,medium,medium,medium,medium,medium,medium
394,1,3.0,low,medium,medium,medium,medium,medium
395,1,3.0,low,low,medium,low,medium,medium
396,1,2.0,low,medium,medium,low,medium,high
397,1,4.0,low,medium,medium,medium,medium,medium
398,1,5.0,medium,medium,medium,medium,medium,medium
399,1,5.0,medium,medium,medium,medium,medium,medium
400,1,3.0,low,low,medium,low,medium,high
401,1,2.0,low,low,low,low,low,medium
402,1,4.0,medium,medium,medium,medium,medium,medium
403,1,4.0,medium,medium,medium,medium,medium,medium
404,1,3.0,medium,medium,medium,medium,medium,medium
405,1,4.0,medium,medium,medium,medium,medium,medium
406,1,3.0,low,medium,medium,low,medium,high
407,1,4.0,medium,medium,medium,medium,medium,medium
408,1,3.0,low,low,medium,low,low,medium
409,1,3.0,medium,medium,medium,low,medium,medium
410,1,3.0,low,medium,medium,low,medium,medium
411,1,6.0,medium,medium,medium,high,medium,high
412,1,5.0,medium,medium,medium,high,medium,high
413,1,4.0,medium,medium,medium,high,medium,high
414,1,3.0,low,medium,medium,low,medium,high
415,1,4.0,medium,medium,medium,medium,medium,medium
416,1,3.0,low,low,low,low,low,high
417,1,4.0,low,low,low,low,high,high
418,1,6.0,medium,medium,medium,medium,medium,medium
419,1,3.0,medium,medium,medium,medium,medium,medium
420,1,5.0,low,low,medium,low,medium,high
421,1,3.0,medium,medium,medium,medium,medium,medium
422,1,3.0,low,low,low,low,low,high
423,1,4.0,medium,medium,medium,medium,medium,medium
424,1,5.0,medium,medium,medium,medium,medium,medium
425,1,5.0,medium,medium,medium,medium,medium,medium
426,1,5.0,medium,medium,medium,medium,medium,medium
427,1,5.0,low,medium,medium,low,medium,high
428,1,3.0,medium,medium,medium,high,medium,medium
429,1,4.0,medium,medium,medium,medium,medium,medium
430,1,5.0,low,low,low,low,medium,high
431,1,4.0,medium,medium,medium,medium,medium,medium
432,1,4.0,low,medium,medium,low,medium,high
433,1,5.0,medium,medium,medium,low,medium,medium
434,1,3.0,medium,medium,medium,medium,medium,medium
435,1,4.0,medium,medium,medium,medium,medium,medium
436,1,3.0,medium,medium,medium,medium,medium,medium
437,1,4.0,medium,medium,medium,medium,medium,medium
438,1,4.0,medium,medium,medium,medium,medium,medium
439,1,4.0,low,medium,medium,low,medium,high
440,1,3.0,medium,medium,medium,medium,medium,medium
441,1,4.0,low,low,medium,low,medium,high
442,1,5.0,medium,low,medium,high,medium,medium
443,1,3.0,medium,medium,medium,low,medium,medium
444,1,5.0,medium,medium,medium,high,medium,high
445,1,3.0,low,medium,medium,medium,medium,medium
446,1,6.0,low,medium,medium,low,medium,high
447,1,5.0,medium,medium,medium,medium,medium,medium
448,1,4.0,medium,medium,medium,low,medium,medium
449,1,1.0,low,low,low,low,low,medium
450,1,4.0,medium,medium,medium,medium,medium,medium
451,1,4.0,medium,medium,medium,low,medium,medium
452,1,3.0,low,low,medium,low,medium,medium
453,1,5.0,low,low,medium,low,medium,high
454,1,4.0,medium,medium,medium,medium,medium,medium
455,1,2.0,low,low,low,high,low,high
456,1,3.0,medium,medium,medium,medium,medium,high
457,1,5.0,medium,medium,high,high,medium,medium
458,1,3.0,medium,medium,medium,high,medium,high
459,1,3.0,low,low,medium,low,medium,medium
460,1,4.0,low,low,low,high,medium,high
461,1,4.0,medium,medium,medium,medium,medium,medium
462,1,3.0,low,medium,medium,low,medium,medium
463,1,4.0,medium,medium,medium,high,medium,medium
464,1,2.0,low,low,medium,low,low,medium
465,1,4.0,low,medium,medium,high,medium,high
466,1,4.0,medium,medium,medium,medium,medium,medium
467,1,4.0,medium,medium,medium,medium,medium,medium
468,1,3.0,medium,low,medium,medium,medium,medium
469,1,4.0,medium,medium,medium,medium,medium,medium
470,1,5.0,medium,medium,medium,medium,medium,medium
471,1,4.0,medium,medium,medium,medium,medium,medium
472,1,5.0,medium,medium,medium,medium,medium,medium
473,1,3.0,medium,medium,medium,medium,medium,medium
474,1,2.0,low,low,low,low,low,low
475,1,5.0,medium,medium,medium,medium,medium,medium
476,1,4.0,medium,medium,medium,medium,medium,medium
477,1,2.0,low,low,low,low,low,high
478,1,5.0,medium,medium,medium,medium,medium,medium
479,1,6.0,medium,medium,medium,medium,medium,medium
480,1,4.0,low,medium,medium,low,medium,medium
481,1,4.0,low,medium,medium,low,medium,high
482,1,4.0,medium,medium,medium,low,medium,medium
483,1,4.0,medium,medium,low,medium,medium,medium
484,1,3.0,medium,medium,medium,medium,medium,medium
485,1,4.0,medium,medium,medium,medium,medium,medium
486,1,4.0,medium,medium,medium,medium,medium,medium
487,1,3.0,medium,medium,medium,medium,medium,medium
488,1,3.0,medium,medium,medium,medium,medium,medium
489,1,5.0,medium,medium,medium,low,medium,medium
490,1,4.0,medium,medium,medium,high,medium,medium
491,1,3.0,medium,medium,medium,low,medium,medium
492,1,3.0,low,medium,medium,low,medium,high
493,1,4.0,medium,medium,medium,medium,medium,medium
494,1,4.0,medium,medium,low,high,medium,high
495,1,5.0,low,low,medium,high,medium,high
496,1,5.0,low,low,medium,low,low,high
497,1,5.0,medium,medium,medium,high,medium,high
498,1,6.0,medium,medium,medium,medium,medium,medium
499,1,5.0,medium,medium,medium,medium,medium,medium
500,1,5.0,medium,medium,medium,medium,medium,medium
501,1,3.0,low,medium,medium,low,medium,high
502,1,2.0,low,low,low,low,low,high
503,1,4.0,medium,medium,medium,medium,medium,medium
504,1,6.0,medium,medium,medium,medium,medium,medium
505,1,4.0,medium,low,low,low,medium,high
506,1,3.0,medium,medium,medium,medium,medium,medium
507,1,4.0,low,low,medium,low,medium,high
508,1,5.0,medium,medium,medium,medium,medium,medium
509,1,4.0,medium,medium,medium,high,medium,medium
510,1,3.0,low,low,medium,high,medium,high
511,1,3.0,low,medium,medium,medium,medium,medium
512,1,3.0,low,low,low,low,low,medium
513,1,4.0,medium,medium,medium,medium,medium,medium
514,1,3.0,low,low,medium,low,medium,high
515,1,3.0,low,low,low,low,low,high
516,1,4.0,medium,medium,medium,medium,medium,medium
517,1,4.0,medium,medium,medium,medium,medium,medium
518,1,4.0,medium,medium,medium,low,medium,high
519,1,5.0,medium,medium,medium,high,medium,high
520,1,3.0,medium,medium,medium,low,medium,high
521,1,2.0,medium,medium,medium,medium,medium,medium
522,1,4.0,low,low,medium,low,low,high
523,1,5.0,medium,medium,medium,low,medium,high
524,1,5.0,medium,medium,medium,medium,medium,medium
525,1,5.0,medium,medium,medium,medium,medium,medium
526,1,4.0,low,low,medium,low,low,high
527,1,3.0,medium,medium,medium,medium,medium,medium
528,1,4.0,low,low,medium,low,medium,medium
529,1,2.0,medium,medium,medium,low,medium,medium
530,1,5.0,medium,medium,medium,high,medium,high
531,1,4.0,medium,medium,medium,high,medium,medium
532,1,3.0,medium,medium,medium,medium,medium,medium
533,1,4.0,medium,medium,medium,medium,medium,medium
534,1,5.0,medium,medium,medium,low,medium,high
535,1,3.0,medium,medium,medium,medium,medium,medium
536,1,3.0,low,low,medium,low,medium,high
537,1,4.0,medium,medium,medium,medium,medium,medium
538,1,3.0,medium,medium,medium,medium,medium,medium
539,1,3.0,low,medium,medium,low,medium,high
540,1,5.0,low,medium,medium,low,medium,medium
541,1,5.0,medium,medium,medium,medium,medium,medium
542,1,6.0,medium,medium,medium,medium,medium,medium
543,1,3.0,medium,medium,medium,medium,medium,medium
544,1,3.0,low,medium,medium,low,medium,high
545,1,1.0,low,low,low,low,low,high
546,1,2.0,medium,low,medium,low,medium,medium
547,1,5.0,medium,low,medium,low,medium,high
548,1,4.0,high,medium,medium,medium,medium,medium
549,1,5.0,medium,medium,medium,high,medium,high
550,1,4.0,medium,medium,medium,low,medium,high
551,1,4.0,low,medium,medium,low,medium,high
552,1,3.0,low,low,medium,low,medium,high
553,1,3.0,medium,medium,medium,high,medium,high
554,1,4.0,medium,medium,medium,medium,medium,medium
555,1,4.0,medium,medium,medium,low,medium,high
556,1,5.0,medium,medium,medium,medium,medium,medium
557,1,5.0,medium,medium,medium,high,medium,high
558,1,5.0,medium,medium,medium,medium,medium,medium
559,1,6.0,low,medium,medium,low,medium,high
560,1,3.0,medium,medium,medium,medium,medium,high
561,1,3.0,low,low,low,low,low,high
562,1,4.0,low,medium,medium,high,medium,high
563,1,3.0,medium,medium,medium,medium,medium,medium
564,1,5.0,medium,medium,medium,medium,medium,medium
565,1,4.0,medium,low,medium,low,medium,high
566,1,4.0,medium,medium,medium,medium,medium,medium
567,1,3.0,low,medium,medium,low,medium,medium
568,1,4.0,medium,medium,medium,medium,medium,medium
569,1,4.0,low,low,medium,low,medium,medium
570,1,3.0,low,low,medium,low,medium,high
571,1,4.0,medium,medium,medium,medium,medium,medium
