essay_id,prompt_id,prompt_adherence_score,question1,question2,question3
6209,3,2,medium,medium,medium
6210,3,1,medium,medium,medium
6211,3,1,medium,medium,medium
6212,3,1,medium,medium,medium
6213,3,0,low,low,medium
6214,3,1,medium,medium,low
6215,3,0,low,low,high
6216,3,1,medium,medium,medium
6217,3,0,medium,medium,low
6218,3,1,medium,medium,medium
6219,3,2,medium,medium,medium
6220,3,2,medium,medium,medium
6221,3,1,medium,high,medium
6222,3,1,medium,medium,low
6223,3,1,medium,medium,medium
6224,3,1,low,low,medium
6225,3,1,medium,high,medium
6226,3,2,medium,medium,medium
6227,3,1,medium,medium,medium
6228,3,2,medium,medium,medium
6229,3,0,low,low,low
6230,3,0,medium,medium,low
6231,3,1,medium,medium,medium
6232,3,1,medium,medium,medium
6233,3,1,low,low,low
6234,3,1,low,low,medium
6235,3,0,low,low,low
6236,3,3,medium,medium,medium
6237,3,2,medium,medium,medium
6238,3,0,low,low,medium
6239,3,2,medium,medium,medium
6240,3,3,medium,medium,medium
6241,3,0,low,low,high
6242,3,0,low,low,low
6243,3,3,medium,medium,medium
6244,3,2,medium,medium,medium
6245,3,2,medium,medium,medium
6246,3,2,medium,medium,medium
6247,3,2,medium,medium,medium
6248,3,2,medium,medium,medium
6249,3,2,medium,high,medium
6250,3,3,medium,medium,medium
6251,3,1,medium,medium,medium
6252,3,0,medium,medium,low
6253,3,2,medium,high,medium
6254,3,1,medium,medium,medium
6255,3,0,medium,medium,medium
6256,3,1,medium,medium,low
6257,3,0,medium,low,low
6258,3,0,low,low,low
6259,3,1,medium,medium,medium
6260,3,1,medium,medium,medium
6261,3,1,medium,medium,low
6262,3,3,medium,medium,medium
6263,3,3,medium,medium,medium
6264,3,2,medium,medium,medium
6265,3,2,medium,high,medium
6266,3,0,low,low,medium
6267,3,3,medium,medium,medium
6268,3,2,medium,medium,medium
6269,3,0,medium,medium,low
6270,3,2,medium,medium,medium
6271,3,1,medium,medium,medium
6272,3,2,medium,medium,medium
6273,3,1,medium,medium,medium
6274,3,1,medium,medium,medium
6275,3,1,low,low,medium
6276,3,3,medium,high,medium
6277,3,0,low,low,low
6278,3,0,low,low,medium
6279,3,1,medium,medium,medium
6280,3,2,medium,medium,medium
6281,3,2,medium,medium,medium
6282,3,2,medium,medium,medium
6283,3,0,low,low,low
6284,3,2,medium,medium,medium
6285,3,2,medium,medium,medium
6286,3,3,medium,medium,medium
6287,3,2,medium,medium,medium
6288,3,1,medium,medium,medium
6289,3,2,medium,medium,medium
6290,3,1,medium,medium,medium
6291,3,2,medium,high,low
6292,3,2,medium,high,medium
6293,3,2,medium,medium,medium
6294,3,2,medium,high,medium
6295,3,0,medium,medium,medium
6296,3,1,medium,medium,medium
6297,3,1,medium,medium,medium
6298,3,0,medium,medium,low
6299,3,3,medium,medium,medium
6300,3,2,medium,medium,medium
6301,3,2,medium,medium,medium
6302,3,1,medium,medium,medium
6303,3,0,low,low,high
6304,3,2,medium,medium,low
6305,3,2,medium,medium,medium
6306,3,1,medium,medium,medium
6307,3,1,medium,medium,medium
6308,3,2,medium,medium,medium
6309,3,0,medium,medium,low
6310,3,1,medium,medium,medium
6311,3,1,medium,medium,low
6312,3,2,medium,medium,medium
6313,3,2,medium,medium,medium
6314,3,1,medium,medium,low
6315,3,1,medium,medium,medium
6316,3,0,medium,medium,medium
6317,3,2,medium,high,medium
6318,3,1,medium,medium,medium
6319,3,1,medium,medium,medium
6320,3,1,medium,medium,medium
6321,3,0,low,low,medium
6322,3,1,medium,high,medium
6323,3,1,medium,medium,medium
6324,3,1,medium,medium,low
6325,3,2,medium,medium,medium
6326,3,0,medium,medium,low
6327,3,2,medium,medium,medium
6328,3,2,medium,medium,medium
6329,3,2,medium,medium,medium
6330,3,2,medium,high,medium
6331,3,2,medium,medium,medium
6332,3,1,low,low,low
6333,3,2,medium,medium,medium
6334,3,1,medium,medium,medium
6335,3,2,medium,medium,medium
6336,3,2,medium,high,medium
6337,3,2,medium,medium,medium
6338,3,2,medium,medium,medium
6339,3,2,medium,medium,medium
6340,3,3,medium,medium,medium
6341,3,2,medium,medium,medium
6342,3,2,medium,medium,medium
6343,3,0,medium,medium,medium
6344,3,1,medium,medium,medium
6345,3,2,medium,medium,medium
6346,3,1,medium,medium,medium
6347,3,1,medium,medium,medium
6348,3,2,medium,medium,medium
6349,3,2,medium,medium,medium
6350,3,2,medium,medium,medium
6351,3,2,medium,high,medium
6352,3,1,medium,medium,medium
6353,3,2,medium,medium,medium
6354,3,1,low,low,medium
6355,3,1,medium,medium,medium
6356,3,0,low,low,low
6357,3,1,medium,medium,low
6358,3,2,medium,medium,medium
6359,3,0,medium,medium,low
6360,3,3,medium,medium,medium
6361,3,2,medium,medium,medium
6362,3,0,medium,medium,medium
6363,3,1,medium,medium,medium
6364,3,1,medium,medium,medium
6365,3,1,medium,medium,medium
6366,3,3,medium,high,medium
6367,3,1,medium,medium,medium
6368,3,0,low,low,medium
6369,3,1,medium,high,low
6370,3,0,low,low,medium
6371,3,2,medium,medium,medium
6372,3,2,medium,medium,medium
6373,3,1,medium,medium,medium
6374,3,1,medium,medium,medium
6375,3,0,medium,low,medium
6376,3,2,medium,medium,medium
6377,3,2,medium,medium,medium
6378,3,2,medium,medium,medium
6379,3,2,medium,high,medium
6380,3,2,medium,medium,medium
6381,3,2,medium,medium,medium
6382,3,0,low,low,low
6383,3,1,medium,high,low
6384,3,1,medium,medium,medium
6385,3,1,medium,medium,medium
6386,3,2,medium,medium,medium
6387,3,3,medium,medium,medium
6388,3,2,medium,high,medium
6389,3,2,medium,high,medium
6390,3,2,medium,high,medium
6391,3,2,medium,medium,medium
6392,3,3,medium,high,medium
6393,3,0,low,low,medium
6394,3,0,low,low,low
6395,3,1,medium,medium,medium
6396,3,3,medium,medium,medium
6397,3,1,medium,medium,medium
6398,3,2,medium,medium,medium
6399,3,2,medium,medium,medium
6400,3,2,medium,medium,medium
6401,3,1,medium,medium,medium
6402,3,2,medium,medium,medium
6403,3,0,low,low,low
6404,3,1,medium,medium,medium
6405,3,2,medium,high,low
6406,3,1,medium,medium,medium
6407,3,2,medium,medium,low
6408,3,2,medium,medium,medium
6409,3,1,medium,medium,medium
6410,3,2,medium,medium,medium
6411,3,0,low,low,low
6412,3,0,low,medium,medium
6413,3,1,medium,medium,medium
6414,3,1,medium,medium,medium
6415,3,1,medium,medium,medium
6416,3,0,low,low,medium
6417,3,3,medium,medium,medium
6418,3,2,medium,high,medium
6419,3,3,medium,medium,medium
6420,3,0,medium,medium,medium
6421,3,0,low,low,medium
6422,3,1,low,low,low
6423,3,1,medium,medium,medium
6424,3,2,medium,high,medium
6425,3,0,medium,medium,medium
6426,3,1,medium,medium,medium
6427,3,1,medium,medium,medium
6428,3,0,medium,medium,medium
6429,3,0,low,low,medium
6430,3,1,medium,medium,medium
6431,3,1,medium,medium,medium
6432,3,1,low,low,high
6433,3,1,medium,medium,medium
6434,3,2,medium,medium,medium
6435,3,1,medium,medium,low
6436,3,2,medium,medium,medium
6437,3,1,medium,medium,medium
6438,3,0,low,low,high
6439,3,0,medium,medium,medium
6440,3,1,medium,medium,medium
6441,3,1,medium,medium,medium
6442,3,0,medium,medium,medium
6443,3,1,medium,medium,medium
6444,3,3,medium,medium,medium
6445,3,2,medium,medium,medium
6446,3,2,medium,medium,medium
6447,3,2,medium,medium,medium
6448,3,3,medium,medium,medium
6449,3,0,low,low,high
6450,3,2,medium,medium,medium
6451,3,0,medium,medium,low
6452,3,0,medium,low,medium
6453,3,2,medium,medium,medium
6454,3,1,low,low,low
6455,3,3,medium,high,medium
6456,3,1,low,low,medium
6457,3,2,medium,high,medium
6458,3,0,low,low,medium
6459,3,1,medium,medium,medium
6460,3,2,medium,medium,medium
6461,3,1,medium,medium,medium
6462,3,2,low,low,medium
6463,3,2,medium,medium,medium
6464,3,0,low,low,low
6465,3,1,medium,medium,medium
6466,3,1,medium,medium,medium
6467,3,1,low,low,medium
6468,3,2,medium,high,low
6469,3,1,medium,medium,medium
6470,3,2,medium,high,medium
6471,3,1,medium,medium,medium
6472,3,2,medium,medium,medium
6473,3,1,medium,medium,low
6474,3,2,medium,medium,medium
6475,3,1,medium,medium,low
6476,3,1,medium,medium,medium
6477,3,1,medium,medium,low
6478,3,3,high,high,medium
6479,3,0,low,low,high
6480,3,2,medium,medium,medium
6481,3,1,low,low,low
6482,3,0,low,low,high
6483,3,3,high,high,medium
6484,3,2,medium,medium,medium
6485,3,3,medium,medium,medium
6486,3,2,medium,medium,medium
6487,3,2,medium,medium,medium
6488,3,2,medium,high,low
6489,3,2,medium,medium,medium
6490,3,1,medium,medium,medium
6491,3,2,medium,medium,medium
6492,3,1,medium,medium,medium
6493,3,2,medium,medium,medium
6494,3,2,low,low,medium
6495,3,0,low,low,high
6496,3,1,medium,medium,medium
6497,3,2,medium,high,low
6498,3,1,medium,medium,medium
6499,3,1,medium,medium,low
6500,3,2,medium,medium,low
6501,3,1,medium,medium,medium
6502,3,2,medium,medium,medium
6503,3,2,medium,medium,low
6504,3,0,medium,medium,medium
6505,3,2,medium,medium,medium
6506,3,0,medium,medium,medium
6507,3,2,medium,medium,medium
6508,3,1,medium,medium,medium
6509,3,0,medium,medium,medium
6510,3,0,medium,medium,medium
6511,3,3,medium,high,medium
6512,3,2,medium,medium,medium
6513,3,2,medium,medium,medium
6514,3,1,medium,medium,medium
6515,3,1,medium,medium,medium
6516,3,3,medium,high,medium
6517,3,2,medium,medium,low
6518,3,0,medium,medium,low
6519,3,2,low,medium,medium
6520,3,2,medium,medium,medium
6521,3,2,medium,medium,medium
6522,3,1,medium,medium,medium
6523,3,2,medium,medium,medium
6524,3,2,medium,medium,medium
6525,3,1,low,low,medium
6526,3,1,medium,medium,low
6527,3,2,medium,medium,medium
6528,3,2,medium,medium,low
6529,3,3,medium,high,medium
6530,3,2,medium,medium,medium
6531,3,0,low,low,medium
6532,3,3,medium,medium,medium
6533,3,2,medium,high,low
6534,3,1,medium,medium,medium
6535,3,1,low,low,medium
6536,3,1,medium,high,medium
6537,3,2,medium,medium,medium
6538,3,1,medium,medium,medium
6539,3,0,medium,medium,low
6540,3,1,medium,medium,medium
6541,3,2,medium,medium,medium
6542,3,3,medium,high,medium
6543,3,2,medium,medium,medium
6544,3,2,medium,high,low
6545,3,0,medium,medium,low
6546,3,2,medium,medium,medium
6547,3,1,medium,medium,low
6548,3,1,medium,medium,low
6549,3,2,medium,high,medium
6550,3,0,medium,medium,low
6551,3,2,medium,medium,medium
6552,3,0,low,low,medium
6553,3,2,medium,medium,medium
6554,3,2,medium,medium,medium
6555,3,0,low,low,high
6556,3,1,medium,medium,medium
6557,3,2,medium,medium,medium
6558,3,0,medium,medium,medium
6559,3,1,medium,medium,medium
6560,3,0,low,low,high
6561,3,3,medium,medium,medium
6562,3,1,medium,medium,medium
6563,3,2,medium,high,low
6564,3,2,medium,medium,medium
6565,3,1,medium,medium,medium
6566,3,2,medium,medium,medium
6567,3,2,medium,medium,medium
6568,3,1,medium,medium,medium
6569,3,0,medium,medium,medium
6570,3,1,medium,medium,medium
6571,3,3,medium,medium,medium
6572,3,3,medium,medium,medium
6573,3,2,medium,medium,low
6575,3,3,medium,high,medium
6576,3,1,medium,medium,medium
6577,3,0,low,low,medium
6578,3,1,medium,medium,medium
6579,3,2,medium,medium,medium
6580,3,2,medium,medium,medium
6581,3,2,medium,medium,medium
6582,3,3,medium,medium,medium
6583,3,1,medium,medium,medium
6584,3,2,medium,high,medium
6585,3,0,low,low,high
6586,3,2,medium,medium,medium
6587,3,1,medium,medium,medium
6588,3,0,low,low,low
6589,3,1,medium,medium,medium
6590,3,1,medium,medium,medium
6591,3,0,medium,medium,medium
6592,3,3,medium,medium,medium
6593,3,1,medium,medium,medium
6594,3,2,medium,medium,medium
6595,3,1,medium,medium,medium
6596,3,3,medium,medium,medium
6597,3,2,medium,medium,medium
6598,3,1,medium,low,low
6599,3,3,medium,medium,medium
6600,3,3,medium,medium,medium
6601,3,2,medium,medium,medium
6602,3,1,low,low,medium
6603,3,2,medium,medium,medium
6604,3,1,medium,medium,low
6605,3,0,medium,medium,low
6606,3,2,medium,medium,medium
6607,3,2,low,medium,medium
6608,3,2,medium,medium,medium
6609,3,2,medium,medium,medium
6610,3,0,low,medium,low
6611,3,1,low,low,medium
6612,3,0,low,low,low
6613,3,1,medium,medium,low
6614,3,0,low,low,high
6615,3,2,medium,medium,medium
6616,3,0,low,low,high
6617,3,3,medium,medium,medium
6618,3,1,medium,medium,medium
6619,3,3,medium,medium,medium
6620,3,0,low,low,medium
6621,3,1,medium,medium,low
6622,3,2,medium,medium,low
6623,3,3,medium,medium,medium
6624,3,0,medium,medium,medium
6625,3,2,medium,medium,medium
6626,3,2,medium,high,low
6627,3,2,medium,medium,medium
6628,3,2,medium,medium,low
6629,3,1,medium,medium,medium
6630,3,0,low,low,high
6631,3,2,medium,medium,medium
6632,3,1,medium,low,medium
6633,3,2,medium,high,medium
6634,3,1,low,low,medium
6635,3,2,medium,medium,medium
6636,3,3,high,high,medium
6637,3,3,medium,high,medium
6638,3,1,medium,medium,medium
6639,3,1,medium,medium,medium
6640,3,1,medium,medium,medium
6641,3,0,low,low,medium
6642,3,1,low,low,medium
6643,3,2,medium,medium,medium
6644,3,1,medium,medium,medium
6645,3,1,medium,medium,medium
6646,3,2,medium,medium,medium
6647,3,0,low,low,high
6648,3,2,medium,high,medium
6649,3,0,low,low,low
6650,3,0,low,low,medium
6651,3,3,medium,high,medium
6652,3,2,medium,medium,medium
6653,3,2,medium,medium,medium
6654,3,2,medium,medium,medium
6655,3,2,medium,medium,medium
6656,3,0,medium,medium,medium
6657,3,2,medium,medium,medium
6658,3,2,medium,medium,medium
6659,3,2,medium,medium,medium
6660,3,2,medium,medium,medium
6661,3,2,medium,high,medium
6662,3,2,high,high,medium
6663,3,1,low,low,medium
6664,3,2,medium,medium,medium
6665,3,2,medium,medium,medium
6666,3,1,medium,high,medium
6667,3,1,medium,medium,medium
6668,3,1,medium,medium,low
6669,3,1,medium,medium,medium
6670,3,0,low,low,low
6671,3,1,medium,medium,low
6672,3,2,medium,medium,medium
6673,3,0,low,low,medium
6674,3,0,low,low,high
6675,3,1,medium,medium,medium
6676,3,1,medium,medium,medium
6677,3,3,medium,medium,medium
6678,3,1,medium,medium,medium
6679,3,3,medium,medium,medium
6680,3,3,medium,high,medium
6681,3,3,medium,high,medium
6682,3,3,medium,high,medium
6683,3,2,medium,medium,medium
6684,3,0,medium,medium,medium
6685,3,1,medium,medium,low
6686,3,1,medium,medium,medium
6687,3,2,medium,medium,medium
6688,3,0,medium,medium,medium
6689,3,1,medium,medium,low
6690,3,2,medium,medium,medium
6691,3,0,medium,medium,medium
6692,3,1,medium,medium,medium
6693,3,2,medium,medium,medium
6694,3,2,medium,medium,medium
6695,3,1,medium,low,medium
6696,3,2,medium,medium,medium
6697,3,2,medium,medium,medium
6698,3,1,medium,medium,medium
6699,3,2,medium,medium,medium
6700,3,3,medium,medium,medium
6701,3,3,medium,medium,medium
6702,3,0,medium,medium,medium
6703,3,2,medium,medium,low
6704,3,2,medium,medium,medium
6705,3,3,high,high,low
6706,3,1,medium,medium,medium
6707,3,2,medium,high,medium
6708,3,0,low,low,high
6709,3,2,medium,medium,medium
6710,3,1,low,low,low
6711,3,2,medium,medium,medium
6712,3,3,medium,medium,medium
6713,3,0,medium,medium,medium
6714,3,2,medium,high,medium
6715,3,1,low,low,low
6716,3,3,medium,medium,medium
6717,3,2,medium,medium,medium
6718,3,2,medium,medium,medium
6719,3,1,medium,medium,low
6720,3,0,medium,medium,low
6721,3,2,medium,medium,medium
6722,3,1,medium,medium,low
6723,3,1,low,low,medium
6724,3,2,medium,medium,medium
6725,3,1,medium,medium,medium
6726,3,1,medium,medium,medium
6727,3,2,medium,medium,medium
6728,3,2,medium,medium,medium
6729,3,0,medium,medium,medium
6730,3,2,medium,medium,medium
6731,3,0,low,low,low
6732,3,2,medium,medium,medium
6733,3,3,high,high,medium
6734,3,0,low,low,high
6735,3,1,low,low,medium
6736,3,2,medium,medium,medium
6737,3,1,medium,medium,low
6738,3,1,medium,medium,medium
6739,3,1,medium,medium,medium
6740,3,1,medium,medium,medium
6741,3,3,medium,high,medium
6742,3,1,medium,medium,medium
6743,3,1,medium,medium,medium
6744,3,2,medium,medium,medium
6745,3,1,medium,medium,medium
6746,3,1,medium,medium,low
6747,3,2,medium,medium,low
6748,3,2,medium,medium,medium
6749,3,1,medium,medium,medium
6750,3,0,low,low,high
6751,3,2,medium,medium,medium
6752,3,2,medium,medium,medium
6753,3,1,medium,medium,low
6754,3,1,medium,medium,medium
6755,3,1,medium,medium,medium
6756,3,1,medium,medium,low
6757,3,3,medium,high,medium
6758,3,2,medium,medium,medium
6759,3,0,medium,medium,low
6760,3,1,medium,medium,medium
6761,3,1,low,low,medium
6762,3,3,medium,medium,medium
6763,3,3,medium,medium,medium
6764,3,2,medium,medium,medium
6765,3,3,medium,high,medium
6766,3,0,medium,medium,low
6767,3,2,medium,medium,medium
6768,3,0,low,low,low
6769,3,1,medium,medium,medium
6770,3,2,medium,medium,medium
6771,3,3,medium,high,medium
6772,3,2,medium,medium,medium
6773,3,0,medium,medium,low
6774,3,1,medium,medium,medium
6775,3,1,medium,medium,medium
6776,3,1,medium,medium,low
6777,3,1,medium,low,medium
6778,3,2,medium,medium,medium
6779,3,2,medium,medium,medium
6780,3,2,medium,medium,medium
6781,3,2,medium,medium,medium
6782,3,0,low,low,high
6783,3,2,medium,medium,medium
6784,3,1,low,low,medium
6785,3,0,low,low,high
6786,3,2,medium,high,medium
6787,3,1,medium,medium,medium
6788,3,1,medium,medium,medium
6789,3,2,medium,medium,medium
6790,3,2,medium,medium,medium
6791,3,3,medium,high,medium
6792,3,2,medium,medium,medium
6793,3,1,low,low,medium
6794,3,1,medium,medium,medium
6795,3,0,low,low,medium
6796,3,0,medium,medium,medium
6797,3,1,medium,medium,low
6798,3,3,high,high,medium
6799,3,1,medium,medium,medium
6800,3,3,medium,medium,medium
6801,3,2,medium,medium,low
6802,3,2,medium,high,medium
6803,3,1,medium,medium,medium
6804,3,3,medium,medium,medium
6805,3,3,medium,medium,medium
6806,3,3,medium,medium,medium
6807,3,1,medium,medium,medium
6808,3,2,medium,medium,medium
6809,3,2,medium,high,medium
6810,3,3,medium,medium,medium
6811,3,2,medium,medium,medium
6812,3,0,medium,medium,low
6813,3,1,medium,medium,medium
6814,3,2,medium,medium,medium
6815,3,2,medium,medium,medium
6816,3,2,medium,medium,medium
6817,3,1,medium,medium,medium
6818,3,2,medium,high,medium
6819,3,0,medium,medium,medium
6820,3,0,medium,medium,medium
6821,3,1,medium,medium,low
6822,3,2,medium,high,medium
6823,3,0,medium,medium,medium
6824,3,1,medium,medium,low
6825,3,3,medium,medium,medium
6826,3,2,medium,medium,medium
6827,3,1,low,low,high
6828,3,1,low,low,medium
6829,3,1,medium,medium,low
6830,3,2,medium,medium,medium
6831,3,2,medium,medium,medium
6832,3,2,medium,medium,low
6833,3,1,medium,medium,medium
6834,3,1,low,low,medium
6835,3,2,medium,medium,low
6836,3,2,medium,medium,medium
6837,3,2,medium,medium,medium
6838,3,2,medium,medium,medium
6839,3,0,medium,medium,medium
6840,3,2,medium,medium,medium
6841,3,1,medium,medium,low
6842,3,1,medium,medium,low
6843,3,1,medium,medium,medium
6844,3,2,medium,medium,medium
6845,3,2,medium,medium,medium
6846,3,0,medium,high,medium
6847,3,0,medium,medium,medium
6848,3,1,medium,medium,medium
6849,3,3,medium,high,medium
6850,3,2,medium,high,low
6851,3,1,medium,medium,medium
6852,3,2,medium,high,medium
6853,3,2,medium,medium,medium
6854,3,3,medium,medium,medium
6855,3,2,medium,medium,medium
6856,3,2,medium,medium,medium
6857,3,2,medium,medium,medium
6858,3,2,medium,medium,medium
6859,3,0,medium,medium,medium
6860,3,1,medium,medium,medium
6861,3,0,medium,medium,medium
6862,3,1,medium,medium,low
6863,3,1,medium,medium,medium
6864,3,0,low,low,low
6865,3,1,low,low,low
6866,3,3,medium,high,medium
6867,3,1,medium,medium,low
6868,3,2,medium,medium,medium
6869,3,2,medium,medium,medium
6870,3,2,medium,medium,low
6871,3,2,medium,medium,medium
6872,3,3,medium,high,medium
6873,3,1,medium,medium,medium
6874,3,1,low,low,medium
6875,3,1,low,low,medium
6876,3,1,medium,medium,medium
6877,3,2,medium,medium,medium
6878,3,2,medium,medium,medium
6879,3,2,medium,medium,medium
6880,3,2,medium,medium,medium
6881,3,2,medium,medium,medium
6882,3,1,medium,medium,medium
6883,3,0,medium,medium,medium
6884,3,2,medium,medium,medium
